GloveManager recording started on 10/20/16 at 16:31:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017732,0.017732,1092,1785,1227,2198,3218,2239,2073,2947,2953,1221,3327,2953,1658,2863,,0.288425,0.047710,0.120909,0.556920,0.821233,0.644109,0.269193,0.711567,0.849837,0.196429,0.739264,0.909508,0.353066,0.632712
0.018007,0.035739,1092,1784,1228,2198,3217,2239,2073,2946,2954,1220,3326,2953,1658,2864,,0.288425,0.046756,0.121818,0.556920,0.820548,0.644109,0.269193,0.710835,0.850925,0.195536,0.738241,0.909508,0.353066,0.633429
0.017991,0.053730,1092,1785,1228,2198,3217,2240,2073,2947,2953,1220,3327,2952,1658,2864,,0.288425,0.047710,0.121818,0.556920,0.820548,0.644713,0.269193,0.711567,0.849837,0.195536,0.739264,0.908852,0.353066,0.633429
0.018002,0.071732,1092,1785,1228,2199,3217,2240,2073,2947,2953,1220,3327,2952,1657,2864,,0.288425,0.047710,0.121818,0.558036,0.820548,0.644713,0.269193,0.711567,0.849837,0.195536,0.739264,0.908852,0.352008,0.633429
0.018010,0.089742,1093,1785,1228,2198,3216,2239,2073,2947,2954,1220,3327,2953,1658,2864,,0.289374,0.047710,0.121818,0.556920,0.819863,0.644109,0.269193,0.711567,0.850925,0.195536,0.739264,0.909508,0.353066,0.633429
0.017993,0.107735,1093,1785,1228,2198,3217,2239,2073,2946,2953,1219,3327,2953,1656,2864,,0.289374,0.047710,0.121818,0.556920,0.820548,0.644109,0.269193,0.710835,0.849837,0.194643,0.739264,0.909508,0.350951,0.633429
0.017999,0.125735,1093,1785,1228,2198,3217,2239,2073,2946,2953,1219,3327,2953,1656,2864,,0.289374,0.047710,0.121818,0.556920,0.820548,0.644109,0.269193,0.710835,0.849837,0.194643,0.739264,0.909508,0.350951,0.633429
0.017980,0.143714,1094,1786,1227,2199,3217,2240,2073,2947,2953,1220,3327,2953,1657,2864,,0.290323,0.048664,0.120909,0.558036,0.820548,0.644713,0.269193,0.711567,0.849837,0.195536,0.739264,0.909508,0.352008,0.633429
0.018024,0.161738,1095,1787,1227,2200,3218,2240,2074,2947,2953,1221,3328,2953,1658,2865,,0.291271,0.049618,0.120909,0.559152,0.821233,0.644713,0.270165,0.711567,0.849837,0.196429,0.740286,0.909508,0.353066,0.634146
0.018008,0.179745,1094,1787,1226,2201,3220,2240,2073,2947,2953,1222,3328,2953,1658,2865,,0.290323,0.049618,0.120000,0.560268,0.822603,0.644713,0.269193,0.711567,0.849837,0.197321,0.740286,0.909508,0.353066,0.634146
0.018002,0.197748,1095,1789,1226,2203,3222,2241,2073,2948,2954,1222,3329,2952,1659,2865,,0.291271,0.051527,0.120000,0.562500,0.823973,0.645317,0.269193,0.712299,0.850925,0.197321,0.741309,0.908852,0.354123,0.634146
