GloveManager recording started on 10/20/16 at 16:31:55

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017537,0.017537,1085,1784,1235,2206,3115,2231,2071,2943,2937,1254,3335,2923,1643,2870,,0.281784,0.046756,0.128182,0.565848,0.750685,0.639275,0.267250,0.708638,0.832427,0.225893,0.747444,0.889836,0.337209,0.637733
0.018002,0.035538,1085,1784,1235,2206,3115,2231,2071,2943,2937,1254,3335,2923,1643,2870,,0.281784,0.046756,0.128182,0.565848,0.750685,0.639275,0.267250,0.708638,0.832427,0.225893,0.747444,0.889836,0.337209,0.637733
0.018013,0.053552,1084,1783,1235,2213,3046,2234,2078,2942,2937,1258,3341,2923,1642,2876,,0.280835,0.045802,0.128182,0.573661,0.703425,0.641088,0.274052,0.707906,0.832427,0.229464,0.753579,0.889836,0.336152,0.642037
0.017999,0.071551,1084,1783,1235,2213,3046,2234,2078,2942,2937,1258,3341,2923,1642,2876,,0.280835,0.045802,0.128182,0.573661,0.703425,0.641088,0.274052,0.707906,0.832427,0.229464,0.753579,0.889836,0.336152,0.642037
0.017963,0.089514,1081,1784,1227,2208,2800,2237,2091,2939,2936,1268,3343,2918,1640,2877,,0.277989,0.046756,0.120909,0.568080,0.534931,0.642900,0.286686,0.705710,0.831338,0.238393,0.755624,0.886557,0.334038,0.642755
0.018035,0.107549,1081,1784,1227,2208,2800,2237,2091,2939,2936,1268,3343,2918,1640,2877,,0.277989,0.046756,0.120909,0.568080,0.534931,0.642900,0.286686,0.705710,0.831338,0.238393,0.755624,0.886557,0.334038,0.642755
0.017996,0.125545,1081,1788,1217,2178,2642,2225,2103,2935,2933,1273,3339,2915,1642,2875,,0.277989,0.050573,0.111818,0.534598,0.426712,0.635650,0.298348,0.702782,0.828074,0.242857,0.751534,0.884590,0.336152,0.641320
0.017986,0.143531,1081,1790,1212,2167,2580,2211,2109,2936,2934,1276,3339,2915,1643,2875,,0.277989,0.052481,0.107273,0.522321,0.384247,0.627190,0.304179,0.703514,0.829162,0.245536,0.751534,0.884590,0.337209,0.641320
0.018025,0.161556,1082,1793,1208,2159,2529,2203,2113,2937,2934,1278,3340,2915,1645,2876,,0.278937,0.055344,0.103636,0.513393,0.349315,0.622356,0.308066,0.704246,0.829162,0.247321,0.752556,0.884590,0.339323,0.642037
0.017967,0.179523,1084,1796,1204,2151,2490,2188,2117,2937,2934,1282,3341,2915,1647,2876,,0.280835,0.058206,0.100000,0.504464,0.322603,0.613293,0.311953,0.704246,0.829162,0.250893,0.753579,0.884590,0.341438,0.642037
0.017999,0.197522,1085,1799,1200,2142,2476,2163,2122,2938,2933,1285,3341,2916,1648,2877,,0.281784,0.061069,0.096364,0.494420,0.313014,0.598187,0.316812,0.704978,0.828074,0.253571,0.753579,0.885246,0.342495,0.642755
0.018034,0.215556,1086,1801,1196,2136,2472,2132,2125,2938,2934,1288,3341,2917,1650,2877,,0.282732,0.062977,0.092727,0.487723,0.310274,0.579456,0.319728,0.704978,0.829162,0.256250,0.753579,0.885902,0.344609,0.642755
0.018003,0.233559,1088,1804,1194,2132,2474,2089,2132,2937,2932,1291,3342,2918,1651,2878,,0.284630,0.065840,0.090909,0.483259,0.311644,0.553474,0.326531,0.704246,0.826986,0.258929,0.754601,0.886557,0.345666,0.643472
0.018000,0.251559,1090,1807,1187,2125,2481,2018,2151,2937,2932,1300,3341,2921,1653,2879,,0.286528,0.068702,0.084545,0.475446,0.316438,0.510574,0.344995,0.704246,0.826986,0.266964,0.753579,0.888525,0.347780,0.644189
0.017997,0.269556,1091,1807,1186,2120,2485,2001,2158,2935,2930,1303,3340,2922,1654,2880,,0.287476,0.068702,0.083636,0.469866,0.319178,0.500302,0.351798,0.702782,0.824810,0.269643,0.752556,0.889180,0.348837,0.644907
0.018022,0.287578,1093,1809,1186,2118,2488,1987,2165,2933,2930,1304,3338,2923,1655,2880,,0.289374,0.070611,0.083636,0.467634,0.321233,0.491843,0.358601,0.701318,0.824810,0.270536,0.750511,0.889836,0.349894,0.644907
0.017989,0.305567,1093,1808,1185,2116,2491,1971,2171,2930,2930,1307,3338,2925,1655,2880,,0.289374,0.069656,0.082727,0.465402,0.323288,0.482175,0.364432,0.699122,0.824810,0.273214,0.750511,0.891148,0.349894,0.644907
0.018016,0.323583,1093,1808,1185,2115,2492,1958,2176,2929,2930,1309,3337,2925,1655,2880,,0.289374,0.069656,0.082727,0.464286,0.323973,0.474320,0.369291,0.698389,0.824810,0.275000,0.749489,0.891148,0.349894,0.644907
0.017982,0.341565,1094,1809,1185,2115,2493,1949,2180,2927,2930,1312,3337,2926,1655,2881,,0.290323,0.070611,0.082727,0.464286,0.324658,0.468882,0.373178,0.696925,0.824810,0.277679,0.749489,0.891803,0.349894,0.645624
0.018000,0.359565,1094,1809,1185,2116,2495,1941,2183,2926,2929,1312,3335,2926,1656,2882,,0.290323,0.070611,0.082727,0.465402,0.326027,0.464048,0.376093,0.696193,0.823721,0.277679,0.747444,0.891803,0.350951,0.646341
0.017939,0.377504,1094,1810,1184,2116,2495,1935,2187,2924,2929,1314,3335,2927,1655,2882,,0.290323,0.071565,0.081818,0.465402,0.326027,0.460423,0.379981,0.694729,0.823721,0.279464,0.747444,0.892459,0.349894,0.646341
0.018054,0.395559,1095,1810,1184,2117,2496,1929,2194,2922,2928,1315,3334,2928,1655,2882,,0.291271,0.071565,0.081818,0.466518,0.326712,0.456798,0.386783,0.693265,0.822633,0.280357,0.746421,0.893115,0.349894,0.646341
0.017990,0.413549,1096,1811,1185,2117,2496,1925,2197,2920,2927,1316,3333,2928,1656,2882,,0.292220,0.072519,0.082727,0.466518,0.326712,0.454381,0.389699,0.691801,0.821545,0.281250,0.745399,0.893115,0.350951,0.646341
0.017981,0.431529,1096,1811,1184,2117,2496,1924,2200,2920,2927,1316,3333,2928,1655,2882,,0.292220,0.072519,0.081818,0.466518,0.326712,0.453776,0.392614,0.691801,0.821545,0.281250,0.745399,0.893115,0.349894,0.646341
0.018013,0.449543,1095,1810,1185,2117,2497,1923,2202,2920,2926,1316,3334,2929,1663,2882,,0.291271,0.071565,0.082727,0.466518,0.327397,0.453172,0.394558,0.691801,0.820457,0.281250,0.746421,0.893771,0.358351,0.646341
0.018018,0.467561,1096,1809,1185,2117,2496,1921,2203,2920,2926,1315,3333,2929,1663,2880,,0.292220,0.070611,0.082727,0.466518,0.326712,0.451964,0.395530,0.691801,0.820457,0.280357,0.745399,0.893771,0.358351,0.644907
0.017999,0.485560,1096,1808,1186,2117,2494,1921,2205,2920,2926,1315,3334,2929,1662,2879,,0.292220,0.069656,0.083636,0.466518,0.325342,0.451964,0.397473,0.691801,0.820457,0.280357,0.746421,0.893771,0.357294,0.644189
0.018008,0.503568,1096,1807,1187,2117,2493,1921,2206,2922,2926,1312,3334,2929,1652,2879,,0.292220,0.068702,0.084545,0.466518,0.324658,0.451964,0.398445,0.693265,0.820457,0.277679,0.746421,0.893771,0.346723,0.644189
0.017965,0.521533,1095,1806,1186,2116,2492,1923,2206,2923,2926,1311,3336,2928,1652,2878,,0.291271,0.067748,0.083636,0.465402,0.323973,0.453172,0.398445,0.693997,0.820457,0.276786,0.748466,0.893115,0.346723,0.643472
0.018034,0.539567,1096,1807,1188,2116,2492,1923,2206,2923,2926,1310,3336,2928,1653,2879,,0.292220,0.068702,0.085455,0.465402,0.323973,0.453172,0.398445,0.693997,0.820457,0.275893,0.748466,0.893115,0.347780,0.644189
0.017992,0.557559,1095,1806,1188,2116,2491,1924,2205,2924,2926,1310,3336,2928,1652,2879,,0.291271,0.067748,0.085455,0.465402,0.323288,0.453776,0.397473,0.694729,0.820457,0.275893,0.748466,0.893115,0.346723,0.644189
0.018003,0.575562,1096,1806,1190,2116,2490,1924,2205,2924,2927,1310,3335,2929,1652,2879,,0.292220,0.067748,0.087273,0.465402,0.322603,0.453776,0.397473,0.694729,0.821545,0.275893,0.747444,0.893771,0.346723,0.644189
0.018001,0.593564,1095,1805,1190,2115,2489,1923,2207,2924,2926,1312,3335,2930,1651,2881,,0.291271,0.066794,0.087273,0.464286,0.321918,0.453172,0.399417,0.694729,0.820457,0.277679,0.747444,0.894426,0.345666,0.645624
0.018000,0.611563,1095,1806,1191,2115,2487,1923,2209,2924,2926,1312,3336,2931,1652,2882,,0.291271,0.067748,0.088182,0.464286,0.320548,0.453172,0.401361,0.694729,0.820457,0.277679,0.748466,0.895082,0.346723,0.646341
0.018001,0.629565,1097,1807,1192,2115,2488,1922,2210,2923,2926,1312,3335,2930,1652,2881,,0.293169,0.068702,0.089091,0.464286,0.321233,0.452568,0.402332,0.693997,0.820457,0.277679,0.747444,0.894426,0.346723,0.645624
0.017997,0.647562,1096,1807,1192,2115,2487,1922,2211,2925,2926,1313,3336,2930,1651,2881,,0.292220,0.068702,0.089091,0.464286,0.320548,0.452568,0.403304,0.695461,0.820457,0.278571,0.748466,0.894426,0.345666,0.645624
0.018011,0.665573,1096,1807,1192,2115,2486,1923,2211,2925,2927,1312,3335,2930,1651,2882,,0.292220,0.068702,0.089091,0.464286,0.319863,0.453172,0.403304,0.695461,0.821545,0.277679,0.747444,0.894426,0.345666,0.646341
0.018001,0.683573,1096,1807,1193,2114,2486,1922,2211,2925,2926,1312,3335,2931,1651,2882,,0.292220,0.068702,0.090000,0.463170,0.319863,0.452568,0.403304,0.695461,0.820457,0.277679,0.747444,0.895082,0.345666,0.646341
0.017992,0.701565,1096,1807,1193,2114,2484,1922,2211,2925,2926,1313,3335,2931,1651,2883,,0.292220,0.068702,0.090000,0.463170,0.318493,0.452568,0.403304,0.695461,0.820457,0.278571,0.747444,0.895082,0.345666,0.647059
0.018009,0.719575,1097,1807,1194,2114,2484,1922,2213,2925,2926,1313,3335,2931,1650,2884,,0.293169,0.068702,0.090909,0.463170,0.318493,0.452568,0.405248,0.695461,0.820457,0.278571,0.747444,0.895082,0.344609,0.647776
0.017971,0.737546,1096,1806,1194,2113,2482,1921,2214,2925,2925,1314,3335,2932,1651,2885,,0.292220,0.067748,0.090909,0.462054,0.317123,0.451964,0.406220,0.695461,0.819369,0.279464,0.747444,0.895738,0.345666,0.648494
0.018023,0.755569,1096,1806,1194,2113,2482,1921,2214,2925,2925,1314,3335,2932,1651,2885,,0.292220,0.067748,0.090909,0.462054,0.317123,0.451964,0.406220,0.695461,0.819369,0.279464,0.747444,0.895738,0.345666,0.648494
0.018000,0.773569,1097,1806,1196,2114,2482,1921,2216,2925,2924,1315,3335,2933,1651,2885,,0.293169,0.067748,0.092727,0.463170,0.317123,0.451964,0.408163,0.695461,0.818281,0.280357,0.747444,0.896393,0.345666,0.648494
0.017998,0.791568,1097,1807,1195,2113,2481,1920,2216,2925,2925,1315,3336,2933,1651,2886,,0.293169,0.068702,0.091818,0.462054,0.316438,0.451360,0.408163,0.695461,0.819369,0.280357,0.748466,0.896393,0.345666,0.649211
0.018012,0.809580,1097,1807,1196,2113,2480,1920,2218,2926,2925,1315,3336,2933,1650,2887,,0.293169,0.068702,0.092727,0.462054,0.315753,0.451360,0.410107,0.696193,0.819369,0.280357,0.748466,0.896393,0.344609,0.649928
0.018001,0.827581,1097,1807,1196,2113,2480,1920,2218,2926,2925,1315,3336,2933,1650,2887,,0.293169,0.068702,0.092727,0.462054,0.315753,0.451360,0.410107,0.696193,0.819369,0.280357,0.748466,0.896393,0.344609,0.649928
0.018014,0.845595,1096,1805,1196,2113,2478,1920,2216,2927,2925,1314,3337,2933,1649,2887,,0.292220,0.066794,0.092727,0.462054,0.314384,0.451360,0.408163,0.696925,0.819369,0.279464,0.749489,0.896393,0.343552,0.649928
0.017977,0.863573,1096,1805,1196,2113,2478,1920,2216,2927,2925,1314,3337,2933,1649,2887,,0.292220,0.066794,0.092727,0.462054,0.314384,0.451360,0.408163,0.696925,0.819369,0.279464,0.749489,0.896393,0.343552,0.649928
0.017988,0.881561,1096,1805,1197,2113,2477,1919,2217,2929,2925,1314,3338,2933,1649,2889,,0.292220,0.066794,0.093636,0.462054,0.313699,0.450755,0.409135,0.698389,0.819369,0.279464,0.750511,0.896393,0.343552,0.651363
0.018015,0.899576,1096,1805,1197,2113,2477,1919,2217,2929,2925,1314,3338,2933,1649,2889,,0.292220,0.066794,0.093636,0.462054,0.313699,0.450755,0.409135,0.698389,0.819369,0.279464,0.750511,0.896393,0.343552,0.651363
0.017999,0.917574,1096,1805,1197,2113,2476,1919,2217,2928,2925,1314,3338,2934,1650,2891,,0.292220,0.066794,0.093636,0.462054,0.313014,0.450755,0.409135,0.697657,0.819369,0.279464,0.750511,0.897049,0.344609,0.652798
