GloveManager recording started on 10/20/16 at 16:34:15

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017567,0.017567,1101,2046,1646,2121,3382,2246,1983,3155,2947,1140,3434,2943,1561,2927,,0.364494,0.296756,0.501818,0.470982,0.933562,0.648338,0.181730,0.863836,0.843308,0.124107,0.848671,0.902951,0.250529,0.678623
0.017981,0.035548,1099,2045,1653,2120,3384,2245,1979,3156,2948,1140,3434,2941,1557,2924,,0.362779,0.295802,0.508182,0.469866,0.934932,0.647734,0.177843,0.864568,0.844396,0.124107,0.848671,0.901639,0.246300,0.676471
0.017980,0.053528,1100,2045,1655,2121,3384,2245,1978,3156,2948,1140,3433,2941,1556,2923,,0.363636,0.295802,0.510000,0.470982,0.934932,0.647734,0.176871,0.864568,0.844396,0.124107,0.847648,0.901639,0.245243,0.675753
0.018011,0.071539,1102,2047,1657,2122,3384,2246,1977,3155,2948,1140,3433,2940,1554,2923,,0.365352,0.297710,0.511818,0.472098,0.934932,0.648338,0.175899,0.863836,0.844396,0.124107,0.847648,0.900984,0.243129,0.675753
0.017987,0.089526,1104,2049,1658,2121,3386,2246,1977,3155,2949,1141,3433,2939,1554,2923,,0.367067,0.299618,0.512727,0.470982,0.936301,0.648338,0.175899,0.863836,0.845484,0.125000,0.847648,0.900328,0.243129,0.675753
0.018015,0.107541,1105,2051,1660,2123,3386,2246,1977,3155,2948,1140,3432,2939,1551,2922,,0.367925,0.301527,0.514545,0.473214,0.936301,0.648338,0.175899,0.863836,0.844396,0.124107,0.846626,0.900328,0.239958,0.675036
0.018008,0.125549,1104,2052,1662,2123,3387,2245,1977,3154,2949,1141,3433,2938,1551,2921,,0.367067,0.302481,0.516364,0.473214,0.936986,0.647734,0.175899,0.863104,0.845484,0.125000,0.847648,0.899672,0.239958,0.674318
0.018003,0.143553,1106,2054,1664,2124,3387,2245,1977,3154,2950,1140,3433,2937,1550,2921,,0.368782,0.304389,0.518182,0.474330,0.936986,0.647734,0.175899,0.863104,0.846572,0.124107,0.847648,0.899016,0.238901,0.674318
0.017992,0.161545,1106,2054,1664,2124,3387,2245,1977,3154,2950,1140,3433,2937,1550,2921,,0.368782,0.304389,0.518182,0.474330,0.936986,0.647734,0.175899,0.863104,0.846572,0.124107,0.847648,0.899016,0.238901,0.674318
0.017955,0.179500,1108,2053,1661,2126,3387,2245,1977,3151,2950,1141,3432,2937,1548,2921,,0.370497,0.303435,0.515455,0.476563,0.936986,0.647734,0.175899,0.860908,0.846572,0.125000,0.846626,0.899016,0.236786,0.674318
0.018024,0.197524,1109,2054,1660,2127,3387,2244,1977,3152,2951,1142,3432,2936,1550,2920,,0.371355,0.304389,0.514545,0.477679,0.936986,0.647130,0.175899,0.861640,0.847660,0.125893,0.846626,0.898361,0.238901,0.673601
0.018038,0.215562,1110,2054,1658,2128,3388,2244,1978,3150,2952,1142,3432,2936,1548,2921,,0.372213,0.304389,0.512727,0.478795,0.937671,0.647130,0.176871,0.860176,0.848749,0.125893,0.846626,0.898361,0.236786,0.674318
0.017993,0.233555,1112,2055,1657,2128,3388,2245,1979,3151,2952,1142,3433,2936,1549,2921,,0.373928,0.305344,0.511818,0.478795,0.937671,0.647734,0.177843,0.860908,0.848749,0.125893,0.847648,0.898361,0.237844,0.674318
