GloveManager recording started on 10/20/16 at 16:34:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017144,0.017144,1141,1981,1435,2199,3328,2212,2064,3112,2942,1161,3415,2943,1585,2981,,0.398799,0.234733,0.310000,0.558036,0.896575,0.627795,0.260447,0.832357,0.837867,0.142857,0.829243,0.902951,0.275899,0.717360
0.018002,0.035145,1141,1980,1436,2199,3328,2213,2065,3111,2941,1161,3414,2943,1585,2981,,0.398799,0.233779,0.310909,0.558036,0.896575,0.628399,0.261419,0.831625,0.836779,0.142857,0.828221,0.902951,0.275899,0.717360
0.018005,0.053150,1141,1980,1435,2199,3328,2213,2064,3111,2941,1161,3414,2943,1585,2981,,0.398799,0.233779,0.310000,0.558036,0.896575,0.628399,0.260447,0.831625,0.836779,0.142857,0.828221,0.902951,0.275899,0.717360
0.017970,0.071120,1141,1981,1437,2200,3329,2213,2064,3112,2942,1161,3414,2944,1585,2981,,0.398799,0.234733,0.311818,0.559152,0.897260,0.628399,0.260447,0.832357,0.837867,0.142857,0.828221,0.903607,0.275899,0.717360
0.018026,0.089147,1141,1981,1436,2200,3329,2212,2064,3111,2942,1161,3415,2944,1585,2981,,0.398799,0.234733,0.310909,0.559152,0.897260,0.627795,0.260447,0.831625,0.837867,0.142857,0.829243,0.903607,0.275899,0.717360
0.018024,0.107171,1141,1981,1436,2200,3329,2214,2064,3111,2942,1162,3415,2943,1585,2981,,0.398799,0.234733,0.310909,0.559152,0.897260,0.629003,0.260447,0.831625,0.837867,0.143750,0.829243,0.902951,0.275899,0.717360
0.018001,0.125172,1141,1980,1435,2199,3329,2213,2063,3112,2942,1161,3414,2944,1585,2981,,0.398799,0.233779,0.310000,0.558036,0.897260,0.628399,0.259475,0.832357,0.837867,0.142857,0.828221,0.903607,0.275899,0.717360
0.017978,0.143151,1140,1980,1437,2199,3329,2213,2064,3111,2942,1162,3414,2943,1585,2982,,0.397942,0.233779,0.311818,0.558036,0.897260,0.628399,0.260447,0.831625,0.837867,0.143750,0.828221,0.902951,0.275899,0.718077
0.017996,0.161147,1141,1981,1437,2199,3328,2213,2064,3112,2941,1161,3415,2944,1586,2981,,0.398799,0.234733,0.311818,0.558036,0.896575,0.628399,0.260447,0.832357,0.836779,0.142857,0.829243,0.903607,0.276956,0.717360
0.018005,0.179152,1140,1980,1437,2200,3329,2213,2064,3112,2942,1162,3416,2944,1586,2981,,0.397942,0.233779,0.311818,0.559152,0.897260,0.628399,0.260447,0.832357,0.837867,0.143750,0.830266,0.903607,0.276956,0.717360
0.018011,0.197163,1140,1980,1436,2199,3330,2214,2065,3112,2943,1162,3415,2944,1586,2980,,0.397942,0.233779,0.310909,0.558036,0.897945,0.629003,0.261419,0.832357,0.838955,0.143750,0.829243,0.903607,0.276956,0.716643
0.018014,0.215176,1139,1979,1437,2199,3330,2213,2064,3111,2942,1160,3415,2943,1587,2979,,0.397084,0.232824,0.311818,0.558036,0.897945,0.628399,0.260447,0.831625,0.837867,0.141964,0.829243,0.902951,0.278013,0.715925
