GloveManager recording started on 10/20/16 at 16:34:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017234,0.017234,1178,2006,1491,2222,3332,2207,2006,3136,2964,1158,3417,2895,1583,2902,,0.430532,0.258588,0.360909,0.583705,0.899315,0.624773,0.204082,0.849927,0.861806,0.140179,0.831288,0.871475,0.273784,0.660689
0.018003,0.035237,1178,2006,1492,2222,3332,2208,2006,3136,2964,1158,3417,2895,1584,2902,,0.430532,0.258588,0.361818,0.583705,0.899315,0.625378,0.204082,0.849927,0.861806,0.140179,0.831288,0.871475,0.274841,0.660689
0.018027,0.053263,1178,2006,1494,2222,3334,2208,2005,3137,2964,1158,3416,2895,1585,2903,,0.430532,0.258588,0.363636,0.583705,0.900685,0.625378,0.203110,0.850659,0.861806,0.140179,0.830266,0.871475,0.275899,0.661406
0.017999,0.071262,1178,2007,1497,2221,3337,2209,2006,3138,2964,1159,3418,2895,1588,2903,,0.430532,0.259542,0.366364,0.582589,0.902740,0.625982,0.204082,0.851391,0.861806,0.141071,0.832311,0.871475,0.279070,0.661406
0.017999,0.089261,1178,2007,1501,2222,3340,2210,2006,3140,2964,1159,3419,2894,1590,2902,,0.430532,0.259542,0.370000,0.583705,0.904795,0.626586,0.204082,0.852855,0.861806,0.141071,0.833333,0.870820,0.281184,0.660689
0.017993,0.107254,1178,2008,1505,2221,3342,2211,2006,3144,2964,1160,3420,2894,1591,2902,,0.430532,0.260496,0.373636,0.582589,0.906164,0.627190,0.204082,0.855783,0.861806,0.141964,0.834356,0.870820,0.282241,0.660689
0.018006,0.125260,1178,2008,1505,2221,3342,2211,2006,3144,2964,1160,3420,2894,1591,2902,,0.430532,0.260496,0.373636,0.582589,0.906164,0.627190,0.204082,0.855783,0.861806,0.141964,0.834356,0.870820,0.282241,0.660689
0.018006,0.143267,1183,2012,1521,2222,3352,2213,2006,3158,2964,1161,3423,2891,1595,2902,,0.434820,0.264313,0.388182,0.583705,0.913014,0.628399,0.204082,0.866032,0.861806,0.142857,0.837423,0.868852,0.286469,0.660689
0.018003,0.161270,1183,2013,1529,2220,3358,2215,2005,3166,2964,1162,3425,2891,1595,2899,,0.434820,0.265267,0.395455,0.581473,0.917123,0.629607,0.203110,0.871889,0.861806,0.143750,0.839468,0.868852,0.286469,0.658537
0.018003,0.179273,1180,2011,1543,2218,3364,2218,2002,3177,2964,1161,3426,2889,1593,2896,,0.432247,0.263359,0.408182,0.579241,0.921233,0.631420,0.200194,0.879941,0.861806,0.142857,0.840491,0.867541,0.284355,0.656385
0.017994,0.197267,1177,2011,1548,2218,3367,2219,2000,3181,2964,1162,3426,2890,1593,2893,,0.429674,0.263359,0.412727,0.579241,0.923288,0.632024,0.198251,0.882870,0.861806,0.143750,0.840491,0.868197,0.284355,0.654232
0.018016,0.215283,1175,2010,1554,2218,3368,2220,2000,3182,2964,1163,3427,2891,1594,2892,,0.427959,0.262405,0.418182,0.579241,0.923973,0.632628,0.198251,0.883602,0.861806,0.144643,0.841513,0.868852,0.285412,0.653515
0.017962,0.233245,1173,2008,1559,2217,3368,2221,1999,3183,2964,1163,3426,2892,1594,2892,,0.426244,0.260496,0.422727,0.578125,0.923973,0.633233,0.197279,0.884334,0.861806,0.144643,0.840491,0.869508,0.285412,0.653515
0.018032,0.251277,1172,2007,1563,2217,3369,2222,1999,3185,2964,1163,3426,2892,1595,2891,,0.425386,0.259542,0.426364,0.578125,0.924658,0.633837,0.197279,0.885798,0.861806,0.144643,0.840491,0.869508,0.286469,0.652798
0.018000,0.269277,1167,2004,1568,2216,3370,2223,1997,3186,2964,1163,3426,2893,1594,2891,,0.421098,0.256679,0.430909,0.577009,0.925342,0.634441,0.195335,0.886530,0.861806,0.144643,0.840491,0.870164,0.285412,0.652798
0.017997,0.287274,1167,2004,1568,2216,3370,2223,1997,3186,2964,1163,3426,2893,1594,2891,,0.421098,0.256679,0.430909,0.577009,0.925342,0.634441,0.195335,0.886530,0.861806,0.144643,0.840491,0.870164,0.285412,0.652798
0.018001,0.305275,1167,2005,1570,2214,3369,2224,1997,3186,2964,1163,3426,2894,1594,2889,,0.421098,0.257634,0.432727,0.574777,0.924658,0.635045,0.195335,0.886530,0.861806,0.144643,0.840491,0.870820,0.285412,0.651363
0.018006,0.323281,1168,2006,1569,2214,3370,2224,1997,3186,2964,1164,3426,2894,1594,2891,,0.421955,0.258588,0.431818,0.574777,0.925342,0.635045,0.195335,0.886530,0.861806,0.145536,0.840491,0.870820,0.285412,0.652798
0.018002,0.341283,1168,2006,1569,2214,3369,2224,1996,3186,2964,1164,3425,2894,1593,2889,,0.421955,0.258588,0.431818,0.574777,0.924658,0.635045,0.194363,0.886530,0.861806,0.145536,0.839468,0.870820,0.284355,0.651363
0.017968,0.359252,1167,2006,1570,2213,3369,2224,1996,3185,2963,1164,3424,2895,1593,2889,,0.421098,0.258588,0.432727,0.573661,0.924658,0.635045,0.194363,0.885798,0.860718,0.145536,0.838446,0.871475,0.284355,0.651363
