GloveManager recording started on 10/20/16 at 16:36:10

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017515,0.017515,1018,1904,1413,2413,3396,2282,2529,3155,2910,1501,3462,2964,1662,3174,,0.293310,0.161260,0.290000,0.796875,0.943151,0.670091,0.712342,0.863836,0.803047,0.446429,0.877301,0.916721,0.357294,0.855811
0.017997,0.035513,1019,1904,1412,2414,3397,2283,2529,3156,2910,1501,3462,2964,1663,3175,,0.294168,0.161260,0.289091,0.797991,0.943836,0.670695,0.712342,0.864568,0.803047,0.446429,0.877301,0.916721,0.358351,0.856528
0.018036,0.053548,1018,1905,1413,2413,3397,2282,2528,3156,2910,1500,3462,2963,1661,3175,,0.293310,0.162214,0.290000,0.796875,0.943836,0.670091,0.711370,0.864568,0.803047,0.445536,0.877301,0.916066,0.356237,0.856528
0.017994,0.071543,1018,1905,1412,2412,3396,2282,2528,3156,2911,1500,3462,2964,1662,3175,,0.293310,0.162214,0.289091,0.795759,0.943151,0.670091,0.711370,0.864568,0.804135,0.445536,0.877301,0.916721,0.357294,0.856528
0.017994,0.089537,1018,1905,1413,2412,3396,2281,2529,3156,2911,1501,3462,2964,1662,3175,,0.293310,0.162214,0.290000,0.795759,0.943151,0.669486,0.712342,0.864568,0.804135,0.446429,0.877301,0.916721,0.357294,0.856528
0.018005,0.107542,1017,1906,1414,2411,3396,2282,2531,3157,2910,1502,3462,2964,1664,3177,,0.292453,0.163168,0.290909,0.794643,0.943151,0.670091,0.714286,0.865300,0.803047,0.447321,0.877301,0.916721,0.359408,0.857963
0.018009,0.125551,1017,1906,1414,2411,3396,2282,2531,3157,2910,1502,3462,2964,1664,3177,,0.292453,0.163168,0.290909,0.794643,0.943151,0.670091,0.714286,0.865300,0.803047,0.447321,0.877301,0.916721,0.359408,0.857963
0.018034,0.143585,1017,1906,1414,2412,3394,2282,2535,3157,2909,1505,3462,2965,1666,3180,,0.292453,0.163168,0.290909,0.795759,0.941781,0.670091,0.718173,0.865300,0.801959,0.450000,0.877301,0.917377,0.361522,0.860115
0.017960,0.161545,1017,1906,1414,2412,3394,2282,2535,3157,2909,1505,3462,2965,1666,3180,,0.292453,0.163168,0.290909,0.795759,0.941781,0.670091,0.718173,0.865300,0.801959,0.450000,0.877301,0.917377,0.361522,0.860115
