GloveManager recording started on 10/20/16 at 16:36:30

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017523,0.017523,1095,2008,1475,2127,3363,2250,1978,3117,2960,1116,3407,2940,1544,2883,,0.359348,0.260496,0.346364,0.477679,0.913664,0.650755,0.176871,0.836018,0.857454,0.102679,0.821063,0.900984,0.232558,0.647059
0.017996,0.035519,1098,2010,1478,2126,3370,2252,1986,3114,2957,1116,3408,2948,1542,2889,,0.361921,0.262405,0.349091,0.476563,0.918423,0.651964,0.184645,0.833821,0.854189,0.102679,0.822086,0.906229,0.230444,0.651363
0.018004,0.053524,1104,2015,1481,2126,3377,2255,1995,3112,2957,1117,3409,2955,1545,2896,,0.367067,0.267176,0.351818,0.476563,0.923182,0.653776,0.193392,0.832357,0.854189,0.103571,0.823108,0.910820,0.233615,0.656385
0.017998,0.071522,1118,2029,1491,2126,3393,2266,2010,3112,2955,1118,3412,2966,1545,2909,,0.379074,0.280534,0.360909,0.476563,0.934058,0.660423,0.207969,0.832357,0.852013,0.104464,0.826176,0.918033,0.233615,0.665710
0.018028,0.089550,1118,2029,1491,2126,3393,2266,2010,3112,2955,1118,3412,2966,1545,2909,,0.379074,0.280534,0.360909,0.476563,0.934058,0.660423,0.207969,0.832357,0.852013,0.104464,0.826176,0.918033,0.233615,0.665710
0.018000,0.107549,1127,2040,1498,2124,3406,2273,2015,3114,2955,1119,3415,2973,1547,2920,,0.386792,0.291031,0.367273,0.474330,0.942896,0.664653,0.212828,0.833821,0.852013,0.105357,0.829243,0.922623,0.235729,0.673601
0.018000,0.125549,1130,2044,1504,2122,3412,2277,2014,3114,2955,1119,3416,2974,1545,2922,,0.389365,0.294847,0.372727,0.472098,0.946975,0.667069,0.211856,0.833821,0.852013,0.105357,0.830266,0.923279,0.233615,0.675036
0.018018,0.143567,1131,2048,1509,2120,3417,2280,2013,3116,2955,1119,3418,2976,1546,2923,,0.390223,0.298664,0.377273,0.469866,0.950374,0.668882,0.210884,0.835285,0.852013,0.105357,0.832311,0.924590,0.234672,0.675753
0.018006,0.161573,1131,2048,1509,2120,3417,2280,2013,3116,2955,1119,3418,2976,1546,2923,,0.390223,0.298664,0.377273,0.469866,0.950374,0.668882,0.210884,0.835285,0.852013,0.105357,0.832311,0.924590,0.234672,0.675753
0.017954,0.179527,1128,2048,1525,2117,3427,2294,2012,3124,2954,1117,3420,2975,1542,2928,,0.387650,0.298664,0.391818,0.466518,0.957172,0.677341,0.209913,0.841142,0.850925,0.103571,0.834356,0.923934,0.230444,0.679340
0.018030,0.197557,1124,2046,1529,2116,3429,2299,2012,3128,2955,1116,3421,2975,1542,2927,,0.384220,0.296756,0.395455,0.465402,0.958532,0.680363,0.209913,0.844070,0.852013,0.102679,0.835378,0.923934,0.230444,0.678623
0.017995,0.215551,1124,2046,1529,2116,3429,2299,2012,3128,2955,1116,3421,2975,1542,2927,,0.384220,0.296756,0.395455,0.465402,0.958532,0.680363,0.209913,0.844070,0.852013,0.102679,0.835378,0.923934,0.230444,0.678623
0.018001,0.233552,1110,2037,1543,2114,3431,2307,2009,3135,2954,1114,3423,2973,1538,2924,,0.372213,0.288168,0.408182,0.463170,0.959891,0.685196,0.206997,0.849195,0.850925,0.100893,0.837423,0.922623,0.226216,0.676471
0.018008,0.251560,1104,2033,1550,2115,3431,2310,2008,3138,2955,1113,3422,2973,1537,2924,,0.367067,0.284351,0.414545,0.464286,0.959891,0.687009,0.206025,0.851391,0.852013,0.100000,0.836401,0.922623,0.225159,0.676471
0.017995,0.269555,1099,2031,1553,2115,3431,2313,2009,3140,2955,1113,3423,2971,1535,2925,,0.362779,0.282443,0.417273,0.464286,0.959891,0.688822,0.206997,0.852855,0.852013,0.100000,0.837423,0.921311,0.223044,0.677188
0.018004,0.287559,1097,2028,1554,2115,3430,2315,2009,3141,2955,1113,3423,2972,1535,2925,,0.361063,0.279580,0.418182,0.464286,0.959211,0.690030,0.206997,0.853587,0.852013,0.100000,0.837423,0.921967,0.223044,0.677188
0.017980,0.305538,1095,2026,1556,2116,3431,2318,2009,3144,2955,1113,3424,2971,1534,2925,,0.359348,0.277672,0.420000,0.465402,0.959891,0.691843,0.206997,0.855783,0.852013,0.100000,0.838446,0.921311,0.221987,0.677188
0.018021,0.323560,1093,2025,1558,2117,3431,2320,2009,3145,2956,1114,3425,2971,1533,2925,,0.357633,0.276718,0.421818,0.466518,0.959891,0.693051,0.206997,0.856515,0.853101,0.100893,0.839468,0.921311,0.220930,0.677188
0.018003,0.341563,1091,2025,1561,2118,3431,2323,2008,3147,2955,1114,3425,2970,1532,2924,,0.355918,0.276718,0.424545,0.467634,0.959891,0.694864,0.206025,0.857979,0.852013,0.100893,0.839468,0.920656,0.219873,0.676471
0.017983,0.359545,1090,2024,1561,2119,3433,2322,2008,3148,2956,1113,3424,2970,1531,2922,,0.355060,0.275763,0.424545,0.468750,0.961251,0.694260,0.206025,0.858712,0.853101,0.100000,0.838446,0.920656,0.218816,0.675036
0.018023,0.377568,1088,2021,1561,2118,3432,2320,2007,3147,2955,1112,3425,2969,1532,2921,,0.353345,0.272901,0.424545,0.467634,0.960571,0.693051,0.205053,0.857979,0.852013,0.099107,0.839468,0.920000,0.219873,0.674318
0.017999,0.395567,1087,2020,1561,2118,3431,2320,2007,3148,2955,1112,3424,2969,1531,2921,,0.352487,0.271947,0.424545,0.467634,0.959891,0.693051,0.205053,0.858712,0.852013,0.099107,0.838446,0.920000,0.218816,0.674318
0.017996,0.413563,1085,2018,1561,2119,3432,2318,2005,3147,2956,1112,3424,2968,1530,2920,,0.350772,0.270038,0.424545,0.468750,0.960571,0.691843,0.203110,0.857979,0.853101,0.099107,0.838446,0.919344,0.217759,0.673601
0.018014,0.431577,1085,2018,1561,2119,3432,2318,2005,3147,2956,1112,3424,2968,1530,2920,,0.350772,0.270038,0.424545,0.468750,0.960571,0.691843,0.203110,0.857979,0.853101,0.099107,0.838446,0.919344,0.217759,0.673601
0.018002,0.449579,1083,2018,1561,2118,3433,2317,2004,3147,2956,1111,3424,2967,1530,2920,,0.349057,0.270038,0.424545,0.467634,0.961251,0.691239,0.202138,0.857979,0.853101,0.098214,0.838446,0.918689,0.217759,0.673601
0.017996,0.467575,1083,2018,1561,2118,3433,2317,2004,3147,2956,1111,3424,2967,1530,2920,,0.349057,0.270038,0.424545,0.467634,0.961251,0.691239,0.202138,0.857979,0.853101,0.098214,0.838446,0.918689,0.217759,0.673601
0.017991,0.485566,1083,2017,1561,2118,3433,2316,2001,3146,2955,1112,3424,2968,1530,2918,,0.349057,0.269084,0.424545,0.467634,0.961251,0.690634,0.199223,0.857247,0.852013,0.099107,0.838446,0.919344,0.217759,0.672166
0.018006,0.503572,1082,2016,1562,2118,3433,2314,2001,3146,2956,1111,3423,2968,1529,2918,,0.348199,0.268130,0.425455,0.467634,0.961251,0.689426,0.199223,0.857247,0.853101,0.098214,0.837423,0.919344,0.216702,0.672166
0.017993,0.521565,1080,2015,1563,2118,3433,2314,2001,3146,2956,1112,3423,2968,1529,2917,,0.346484,0.267176,0.426364,0.467634,0.961251,0.689426,0.199223,0.857247,0.853101,0.099107,0.837423,0.919344,0.216702,0.671449
0.018005,0.539571,1080,2014,1562,2118,3432,2313,2000,3146,2956,1113,3422,2967,1529,2917,,0.346484,0.266221,0.425455,0.467634,0.960571,0.688822,0.198251,0.857247,0.853101,0.100000,0.836401,0.918689,0.216702,0.671449
0.018000,0.557571,1079,2014,1560,2118,3432,2312,2000,3145,2956,1112,3423,2966,1529,2917,,0.345626,0.266221,0.423636,0.467634,0.960571,0.688218,0.198251,0.856515,0.853101,0.099107,0.837423,0.918033,0.216702,0.671449
0.018020,0.575591,1079,2014,1560,2118,3432,2312,2000,3145,2956,1112,3423,2966,1529,2917,,0.345626,0.266221,0.423636,0.467634,0.960571,0.688218,0.198251,0.856515,0.853101,0.099107,0.837423,0.918033,0.216702,0.671449
0.017987,0.593577,1078,2013,1560,2118,3432,2311,2000,3144,2955,1111,3423,2966,1527,2916,,0.344768,0.265267,0.423636,0.467634,0.960571,0.687613,0.198251,0.855783,0.852013,0.098214,0.837423,0.918033,0.214588,0.670732
0.018001,0.611579,1077,2012,1560,2118,3431,2311,2000,3145,2956,1112,3423,2966,1529,2917,,0.343911,0.264313,0.423636,0.467634,0.959891,0.687613,0.198251,0.856515,0.853101,0.099107,0.837423,0.918033,0.216702,0.671449
0.017997,0.629576,1077,2011,1559,2118,3432,2311,1999,3144,2955,1111,3423,2965,1529,2917,,0.343911,0.263359,0.422727,0.467634,0.960571,0.687613,0.197279,0.855783,0.852013,0.098214,0.837423,0.917377,0.216702,0.671449
0.018000,0.647576,1076,2011,1560,2118,3431,2310,2000,3144,2954,1111,3423,2965,1530,2917,,0.343053,0.263359,0.423636,0.467634,0.959891,0.687009,0.198251,0.855783,0.850925,0.098214,0.837423,0.917377,0.217759,0.671449
0.018006,0.665583,1077,2010,1561,2118,3432,2310,2000,3144,2956,1112,3423,2965,1529,2916,,0.343911,0.262405,0.424545,0.467634,0.960571,0.687009,0.198251,0.855783,0.853101,0.099107,0.837423,0.917377,0.216702,0.670732
0.017995,0.683578,1076,2009,1560,2119,3431,2309,2000,3144,2956,1111,3423,2965,1530,2917,,0.343053,0.261450,0.423636,0.468750,0.959891,0.686405,0.198251,0.855783,0.853101,0.098214,0.837423,0.917377,0.217759,0.671449
0.018002,0.701580,1075,2009,1560,2119,3432,2310,2002,3144,2956,1110,3423,2964,1529,2918,,0.342196,0.261450,0.423636,0.468750,0.960571,0.687009,0.200194,0.855783,0.853101,0.097321,0.837423,0.916721,0.216702,0.672166
0.018016,0.719596,1076,2009,1560,2120,3432,2309,2002,3143,2956,1110,3423,2964,1530,2918,,0.343053,0.261450,0.423636,0.469866,0.960571,0.686405,0.200194,0.855051,0.853101,0.097321,0.837423,0.916721,0.217759,0.672166
0.017997,0.737593,1076,2010,1559,2120,3432,2309,2003,3144,2954,1111,3422,2963,1531,2919,,0.343053,0.262405,0.422727,0.469866,0.960571,0.686405,0.201166,0.855783,0.850925,0.098214,0.836401,0.916066,0.218816,0.672884
0.018021,0.755613,1075,2009,1559,2120,3432,2310,2002,3144,2955,1111,3423,2963,1529,2919,,0.342196,0.261450,0.422727,0.469866,0.960571,0.687009,0.200194,0.855783,0.852013,0.098214,0.837423,0.916066,0.216702,0.672884
0.017990,0.773603,1076,2009,1560,2121,3433,2309,2003,3143,2956,1111,3423,2964,1531,2920,,0.343053,0.261450,0.423636,0.470982,0.961251,0.686405,0.201166,0.855051,0.853101,0.098214,0.837423,0.916721,0.218816,0.673601
0.017950,0.791554,1077,2010,1559,2121,3433,2310,2003,3144,2955,1111,3423,2963,1530,2921,,0.343911,0.262405,0.422727,0.470982,0.961251,0.687009,0.201166,0.855783,0.852013,0.098214,0.837423,0.916066,0.217759,0.674318
0.018035,0.809589,1077,2011,1559,2122,3433,2310,2003,3144,2955,1110,3424,2964,1531,2923,,0.343911,0.263359,0.422727,0.472098,0.961251,0.687009,0.201166,0.855783,0.852013,0.097321,0.838446,0.916721,0.218816,0.675753
0.017993,0.827582,1077,2011,1558,2122,3433,2310,2004,3144,2955,1110,3423,2964,1541,2923,,0.343911,0.263359,0.421818,0.472098,0.961251,0.687009,0.202138,0.855783,0.852013,0.097321,0.837423,0.916721,0.229387,0.675753
0.018008,0.845590,1077,2010,1558,2122,3433,2310,2004,3145,2955,1111,3423,2963,1530,2924,,0.343911,0.262405,0.421818,0.472098,0.961251,0.687009,0.202138,0.856515,0.852013,0.098214,0.837423,0.916066,0.217759,0.676471
0.018001,0.863592,1078,2011,1557,2122,3434,2310,2004,3145,2955,1111,3424,2963,1530,2924,,0.344768,0.263359,0.420909,0.472098,0.961931,0.687009,0.202138,0.856515,0.852013,0.098214,0.838446,0.916066,0.217759,0.676471
0.017993,0.881585,1077,2011,1557,2122,3433,2309,2003,3145,2955,1110,3425,2963,1531,2925,,0.343911,0.263359,0.420909,0.472098,0.961251,0.686405,0.201166,0.856515,0.852013,0.097321,0.839468,0.916066,0.218816,0.677188
0.018010,0.899595,1079,2011,1556,2123,3434,2309,2004,3145,2955,1109,3425,2963,1533,2927,,0.345626,0.263359,0.420000,0.473214,0.961931,0.686405,0.202138,0.856515,0.852013,0.096429,0.839468,0.916066,0.220930,0.678623
0.017993,0.917588,1078,2011,1555,2123,3434,2309,2005,3146,2955,1109,3425,2962,1531,2928,,0.344768,0.263359,0.419091,0.473214,0.961931,0.686405,0.203110,0.857247,0.852013,0.096429,0.839468,0.915410,0.218816,0.679340
0.017999,0.935588,1079,2012,1556,2124,3434,2310,2005,3146,2955,1109,3425,2963,1532,2929,,0.345626,0.264313,0.420000,0.474330,0.961931,0.687009,0.203110,0.857247,0.852013,0.096429,0.839468,0.916066,0.219873,0.680057
0.018002,0.953589,1079,2012,1555,2123,3435,2310,2006,3146,2954,1108,3425,2962,1530,2929,,0.345626,0.264313,0.419091,0.473214,0.962610,0.687009,0.204082,0.857247,0.850925,0.095536,0.839468,0.915410,0.217759,0.680057
0.018008,0.971598,1079,2012,1555,2124,3435,2309,2006,3146,2955,1109,3426,2962,1532,2930,,0.345626,0.264313,0.419091,0.474330,0.962610,0.686405,0.204082,0.857247,0.852013,0.096429,0.840491,0.915410,0.219873,0.680775
0.017992,0.989590,1079,2013,1555,2124,3436,2310,2005,3146,2955,1108,3425,2962,1531,2930,,0.345626,0.265267,0.419091,0.474330,0.963290,0.687009,0.203110,0.857247,0.852013,0.095536,0.839468,0.915410,0.218816,0.680775
0.018003,1.007593,1079,2014,1556,2125,3436,2310,2005,3147,2954,1108,3426,2962,1530,2931,,0.345626,0.266221,0.420000,0.475446,0.963290,0.687009,0.203110,0.857979,0.850925,0.095536,0.840491,0.915410,0.217759,0.681492
0.018007,1.025600,1080,2015,1556,2125,3436,2309,2005,3147,2955,1108,3426,2962,1530,2931,,0.346484,0.267176,0.420000,0.475446,0.963290,0.686405,0.203110,0.857979,0.852013,0.095536,0.840491,0.915410,0.217759,0.681492
0.017997,1.043597,1080,2016,1556,2126,3437,2309,2005,3147,2955,1109,3427,2962,1530,2931,,0.346484,0.268130,0.420000,0.476563,0.963970,0.686405,0.203110,0.857979,0.852013,0.096429,0.841513,0.915410,0.217759,0.681492
0.017977,1.061574,1080,2015,1557,2125,3438,2311,2005,3148,2954,1107,3427,2961,1530,2931,,0.346484,0.267176,0.420909,0.475446,0.964650,0.687613,0.203110,0.858712,0.850925,0.094643,0.841513,0.914754,0.217759,0.681492
0.018023,1.079596,1080,2016,1558,2125,3438,2310,2005,3148,2954,1108,3427,2962,1530,2931,,0.346484,0.268130,0.421818,0.475446,0.964650,0.687009,0.203110,0.858712,0.850925,0.095536,0.841513,0.915410,0.217759,0.681492
0.017978,1.097574,1081,2016,1558,2126,3438,2310,2005,3149,2954,1107,3427,2960,1530,2933,,0.347341,0.268130,0.421818,0.476563,0.964650,0.687009,0.203110,0.859444,0.850925,0.094643,0.841513,0.914098,0.217759,0.682927
0.018030,1.115604,1081,2017,1558,2125,3438,2310,2004,3149,2954,1108,3428,2961,1530,2932,,0.347341,0.269084,0.421818,0.475446,0.964650,0.687009,0.202138,0.859444,0.850925,0.095536,0.842536,0.914754,0.217759,0.682209
0.017992,1.133596,1081,2018,1558,2126,3437,2311,2004,3149,2954,1107,3428,2960,1530,2933,,0.347341,0.270038,0.421818,0.476563,0.963970,0.687613,0.202138,0.859444,0.850925,0.094643,0.842536,0.914098,0.217759,0.682927
0.018001,1.151598,1082,2018,1558,2126,3436,2309,2004,3149,2954,1108,3427,2960,1529,2933,,0.348199,0.270038,0.421818,0.476563,0.963290,0.686405,0.202138,0.859444,0.850925,0.095536,0.841513,0.914098,0.216702,0.682927
0.018003,1.169601,1084,2021,1558,2126,3437,2309,2005,3149,2954,1109,3427,2960,1527,2934,,0.349914,0.272901,0.421818,0.476563,0.963970,0.686405,0.203110,0.859444,0.850925,0.096429,0.841513,0.914098,0.214588,0.683644
