GloveManager recording started on 10/20/16 at 16:36:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017535,0.017535,1069,1839,1298,2196,3080,2213,2004,2899,2996,1135,3252,2927,1554,2757,,0.337050,0.099237,0.185455,0.554688,0.721278,0.628399,0.202138,0.676428,0.896627,0.119643,0.662577,0.892459,0.243129,0.556671
0.018024,0.035559,1064,1844,1294,2180,3136,2218,1997,2912,2996,1129,3261,2933,1547,2754,,0.332762,0.104008,0.181818,0.536830,0.759347,0.631420,0.195335,0.685944,0.896627,0.114286,0.671779,0.896393,0.235729,0.554519
0.018020,0.053579,1064,1844,1294,2180,3136,2218,1997,2912,2996,1129,3261,2933,1547,2754,,0.332762,0.104008,0.181818,0.536830,0.759347,0.631420,0.195335,0.685944,0.896627,0.114286,0.671779,0.896393,0.235729,0.554519
0.017981,0.071560,1056,1847,1287,2161,3214,2225,1997,2925,2996,1122,3277,2942,1543,2759,,0.325901,0.106870,0.175455,0.515625,0.812373,0.635650,0.195335,0.695461,0.896627,0.108036,0.688139,0.902295,0.231501,0.558106
0.018002,0.089562,1049,1854,1288,2156,3248,2230,2002,2933,2995,1119,3287,2948,1541,2772,,0.319897,0.113550,0.176364,0.510045,0.835486,0.638671,0.200194,0.701318,0.895539,0.105357,0.698364,0.906229,0.229387,0.567432
0.018003,0.107565,1045,1867,1294,2153,3275,2237,2007,2942,2994,1120,3298,2951,1539,2789,,0.316467,0.125954,0.181818,0.506696,0.853841,0.642900,0.205053,0.707906,0.894450,0.106250,0.709611,0.908197,0.227273,0.579627
0.017999,0.125563,1045,1885,1307,2151,3299,2243,2009,2953,2992,1125,3310,2954,1538,2812,,0.316467,0.143130,0.193636,0.504464,0.870156,0.646526,0.206997,0.715959,0.892274,0.110714,0.721881,0.910164,0.226216,0.596126
0.018006,0.143569,1069,1913,1353,2150,3336,2248,2015,2977,2988,1128,3333,2959,1540,2847,,0.337050,0.169847,0.235455,0.503348,0.895309,0.649547,0.212828,0.733529,0.887922,0.113393,0.745399,0.913443,0.228330,0.621234
0.018004,0.161573,1069,1913,1353,2150,3336,2248,2015,2977,2988,1128,3333,2959,1540,2847,,0.337050,0.169847,0.235455,0.503348,0.895309,0.649547,0.212828,0.733529,0.886833,0.116071,0.756646,0.914754,0.228330,0.632712
0.017995,0.179568,1102,1950,1425,2146,3373,2260,2008,3004,2987,1137,3352,2963,1541,2877,,0.365352,0.205153,0.300909,0.498884,0.920462,0.656798,0.206025,0.753294,0.886833,0.121429,0.764826,0.916066,0.229387,0.642755
0.018000,0.197568,1120,1972,1451,2152,3386,2265,2007,3016,2988,1140,3360,2965,1543,2887,,0.380789,0.226145,0.324545,0.505580,0.929300,0.659819,0.205053,0.762079,0.887922,0.124107,0.773006,0.917377,0.231501,0.649928
0.017996,0.215564,1132,1985,1470,2156,3396,2269,2006,3025,2988,1141,3364,2967,1547,2893,,0.391081,0.238550,0.341818,0.510045,0.936098,0.662236,0.204082,0.768668,0.887922,0.125000,0.777096,0.918689,0.235729,0.654232
