GloveManager recording started on 10/20/16 at 16:38:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017236,0.017236,1193,2147,1714,2182,3386,2370,2035,2210,3014,1192,2919,2859,1532,2359,,0.443396,0.393130,0.563636,0.539063,0.929300,0.723263,0.232264,0.172035,0.916213,0.170536,0.322086,0.847869,0.219873,0.271162
0.017996,0.035232,1193,2148,1714,2182,3386,2371,2036,2211,3014,1193,2919,2859,1533,2360,,0.443396,0.394084,0.563636,0.539063,0.929300,0.723867,0.233236,0.172767,0.916213,0.171429,0.322086,0.847869,0.220930,0.271879
0.017998,0.053230,1192,2148,1714,2183,3386,2370,2035,2210,3014,1193,2919,2859,1532,2359,,0.442539,0.394084,0.563636,0.540179,0.929300,0.723263,0.232264,0.172035,0.916213,0.171429,0.322086,0.847869,0.219873,0.271162
0.018003,0.071233,1193,2148,1714,2183,3386,2371,2036,2211,3015,1193,2919,2859,1533,2360,,0.443396,0.394084,0.563636,0.540179,0.929300,0.723867,0.233236,0.172767,0.917301,0.171429,0.322086,0.847869,0.220930,0.271879
0.017955,0.089187,1194,2149,1714,2183,3386,2370,2035,2211,3013,1193,2919,2860,1532,2359,,0.444254,0.395038,0.563636,0.540179,0.929300,0.723263,0.232264,0.172767,0.915125,0.171429,0.322086,0.848525,0.219873,0.271162
0.018045,0.107232,1194,2149,1714,2184,3386,2371,2036,2210,3015,1193,2919,2860,1533,2359,,0.444254,0.395038,0.563636,0.541295,0.929300,0.723867,0.233236,0.172035,0.917301,0.171429,0.322086,0.848525,0.220930,0.271162
0.018020,0.125252,1194,2150,1715,2184,3386,2370,2035,2210,3014,1192,2919,2860,1533,2359,,0.444254,0.395992,0.564545,0.541295,0.929300,0.723263,0.232264,0.172035,0.916213,0.170536,0.322086,0.848525,0.220930,0.271162
0.017936,0.143188,1195,2150,1715,2184,3386,2370,2036,2210,3014,1193,2918,2859,1533,2359,,0.445111,0.395992,0.564545,0.541295,0.929300,0.723263,0.233236,0.172035,0.916213,0.171429,0.321063,0.847869,0.220930,0.271162
0.018051,0.161239,1195,2150,1716,2184,3387,2370,2036,2210,3014,1193,2918,2859,1533,2360,,0.445111,0.395992,0.565455,0.541295,0.929980,0.723263,0.233236,0.172035,0.916213,0.171429,0.321063,0.847869,0.220930,0.271879
0.018013,0.179253,1195,2151,1717,2184,3387,2371,2035,2210,3015,1193,2919,2859,1533,2360,,0.445111,0.396947,0.566364,0.541295,0.929980,0.723867,0.232264,0.172035,0.917301,0.171429,0.322086,0.847869,0.220930,0.271879
0.017984,0.197236,1196,2151,1717,2184,3386,2371,2036,2210,3015,1194,2919,2859,1533,2360,,0.445969,0.396947,0.566364,0.541295,0.929300,0.723867,0.233236,0.172035,0.917301,0.172321,0.322086,0.847869,0.220930,0.271879
0.017955,0.215191,1196,2153,1717,2185,3387,2371,2035,2210,3014,1193,2918,2859,1533,2360,,0.445969,0.398855,0.566364,0.542411,0.929980,0.723867,0.232264,0.172035,0.916213,0.171429,0.321063,0.847869,0.220930,0.271879
0.018052,0.233243,1197,2152,1717,2185,3387,2371,2036,2210,3015,1193,2919,2859,1532,2359,,0.446827,0.397901,0.566364,0.542411,0.929980,0.723867,0.233236,0.172035,0.917301,0.171429,0.322086,0.847869,0.219873,0.271162
0.018002,0.251246,1197,2154,1719,2187,3388,2371,2036,2211,3015,1194,2918,2860,1534,2360,,0.446827,0.399809,0.568182,0.544643,0.930659,0.723867,0.233236,0.172767,0.917301,0.172321,0.321063,0.848525,0.221987,0.271879
0.017994,0.269240,1199,2154,1719,2186,3388,2372,2037,2210,3015,1194,2919,2859,1533,2359,,0.448542,0.399809,0.568182,0.543527,0.930659,0.724471,0.234208,0.172035,0.917301,0.172321,0.322086,0.847869,0.220930,0.271162
0.018002,0.287242,1199,2155,1719,2187,3387,2371,2036,2211,3014,1194,2919,2860,1534,2360,,0.448542,0.400763,0.568182,0.544643,0.929980,0.723867,0.233236,0.172767,0.916213,0.172321,0.322086,0.848525,0.221987,0.271879
0.018018,0.305260,1199,2155,1719,2186,3388,2371,2036,2210,3014,1194,2919,2860,1533,2360,,0.448542,0.400763,0.568182,0.543527,0.930659,0.723867,0.233236,0.172035,0.916213,0.172321,0.322086,0.848525,0.220930,0.271879
0.017988,0.323248,1199,2156,1719,2188,3388,2372,2037,2211,3015,1194,2918,2859,1534,2360,,0.448542,0.401718,0.568182,0.545759,0.930659,0.724471,0.234208,0.172767,0.917301,0.172321,0.321063,0.847869,0.221987,0.271879
0.017978,0.341226,1199,2156,1721,2187,3388,2372,2037,2211,3015,1194,2919,2860,1532,2359,,0.448542,0.401718,0.570000,0.544643,0.930659,0.724471,0.234208,0.172767,0.917301,0.172321,0.322086,0.848525,0.219873,0.271162
0.018002,0.359228,1199,2156,1721,2187,3388,2372,2037,2211,3015,1194,2919,2860,1532,2359,,0.448542,0.401718,0.570000,0.544643,0.930659,0.724471,0.234208,0.172767,0.917301,0.172321,0.322086,0.848525,0.219873,0.271162
0.018022,0.377250,1200,2155,1720,2187,3388,2371,2037,2210,3015,1194,2919,2859,1533,2360,,0.449400,0.400763,0.569091,0.544643,0.930659,0.723867,0.234208,0.172035,0.917301,0.172321,0.322086,0.847869,0.220930,0.271879
0.018009,0.395258,1199,2156,1720,2187,3388,2371,2037,2210,3014,1194,2919,2859,1533,2360,,0.448542,0.401718,0.569091,0.544643,0.930659,0.723867,0.234208,0.172035,0.916213,0.172321,0.322086,0.847869,0.220930,0.271879
0.017995,0.413253,1199,2155,1720,2188,3388,2371,2037,2210,3015,1194,2919,2860,1533,2360,,0.448542,0.400763,0.569091,0.545759,0.930659,0.723867,0.234208,0.172035,0.917301,0.172321,0.322086,0.848525,0.220930,0.271879
0.017972,0.431226,1199,2156,1721,2187,3387,2372,2037,2210,3015,1194,2919,2859,1533,2360,,0.448542,0.401718,0.570000,0.544643,0.929980,0.724471,0.234208,0.172035,0.917301,0.172321,0.322086,0.847869,0.220930,0.271879
0.018030,0.449256,1200,2156,1720,2187,3387,2372,2037,2210,3014,1193,2918,2860,1533,2360,,0.449400,0.401718,0.569091,0.544643,0.929980,0.724471,0.234208,0.172035,0.916213,0.171429,0.321063,0.848525,0.220930,0.271879
0.017973,0.467229,1199,2156,1721,2188,3387,2371,2037,2210,3014,1194,2918,2859,1532,2360,,0.448542,0.401718,0.570000,0.545759,0.929980,0.723867,0.234208,0.172035,0.916213,0.172321,0.321063,0.847869,0.219873,0.271879
