GloveManager recording started on 10/20/16 at 16:38:18

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017513,0.017513,1062,1856,1378,2216,3343,2402,2038,2483,2997,1163,3015,2877,1531,2424,,0.331046,0.115458,0.258182,0.577009,0.900068,0.742598,0.235180,0.371889,0.897715,0.144643,0.420245,0.859672,0.218816,0.317791
0.018001,0.035514,1062,1859,1385,2217,3352,2405,2031,2453,3007,1170,3019,2872,1523,2438,,0.331046,0.118321,0.264545,0.578125,0.906186,0.744411,0.228377,0.349927,0.908596,0.150893,0.424335,0.856393,0.210359,0.327834
0.017997,0.053511,1061,1863,1390,2218,3357,2408,2028,2432,3014,1174,3032,2869,1510,2455,,0.330189,0.122137,0.269091,0.579241,0.909585,0.746224,0.225462,0.334553,0.916213,0.154464,0.437628,0.854426,0.196617,0.340029
0.018005,0.071516,1060,1866,1399,2217,3364,2405,2022,2399,3018,1180,3044,2868,1496,2469,,0.329331,0.125000,0.277273,0.578125,0.914344,0.744411,0.219631,0.310395,0.920566,0.159821,0.449898,0.853770,0.181818,0.350072
0.017976,0.089492,1058,1867,1402,2216,3365,2403,2019,2385,3019,1183,3044,2868,1493,2467,,0.327616,0.125954,0.280000,0.577009,0.915024,0.743202,0.216715,0.300146,0.921654,0.162500,0.449898,0.853770,0.178647,0.348637
0.018038,0.107530,1056,1867,1407,2216,3368,2400,2018,2373,3019,1186,3044,2869,1491,2460,,0.325901,0.125954,0.284545,0.577009,0.917063,0.741390,0.215743,0.291362,0.921654,0.165179,0.449898,0.854426,0.176533,0.343616
0.017987,0.125517,1054,1867,1413,2216,3369,2395,2015,2361,3019,1188,3041,2870,1490,2454,,0.324185,0.125954,0.290000,0.577009,0.917743,0.738369,0.212828,0.282577,0.921654,0.166964,0.446830,0.855082,0.175476,0.339311
0.018003,0.143519,1052,1866,1418,2215,3369,2388,2013,2352,3019,1188,3038,2870,1485,2448,,0.322470,0.125000,0.294545,0.575893,0.917743,0.734139,0.210884,0.275988,0.921654,0.166964,0.443763,0.855082,0.170190,0.335007
0.018005,0.161525,1050,1867,1426,2218,3369,2383,2013,2346,3019,1190,3036,2872,1485,2443,,0.320755,0.125954,0.301818,0.579241,0.917743,0.731118,0.210884,0.271596,0.921654,0.168750,0.441718,0.856393,0.170190,0.331420
0.018006,0.179530,1047,1867,1435,2219,3368,2378,2012,2340,3019,1191,3034,2873,1483,2439,,0.318182,0.125954,0.310000,0.580357,0.917063,0.728097,0.209913,0.267204,0.921654,0.169643,0.439673,0.857049,0.168076,0.328551
0.017984,0.197514,1044,1867,1437,2221,3367,2374,2015,2337,3018,1191,3033,2874,1486,2438,,0.315609,0.125954,0.311818,0.582589,0.916383,0.725680,0.212828,0.265007,0.920566,0.169643,0.438650,0.857705,0.171247,0.327834
0.018001,0.215516,1037,1865,1438,2224,3367,2365,2018,2331,3018,1190,3031,2876,1484,2440,,0.309605,0.124046,0.312727,0.585938,0.916383,0.720242,0.215743,0.260615,0.920566,0.168750,0.436605,0.859016,0.169133,0.329268
0.018001,0.233517,1034,1863,1438,2226,3365,2360,2019,2328,3018,1191,3030,2876,1485,2440,,0.307033,0.122137,0.312727,0.588170,0.915024,0.717221,0.216715,0.258419,0.920566,0.169643,0.435583,0.859016,0.170190,0.329268
0.018009,0.251526,1030,1863,1436,2227,3365,2357,2020,2325,3018,1190,3031,2875,1483,2441,,0.303602,0.122137,0.310909,0.589286,0.915024,0.715408,0.217687,0.256223,0.920566,0.168750,0.436605,0.858361,0.168076,0.329986
0.017980,0.269506,1027,1860,1434,2228,3365,2353,2021,2322,3018,1190,3030,2876,1484,2442,,0.301029,0.119275,0.309091,0.590402,0.915024,0.712991,0.218659,0.254026,0.920566,0.168750,0.435583,0.859016,0.169133,0.330703
0.018013,0.287519,1020,1861,1437,2233,3365,2348,2026,2319,3017,1190,3028,2877,1486,2444,,0.295026,0.120229,0.311818,0.595982,0.915024,0.709970,0.223518,0.251830,0.919478,0.168750,0.433538,0.859672,0.171247,0.332138
0.018002,0.305521,1020,1861,1437,2233,3365,2348,2026,2319,3017,1190,3028,2877,1486,2444,,0.295026,0.120229,0.311818,0.595982,0.915024,0.709970,0.223518,0.251830,0.919478,0.168750,0.433538,0.859672,0.171247,0.332138
0.018001,0.323522,1016,1860,1442,2234,3365,2351,2027,2315,3019,1191,3029,2877,1487,2445,,0.291595,0.119275,0.316364,0.597098,0.915024,0.711782,0.224490,0.248902,0.921654,0.169643,0.434560,0.859672,0.172304,0.332855
0.017982,0.341504,1009,1861,1444,2233,3364,2353,2028,2313,3019,1190,3029,2876,1487,2445,,0.285592,0.120229,0.318182,0.595982,0.914344,0.712991,0.225462,0.247438,0.921654,0.168750,0.434560,0.859016,0.172304,0.332855
0.017984,0.359489,1004,1864,1444,2231,3361,2354,2026,2312,3018,1188,3028,2876,1486,2445,,0.281304,0.123092,0.318182,0.593750,0.912305,0.713595,0.223518,0.246706,0.920566,0.166964,0.433538,0.859016,0.171247,0.332855
0.018036,0.377525,1000,1869,1446,2228,3360,2356,2025,2311,3019,1188,3028,2877,1486,2445,,0.277873,0.127863,0.320000,0.590402,0.911625,0.714804,0.222546,0.245974,0.921654,0.166964,0.433538,0.859672,0.171247,0.332855
0.018009,0.395534,998,1873,1449,2228,3362,2357,2026,2310,3019,1188,3027,2877,1486,2446,,0.276158,0.131679,0.322727,0.590402,0.912984,0.715408,0.223518,0.245242,0.921654,0.166964,0.432515,0.859672,0.171247,0.333572
0.017992,0.413526,998,1877,1450,2228,3364,2361,2028,2309,3018,1189,3027,2877,1489,2446,,0.276158,0.135496,0.323636,0.590402,0.914344,0.717825,0.225462,0.244510,0.920566,0.167857,0.432515,0.859672,0.174419,0.333572
0.017960,0.431486,998,1877,1450,2228,3364,2361,2028,2309,3018,1189,3027,2877,1489,2446,,0.276158,0.135496,0.323636,0.590402,0.914344,0.717825,0.225462,0.244510,0.920566,0.167857,0.432515,0.859672,0.174419,0.333572
0.018041,0.449527,997,1891,1478,2241,3369,2365,2041,2306,3018,1192,3027,2877,1495,2443,,0.275300,0.148855,0.349091,0.604911,0.917743,0.720242,0.238095,0.242313,0.920566,0.170536,0.432515,0.859672,0.180761,0.331420
