GloveManager recording started on 10/20/16 at 16:38:43

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018070,0.018070,1137,2102,1628,2197,3401,2377,1984,2284,3003,1173,2988,2873,1486,2444,,0.395369,0.350191,0.485455,0.555804,0.939497,0.727492,0.182702,0.226208,0.904244,0.153571,0.392638,0.857049,0.171247,0.332138
0.018002,0.036072,1142,2106,1630,2199,3401,2376,1985,2282,3001,1173,2988,2874,1487,2444,,0.399657,0.354008,0.487273,0.558036,0.939497,0.726888,0.183673,0.224744,0.902067,0.153571,0.392638,0.857705,0.172304,0.332138
0.018001,0.054073,1148,2113,1632,2203,3402,2376,1986,2281,3002,1173,2987,2874,1486,2445,,0.404803,0.360687,0.489091,0.562500,0.940177,0.726888,0.184645,0.224012,0.903156,0.153571,0.391616,0.857705,0.171247,0.332855
0.018000,0.072074,1158,2121,1634,2209,3403,2377,1988,2280,3002,1173,2988,2874,1487,2444,,0.413379,0.368321,0.490909,0.569196,0.940857,0.727492,0.186589,0.223280,0.903156,0.153571,0.392638,0.857705,0.172304,0.332138
0.017997,0.090071,1158,2121,1634,2209,3403,2377,1988,2280,3002,1173,2988,2874,1487,2444,,0.413379,0.368321,0.490909,0.569196,0.940857,0.727492,0.186589,0.223280,0.903156,0.153571,0.392638,0.857705,0.172304,0.332138
0.017981,0.108052,1162,2125,1634,2211,3403,2376,1989,2278,3002,1174,2988,2874,1486,2445,,0.416810,0.372137,0.490909,0.571429,0.940857,0.726888,0.187561,0.221816,0.903156,0.154464,0.392638,0.857705,0.171247,0.332855
0.018025,0.126076,1163,2125,1633,2213,3402,2377,1991,2276,3002,1173,2987,2873,1485,2444,,0.417667,0.372137,0.490000,0.573661,0.940177,0.727492,0.189504,0.220351,0.903156,0.153571,0.391616,0.857049,0.170190,0.332138
0.017999,0.144075,1165,2126,1632,2215,3403,2376,1992,2276,3003,1173,2988,2873,1485,2443,,0.419383,0.373092,0.489091,0.575893,0.940857,0.726888,0.190476,0.220351,0.904244,0.153571,0.392638,0.857049,0.170190,0.331420
0.018002,0.162077,1166,2128,1633,2217,3403,2377,1994,2275,3003,1174,2988,2873,1487,2443,,0.420240,0.375000,0.490000,0.578125,0.940857,0.727492,0.192420,0.219619,0.904244,0.154464,0.392638,0.857049,0.172304,0.331420
0.017979,0.180056,1169,2130,1634,2219,3403,2377,1995,2275,3003,1174,2987,2872,1487,2443,,0.422813,0.376908,0.490909,0.580357,0.940857,0.727492,0.193392,0.219619,0.904244,0.154464,0.391616,0.856393,0.172304,0.331420
0.018001,0.198057,1174,2133,1634,2222,3403,2377,1996,2273,3004,1174,2988,2873,1487,2442,,0.427101,0.379771,0.490909,0.583705,0.940857,0.727492,0.194363,0.218155,0.905332,0.154464,0.392638,0.857049,0.172304,0.330703
0.018020,0.216077,1178,2136,1634,2225,3403,2377,1997,2273,3004,1174,2987,2872,1487,2440,,0.430532,0.382634,0.490909,0.587054,0.940857,0.727492,0.195335,0.218155,0.905332,0.154464,0.391616,0.856393,0.172304,0.329268
0.018001,0.234078,1177,2136,1633,2225,3403,2378,1997,2272,3003,1174,2987,2871,1487,2442,,0.429674,0.382634,0.490000,0.587054,0.940857,0.728097,0.195335,0.217423,0.904244,0.154464,0.391616,0.855738,0.172304,0.330703
0.018001,0.252079,1177,2135,1632,2226,3403,2378,1998,2271,3002,1175,2988,2872,1487,2442,,0.429674,0.381679,0.489091,0.588170,0.940857,0.728097,0.196307,0.216691,0.903156,0.155357,0.392638,0.856393,0.172304,0.330703
