GloveManager recording started on 10/20/16 at 16:40:42

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017173,0.017173,1018,1956,1394,2134,3353,2548,1965,2280,3033,1168,2962,2883,1595,2484,,0.293310,0.210878,0.272727,0.485491,0.906866,0.830816,0.164237,0.223280,0.936888,0.149107,0.366053,0.863607,0.286469,0.344993
0.017961,0.035134,1020,1959,1394,2138,3355,2549,1965,2279,3033,1169,2962,2883,1595,2483,,0.295026,0.213740,0.272727,0.489955,0.908226,0.831420,0.164237,0.222548,0.936888,0.150000,0.366053,0.863607,0.286469,0.344307
0.018024,0.053158,1022,1964,1397,2139,3357,2550,1967,2279,3033,1169,2962,2883,1596,2483,,0.296741,0.218511,0.275455,0.491071,0.909585,0.832024,0.166181,0.222548,0.936888,0.150000,0.366053,0.863607,0.287526,0.344307
0.017989,0.071147,1023,1970,1405,2137,3359,2551,1966,2278,3033,1170,2962,2883,1596,2483,,0.297599,0.224237,0.282727,0.488839,0.910945,0.832628,0.165209,0.221816,0.936888,0.150893,0.366053,0.863607,0.287526,0.344307
0.018023,0.089170,1027,1978,1412,2139,3361,2554,1967,2277,3033,1169,2961,2883,1595,2483,,0.301029,0.231870,0.289091,0.491071,0.912305,0.834441,0.166181,0.221083,0.936888,0.150000,0.365031,0.863607,0.286469,0.344307
0.017998,0.107168,1032,1996,1440,2141,3367,2560,1968,2277,3033,1170,2962,2882,1596,2485,,0.305317,0.249046,0.314545,0.493304,0.916383,0.838066,0.167153,0.221083,0.936888,0.150893,0.366053,0.862951,0.287526,0.345679
0.018002,0.125170,1032,1996,1440,2141,3367,2560,1968,2277,3033,1170,2962,2882,1596,2485,,0.305317,0.249046,0.314545,0.493304,0.916383,0.838066,0.167153,0.221083,0.936888,0.150893,0.366053,0.862951,0.287526,0.345679
0.017956,0.143126,1041,2015,1492,2144,3376,2568,1970,2276,3032,1170,2962,2883,1597,2489,,0.313036,0.267176,0.361818,0.496652,0.922502,0.842900,0.169096,0.220351,0.935800,0.150893,0.366053,0.863607,0.288584,0.348422
0.018049,0.161175,1041,2015,1492,2144,3376,2568,1970,2276,3032,1170,2962,2883,1597,2489,,0.313036,0.267176,0.361818,0.496652,0.922502,0.842900,0.169096,0.220351,0.935800,0.150893,0.366053,0.863607,0.288584,0.348422
