GloveManager recording started on 10/20/16 at 16:41:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017582,0.017582,1112,1821,1265,2323,2559,2325,2705,3125,2830,1904,3336,3033,1907,2993,,0.373928,0.082061,0.155455,0.696429,0.367097,0.696073,0.883382,0.841874,0.715996,0.806250,0.748466,0.936782,0.616279,0.694102
0.018005,0.035587,1111,1821,1265,2323,2559,2327,2705,3126,2830,1903,3336,3034,1906,2994,,0.373070,0.082061,0.155455,0.696429,0.367097,0.697281,0.883382,0.842606,0.715996,0.805357,0.748466,0.937420,0.615222,0.694787
0.017997,0.053584,1113,1822,1265,2323,2560,2328,2703,3126,2831,1902,3337,3033,1904,2998,,0.374786,0.083015,0.155455,0.696429,0.367777,0.697885,0.881438,0.842606,0.717084,0.804464,0.749489,0.936782,0.613108,0.697531
0.018004,0.071588,1113,1822,1265,2323,2560,2328,2703,3126,2831,1902,3337,3033,1904,2998,,0.374786,0.083015,0.155455,0.696429,0.367777,0.697885,0.881438,0.842606,0.717084,0.804464,0.749489,0.936782,0.613108,0.697531
0.018035,0.089623,1114,1821,1265,2321,2560,2329,2702,3128,2832,1901,3337,3034,1902,3000,,0.375643,0.082061,0.155455,0.694196,0.367777,0.698489,0.880466,0.844070,0.718172,0.803571,0.749489,0.937420,0.610994,0.698903
0.017972,0.107595,1115,1821,1266,2320,2560,2330,2701,3129,2832,1901,3338,3034,1902,3002,,0.376501,0.082061,0.156364,0.693080,0.367777,0.699094,0.879495,0.844802,0.718172,0.803571,0.750511,0.937420,0.610994,0.700274
0.017997,0.125592,1115,1821,1265,2320,2559,2330,2701,3129,2832,1900,3338,3033,1901,3003,,0.376501,0.082061,0.155455,0.693080,0.367097,0.699094,0.879495,0.844802,0.718172,0.802679,0.750511,0.936782,0.609937,0.700960
0.018009,0.143601,1115,1821,1265,2320,2560,2331,2700,3129,2832,1900,3338,3034,1900,3003,,0.376501,0.082061,0.155455,0.693080,0.367777,0.699698,0.878523,0.844802,0.718172,0.802679,0.750511,0.937420,0.608880,0.700960
0.017993,0.161594,1116,1820,1264,2320,2559,2330,2699,3129,2832,1900,3338,3034,1899,3004,,0.377358,0.081107,0.154545,0.693080,0.367097,0.699094,0.877551,0.844802,0.718172,0.802679,0.750511,0.937420,0.607822,0.701646
