GloveManager recording started on 10/20/16 at 16:41:29

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017490,0.017489,1186,1868,1293,2360,2601,2333,2749,3153,2857,1948,3409,2990,1899,2928,,0.439108,0.126908,0.181818,0.737723,0.395649,0.702115,0.926142,0.861640,0.746464,0.845536,0.823108,0.909323,0.607822,0.649520
0.017955,0.035444,1188,1868,1294,2360,2601,2335,2749,3152,2858,1948,3409,2990,1899,2928,,0.439108,0.126908,0.181818,0.737723,0.395649,0.702115,0.926142,0.861640,0.745375,0.845536,0.823108,0.909962,0.607822,0.649520
0.017999,0.053443,1187,1868,1295,2361,2602,2339,2750,3151,2858,1948,3408,2991,1900,2928,,0.438250,0.126908,0.182727,0.738839,0.396329,0.704532,0.927114,0.860908,0.746464,0.845536,0.822086,0.909962,0.608880,0.649520
0.018001,0.071444,1187,1868,1295,2361,2602,2340,2749,3150,2857,1949,3407,2991,1901,2927,,0.438250,0.126908,0.182727,0.738839,0.396329,0.705136,0.926142,0.860176,0.745375,0.846429,0.821063,0.909962,0.609937,0.648834
0.018004,0.089448,1187,1868,1297,2361,2602,2342,2749,3149,2856,1949,3407,2991,1901,2926,,0.438250,0.126908,0.184545,0.738839,0.396329,0.706344,0.926142,0.859444,0.744287,0.846429,0.821063,0.909962,0.609937,0.648148
0.017980,0.107428,1187,1868,1297,2361,2602,2344,2748,3148,2855,1950,3406,2991,1902,2923,,0.438250,0.126908,0.184545,0.738839,0.396329,0.707553,0.925170,0.858712,0.743199,0.847321,0.820041,0.909962,0.610994,0.646091
0.018024,0.125451,1187,1869,1297,2363,2602,2344,2748,3145,2853,1955,3401,2992,1907,2914,,0.438250,0.127863,0.184545,0.741071,0.396329,0.707553,0.925170,0.856515,0.741023,0.851786,0.814928,0.910600,0.616279,0.639918
0.018050,0.143502,1188,1869,1297,2364,2602,2343,2748,3143,2851,1957,3399,2992,1908,2910,,0.439108,0.127863,0.184545,0.742188,0.396329,0.706949,0.925170,0.855051,0.738847,0.853571,0.812883,0.910600,0.617336,0.637174
0.017979,0.161481,1189,1869,1297,2363,2602,2341,2748,3141,2849,1960,3396,2993,1912,2906,,0.439966,0.127863,0.184545,0.741071,0.396329,0.705740,0.925170,0.853587,0.736670,0.856250,0.809816,0.911239,0.621565,0.634431
0.017998,0.179479,1189,1868,1297,2363,2602,2340,2749,3139,2847,1963,3394,2992,1914,2903,,0.439966,0.126908,0.184545,0.741071,0.396329,0.705136,0.926142,0.852123,0.734494,0.858929,0.807771,0.910600,0.623679,0.632373
0.017974,0.197453,1190,1869,1298,2362,2604,2339,2749,3139,2846,1964,3393,2992,1916,2902,,0.440823,0.127863,0.185455,0.739955,0.397689,0.704532,0.926142,0.852123,0.733406,0.859821,0.806748,0.910600,0.625793,0.631687
0.018034,0.215487,1190,1870,1299,2363,2605,2338,2749,3137,2844,1967,3390,2992,1920,2897,,0.440823,0.128817,0.186364,0.741071,0.398368,0.703928,0.926142,0.850659,0.731230,0.862500,0.803681,0.910600,0.630021,0.628258
0.018003,0.233491,1190,1870,1299,2363,2605,2338,2749,3137,2844,1967,3390,2992,1920,2897,,0.440823,0.128817,0.186364,0.741071,0.398368,0.703928,0.926142,0.850659,0.731230,0.862500,0.803681,0.910600,0.630021,0.628258
0.017996,0.251487,1191,1869,1299,2362,2607,2338,2750,3136,2842,1968,3388,2993,1921,2896,,0.441681,0.127863,0.186364,0.739955,0.399728,0.703928,0.927114,0.849927,0.729053,0.863393,0.801636,0.911239,0.631078,0.627572
0.017945,0.269432,1191,1868,1300,2362,2607,2339,2751,3136,2840,1969,3388,2993,1922,2896,,0.441681,0.126908,0.187273,0.739955,0.399728,0.704532,0.928086,0.849927,0.726877,0.864286,0.801636,0.911239,0.632135,0.627572
