GloveManager recording started on 10/20/16 at 16:41:48

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017154,0.017154,1168,1845,1281,2405,2603,2338,2720,3216,2847,1920,3439,3004,1900,3004,,0.421955,0.104962,0.170000,0.787946,0.397009,0.703928,0.897959,0.908492,0.734494,0.820536,0.853783,0.918263,0.608880,0.701646
0.018004,0.035158,1167,1845,1281,2403,2603,2338,2720,3216,2847,1920,3439,3004,1900,3006,,0.421098,0.104962,0.170000,0.785714,0.397009,0.703928,0.897959,0.908492,0.734494,0.820536,0.853783,0.918263,0.608880,0.703018
0.017997,0.053156,1169,1845,1282,2403,2602,2338,2720,3217,2847,1921,3439,3004,1899,3008,,0.422813,0.104962,0.170909,0.785714,0.396329,0.703928,0.897959,0.909224,0.734494,0.821429,0.853783,0.918263,0.607822,0.704390
0.018005,0.071161,1169,1845,1282,2403,2602,2338,2720,3217,2847,1921,3439,3004,1899,3008,,0.422813,0.104962,0.170909,0.785714,0.396329,0.703928,0.897959,0.909224,0.734494,0.821429,0.853783,0.918263,0.607822,0.704390
0.017976,0.089137,1168,1845,1281,2403,2603,2339,2719,3216,2847,1919,3438,3003,1898,3008,,0.421955,0.104962,0.170000,0.785714,0.397009,0.704532,0.896987,0.908492,0.734494,0.819643,0.852761,0.917625,0.606765,0.704390
0.018025,0.107162,1168,1845,1281,2403,2603,2339,2720,3216,2846,1919,3438,3003,1899,3008,,0.421955,0.104962,0.170000,0.785714,0.397009,0.704532,0.897959,0.908492,0.733406,0.819643,0.852761,0.917625,0.607822,0.704390
0.018000,0.125162,1168,1844,1282,2403,2602,2339,2719,3215,2846,1919,3439,3003,1899,3008,,0.421955,0.104008,0.170909,0.785714,0.396329,0.704532,0.896987,0.907760,0.733406,0.819643,0.853783,0.917625,0.607822,0.704390
0.018001,0.143164,1168,1845,1282,2403,2602,2339,2719,3217,2846,1920,3439,3003,1900,3009,,0.421955,0.104962,0.170909,0.785714,0.396329,0.704532,0.896987,0.909224,0.733406,0.820536,0.853783,0.917625,0.608880,0.705075
0.018001,0.161165,1169,1845,1281,2401,2603,2338,2718,3217,2846,1919,3439,3003,1899,3009,,0.422813,0.104962,0.170000,0.783482,0.397009,0.703928,0.896016,0.909224,0.733406,0.819643,0.853783,0.917625,0.607822,0.705075
