GloveManager recording started on 10/20/16 at 16:42:05

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017216,0.017216,1195,1868,1315,2329,2645,2247,2764,3120,2897,1913,3371,2983,1878,2843,,0.445111,0.126908,0.200909,0.703125,0.425561,0.648943,0.940719,0.838214,0.788901,0.814286,0.784254,0.904853,0.585624,0.591221
0.018005,0.035222,1195,1869,1316,2331,2644,2249,2765,3119,2897,1914,3371,2983,1878,2842,,0.445111,0.127863,0.201818,0.705357,0.424881,0.650151,0.941691,0.837482,0.788901,0.815179,0.784254,0.904853,0.585624,0.590535
0.017972,0.053193,1196,1869,1316,2330,2644,2249,2764,3118,2896,1914,3369,2983,1878,2843,,0.445969,0.127863,0.201818,0.704241,0.424881,0.650151,0.940719,0.836750,0.787813,0.815179,0.782209,0.904853,0.585624,0.591221
0.017993,0.071186,1196,1869,1316,2330,2644,2249,2764,3118,2896,1914,3369,2983,1878,2843,,0.445969,0.127863,0.201818,0.704241,0.424881,0.650151,0.940719,0.836750,0.787813,0.815179,0.782209,0.904853,0.585624,0.591221
0.018029,0.089215,1195,1868,1316,2329,2644,2250,2765,3118,2896,1915,3368,2982,1879,2844,,0.445111,0.126908,0.201818,0.703125,0.424881,0.650755,0.941691,0.836750,0.787813,0.816071,0.781186,0.904215,0.586681,0.591907
0.017993,0.107208,1195,1869,1316,2329,2643,2249,2764,3118,2895,1914,3368,2981,1878,2844,,0.445111,0.127863,0.201818,0.703125,0.424201,0.650151,0.940719,0.836750,0.786725,0.815179,0.781186,0.903576,0.585624,0.591907
0.018010,0.125218,1195,1868,1316,2329,2644,2251,2765,3118,2896,1915,3368,2982,1880,2845,,0.445111,0.126908,0.201818,0.703125,0.424881,0.651359,0.941691,0.836750,0.787813,0.816071,0.781186,0.904215,0.587738,0.592593
0.018000,0.143218,1197,1869,1316,2331,2644,2251,2765,3118,2896,1915,3368,2982,1880,2845,,0.446827,0.127863,0.201818,0.705357,0.424881,0.651359,0.941691,0.836750,0.787813,0.816071,0.781186,0.904215,0.587738,0.592593
0.018000,0.161219,1196,1869,1316,2331,2644,2252,2766,3118,2896,1916,3367,2982,1879,2845,,0.445969,0.127863,0.201818,0.705357,0.424881,0.651964,0.942663,0.836750,0.787813,0.816964,0.780164,0.904215,0.586681,0.592593
0.017993,0.179212,1196,1868,1316,2331,2644,2252,2765,3117,2895,1916,3367,2982,1880,2844,,0.445969,0.126908,0.201818,0.705357,0.424881,0.651964,0.941691,0.836018,0.786725,0.816964,0.780164,0.904215,0.587738,0.591907
0.018015,0.197227,1196,1867,1317,2330,2643,2253,2766,3117,2895,1917,3367,2982,1881,2845,,0.445969,0.125954,0.202727,0.704241,0.424201,0.652568,0.942663,0.836018,0.786725,0.817857,0.780164,0.904215,0.588795,0.592593
0.018016,0.215243,1197,1868,1316,2331,2644,2254,2766,3118,2895,1917,3367,2982,1883,2845,,0.446827,0.126908,0.201818,0.705357,0.424881,0.653172,0.942663,0.836750,0.786725,0.817857,0.780164,0.904215,0.590909,0.592593
0.017935,0.233178,1197,1867,1316,2331,2644,2254,2766,3117,2895,1918,3366,2982,1882,2846,,0.446827,0.125954,0.201818,0.705357,0.424881,0.653172,0.942663,0.836018,0.786725,0.818750,0.779141,0.904215,0.589852,0.593278
0.018064,0.251242,1197,1868,1316,2331,2643,2254,2766,3117,2895,1918,3365,2982,1883,2846,,0.446827,0.126908,0.201818,0.705357,0.424201,0.653172,0.942663,0.836018,0.786725,0.818750,0.778119,0.904215,0.590909,0.593278
0.018001,0.269243,1197,1868,1316,2331,2643,2255,2765,3116,2895,1918,3365,2982,1883,2847,,0.446827,0.126908,0.201818,0.705357,0.424201,0.653776,0.941691,0.835285,0.786725,0.818750,0.778119,0.904215,0.590909,0.593964
0.018009,0.287252,1197,1868,1316,2331,2643,2255,2765,3116,2895,1918,3365,2982,1883,2847,,0.446827,0.126908,0.201818,0.705357,0.424201,0.653776,0.941691,0.835285,0.786725,0.818750,0.778119,0.904215,0.590909,0.593964
0.017978,0.305231,1197,1866,1316,2331,2643,2256,2765,3116,2895,1919,3365,2982,1884,2847,,0.446827,0.125000,0.201818,0.705357,0.424201,0.654381,0.941691,0.835285,0.786725,0.819643,0.778119,0.904215,0.591966,0.593964
0.017984,0.323215,1197,1866,1316,2331,2643,2256,2765,3116,2895,1919,3365,2982,1884,2847,,0.446827,0.125000,0.201818,0.705357,0.424201,0.654381,0.941691,0.835285,0.786725,0.819643,0.778119,0.904215,0.591966,0.593964
0.018000,0.341215,1197,1866,1314,2332,2643,2256,2766,3117,2894,1918,3364,2981,1884,2848,,0.446827,0.125000,0.200000,0.706473,0.424201,0.654381,0.942663,0.836018,0.785637,0.818750,0.777096,0.903576,0.591966,0.594650
0.018020,0.359235,1197,1866,1314,2332,2643,2256,2766,3117,2894,1918,3364,2981,1884,2848,,0.446827,0.125000,0.200000,0.706473,0.424201,0.654381,0.942663,0.836018,0.785637,0.818750,0.777096,0.903576,0.591966,0.594650
0.018008,0.377244,1197,1866,1315,2333,2643,2257,2765,3116,2894,1919,3364,2981,1883,2849,,0.446827,0.125000,0.200909,0.707589,0.424201,0.654985,0.941691,0.835285,0.785637,0.819643,0.777096,0.903576,0.590909,0.595336
0.017990,0.395234,1197,1865,1315,2333,2643,2258,2765,3116,2895,1918,3364,2981,1884,2848,,0.446827,0.124046,0.200909,0.707589,0.424201,0.655589,0.941691,0.835285,0.786725,0.818750,0.777096,0.903576,0.591966,0.594650
0.017983,0.413216,1197,1866,1315,2333,2643,2258,2765,3115,2894,1918,3363,2981,1885,2848,,0.446827,0.125000,0.200909,0.707589,0.424201,0.655589,0.941691,0.834553,0.785637,0.818750,0.776074,0.903576,0.593023,0.594650
0.017996,0.431213,1198,1865,1316,2333,2642,2259,2765,3116,2895,1919,3363,2981,1886,2849,,0.447684,0.124046,0.201818,0.707589,0.423521,0.656193,0.941691,0.835285,0.786725,0.819643,0.776074,0.903576,0.594080,0.595336
0.018025,0.449237,1197,1865,1316,2332,2642,2259,2764,3116,2895,1918,3363,2981,1886,2848,,0.446827,0.124046,0.201818,0.706473,0.423521,0.656193,0.940719,0.835285,0.786725,0.818750,0.776074,0.903576,0.594080,0.594650
0.018010,0.467247,1196,1864,1315,2332,2642,2258,2763,3115,2896,1918,3363,2981,1886,2847,,0.445969,0.123092,0.200909,0.706473,0.423521,0.655589,0.939747,0.834553,0.787813,0.818750,0.776074,0.903576,0.594080,0.593964
0.018013,0.485260,1197,1864,1314,2332,2642,2259,2763,3115,2895,1918,3363,2981,1886,2848,,0.446827,0.123092,0.200000,0.706473,0.423521,0.656193,0.939747,0.834553,0.786725,0.818750,0.776074,0.903576,0.594080,0.594650
0.017984,0.503243,1197,1864,1315,2334,2641,2260,2763,3115,2895,1918,3363,2980,1887,2848,,0.446827,0.123092,0.200909,0.708705,0.422842,0.656798,0.939747,0.834553,0.786725,0.818750,0.776074,0.902937,0.595137,0.594650
0.017998,0.521242,1197,1864,1314,2334,2641,2260,2762,3115,2896,1917,3362,2979,1887,2848,,0.446827,0.123092,0.200000,0.708705,0.422842,0.656798,0.938776,0.834553,0.787813,0.817857,0.775051,0.902299,0.595137,0.594650
0.017950,0.539192,1198,1864,1314,2334,2640,2261,2762,3115,2897,1916,3363,2980,1888,2849,,0.447684,0.123092,0.200000,0.708705,0.422162,0.657402,0.938776,0.834553,0.788901,0.816964,0.776074,0.902937,0.596195,0.595336
0.018060,0.557252,1197,1863,1313,2334,2641,2260,2761,3115,2897,1915,3362,2980,1888,2849,,0.446827,0.122137,0.199091,0.708705,0.422842,0.656798,0.937804,0.834553,0.788901,0.816071,0.775051,0.902937,0.596195,0.595336
0.017972,0.575224,1197,1862,1312,2334,2640,2262,2760,3115,2898,1911,3361,2980,1888,2849,,0.446827,0.121183,0.198182,0.708705,0.422162,0.658006,0.936832,0.834553,0.789989,0.812500,0.774029,0.902937,0.596195,0.595336
0.017997,0.593221,1198,1862,1313,2334,2639,2261,2759,3114,2899,1911,3361,2980,1888,2850,,0.447684,0.121183,0.199091,0.708705,0.421482,0.657402,0.935860,0.833821,0.791077,0.812500,0.774029,0.902937,0.596195,0.596022
0.017998,0.611219,1197,1862,1313,2334,2639,2262,2759,3115,2900,1910,3360,2980,1887,2850,,0.446827,0.121183,0.199091,0.708705,0.421482,0.658006,0.935860,0.834553,0.792165,0.811607,0.773006,0.902937,0.595137,0.596022
0.018017,0.629236,1197,1862,1313,2334,2639,2262,2759,3115,2900,1910,3360,2980,1887,2850,,0.446827,0.121183,0.199091,0.708705,0.421482,0.658006,0.935860,0.834553,0.792165,0.811607,0.773006,0.902937,0.595137,0.596022
0.017984,0.647219,1198,1862,1314,2334,2639,2263,2758,3115,2901,1909,3360,2978,1887,2851,,0.447684,0.121183,0.200000,0.708705,0.421482,0.658610,0.934888,0.834553,0.793254,0.810714,0.773006,0.901660,0.595137,0.596708
0.017993,0.665213,1198,1862,1314,2333,2640,2263,2757,3116,2902,1909,3361,2980,1887,2851,,0.447684,0.121183,0.200000,0.707589,0.422162,0.658610,0.933916,0.835285,0.794342,0.810714,0.774029,0.902937,0.595137,0.596708
0.017993,0.683206,1198,1862,1314,2333,2639,2263,2757,3116,2902,1908,3360,2980,1887,2851,,0.447684,0.121183,0.200000,0.707589,0.421482,0.658610,0.933916,0.835285,0.794342,0.809821,0.773006,0.902937,0.595137,0.596708
