GloveManager recording started on 10/20/16 at 16:42:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017513,0.017513,1126,1837,1282,2387,2606,2350,2716,3199,2882,1949,3457,2971,1901,2923,,0.385935,0.097328,0.170909,0.767857,0.399048,0.711178,0.894072,0.896047,0.772579,0.846429,0.872188,0.897190,0.609937,0.646091
0.017983,0.035496,1127,1836,1282,2387,2607,2351,2716,3199,2881,1949,3457,2971,1901,2924,,0.386792,0.096374,0.170909,0.767857,0.399728,0.711782,0.894072,0.896047,0.771491,0.846429,0.872188,0.897190,0.609937,0.646776
0.018021,0.053517,1127,1835,1281,2387,2606,2352,2717,3200,2882,1949,3458,2970,1900,2924,,0.386792,0.095420,0.170000,0.767857,0.399048,0.712387,0.895044,0.896779,0.772579,0.846429,0.873211,0.896552,0.608880,0.646776
0.018002,0.071520,1127,1835,1282,2387,2606,2353,2718,3199,2882,1949,3458,2971,1900,2925,,0.386792,0.095420,0.170909,0.767857,0.399048,0.712991,0.896016,0.896047,0.772579,0.846429,0.873211,0.897190,0.608880,0.647462
0.017999,0.089519,1127,1836,1281,2387,2605,2353,2717,3198,2881,1950,3458,2971,1901,2924,,0.386792,0.096374,0.170000,0.767857,0.398368,0.712991,0.895044,0.895315,0.771491,0.847321,0.873211,0.897190,0.609937,0.646776
0.017986,0.107505,1128,1836,1281,2387,2605,2355,2718,3199,2880,1950,3457,2971,1901,2924,,0.387650,0.096374,0.170000,0.767857,0.398368,0.714199,0.896016,0.896047,0.770403,0.847321,0.872188,0.897190,0.609937,0.646776
0.018014,0.125519,1128,1836,1282,2389,2606,2356,2718,3199,2880,1950,3457,2971,1901,2923,,0.387650,0.096374,0.170909,0.770089,0.399048,0.714804,0.896016,0.896047,0.770403,0.847321,0.872188,0.897190,0.609937,0.646091
0.018008,0.143527,1128,1836,1281,2389,2605,2358,2718,3198,2880,1950,3456,2971,1902,2923,,0.387650,0.096374,0.170000,0.770089,0.398368,0.716012,0.896016,0.895315,0.770403,0.847321,0.871166,0.897190,0.610994,0.646091
0.018001,0.161528,1128,1836,1282,2390,2605,2360,2718,3198,2881,1951,3457,2971,1903,2922,,0.387650,0.096374,0.170909,0.771205,0.398368,0.717221,0.896016,0.895315,0.771491,0.848214,0.872188,0.897190,0.612051,0.645405
0.017997,0.179525,1128,1837,1283,2390,2605,2360,2718,3198,2879,1950,3457,2971,1903,2922,,0.387650,0.097328,0.171818,0.771205,0.398368,0.717221,0.896016,0.895315,0.769314,0.847321,0.872188,0.897190,0.612051,0.645405
0.018007,0.197533,1127,1836,1281,2391,2605,2362,2718,3198,2880,1951,3455,2972,1904,2922,,0.386792,0.096374,0.170000,0.772321,0.398368,0.718429,0.896016,0.895315,0.770403,0.848214,0.870143,0.897829,0.613108,0.645405
0.017999,0.215532,1127,1836,1282,2392,2604,2364,2718,3199,2879,1952,3456,2971,1905,2921,,0.386792,0.096374,0.170909,0.773438,0.397689,0.719637,0.896016,0.896047,0.769314,0.849107,0.871166,0.897190,0.614165,0.644719
0.017947,0.233480,1127,1836,1282,2392,2604,2364,2718,3199,2879,1952,3456,2971,1905,2921,,0.386792,0.096374,0.170909,0.773438,0.397689,0.719637,0.896016,0.896047,0.769314,0.849107,0.871166,0.897190,0.614165,0.644719
0.018054,0.251534,1127,1836,1283,2393,2604,2368,2719,3198,2879,1953,3455,2971,1906,2921,,0.386792,0.096374,0.171818,0.774554,0.397689,0.722054,0.896987,0.895315,0.769314,0.850000,0.870143,0.897190,0.615222,0.644719
0.018007,0.269541,1127,1837,1283,2395,2604,2371,2718,3199,2878,1954,3455,2971,1905,2920,,0.386792,0.097328,0.171818,0.776786,0.397689,0.723867,0.896016,0.896047,0.768226,0.850893,0.870143,0.897190,0.614165,0.644033
0.017994,0.287535,1127,1837,1283,2393,2604,2372,2718,3197,2878,1954,3454,2971,1906,2919,,0.386792,0.097328,0.171818,0.774554,0.397689,0.724471,0.896016,0.894583,0.768226,0.850893,0.869121,0.897190,0.615222,0.643347
0.018009,0.305544,1127,1837,1283,2393,2604,2372,2718,3197,2878,1954,3454,2971,1906,2919,,0.386792,0.097328,0.171818,0.774554,0.397689,0.724471,0.896016,0.894583,0.768226,0.850893,0.869121,0.897190,0.615222,0.643347
0.018002,0.323546,1126,1836,1283,2393,2605,2372,2718,3199,2877,1954,3453,2971,1906,2920,,0.385935,0.096374,0.171818,0.774554,0.398368,0.724471,0.896016,0.896047,0.767138,0.850893,0.868098,0.897190,0.615222,0.644033
0.017991,0.341537,1126,1836,1283,2393,2605,2372,2718,3199,2877,1954,3453,2971,1906,2920,,0.385935,0.096374,0.171818,0.774554,0.398368,0.724471,0.896016,0.896047,0.767138,0.850893,0.868098,0.897190,0.615222,0.644033
0.018025,0.359562,1127,1837,1282,2394,2606,2375,2718,3198,2877,1954,3454,2971,1908,2920,,0.386792,0.097328,0.170909,0.775670,0.399048,0.726284,0.896016,0.895315,0.767138,0.850893,0.869121,0.897190,0.617336,0.644033
0.017982,0.377544,1127,1837,1283,2395,2606,2377,2719,3198,2876,1954,3453,2972,1909,2920,,0.386792,0.097328,0.171818,0.776786,0.399048,0.727492,0.896987,0.895315,0.766050,0.850893,0.868098,0.897829,0.618393,0.644033
0.017998,0.395542,1127,1836,1283,2394,2605,2379,2718,3197,2877,1954,3453,2972,1908,2921,,0.386792,0.096374,0.171818,0.775670,0.398368,0.728701,0.896016,0.894583,0.767138,0.850893,0.868098,0.897829,0.617336,0.644719
0.017995,0.413538,1127,1837,1283,2393,2606,2383,2718,3198,2877,1954,3453,2972,1908,2921,,0.386792,0.097328,0.171818,0.774554,0.399048,0.731118,0.896016,0.895315,0.767138,0.850893,0.868098,0.897829,0.617336,0.644719
0.017988,0.431525,1127,1836,1283,2391,2607,2383,2718,3198,2877,1954,3452,2971,1908,2922,,0.386792,0.096374,0.171818,0.772321,0.399728,0.731118,0.896016,0.895315,0.767138,0.850893,0.867076,0.897190,0.617336,0.645405
0.018011,0.449536,1127,1836,1285,2389,2608,2382,2718,3198,2876,1954,3452,2971,1906,2922,,0.386792,0.096374,0.173636,0.770089,0.400408,0.730514,0.896016,0.895315,0.766050,0.850893,0.867076,0.897190,0.615222,0.645405
0.018000,0.467537,1127,1836,1283,2386,2610,2382,2719,3199,2876,1954,3453,2971,1907,2924,,0.386792,0.096374,0.171818,0.766741,0.401767,0.730514,0.896987,0.896047,0.766050,0.850893,0.868098,0.897190,0.616279,0.646776
0.018004,0.485541,1127,1836,1283,2386,2610,2382,2719,3199,2876,1954,3453,2971,1907,2924,,0.386792,0.096374,0.171818,0.766741,0.401767,0.730514,0.896987,0.896047,0.766050,0.850893,0.868098,0.897190,0.616279,0.646776
0.017997,0.503538,1127,1836,1285,2386,2610,2382,2720,3200,2877,1955,3453,2971,1906,2925,,0.386792,0.096374,0.173636,0.766741,0.401767,0.730514,0.897959,0.896779,0.767138,0.851786,0.868098,0.897190,0.615222,0.647462
0.018005,0.521543,1127,1836,1284,2384,2613,2384,2720,3200,2877,1956,3453,2972,1906,2926,,0.386792,0.096374,0.172727,0.764509,0.403807,0.731722,0.897959,0.896779,0.767138,0.852679,0.868098,0.897829,0.615222,0.648148
0.017998,0.539541,1127,1837,1285,2383,2613,2385,2720,3200,2877,1955,3453,2971,1906,2926,,0.386792,0.097328,0.173636,0.763393,0.403807,0.732326,0.897959,0.896779,0.767138,0.851786,0.868098,0.897190,0.615222,0.648148
0.017999,0.557540,1127,1837,1285,2383,2613,2386,2720,3200,2876,1956,3454,2972,1907,2927,,0.386792,0.097328,0.173636,0.763393,0.403807,0.732931,0.897959,0.896779,0.766050,0.852679,0.869121,0.897829,0.616279,0.648834
0.018003,0.575543,1127,1837,1285,2383,2613,2387,2721,3200,2876,1956,3455,2971,1906,2928,,0.386792,0.097328,0.173636,0.763393,0.403807,0.733535,0.898931,0.896779,0.766050,0.852679,0.870143,0.897190,0.615222,0.649520
0.017983,0.593526,1127,1837,1285,2384,2612,2388,2721,3200,2876,1958,3453,2971,1907,2928,,0.386792,0.097328,0.173636,0.764509,0.403127,0.734139,0.898931,0.896779,0.766050,0.854464,0.868098,0.897190,0.616279,0.649520
0.018016,0.611542,1128,1837,1284,2382,2611,2387,2721,3199,2876,1959,3453,2971,1906,2928,,0.387650,0.097328,0.172727,0.762277,0.402447,0.733535,0.898931,0.896047,0.766050,0.855357,0.868098,0.897190,0.615222,0.649520
0.018004,0.629547,1127,1837,1284,2382,2611,2385,2721,3200,2876,1960,3453,2971,1907,2929,,0.386792,0.097328,0.172727,0.762277,0.402447,0.732326,0.898931,0.896779,0.766050,0.856250,0.868098,0.897190,0.616279,0.650206
0.018000,0.647547,1128,1838,1284,2381,2612,2384,2721,3200,2875,1960,3453,2970,1907,2929,,0.387650,0.098282,0.172727,0.761161,0.403127,0.731722,0.898931,0.896779,0.764962,0.856250,0.868098,0.896552,0.616279,0.650206
0.018008,0.665555,1128,1837,1283,2381,2611,2383,2722,3200,2875,1961,3452,2970,1907,2930,,0.387650,0.097328,0.171818,0.761161,0.402447,0.731118,0.899903,0.896779,0.764962,0.857143,0.867076,0.896552,0.616279,0.650892
0.018003,0.683558,1128,1837,1284,2381,2612,2383,2722,3200,2876,1961,3452,2970,1907,2930,,0.387650,0.097328,0.172727,0.761161,0.403127,0.731118,0.899903,0.896779,0.766050,0.857143,0.867076,0.896552,0.616279,0.650892
0.017999,0.701558,1128,1838,1285,2380,2611,2383,2722,3201,2876,1961,3453,2971,1907,2930,,0.387650,0.098282,0.173636,0.760045,0.402447,0.731118,0.899903,0.897511,0.766050,0.857143,0.868098,0.897190,0.616279,0.650892
0.017991,0.719548,1128,1837,1286,2379,2611,2382,2722,3200,2875,1960,3454,2971,1907,2929,,0.387650,0.097328,0.174545,0.758929,0.402447,0.730514,0.899903,0.896779,0.764962,0.856250,0.869121,0.897190,0.616279,0.650206
0.018001,0.737549,1128,1837,1287,2379,2610,2381,2721,3200,2875,1959,3453,2970,1906,2930,,0.387650,0.097328,0.175455,0.758929,0.401767,0.729909,0.898931,0.896779,0.764962,0.855357,0.868098,0.896552,0.615222,0.650892
0.018003,0.755552,1128,1837,1287,2379,2609,2381,2722,3199,2875,1960,3453,2970,1906,2931,,0.387650,0.097328,0.175455,0.758929,0.401088,0.729909,0.899903,0.896047,0.764962,0.856250,0.868098,0.896552,0.615222,0.651578
0.018000,0.773553,1128,1836,1289,2380,2609,2383,2722,3200,2875,1959,3453,2971,1906,2930,,0.387650,0.096374,0.177273,0.760045,0.401088,0.731118,0.899903,0.896779,0.764962,0.855357,0.868098,0.897190,0.615222,0.650892
0.018000,0.791552,1128,1836,1289,2380,2609,2382,2722,3200,2875,1958,3453,2971,1906,2931,,0.387650,0.096374,0.177273,0.760045,0.401088,0.730514,0.899903,0.896779,0.764962,0.854464,0.868098,0.897190,0.615222,0.651578
0.018010,0.809562,1128,1836,1289,2378,2609,2380,2722,3200,2875,1957,3454,2971,1904,2931,,0.387650,0.096374,0.177273,0.757813,0.401088,0.729305,0.899903,0.896779,0.764962,0.853571,0.869121,0.897190,0.613108,0.651578
0.018024,0.827586,1128,1836,1289,2378,2609,2380,2722,3200,2875,1957,3454,2971,1904,2931,,0.387650,0.096374,0.177273,0.757813,0.401088,0.729305,0.899903,0.896779,0.764962,0.853571,0.869121,0.897190,0.613108,0.651578
0.017947,0.845534,1128,1836,1288,2378,2608,2381,2721,3199,2875,1955,3454,2971,1904,2932,,0.387650,0.096374,0.176364,0.757813,0.400408,0.729909,0.898931,0.896047,0.764962,0.851786,0.869121,0.897190,0.613108,0.652263
0.018023,0.863557,1127,1836,1288,2377,2607,2381,2719,3200,2874,1954,3455,2971,1904,2932,,0.386792,0.096374,0.176364,0.756696,0.399728,0.729909,0.896987,0.896779,0.763874,0.850893,0.870143,0.897190,0.613108,0.652263
0.018001,0.881558,1127,1836,1287,2375,2608,2380,2719,3201,2874,1953,3454,2971,1903,2932,,0.386792,0.096374,0.175455,0.754464,0.400408,0.729305,0.896987,0.897511,0.763874,0.850000,0.869121,0.897190,0.612051,0.652263
0.017955,0.899513,1127,1835,1286,2374,2608,2379,2719,3202,2875,1953,3455,2972,1903,2932,,0.386792,0.095420,0.174545,0.753348,0.400408,0.728701,0.896987,0.898243,0.764962,0.850000,0.870143,0.897829,0.612051,0.652263
0.018047,0.917561,1126,1835,1287,2375,2607,2380,2718,3201,2874,1951,3455,2970,1902,2932,,0.385935,0.095420,0.175455,0.754464,0.399728,0.729305,0.896016,0.897511,0.763874,0.848214,0.870143,0.896552,0.610994,0.652263
0.018000,0.935561,1126,1835,1287,2373,2608,2379,2717,3202,2874,1950,3455,2972,1901,2932,,0.385935,0.095420,0.175455,0.752232,0.400408,0.728701,0.895044,0.898243,0.763874,0.847321,0.870143,0.897829,0.609937,0.652263
0.018026,0.953587,1126,1836,1286,2372,2607,2377,2717,3202,2874,1949,3455,2971,1901,2933,,0.385935,0.096374,0.174545,0.751116,0.399728,0.727492,0.895044,0.898243,0.763874,0.846429,0.870143,0.897190,0.609937,0.652949
