GloveManager recording started on 10/20/16 at 16:43:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017445,0.017445,1117,1827,1310,2291,2549,2278,2645,3040,2971,1725,3329,2940,1806,2677,,0.378216,0.087786,0.196364,0.660714,0.360299,0.667674,0.825073,0.779649,0.869423,0.646429,0.741309,0.877395,0.509514,0.477366
0.017998,0.035443,1117,1827,1310,2290,2549,2278,2646,3040,2972,1727,3330,2939,1805,2677,,0.378216,0.087786,0.196364,0.659598,0.360299,0.667674,0.826045,0.779649,0.870511,0.648214,0.742331,0.876756,0.508457,0.477366
0.018065,0.053509,1117,1826,1311,2289,2549,2276,2646,3040,2971,1726,3330,2939,1805,2677,,0.378216,0.086832,0.197273,0.658482,0.360299,0.666465,0.826045,0.779649,0.869423,0.647321,0.742331,0.876756,0.508457,0.477366
0.017990,0.071498,1117,1828,1310,2289,2550,2276,2645,3040,2971,1726,3329,2940,1805,2677,,0.378216,0.088740,0.196364,0.658482,0.360979,0.666465,0.825073,0.779649,0.869423,0.647321,0.741309,0.877395,0.508457,0.477366
0.017999,0.089498,1117,1827,1311,2288,2550,2276,2646,3040,2972,1726,3330,2940,1806,2678,,0.378216,0.087786,0.197273,0.657366,0.360979,0.666465,0.826045,0.779649,0.870511,0.647321,0.742331,0.877395,0.509514,0.478052
0.017997,0.107494,1117,1827,1311,2288,2550,2276,2646,3040,2972,1726,3330,2940,1806,2678,,0.378216,0.087786,0.197273,0.657366,0.360979,0.666465,0.826045,0.779649,0.870511,0.647321,0.742331,0.877395,0.509514,0.478052
0.018005,0.125500,1117,1827,1311,2287,2550,2275,2645,3041,2971,1726,3329,2940,1806,2677,,0.378216,0.087786,0.197273,0.656250,0.360979,0.665861,0.825073,0.780381,0.869423,0.647321,0.741309,0.877395,0.509514,0.477366
0.017998,0.143498,1117,1828,1311,2287,2550,2275,2645,3042,2972,1725,3329,2940,1806,2678,,0.378216,0.088740,0.197273,0.656250,0.360979,0.665861,0.825073,0.781113,0.870511,0.646429,0.741309,0.877395,0.509514,0.478052
0.018012,0.161510,1117,1828,1312,2286,2550,2275,2645,3042,2971,1726,3329,2939,1805,2677,,0.378216,0.088740,0.198182,0.655134,0.360979,0.665861,0.825073,0.781113,0.869423,0.647321,0.741309,0.876756,0.508457,0.477366
0.017997,0.179506,1117,1827,1311,2287,2550,2275,2644,3042,2972,1726,3329,2940,1805,2678,,0.378216,0.087786,0.197273,0.656250,0.360979,0.665861,0.824101,0.781113,0.870511,0.647321,0.741309,0.877395,0.508457,0.478052
0.017982,0.197488,1117,1827,1312,2287,2550,2274,2645,3042,2972,1725,3329,2940,1806,2677,,0.378216,0.087786,0.198182,0.656250,0.360979,0.665257,0.825073,0.781113,0.870511,0.646429,0.741309,0.877395,0.509514,0.477366
0.018014,0.215502,1117,1828,1312,2286,2549,2275,2644,3042,2971,1725,3330,2940,1805,2677,,0.378216,0.088740,0.198182,0.655134,0.360299,0.665861,0.824101,0.781113,0.869423,0.646429,0.742331,0.877395,0.508457,0.477366
0.017975,0.233478,1117,1828,1314,2283,2550,2273,2644,3043,2971,1725,3330,2939,1805,2677,,0.378216,0.088740,0.200000,0.651786,0.360979,0.664653,0.824101,0.781845,0.869423,0.646429,0.742331,0.876756,0.508457,0.477366
0.017997,0.251475,1117,1827,1315,2282,2550,2272,2644,3044,2970,1726,3330,2940,1805,2678,,0.378216,0.087786,0.200909,0.650670,0.360979,0.664048,0.824101,0.782577,0.868335,0.647321,0.742331,0.877395,0.508457,0.478052
0.018033,0.269507,1117,1828,1314,2283,2551,2272,2644,3045,2972,1727,3329,2940,1805,2677,,0.378216,0.088740,0.200000,0.651786,0.361659,0.664048,0.824101,0.783309,0.870511,0.648214,0.741309,0.877395,0.508457,0.477366
0.018008,0.287515,1117,1828,1316,2282,2551,2273,2645,3045,2972,1726,3330,2940,1805,2678,,0.378216,0.088740,0.201818,0.650670,0.361659,0.664653,0.825073,0.783309,0.870511,0.647321,0.742331,0.877395,0.508457,0.478052
0.017963,0.305478,1118,1828,1316,2281,2551,2272,2646,3045,2972,1726,3330,2940,1805,2678,,0.379074,0.088740,0.201818,0.649554,0.361659,0.664048,0.826045,0.783309,0.870511,0.647321,0.742331,0.877395,0.508457,0.478052
0.018043,0.323521,1118,1828,1318,2281,2551,2272,2645,3046,2971,1726,3329,2940,1805,2678,,0.379074,0.088740,0.203636,0.649554,0.361659,0.664048,0.825073,0.784041,0.869423,0.647321,0.741309,0.877395,0.508457,0.478052
0.017985,0.341505,1118,1828,1318,2281,2551,2272,2645,3046,2971,1726,3329,2940,1805,2678,,0.379074,0.088740,0.203636,0.649554,0.361659,0.664048,0.825073,0.784041,0.869423,0.647321,0.741309,0.877395,0.508457,0.478052
0.018009,0.359515,1119,1828,1318,2281,2551,2271,2645,3046,2971,1728,3329,2940,1805,2677,,0.379931,0.088740,0.203636,0.649554,0.361659,0.663444,0.825073,0.784041,0.869423,0.649107,0.741309,0.877395,0.508457,0.477366
0.017978,0.377493,1118,1828,1318,2280,2551,2272,2646,3047,2971,1727,3329,2940,1805,2677,,0.379074,0.088740,0.203636,0.648438,0.361659,0.664048,0.826045,0.784773,0.869423,0.648214,0.741309,0.877395,0.508457,0.477366
0.018018,0.395511,1119,1827,1318,2280,2551,2272,2647,3046,2972,1727,3329,2940,1805,2677,,0.379931,0.087786,0.203636,0.648438,0.361659,0.664048,0.827017,0.784041,0.870511,0.648214,0.741309,0.877395,0.508457,0.477366
0.018011,0.413522,1119,1828,1320,2283,2551,2274,2647,3047,2972,1727,3330,2940,1804,2678,,0.379931,0.088740,0.205455,0.651786,0.361659,0.665257,0.827017,0.784773,0.870511,0.648214,0.742331,0.877395,0.507400,0.478052
0.017998,0.431520,1119,1829,1323,2285,2551,2275,2649,3048,2972,1727,3328,2940,1803,2679,,0.379931,0.089695,0.208182,0.654018,0.361659,0.665861,0.828960,0.785505,0.870511,0.648214,0.740286,0.877395,0.506342,0.478738
0.018009,0.449529,1119,1827,1324,2287,2551,2276,2649,3047,2972,1727,3330,2941,1803,2678,,0.379931,0.087786,0.209091,0.656250,0.361659,0.666465,0.828960,0.784773,0.870511,0.648214,0.742331,0.878033,0.506342,0.478052
0.017985,0.467513,1118,1828,1326,2288,2551,2277,2651,3048,2972,1726,3330,2942,1803,2679,,0.379074,0.088740,0.210909,0.657366,0.361659,0.667069,0.830904,0.785505,0.870511,0.647321,0.742331,0.878672,0.506342,0.478738
0.018002,0.485515,1118,1828,1329,2290,2549,2279,2652,3047,2973,1727,3329,2941,1801,2681,,0.379074,0.088740,0.213636,0.659598,0.360299,0.668278,0.831876,0.784773,0.871600,0.648214,0.741309,0.878033,0.504228,0.480110
0.018000,0.503515,1118,1829,1329,2289,2548,2281,2652,3049,2972,1728,3329,2941,1801,2681,,0.379074,0.089695,0.213636,0.658482,0.359619,0.669486,0.831876,0.786237,0.870511,0.649107,0.741309,0.878033,0.504228,0.480110
0.018003,0.521518,1117,1828,1329,2288,2548,2281,2653,3048,2972,1728,3330,2941,1801,2680,,0.378216,0.088740,0.213636,0.657366,0.359619,0.669486,0.832847,0.785505,0.870511,0.649107,0.742331,0.878033,0.504228,0.479424
0.017998,0.539517,1118,1829,1330,2289,2548,2281,2653,3049,2972,1729,3330,2942,1802,2681,,0.379074,0.089695,0.214545,0.658482,0.359619,0.669486,0.832847,0.786237,0.870511,0.650000,0.742331,0.878672,0.505285,0.480110
0.018034,0.557550,1118,1828,1329,2289,2547,2282,2653,3048,2973,1730,3331,2942,1801,2681,,0.379074,0.088740,0.213636,0.658482,0.358939,0.670091,0.832847,0.785505,0.871600,0.650893,0.743354,0.878672,0.504228,0.480110
0.017965,0.575515,1119,1829,1330,2289,2547,2283,2654,3049,2972,1730,3331,2942,1801,2681,,0.379931,0.089695,0.214545,0.658482,0.358939,0.670695,0.833819,0.786237,0.870511,0.650893,0.743354,0.878672,0.504228,0.480110
0.018007,0.593522,1119,1829,1330,2289,2547,2283,2654,3049,2972,1730,3331,2942,1801,2681,,0.379931,0.089695,0.214545,0.658482,0.358939,0.670695,0.833819,0.786237,0.870511,0.650893,0.743354,0.878672,0.504228,0.480110
0.018003,0.611525,1119,1829,1329,2289,2547,2282,2654,3049,2971,1730,3330,2942,1801,2681,,0.379931,0.089695,0.213636,0.658482,0.358939,0.670091,0.833819,0.786237,0.869423,0.650893,0.742331,0.878672,0.504228,0.480110
0.018000,0.629526,1119,1830,1329,2289,2546,2283,2654,3049,2972,1731,3330,2943,1802,2681,,0.379931,0.090649,0.213636,0.658482,0.358260,0.670695,0.833819,0.786237,0.870511,0.651786,0.742331,0.879310,0.505285,0.480110
0.017970,0.647496,1119,1829,1329,2289,2546,2283,2654,3050,2971,1729,3330,2942,1802,2682,,0.379931,0.089695,0.213636,0.658482,0.358260,0.670695,0.833819,0.786969,0.869423,0.650000,0.742331,0.878672,0.505285,0.480796
0.018049,0.665545,1119,1829,1329,2289,2546,2284,2654,3050,2972,1730,3330,2942,1802,2681,,0.379931,0.089695,0.213636,0.658482,0.358260,0.671299,0.833819,0.786969,0.870511,0.650893,0.742331,0.878672,0.505285,0.480110
0.017978,0.683523,1119,1829,1329,2289,2546,2283,2654,3050,2972,1730,3330,2942,1802,2681,,0.379931,0.089695,0.213636,0.658482,0.358260,0.670695,0.833819,0.786969,0.870511,0.650893,0.742331,0.878672,0.505285,0.480110
0.017976,0.701499,1120,1829,1329,2290,2545,2283,2653,3049,2972,1730,3330,2942,1801,2681,,0.380789,0.089695,0.213636,0.659598,0.357580,0.670695,0.832847,0.786237,0.870511,0.650893,0.742331,0.878672,0.504228,0.480110
0.018033,0.719531,1120,1829,1329,2290,2546,2283,2653,3050,2971,1730,3330,2943,1801,2682,,0.380789,0.089695,0.213636,0.659598,0.358260,0.670695,0.832847,0.786969,0.869423,0.650893,0.742331,0.879310,0.504228,0.480796
0.017994,0.737525,1119,1829,1328,2289,2546,2282,2654,3050,2972,1729,3331,2942,1800,2681,,0.379931,0.089695,0.212727,0.658482,0.358260,0.670091,0.833819,0.786969,0.870511,0.650000,0.743354,0.878672,0.503171,0.480110
0.017997,0.755523,1119,1828,1328,2289,2546,2282,2653,3050,2972,1730,3332,2942,1801,2682,,0.379931,0.088740,0.212727,0.658482,0.358260,0.670091,0.832847,0.786969,0.870511,0.650893,0.744376,0.878672,0.504228,0.480796
0.018010,0.773533,1119,1828,1327,2288,2546,2282,2653,3050,2971,1729,3332,2943,1801,2683,,0.379931,0.088740,0.211818,0.657366,0.358260,0.670091,0.832847,0.786969,0.869423,0.650000,0.744376,0.879310,0.504228,0.481481
0.018002,0.791535,1119,1829,1327,2288,2546,2281,2654,3050,2971,1729,3332,2942,1802,2683,,0.379931,0.089695,0.211818,0.657366,0.358260,0.669486,0.833819,0.786969,0.869423,0.650000,0.744376,0.878672,0.505285,0.481481
0.017969,0.809504,1119,1829,1327,2287,2547,2282,2654,3052,2972,1729,3334,2942,1801,2684,,0.379931,0.089695,0.211818,0.656250,0.358939,0.670091,0.833819,0.788433,0.870511,0.650000,0.746421,0.878672,0.504228,0.482167
0.018011,0.827516,1119,1829,1327,2287,2547,2282,2654,3052,2972,1729,3334,2942,1801,2684,,0.379931,0.089695,0.211818,0.656250,0.358939,0.670091,0.833819,0.788433,0.870511,0.650000,0.746421,0.878672,0.504228,0.482167
0.017991,0.845506,1120,1829,1328,2287,2547,2281,2654,3052,2971,1729,3334,2943,1801,2685,,0.380789,0.089695,0.212727,0.656250,0.358939,0.669486,0.833819,0.788433,0.869423,0.650000,0.746421,0.879310,0.504228,0.482853
0.018024,0.863530,1121,1829,1328,2286,2547,2281,2653,3051,2972,1728,3333,2943,1800,2685,,0.381647,0.089695,0.212727,0.655134,0.358939,0.669486,0.832847,0.787701,0.870511,0.649107,0.745399,0.879310,0.503171,0.482853
0.018015,0.881545,1119,1829,1328,2286,2547,2280,2653,3052,2971,1728,3335,2943,1800,2684,,0.379931,0.089695,0.212727,0.655134,0.358939,0.668882,0.832847,0.788433,0.869423,0.649107,0.747444,0.879310,0.503171,0.482167
0.018009,0.899555,1119,1828,1328,2286,2547,2280,2653,3052,2971,1726,3334,2943,1800,2684,,0.379931,0.088740,0.212727,0.655134,0.358939,0.668882,0.832847,0.788433,0.869423,0.647321,0.746421,0.879310,0.503171,0.482167
0.017977,0.917532,1117,1827,1328,2281,2548,2278,2653,3053,2972,1721,3335,2944,1798,2685,,0.378216,0.087786,0.212727,0.649554,0.359619,0.667674,0.832847,0.789165,0.870511,0.642857,0.747444,0.879949,0.501057,0.482853
