GloveManager recording started on 10/20/16 at 16:44:09

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017497,0.017497,1151,1828,1312,2327,2546,2258,2692,3024,2903,1811,3351,2973,1836,2775,,0.407376,0.088740,0.198182,0.700893,0.358260,0.655589,0.870748,0.767936,0.795430,0.723214,0.763804,0.898467,0.541226,0.544582
0.018020,0.035517,1151,1829,1313,2327,2546,2258,2692,3024,2903,1811,3351,2973,1836,2775,,0.407376,0.089695,0.199091,0.700893,0.358260,0.655589,0.870748,0.767936,0.795430,0.723214,0.763804,0.898467,0.541226,0.544582
0.017947,0.053464,1152,1829,1313,2326,2546,2259,2692,3024,2903,1812,3350,2973,1836,2775,,0.408233,0.089695,0.199091,0.699777,0.358260,0.656193,0.870748,0.767936,0.795430,0.724107,0.762781,0.898467,0.541226,0.544582
0.018003,0.071468,1152,1829,1314,2327,2546,2259,2692,3024,2902,1812,3350,2973,1836,2776,,0.408233,0.089695,0.200000,0.700893,0.358260,0.656193,0.870748,0.767936,0.795430,0.725000,0.762781,0.898467,0.541226,0.545267
0.018025,0.089492,1153,1828,1314,2326,2546,2260,2692,3024,2903,1812,3350,2972,1835,2776,,0.409091,0.088740,0.200000,0.699777,0.358260,0.656798,0.870748,0.767936,0.795430,0.724107,0.762781,0.897829,0.540169,0.545267
0.017999,0.107491,1152,1828,1315,2327,2545,2261,2693,3024,2902,1813,3350,2973,1835,2777,,0.408233,0.088740,0.200909,0.700893,0.357580,0.657402,0.871720,0.767936,0.794342,0.725000,0.762781,0.898467,0.540169,0.545953
0.017983,0.125475,1152,1829,1315,2327,2545,2262,2693,3024,2902,1813,3351,2972,1835,2778,,0.408233,0.089695,0.200909,0.700893,0.357580,0.658006,0.871720,0.767936,0.794342,0.725000,0.763804,0.897829,0.540169,0.546639
0.018015,0.143489,1153,1830,1315,2328,2545,2263,2695,3024,2902,1813,3350,2973,1836,2778,,0.409091,0.090649,0.200909,0.702009,0.357580,0.658610,0.873664,0.767936,0.794342,0.725000,0.762781,0.898467,0.541226,0.546639
0.018004,0.161493,1152,1829,1315,2328,2544,2263,2694,3024,2901,1813,3349,2973,1835,2778,,0.408233,0.089695,0.200909,0.702009,0.356900,0.658610,0.872692,0.767936,0.793254,0.725000,0.761759,0.898467,0.540169,0.546639
