GloveManager recording started on 10/20/16 at 16:45:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017391,0.017390,1148,1860,1351,2300,2574,2342,2153,2380,2739,1543,3513,2898,1682,2710,,0.404803,0.119275,0.233636,0.670759,0.377294,0.706344,0.346939,0.296486,0.616975,0.483929,0.929448,0.850575,0.378436,0.500000
0.018001,0.035391,1149,1859,1351,2301,2573,2342,2155,2379,2739,1546,3513,2898,1682,2712,,0.405660,0.118321,0.233636,0.671875,0.376615,0.706344,0.348882,0.295754,0.616975,0.486607,0.929448,0.850575,0.378436,0.501372
0.018030,0.053421,1149,1859,1350,2301,2572,2342,2154,2379,2740,1547,3514,2898,1683,2713,,0.405660,0.118321,0.232727,0.671875,0.375935,0.706344,0.347911,0.295754,0.618063,0.487500,0.930470,0.850575,0.379493,0.502058
0.018001,0.071422,1149,1859,1350,2301,2571,2342,2154,2378,2740,1546,3514,2898,1682,2714,,0.405660,0.118321,0.232727,0.671875,0.375255,0.706344,0.347911,0.295022,0.618063,0.486607,0.930470,0.850575,0.378436,0.502743
0.017999,0.089421,1149,1860,1349,2302,2571,2342,2154,2378,2739,1546,3513,2898,1683,2714,,0.405660,0.119275,0.231818,0.672991,0.375255,0.706344,0.347911,0.295022,0.616975,0.486607,0.929448,0.850575,0.379493,0.502743
0.017996,0.107417,1149,1860,1348,2303,2571,2342,2154,2377,2740,1546,3512,2897,1682,2713,,0.405660,0.119275,0.230909,0.674107,0.375255,0.706344,0.347911,0.294290,0.618063,0.486607,0.928425,0.849936,0.378436,0.502058
0.017986,0.125403,1151,1860,1348,2303,2569,2342,2153,2377,2741,1548,3513,2898,1683,2714,,0.407376,0.119275,0.230909,0.674107,0.373895,0.706344,0.346939,0.294290,0.619151,0.488393,0.929448,0.850575,0.379493,0.502743
0.018023,0.143426,1151,1860,1348,2303,2571,2342,2153,2376,2740,1551,3513,2897,1683,2716,,0.407376,0.119275,0.230909,0.674107,0.375255,0.706344,0.346939,0.293558,0.618063,0.491071,0.929448,0.849936,0.379493,0.504115
0.017994,0.161421,1151,1860,1348,2303,2571,2342,2153,2376,2740,1551,3513,2897,1683,2716,,0.407376,0.119275,0.230909,0.674107,0.375255,0.706344,0.346939,0.293558,0.618063,0.491071,0.929448,0.849936,0.379493,0.504115
0.017992,0.179413,1152,1861,1346,2304,2572,2344,2157,2376,2741,1555,3514,2898,1683,2720,,0.408233,0.120229,0.229091,0.675223,0.375935,0.707553,0.350826,0.293558,0.619151,0.494643,0.930470,0.850575,0.379493,0.506859
0.018011,0.197424,1152,1861,1346,2305,2571,2343,2156,2375,2742,1556,3514,2897,1684,2720,,0.408233,0.120229,0.229091,0.676339,0.375255,0.706949,0.349854,0.292826,0.620239,0.495536,0.930470,0.849936,0.380550,0.506859
0.017998,0.215422,1154,1861,1346,2305,2572,2344,2158,2375,2742,1558,3513,2898,1684,2721,,0.409949,0.120229,0.229091,0.676339,0.375935,0.707553,0.351798,0.292826,0.620239,0.497321,0.929448,0.850575,0.380550,0.507545
0.017989,0.233410,1153,1862,1346,2306,2571,2345,2158,2375,2743,1559,3514,2898,1684,2721,,0.409091,0.121183,0.229091,0.677455,0.375255,0.708157,0.351798,0.292826,0.621328,0.498214,0.930470,0.850575,0.380550,0.507545
0.018022,0.251433,1155,1861,1346,2306,2570,2344,2160,2374,2743,1562,3513,2897,1685,2722,,0.410806,0.120229,0.229091,0.677455,0.374575,0.707553,0.353741,0.292094,0.621328,0.500893,0.929448,0.849936,0.381607,0.508230
0.017978,0.269411,1155,1861,1346,2306,2570,2344,2160,2374,2743,1562,3513,2897,1685,2722,,0.410806,0.120229,0.229091,0.677455,0.374575,0.707553,0.353741,0.292094,0.621328,0.500893,0.929448,0.849936,0.381607,0.508230
0.018023,0.287434,1154,1862,1348,2308,2571,2344,2162,2374,2745,1565,3513,2897,1686,2723,,0.409949,0.121183,0.230909,0.679688,0.375255,0.707553,0.355685,0.292094,0.623504,0.503571,0.929448,0.849936,0.382664,0.508916
0.017998,0.305432,1156,1863,1348,2308,2570,2344,2162,2373,2744,1567,3514,2897,1685,2724,,0.411664,0.122137,0.230909,0.679688,0.374575,0.707553,0.355685,0.291362,0.622416,0.505357,0.930470,0.849936,0.381607,0.509602
0.018003,0.323435,1157,1864,1348,2307,2572,2345,2163,2373,2745,1568,3515,2897,1686,2725,,0.412521,0.123092,0.230909,0.678571,0.375935,0.708157,0.356657,0.291362,0.623504,0.506250,0.931493,0.849936,0.382664,0.510288
0.017999,0.341434,1157,1863,1349,2308,2572,2344,2164,2373,2745,1569,3514,2897,1686,2726,,0.412521,0.122137,0.231818,0.679688,0.375935,0.707553,0.357629,0.291362,0.623504,0.507143,0.930470,0.849936,0.382664,0.510974
0.018004,0.359438,1158,1864,1348,2309,2571,2345,2165,2373,2744,1569,3515,2897,1685,2724,,0.413379,0.123092,0.230909,0.680804,0.375255,0.708157,0.358601,0.291362,0.622416,0.507143,0.931493,0.849936,0.381607,0.509602
0.017974,0.377412,1158,1864,1348,2309,2571,2345,2165,2373,2744,1569,3515,2897,1685,2724,,0.413379,0.123092,0.230909,0.680804,0.375255,0.708157,0.358601,0.291362,0.622416,0.507143,0.931493,0.849936,0.381607,0.509602
0.017999,0.395410,1159,1865,1348,2311,2571,2346,2167,2375,2746,1572,3515,2897,1683,2725,,0.414237,0.124046,0.230909,0.683036,0.375255,0.708761,0.360544,0.292826,0.624592,0.509821,0.931493,0.849936,0.379493,0.510288
0.018028,0.413438,1160,1865,1347,2311,2571,2347,2167,2376,2746,1574,3516,2897,1682,2725,,0.415094,0.124046,0.230000,0.683036,0.375255,0.709366,0.360544,0.293558,0.624592,0.511607,0.932515,0.849936,0.378436,0.510288
0.018004,0.431442,1160,1866,1345,2312,2569,2347,2168,2376,2742,1574,3516,2898,1683,2726,,0.415094,0.125000,0.228182,0.684152,0.373895,0.709366,0.361516,0.293558,0.620239,0.511607,0.932515,0.850575,0.379493,0.510974
0.017997,0.449439,1161,1866,1344,2313,2568,2347,2169,2377,2742,1578,3516,2898,1683,2727,,0.415952,0.125000,0.227273,0.685268,0.373215,0.709366,0.362488,0.294290,0.620239,0.515179,0.932515,0.850575,0.379493,0.511660
0.017982,0.467421,1162,1865,1342,2313,2567,2347,2171,2378,2741,1583,3515,2898,1685,2729,,0.416810,0.124046,0.225455,0.685268,0.372536,0.709366,0.364432,0.295022,0.619151,0.519643,0.931493,0.850575,0.381607,0.513032
0.018034,0.485454,1162,1865,1341,2313,2566,2346,2171,2378,2739,1588,3516,2898,1686,2731,,0.416810,0.124046,0.224545,0.685268,0.371856,0.708761,0.364432,0.295022,0.616975,0.524107,0.932515,0.850575,0.382664,0.514403
0.017987,0.503441,1162,1866,1337,2313,2566,2346,2170,2380,2736,1594,3515,2897,1686,2733,,0.416810,0.125000,0.220909,0.685268,0.371856,0.708761,0.363460,0.296486,0.613711,0.529464,0.931493,0.849936,0.382664,0.515775
0.018007,0.521449,1162,1866,1337,2313,2566,2346,2170,2380,2736,1594,3515,2897,1686,2733,,0.416810,0.125000,0.220909,0.685268,0.371856,0.708761,0.363460,0.296486,0.613711,0.529464,0.931493,0.849936,0.382664,0.515775
0.018000,0.539449,1162,1866,1337,2313,2565,2345,2172,2382,2735,1595,3515,2898,1686,2733,,0.416810,0.125000,0.220909,0.685268,0.371176,0.708157,0.365403,0.297950,0.612622,0.530357,0.931493,0.850575,0.382664,0.515775
0.017993,0.557442,1163,1866,1337,2314,2566,2345,2172,2382,2736,1596,3514,2898,1685,2734,,0.417667,0.125000,0.220909,0.686384,0.371856,0.708157,0.365403,0.297950,0.613711,0.531250,0.930470,0.850575,0.381607,0.516461
0.018001,0.575443,1163,1865,1336,2313,2565,2347,2172,2383,2735,1596,3515,2898,1685,2734,,0.417667,0.124046,0.220000,0.685268,0.371176,0.709366,0.365403,0.298682,0.612622,0.531250,0.931493,0.850575,0.381607,0.516461
0.017999,0.593443,1163,1866,1336,2312,2566,2348,2172,2383,2734,1596,3513,2899,1685,2730,,0.417667,0.125000,0.220000,0.684152,0.371856,0.709970,0.365403,0.298682,0.611534,0.531250,0.929448,0.851213,0.381607,0.513717
0.018005,0.611447,1163,1866,1336,2312,2566,2348,2172,2383,2734,1596,3513,2899,1685,2730,,0.417667,0.125000,0.220000,0.684152,0.371856,0.709970,0.365403,0.298682,0.611534,0.531250,0.929448,0.851213,0.381607,0.513717
0.018004,0.629451,1164,1865,1337,2313,2566,2348,2172,2383,2735,1597,3514,2898,1684,2729,,0.418525,0.124046,0.220909,0.685268,0.371856,0.709970,0.365403,0.298682,0.612622,0.532143,0.930470,0.850575,0.380550,0.513032
0.017993,0.647444,1164,1865,1337,2313,2565,2348,2172,2383,2735,1598,3514,2899,1683,2727,,0.418525,0.124046,0.220909,0.685268,0.371176,0.709970,0.365403,0.298682,0.612622,0.533036,0.930470,0.851213,0.379493,0.511660
0.018000,0.665444,1164,1866,1337,2313,2564,2350,2172,2383,2735,1601,3514,2897,1684,2726,,0.418525,0.125000,0.220909,0.685268,0.370496,0.711178,0.365403,0.298682,0.612622,0.535714,0.930470,0.849936,0.380550,0.510974
0.018006,0.683450,1164,1865,1337,2313,2564,2350,2172,2384,2736,1600,3513,2898,1685,2724,,0.418525,0.124046,0.220909,0.685268,0.370496,0.711178,0.365403,0.299414,0.613711,0.534821,0.929448,0.850575,0.381607,0.509602
0.018004,0.701455,1163,1865,1336,2314,2564,2350,2169,2383,2735,1600,3514,2897,1684,2723,,0.417667,0.124046,0.220000,0.686384,0.370496,0.711178,0.362488,0.298682,0.612622,0.534821,0.930470,0.849936,0.380550,0.508916
0.017997,0.719452,1164,1865,1335,2314,2563,2350,2169,2383,2735,1600,3514,2897,1683,2722,,0.418525,0.124046,0.219091,0.686384,0.369816,0.711178,0.362488,0.298682,0.612622,0.534821,0.930470,0.849936,0.379493,0.508230
0.018011,0.737463,1164,1865,1336,2314,2563,2350,2167,2383,2735,1600,3514,2898,1684,2722,,0.418525,0.124046,0.220000,0.686384,0.369816,0.711178,0.360544,0.298682,0.612622,0.534821,0.930470,0.850575,0.380550,0.508230
0.017986,0.755450,1164,1865,1336,2314,2563,2350,2167,2383,2735,1600,3514,2898,1684,2722,,0.418525,0.124046,0.220000,0.686384,0.369816,0.711178,0.360544,0.298682,0.612622,0.534821,0.930470,0.850575,0.380550,0.508230
0.018009,0.773458,1165,1865,1336,2315,2563,2352,2168,2383,2737,1601,3514,2897,1685,2722,,0.419383,0.124046,0.220000,0.687500,0.369816,0.712387,0.361516,0.298682,0.614799,0.535714,0.930470,0.849936,0.381607,0.508230
0.017994,0.791452,1165,1865,1335,2314,2562,2352,2166,2382,2736,1601,3515,2898,1685,2722,,0.419383,0.124046,0.219091,0.686384,0.369137,0.712387,0.359572,0.297950,0.613711,0.535714,0.931493,0.850575,0.381607,0.508230
0.018007,0.809459,1165,1865,1335,2315,2561,2353,2165,2382,2737,1601,3514,2896,1685,2721,,0.419383,0.124046,0.219091,0.687500,0.368457,0.712991,0.358601,0.297950,0.614799,0.535714,0.930470,0.849298,0.381607,0.507545
