GloveManager recording started on 10/20/16 at 16:45:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017263,0.017263,1154,1870,1363,2281,2609,2339,2224,2394,2738,1778,3510,2938,1802,2908,,0.409949,0.128817,0.244545,0.649554,0.401088,0.704532,0.415938,0.306735,0.615887,0.693750,0.926380,0.876117,0.505285,0.635802
0.018043,0.035306,1154,1870,1362,2281,2608,2338,2218,2394,2738,1778,3509,2938,1802,2908,,0.409949,0.128817,0.243636,0.649554,0.400408,0.703928,0.410107,0.306735,0.615887,0.693750,0.925358,0.876117,0.505285,0.635802
0.017984,0.053290,1156,1871,1358,2280,2607,2338,2214,2394,2737,1779,3509,2938,1802,2909,,0.411664,0.129771,0.240000,0.648438,0.399728,0.703928,0.406220,0.306735,0.614799,0.694643,0.925358,0.876117,0.505285,0.636488
0.018015,0.071305,1156,1870,1358,2281,2607,2339,2216,2394,2739,1779,3509,2938,1803,2908,,0.411664,0.128817,0.240000,0.649554,0.399728,0.704532,0.408163,0.306735,0.616975,0.694643,0.925358,0.876117,0.506342,0.635802
0.017988,0.089292,1156,1870,1357,2282,2606,2339,2213,2394,2740,1780,3509,2938,1803,2908,,0.411664,0.128817,0.239091,0.650670,0.399048,0.704532,0.405248,0.306735,0.618063,0.695536,0.925358,0.876117,0.506342,0.635802
0.017979,0.107271,1156,1870,1356,2281,2605,2339,2211,2394,2740,1780,3509,2938,1802,2908,,0.411664,0.128817,0.238182,0.649554,0.398368,0.704532,0.403304,0.306735,0.618063,0.695536,0.925358,0.876117,0.505285,0.635802
0.018016,0.125288,1155,1869,1355,2281,2605,2340,2208,2394,2739,1781,3510,2937,1802,2909,,0.410806,0.127863,0.237273,0.649554,0.398368,0.705136,0.400389,0.306735,0.616975,0.696429,0.926380,0.875479,0.505285,0.636488
0.018002,0.143290,1156,1871,1355,2282,2604,2340,2209,2393,2741,1782,3508,2938,1802,2909,,0.411664,0.129771,0.237273,0.650670,0.397689,0.705136,0.401361,0.306003,0.619151,0.697321,0.924335,0.876117,0.505285,0.636488
0.017979,0.161269,1156,1871,1355,2282,2604,2340,2209,2393,2741,1782,3508,2938,1802,2909,,0.411664,0.129771,0.237273,0.650670,0.397689,0.705136,0.401361,0.306003,0.619151,0.697321,0.924335,0.876117,0.505285,0.636488
0.018035,0.179303,1157,1869,1353,2283,2603,2338,2207,2392,2742,1783,3508,2937,1803,2908,,0.412521,0.127863,0.235455,0.651786,0.397009,0.703928,0.399417,0.305271,0.620239,0.698214,0.924335,0.875479,0.506342,0.635802
0.018002,0.197306,1157,1869,1353,2283,2603,2338,2207,2392,2742,1783,3508,2937,1803,2908,,0.412521,0.127863,0.235455,0.651786,0.397009,0.703928,0.399417,0.305271,0.620239,0.698214,0.924335,0.875479,0.506342,0.635802
0.017970,0.215276,1157,1868,1351,2282,2601,2338,2207,2391,2743,1782,3508,2936,1803,2907,,0.412521,0.126908,0.233636,0.650670,0.395649,0.703928,0.399417,0.304539,0.621328,0.697321,0.924335,0.874840,0.506342,0.635117
0.018022,0.233297,1157,1869,1350,2282,2601,2338,2209,2391,2743,1782,3508,2937,1802,2907,,0.412521,0.127863,0.232727,0.650670,0.395649,0.703928,0.401361,0.304539,0.621328,0.697321,0.924335,0.875479,0.505285,0.635117
0.017974,0.251272,1157,1868,1350,2283,2601,2339,2209,2390,2745,1783,3508,2936,1803,2908,,0.412521,0.126908,0.232727,0.651786,0.395649,0.704532,0.401361,0.303807,0.623504,0.698214,0.924335,0.874840,0.506342,0.635802
0.018038,0.269309,1157,1868,1350,2283,2601,2339,2209,2390,2745,1783,3508,2936,1803,2908,,0.412521,0.126908,0.232727,0.651786,0.395649,0.704532,0.401361,0.303807,0.623504,0.698214,0.924335,0.874840,0.506342,0.635802
0.017964,0.287274,1158,1869,1350,2284,2600,2338,2207,2389,2746,1783,3508,2936,1803,2907,,0.413379,0.127863,0.232727,0.652902,0.394969,0.703928,0.399417,0.303075,0.624592,0.698214,0.924335,0.874840,0.506342,0.635117
0.018013,0.305287,1159,1869,1349,2285,2599,2337,2209,2388,2746,1783,3507,2936,1803,2906,,0.414237,0.127863,0.231818,0.654018,0.394290,0.703323,0.401361,0.302343,0.624592,0.698214,0.923313,0.874840,0.506342,0.634431
0.018018,0.323305,1159,1867,1348,2286,2599,2336,2213,2387,2745,1783,3506,2936,1803,2906,,0.414237,0.125954,0.230909,0.655134,0.394290,0.702719,0.405248,0.301611,0.623504,0.698214,0.922290,0.874840,0.506342,0.634431
0.017995,0.341300,1160,1868,1348,2286,2599,2336,2215,2386,2746,1783,3507,2936,1803,2905,,0.415094,0.126908,0.230909,0.655134,0.394290,0.702719,0.407191,0.300878,0.624592,0.698214,0.923313,0.874840,0.506342,0.633745
0.018031,0.359331,1160,1868,1349,2287,2599,2336,2215,2387,2747,1784,3507,2937,1803,2906,,0.415094,0.126908,0.231818,0.656250,0.394290,0.702719,0.407191,0.301611,0.625680,0.699107,0.923313,0.875479,0.506342,0.634431
0.017977,0.377308,1161,1868,1349,2287,2598,2336,2213,2387,2746,1784,3507,2936,1803,2906,,0.415952,0.126908,0.231818,0.656250,0.393610,0.702719,0.405248,0.301611,0.624592,0.699107,0.923313,0.874840,0.506342,0.634431
0.018002,0.395310,1161,1869,1349,2285,2598,2336,2216,2386,2748,1785,3507,2936,1804,2905,,0.415952,0.127863,0.231818,0.654018,0.393610,0.702719,0.408163,0.300878,0.626768,0.700000,0.923313,0.874840,0.507400,0.633745
0.018003,0.413313,1161,1869,1349,2285,2598,2336,2216,2386,2748,1785,3507,2936,1804,2905,,0.415952,0.127863,0.231818,0.654018,0.393610,0.702719,0.408163,0.300878,0.626768,0.700000,0.923313,0.874840,0.507400,0.633745
0.017966,0.431280,1162,1869,1349,2286,2597,2336,2220,2386,2748,1785,3506,2936,1804,2902,,0.416810,0.127863,0.231818,0.655134,0.392930,0.702719,0.412051,0.300878,0.626768,0.700000,0.922290,0.874840,0.507400,0.631687
0.018028,0.449307,1162,1869,1349,2287,2597,2336,2221,2386,2749,1786,3506,2936,1805,2899,,0.416810,0.127863,0.231818,0.656250,0.392930,0.702719,0.413022,0.300878,0.627856,0.700893,0.922290,0.874840,0.508457,0.629630
0.018013,0.467321,1163,1870,1353,2285,2596,2336,2223,2387,2748,1786,3504,2936,1804,2897,,0.417667,0.128817,0.235455,0.654018,0.392250,0.702719,0.414966,0.301611,0.626768,0.700893,0.920245,0.874840,0.507400,0.628258
0.018005,0.485326,1164,1871,1357,2284,2596,2335,2224,2387,2749,1787,3504,2936,1804,2896,,0.418525,0.129771,0.239091,0.652902,0.392250,0.702115,0.415938,0.301611,0.627856,0.701786,0.920245,0.874840,0.507400,0.627572
0.017997,0.503323,1163,1871,1360,2283,2596,2335,2225,2387,2750,1787,3505,2937,1805,2897,,0.417667,0.129771,0.241818,0.651786,0.392250,0.702115,0.416910,0.301611,0.628945,0.701786,0.921268,0.875479,0.508457,0.628258
0.017989,0.521312,1163,1873,1363,2283,2595,2333,2224,2387,2749,1788,3504,2937,1806,2897,,0.417667,0.131679,0.244545,0.651786,0.391570,0.700906,0.415938,0.301611,0.627856,0.702679,0.920245,0.875479,0.509514,0.628258
0.017974,0.539286,1163,1873,1365,2283,2595,2334,2223,2388,2750,1787,3504,2936,1805,2897,,0.417667,0.131679,0.246364,0.651786,0.391570,0.701511,0.414966,0.302343,0.628945,0.701786,0.920245,0.874840,0.508457,0.628258
0.018027,0.557313,1164,1873,1366,2283,2594,2333,2224,2387,2749,1787,3504,2937,1805,2897,,0.418525,0.131679,0.247273,0.651786,0.390891,0.700906,0.415938,0.301611,0.627856,0.701786,0.920245,0.875479,0.508457,0.628258
0.018010,0.575323,1164,1873,1366,2284,2594,2333,2224,2387,2750,1788,3504,2937,1805,2897,,0.418525,0.131679,0.247273,0.652902,0.390891,0.700906,0.415938,0.301611,0.628945,0.702679,0.920245,0.875479,0.508457,0.628258
0.017994,0.593318,1165,1875,1366,2284,2594,2334,2223,2386,2751,1788,3504,2937,1806,2897,,0.419383,0.133588,0.247273,0.652902,0.390891,0.701511,0.414966,0.300878,0.630033,0.702679,0.920245,0.875479,0.509514,0.628258
0.017995,0.611312,1165,1874,1365,2285,2594,2333,2222,2386,2750,1789,3504,2937,1805,2897,,0.419383,0.132634,0.246364,0.654018,0.390891,0.700906,0.413994,0.300878,0.628945,0.703571,0.920245,0.875479,0.508457,0.628258
0.018008,0.629320,1165,1874,1363,2285,2594,2333,2221,2386,2751,1789,3504,2937,1805,2896,,0.419383,0.132634,0.244545,0.654018,0.390891,0.700906,0.413022,0.300878,0.630033,0.703571,0.920245,0.875479,0.508457,0.627572
0.017995,0.647315,1165,1874,1362,2286,2593,2334,2222,2387,2752,1788,3504,2937,1805,2896,,0.419383,0.132634,0.243636,0.655134,0.390211,0.701511,0.413994,0.301611,0.631121,0.702679,0.920245,0.875479,0.508457,0.627572
0.018002,0.665318,1164,1873,1363,2287,2593,2333,2223,2385,2751,1789,3504,2937,1806,2895,,0.418525,0.131679,0.244545,0.656250,0.390211,0.700906,0.414966,0.300146,0.630033,0.703571,0.920245,0.875479,0.509514,0.626886
0.018020,0.683337,1166,1875,1362,2288,2593,2333,2220,2385,2751,1789,3504,2937,1805,2895,,0.420240,0.133588,0.243636,0.657366,0.390211,0.700906,0.412051,0.300146,0.630033,0.703571,0.920245,0.875479,0.508457,0.626886
0.018001,0.701339,1165,1875,1362,2288,2592,2333,2218,2386,2751,1789,3504,2936,1805,2896,,0.419383,0.133588,0.243636,0.657366,0.389531,0.700906,0.410107,0.300878,0.630033,0.703571,0.920245,0.874840,0.508457,0.627572
0.017986,0.719325,1165,1874,1361,2288,2592,2333,2217,2385,2752,1789,3504,2937,1805,2897,,0.419383,0.132634,0.242727,0.657366,0.389531,0.700906,0.409135,0.300146,0.631121,0.703571,0.920245,0.875479,0.508457,0.628258
0.018003,0.737328,1165,1874,1359,2288,2591,2332,2216,2385,2752,1789,3504,2936,1805,2897,,0.419383,0.132634,0.240909,0.657366,0.388851,0.700302,0.408163,0.300146,0.631121,0.703571,0.920245,0.874840,0.508457,0.628258
0.017991,0.755319,1166,1874,1360,2289,2590,2333,2217,2385,2753,1789,3504,2937,1805,2896,,0.420240,0.132634,0.241818,0.658482,0.388171,0.700906,0.409135,0.300146,0.632209,0.703571,0.920245,0.875479,0.508457,0.627572
0.017993,0.773313,1166,1874,1358,2290,2590,2333,2210,2386,2754,1789,3505,2936,1805,2898,,0.420240,0.132634,0.240000,0.659598,0.388171,0.700906,0.402332,0.300878,0.633297,0.703571,0.921268,0.874840,0.508457,0.628944
0.018021,0.791334,1167,1874,1358,2290,2590,2333,2209,2385,2753,1789,3503,2936,1805,2897,,0.421098,0.132634,0.240000,0.659598,0.388171,0.700906,0.401361,0.300146,0.632209,0.703571,0.919223,0.874840,0.508457,0.628258
0.017969,0.809303,1166,1874,1356,2290,2590,2333,2211,2384,2753,1789,3504,2936,1804,2898,,0.420240,0.132634,0.238182,0.659598,0.388171,0.700906,0.403304,0.299414,0.632209,0.703571,0.920245,0.874840,0.507400,0.628944
0.018036,0.827339,1167,1874,1355,2291,2589,2334,2211,2384,2754,1790,3504,2936,1804,2897,,0.421098,0.132634,0.237273,0.660714,0.387491,0.701511,0.403304,0.299414,0.633297,0.704464,0.920245,0.874840,0.507400,0.628258
0.017985,0.845324,1167,1874,1354,2291,2589,2334,2210,2384,2754,1789,3504,2936,1804,2897,,0.421098,0.132634,0.236364,0.660714,0.387491,0.701511,0.402332,0.299414,0.633297,0.703571,0.920245,0.874840,0.507400,0.628258
0.018010,0.863335,1167,1874,1353,2291,2588,2333,2209,2383,2754,1789,3503,2936,1804,2897,,0.421098,0.132634,0.235455,0.660714,0.386812,0.700906,0.401361,0.298682,0.633297,0.703571,0.919223,0.874840,0.507400,0.628258
0.018000,0.881334,1168,1877,1351,2292,2588,2334,2214,2383,2754,1789,3503,2936,1805,2894,,0.421955,0.135496,0.233636,0.661830,0.386812,0.701511,0.406220,0.298682,0.633297,0.703571,0.919223,0.874840,0.508457,0.626200
0.017993,0.899327,1170,1877,1351,2293,2588,2336,2215,2384,2754,1790,3502,2936,1806,2893,,0.423671,0.135496,0.233636,0.662946,0.386812,0.702719,0.407191,0.299414,0.633297,0.704464,0.918200,0.874840,0.509514,0.625514
0.017999,0.917327,1168,1877,1349,2293,2588,2335,2215,2384,2754,1791,3502,2936,1806,2893,,0.421955,0.135496,0.231818,0.662946,0.386812,0.702115,0.407191,0.299414,0.633297,0.705357,0.918200,0.874840,0.509514,0.625514
0.018008,0.935335,1171,1878,1349,2293,2587,2336,2213,2384,2754,1792,3502,2935,1805,2893,,0.424528,0.136450,0.231818,0.662946,0.386132,0.702719,0.405248,0.299414,0.633297,0.706250,0.918200,0.874202,0.508457,0.625514
0.017983,0.953318,1170,1878,1347,2293,2586,2336,2210,2384,2754,1791,3502,2936,1806,2893,,0.423671,0.136450,0.230000,0.662946,0.385452,0.702719,0.402332,0.299414,0.633297,0.705357,0.918200,0.874840,0.509514,0.625514
0.018018,0.971337,1170,1878,1347,2294,2587,2336,2209,2385,2755,1792,3502,2935,1806,2892,,0.423671,0.136450,0.230000,0.664063,0.386132,0.702719,0.401361,0.300146,0.634385,0.706250,0.918200,0.874202,0.509514,0.624829
0.017973,0.989309,1169,1878,1347,2293,2586,2335,2207,2384,2755,1792,3502,2936,1805,2893,,0.422813,0.136450,0.230000,0.662946,0.385452,0.702115,0.399417,0.299414,0.634385,0.706250,0.918200,0.874840,0.508457,0.625514
0.018024,1.007333,1170,1878,1346,2294,2587,2335,2207,2384,2756,1792,3501,2936,1805,2893,,0.423671,0.136450,0.229091,0.664063,0.386132,0.702115,0.399417,0.299414,0.635473,0.706250,0.917178,0.874840,0.508457,0.625514
