GloveManager recording started on 10/20/16 at 16:46:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017678,0.017678,1033,1852,1368,2277,2626,2350,2146,2528,2961,1269,3167,2851,1646,2586,,0.314407,0.111641,0.249091,0.645089,0.412644,0.711178,0.340136,0.404832,0.858542,0.239286,0.575665,0.820562,0.340381,0.414952
0.018043,0.035721,1034,1852,1367,2276,2626,2351,2147,2527,2960,1270,3166,2854,1646,2602,,0.315254,0.111641,0.248182,0.643973,0.412644,0.711782,0.341108,0.404100,0.857454,0.240179,0.574642,0.822478,0.340381,0.425926
0.017991,0.053713,1034,1852,1367,2278,2625,2351,2147,2528,2961,1271,3167,2854,1646,2611,,0.315254,0.111641,0.248182,0.646205,0.411965,0.711782,0.341108,0.404832,0.858542,0.241071,0.575665,0.822478,0.340381,0.432099
0.017990,0.071703,1034,1852,1366,2278,2626,2350,2148,2528,2960,1273,3171,2856,1647,2623,,0.315254,0.111641,0.247273,0.646205,0.412644,0.711178,0.342080,0.404832,0.857454,0.242857,0.579755,0.823755,0.341438,0.440329
0.018005,0.089708,1033,1851,1365,2279,2627,2350,2150,2529,2958,1275,3178,2857,1647,2637,,0.314407,0.110687,0.246364,0.647321,0.413324,0.711178,0.344023,0.405564,0.855277,0.244643,0.586912,0.824393,0.341438,0.449931
0.017992,0.107701,1035,1852,1364,2279,2627,2350,2151,2531,2954,1278,3187,2859,1647,2656,,0.316102,0.111641,0.245455,0.647321,0.413324,0.711178,0.344995,0.407028,0.850925,0.247321,0.596115,0.825670,0.341438,0.462963
0.018013,0.125714,1034,1851,1362,2279,2627,2348,2150,2531,2946,1285,3205,2862,1643,2691,,0.315254,0.110687,0.243636,0.647321,0.413324,0.709970,0.344023,0.407028,0.842220,0.253571,0.614519,0.827586,0.337209,0.486968
0.018009,0.143723,1033,1849,1355,2277,2631,2347,2151,2531,2935,1294,3236,2864,1639,2740,,0.314407,0.108779,0.237273,0.645089,0.416044,0.709366,0.344995,0.407028,0.830250,0.261607,0.646217,0.828863,0.332981,0.520576
0.017981,0.161704,1033,1847,1349,2277,2634,2345,2156,2532,2928,1306,3286,2869,1635,2802,,0.314407,0.106870,0.231818,0.645089,0.418083,0.708157,0.349854,0.407760,0.822633,0.272321,0.697342,0.832056,0.328753,0.563100
0.018006,0.179710,1037,1836,1352,2286,2639,2345,2173,2548,2925,1329,3443,2878,1664,2912,,0.317797,0.096374,0.234545,0.655134,0.421482,0.708157,0.366375,0.419473,0.819369,0.292857,0.857873,0.837803,0.359408,0.638546
0.017997,0.197707,1037,1836,1352,2286,2639,2345,2173,2548,2925,1329,3443,2878,1664,2912,,0.317797,0.096374,0.234545,0.655134,0.421482,0.708157,0.366375,0.419473,0.819369,0.292857,0.857873,0.837803,0.359408,0.638546
0.017973,0.215680,1054,1823,1364,2309,2644,2347,2220,2540,2898,1374,3501,2898,1722,2977,,0.332203,0.083969,0.245455,0.680804,0.424881,0.709366,0.412051,0.413616,0.789989,0.333036,0.917178,0.850575,0.420719,0.683128
0.018045,0.233725,1061,1824,1384,2326,2646,2347,2254,2519,2854,1410,3507,2909,1745,2998,,0.338136,0.084924,0.263636,0.699777,0.426241,0.709366,0.445092,0.398243,0.742111,0.365179,0.923313,0.857599,0.445032,0.697531
