GloveManager recording started on 10/20/16 at 16:48:49

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017931,0.017931,1140,1886,1437,2265,2536,2362,2170,2302,2719,1429,3542,2934,1674,3062,,0.405085,0.144084,0.311818,0.631696,0.351462,0.718429,0.363460,0.239385,0.595212,0.382143,0.959100,0.873563,0.369979,0.741427
0.018042,0.035973,1141,1887,1440,2265,2536,2362,2168,2302,2721,1430,3542,2935,1674,3063,,0.405932,0.145038,0.314545,0.631696,0.351462,0.718429,0.361516,0.239385,0.597388,0.383036,0.959100,0.874202,0.369979,0.742112
0.018008,0.053981,1140,1887,1439,2264,2535,2362,2167,2302,2721,1428,3543,2935,1673,3064,,0.405085,0.145038,0.313636,0.630580,0.350782,0.718429,0.360544,0.239385,0.597388,0.381250,0.960123,0.874202,0.368922,0.742798
0.018001,0.071982,1141,1886,1440,2264,2535,2363,2165,2302,2722,1427,3543,2935,1674,3065,,0.405932,0.144084,0.314545,0.630580,0.350782,0.719033,0.358601,0.239385,0.598477,0.380357,0.960123,0.874202,0.369979,0.743484
0.017995,0.089977,1141,1886,1441,2263,2535,2362,2164,2303,2723,1428,3544,2935,1674,3066,,0.405932,0.144084,0.315455,0.629464,0.350782,0.718429,0.357629,0.240117,0.599565,0.381250,0.961145,0.874202,0.369979,0.744170
0.018001,0.107978,1141,1886,1441,2263,2535,2362,2162,2303,2724,1426,3543,2935,1674,3067,,0.405932,0.144084,0.315455,0.629464,0.350782,0.718429,0.355685,0.240117,0.600653,0.379464,0.960123,0.874202,0.369979,0.744856
0.018001,0.125979,1142,1887,1443,2263,2534,2362,2160,2302,2725,1429,3544,2934,1674,3069,,0.406780,0.145038,0.317273,0.629464,0.350102,0.718429,0.353741,0.239385,0.601741,0.382143,0.961145,0.873563,0.369979,0.746228
0.018002,0.143981,1142,1887,1443,2263,2534,2362,2160,2302,2725,1429,3544,2934,1674,3069,,0.406780,0.145038,0.317273,0.629464,0.350102,0.718429,0.353741,0.239385,0.601741,0.382143,0.961145,0.873563,0.369979,0.746228
0.018001,0.161982,1142,1887,1444,2262,2533,2363,2157,2303,2726,1429,3543,2934,1674,3071,,0.406780,0.145038,0.318182,0.628348,0.349422,0.719033,0.350826,0.240117,0.602829,0.382143,0.960123,0.873563,0.369979,0.747599
0.018011,0.179993,1143,1888,1446,2263,2533,2364,2155,2302,2727,1430,3544,2934,1673,3072,,0.407627,0.145992,0.320000,0.629464,0.349422,0.719637,0.348882,0.239385,0.603917,0.383036,0.961145,0.873563,0.368922,0.748285
0.018000,0.197993,1143,1888,1447,2263,2534,2364,2155,2302,2727,1433,3545,2934,1675,3074,,0.407627,0.145992,0.320909,0.629464,0.350102,0.719637,0.348882,0.239385,0.603917,0.385714,0.962168,0.873563,0.371036,0.749657
0.018003,0.215996,1144,1888,1448,2264,2534,2364,2155,2302,2728,1435,3545,2934,1676,3077,,0.408475,0.145992,0.321818,0.630580,0.350102,0.719637,0.348882,0.239385,0.605005,0.387500,0.962168,0.873563,0.372093,0.751715
0.017996,0.233992,1144,1890,1448,2267,2537,2364,2157,2302,2728,1440,3545,2934,1677,3078,,0.408475,0.147901,0.321818,0.633929,0.352141,0.719637,0.350826,0.239385,0.605005,0.391964,0.962168,0.873563,0.373150,0.752401
0.017995,0.251987,1144,1893,1445,2271,2539,2366,2166,2302,2731,1460,3545,2936,1684,3082,,0.408475,0.150763,0.319091,0.638393,0.353501,0.720846,0.359572,0.239385,0.608270,0.409821,0.962168,0.874840,0.380550,0.755144
0.018000,0.269987,1144,1894,1443,2274,2541,2367,2168,2301,2733,1471,3544,2937,1686,3082,,0.408475,0.151718,0.317273,0.641741,0.354861,0.721450,0.361516,0.238653,0.610446,0.419643,0.961145,0.875479,0.382664,0.755144
0.018009,0.287996,1144,1895,1441,2277,2541,2367,2171,2301,2733,1482,3546,2938,1690,3084,,0.408475,0.152672,0.315455,0.645089,0.354861,0.721450,0.364432,0.238653,0.610446,0.429464,0.963190,0.876117,0.386892,0.756516
0.017994,0.305990,1145,1897,1438,2280,2544,2368,2174,2300,2733,1493,3545,2938,1693,3084,,0.409322,0.154580,0.312727,0.648438,0.356900,0.722054,0.367347,0.237921,0.610446,0.439286,0.962168,0.876117,0.390063,0.756516
0.018001,0.323991,1145,1898,1436,2281,2544,2368,2177,2300,2735,1507,3545,2939,1696,3085,,0.409322,0.155534,0.310909,0.649554,0.356900,0.722054,0.370262,0.237921,0.612622,0.451786,0.962168,0.876756,0.393235,0.757202
0.018003,0.341994,1145,1900,1435,2283,2544,2370,2179,2301,2736,1519,3544,2940,1699,3084,,0.409322,0.157443,0.310000,0.651786,0.356900,0.723263,0.372206,0.238653,0.613711,0.462500,0.961145,0.877395,0.396406,0.756516
0.017998,0.359992,1146,1901,1436,2283,2545,2371,2180,2301,2737,1527,3544,2940,1700,3083,,0.410169,0.158397,0.310909,0.651786,0.357580,0.723867,0.373178,0.238653,0.614799,0.469643,0.961145,0.877395,0.397463,0.755830
0.018007,0.377999,1147,1903,1434,2283,2543,2373,2181,2301,2737,1541,3545,2941,1704,3079,,0.411017,0.160305,0.309091,0.651786,0.356220,0.725076,0.374150,0.238653,0.614799,0.482143,0.962168,0.878033,0.401691,0.753086
0.017996,0.395995,1147,1903,1434,2283,2543,2373,2181,2301,2737,1541,3545,2941,1704,3079,,0.411017,0.160305,0.309091,0.651786,0.356220,0.725076,0.374150,0.238653,0.614799,0.482143,0.962168,0.878033,0.401691,0.753086
0.018003,0.413998,1148,1905,1432,2283,2542,2374,2182,2300,2739,1552,3545,2941,1707,3079,,0.411864,0.162214,0.307273,0.651786,0.355540,0.725680,0.375121,0.237921,0.616975,0.491964,0.962168,0.878033,0.404863,0.753086
0.018006,0.432004,1148,1905,1432,2284,2542,2375,2182,2300,2739,1556,3545,2941,1707,3079,,0.411864,0.162214,0.307273,0.652902,0.355540,0.726284,0.375121,0.237921,0.616975,0.495536,0.962168,0.878033,0.404863,0.753086
0.018000,0.450004,1149,1906,1430,2284,2541,2374,2181,2301,2739,1558,3545,2942,1708,3079,,0.412712,0.163168,0.305455,0.652902,0.354861,0.725680,0.374150,0.238653,0.616975,0.497321,0.962168,0.878672,0.405920,0.753086
0.017970,0.467975,1150,1907,1430,2284,2541,2375,2181,2302,2740,1559,3545,2941,1708,3079,,0.413559,0.164122,0.305455,0.652902,0.354861,0.726284,0.374150,0.239385,0.618063,0.498214,0.962168,0.878033,0.405920,0.753086
0.018023,0.485998,1150,1906,1429,2284,2541,2376,2179,2301,2740,1558,3545,2940,1708,3079,,0.413559,0.163168,0.304545,0.652902,0.354861,0.726888,0.372206,0.238653,0.618063,0.497321,0.962168,0.877395,0.405920,0.753086
0.018011,0.504009,1150,1907,1428,2283,2541,2376,2181,2301,2740,1559,3545,2941,1709,3079,,0.413559,0.164122,0.303636,0.651786,0.354861,0.726888,0.374150,0.238653,0.618063,0.498214,0.962168,0.878033,0.406977,0.753086
0.018003,0.522012,1150,1907,1427,2284,2541,2376,2182,2301,2739,1559,3546,2942,1708,3078,,0.413559,0.164122,0.302727,0.652902,0.354861,0.726888,0.375121,0.238653,0.616975,0.498214,0.963190,0.878672,0.405920,0.752401
0.017996,0.540008,1151,1906,1428,2284,2541,2376,2182,2302,2740,1560,3545,2941,1708,3078,,0.414407,0.163168,0.303636,0.652902,0.354861,0.726888,0.375121,0.239385,0.618063,0.499107,0.962168,0.878033,0.405920,0.752401
0.018002,0.558010,1151,1906,1428,2283,2541,2376,2182,2301,2740,1559,3545,2940,1708,3078,,0.414407,0.163168,0.303636,0.651786,0.354861,0.726888,0.375121,0.238653,0.618063,0.498214,0.962168,0.877395,0.405920,0.752401
0.017997,0.576007,1151,1906,1428,2282,2540,2377,2183,2301,2740,1560,3546,2940,1708,3078,,0.414407,0.163168,0.303636,0.650670,0.354181,0.727492,0.376093,0.238653,0.618063,0.499107,0.963190,0.877395,0.405920,0.752401
0.018003,0.594010,1152,1906,1428,2283,2541,2377,2184,2300,2740,1558,3546,2941,1706,3076,,0.415254,0.163168,0.303636,0.651786,0.354861,0.727492,0.377065,0.237921,0.618063,0.497321,0.963190,0.878033,0.403805,0.751029
0.017984,0.611994,1153,1905,1428,2283,2541,2377,2186,2300,2738,1555,3545,2941,1707,3076,,0.416102,0.162214,0.303636,0.651786,0.354861,0.727492,0.379009,0.237921,0.615887,0.494643,0.962168,0.878033,0.404863,0.751029
0.018032,0.630026,1153,1906,1428,2283,2542,2377,2187,2300,2739,1555,3545,2941,1707,3076,,0.416102,0.163168,0.303636,0.651786,0.355540,0.727492,0.379981,0.237921,0.616975,0.494643,0.962168,0.878033,0.404863,0.751029
0.017988,0.648014,1153,1905,1427,2284,2542,2377,2186,2300,2739,1555,3546,2940,1707,3076,,0.416102,0.162214,0.302727,0.652902,0.355540,0.727492,0.379009,0.237921,0.616975,0.494643,0.963190,0.877395,0.404863,0.751029
0.018013,0.666027,1153,1905,1427,2284,2542,2377,2186,2300,2739,1555,3546,2940,1707,3076,,0.416102,0.162214,0.302727,0.652902,0.355540,0.727492,0.379009,0.237921,0.616975,0.494643,0.963190,0.877395,0.404863,0.751029
0.017988,0.684015,1153,1905,1426,2284,2542,2377,2186,2300,2739,1555,3546,2940,1706,3076,,0.416102,0.162214,0.301818,0.652902,0.355540,0.727492,0.379009,0.237921,0.616975,0.494643,0.963190,0.877395,0.403805,0.751029
0.018007,0.702022,1153,1905,1425,2284,2541,2376,2186,2299,2738,1554,3545,2940,1706,3076,,0.416102,0.162214,0.300909,0.652902,0.354861,0.726888,0.379009,0.237189,0.615887,0.493750,0.962168,0.877395,0.403805,0.751029
0.018001,0.720024,1154,1905,1427,2284,2541,2377,2186,2299,2738,1558,3546,2940,1706,3076,,0.416949,0.162214,0.302727,0.652902,0.354861,0.727492,0.379009,0.237189,0.615887,0.497321,0.963190,0.877395,0.403805,0.751029
0.017992,0.738016,1154,1905,1427,2284,2541,2377,2186,2299,2738,1558,3546,2940,1706,3076,,0.416949,0.162214,0.302727,0.652902,0.354861,0.727492,0.379009,0.237189,0.615887,0.497321,0.963190,0.877395,0.403805,0.751029
0.018001,0.756017,1154,1905,1426,2284,2542,2376,2186,2299,2738,1557,3546,2939,1708,3074,,0.416949,0.162214,0.301818,0.652902,0.355540,0.726888,0.379009,0.237189,0.615887,0.496429,0.963190,0.876756,0.405920,0.749657
0.018001,0.774017,1154,1905,1424,2284,2542,2376,2187,2299,2738,1557,3545,2939,1707,3073,,0.416949,0.162214,0.300000,0.652902,0.355540,0.726888,0.379981,0.237189,0.615887,0.496429,0.962168,0.876756,0.404863,0.748971
0.018005,0.792022,1155,1904,1425,2283,2541,2376,2185,2299,2738,1556,3545,2939,1708,3072,,0.417797,0.161260,0.300909,0.651786,0.354861,0.726888,0.378037,0.237189,0.615887,0.495536,0.962168,0.876756,0.405920,0.748285
0.017993,0.810015,1156,1904,1424,2284,2541,2376,2184,2299,2739,1560,3545,2938,1708,3070,,0.418644,0.161260,0.300000,0.652902,0.354861,0.726888,0.377065,0.237189,0.616975,0.499107,0.962168,0.876117,0.405920,0.746914
0.018006,0.828021,1155,1904,1423,2283,2543,2375,2183,2300,2740,1564,3545,2939,1709,3070,,0.417797,0.161260,0.299091,0.651786,0.356220,0.726284,0.376093,0.237921,0.618063,0.502679,0.962168,0.876756,0.406977,0.746914
0.017995,0.846017,1157,1903,1423,2280,2545,2374,2181,2300,2742,1571,3544,2937,1712,3065,,0.419492,0.160305,0.299091,0.648438,0.357580,0.725680,0.374150,0.237921,0.620239,0.508929,0.961145,0.875479,0.410148,0.743484
0.018000,0.864017,1158,1902,1422,2277,2546,2374,2179,2299,2743,1574,3543,2936,1713,3063,,0.420339,0.159351,0.298182,0.645089,0.358260,0.725680,0.372206,0.237189,0.621328,0.511607,0.960123,0.874840,0.411205,0.742112
0.018003,0.882019,1158,1902,1422,2277,2546,2374,2179,2299,2743,1574,3543,2936,1713,3063,,0.420339,0.159351,0.298182,0.645089,0.358260,0.725680,0.372206,0.237189,0.621328,0.511607,0.960123,0.874840,0.411205,0.742112
0.018002,0.900022,1160,1902,1421,2275,2548,2373,2178,2300,2744,1575,3542,2937,1713,3059,,0.422034,0.159351,0.297273,0.642857,0.359619,0.725076,0.371234,0.237921,0.622416,0.512500,0.959100,0.875479,0.411205,0.739369
0.018011,0.918032,1160,1902,1421,2275,2549,2372,2179,2300,2744,1574,3541,2937,1713,3059,,0.422034,0.159351,0.297273,0.642857,0.360299,0.724471,0.372206,0.237921,0.622416,0.511607,0.958078,0.875479,0.411205,0.739369
0.017966,0.935999,1160,1902,1421,2274,2550,2373,2178,2300,2743,1572,3541,2937,1712,3058,,0.422034,0.159351,0.297273,0.641741,0.360979,0.725076,0.371234,0.237921,0.621328,0.509821,0.958078,0.875479,0.410148,0.738683
0.018027,0.954025,1160,1902,1421,2273,2550,2373,2178,2299,2743,1570,3541,2938,1712,3057,,0.422034,0.159351,0.297273,0.640625,0.360979,0.725076,0.371234,0.237189,0.621328,0.508036,0.958078,0.876117,0.410148,0.737997
