GloveManager recording started on 10/20/16 at 16:49:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017496,0.017496,1148,1871,1355,2253,2528,2368,2107,2347,2759,1394,3516,2956,1680,3094,,0.411864,0.129771,0.237273,0.618304,0.346023,0.722054,0.302235,0.272328,0.638738,0.350893,0.909272,0.887612,0.376321,0.763375
0.017991,0.035486,1149,1871,1355,2253,2528,2368,2107,2347,2760,1392,3516,2956,1679,3093,,0.412712,0.129771,0.237273,0.618304,0.346023,0.722054,0.302235,0.272328,0.639826,0.349107,0.909272,0.887612,0.375264,0.762689
0.018033,0.053519,1149,1870,1353,2253,2527,2368,2107,2346,2760,1390,3515,2955,1679,3093,,0.412712,0.128817,0.235455,0.618304,0.345343,0.722054,0.302235,0.271596,0.639826,0.347321,0.908275,0.886973,0.375264,0.762689
0.017972,0.071491,1149,1870,1353,2252,2527,2368,2106,2346,2761,1390,3516,2955,1680,3094,,0.412712,0.128817,0.235455,0.617188,0.345343,0.722054,0.301263,0.271596,0.640914,0.347321,0.909272,0.886973,0.376321,0.763375
0.018029,0.089519,1149,1870,1352,2253,2527,2368,2106,2347,2762,1390,3516,2956,1680,3094,,0.412712,0.128817,0.234545,0.618304,0.345343,0.722054,0.301263,0.272328,0.642002,0.347321,0.909272,0.887612,0.376321,0.763375
0.017951,0.107471,1149,1869,1350,2250,2527,2368,2105,2346,2763,1389,3515,2955,1679,3094,,0.412712,0.127863,0.232727,0.614955,0.345343,0.722054,0.300292,0.271596,0.643090,0.346429,0.908275,0.886973,0.375264,0.763375
0.018045,0.125516,1149,1869,1350,2250,2527,2368,2105,2346,2763,1389,3515,2955,1679,3094,,0.412712,0.127863,0.232727,0.614955,0.345343,0.722054,0.300292,0.271596,0.643090,0.346429,0.908275,0.886973,0.375264,0.763375
0.018002,0.143518,1150,1869,1348,2247,2527,2367,2105,2346,2765,1391,3515,2955,1680,3096,,0.413559,0.127863,0.230909,0.611607,0.345343,0.721450,0.300292,0.271596,0.645267,0.348214,0.908275,0.886973,0.376321,0.764746
0.018009,0.161527,1151,1868,1349,2244,2527,2368,2105,2347,2765,1394,3514,2954,1679,3095,,0.414407,0.126908,0.231818,0.608259,0.345343,0.722054,0.300292,0.272328,0.645267,0.350893,0.907278,0.886335,0.375264,0.764060
0.017993,0.179520,1154,1867,1350,2242,2528,2368,2105,2347,2766,1397,3512,2953,1679,3095,,0.416949,0.125954,0.232727,0.606027,0.346023,0.722054,0.300292,0.272328,0.646355,0.353571,0.905284,0.885696,0.375264,0.764060
0.017999,0.197519,1156,1867,1350,2238,2528,2368,2103,2348,2767,1400,3511,2954,1679,3095,,0.418644,0.125954,0.232727,0.601563,0.346023,0.722054,0.298348,0.273060,0.647443,0.356250,0.904287,0.886335,0.375264,0.764060
0.018008,0.215527,1157,1863,1349,2230,2531,2369,2102,2348,2768,1401,3511,2953,1678,3093,,0.419492,0.122137,0.231818,0.592634,0.348063,0.722659,0.297376,0.273060,0.648531,0.357143,0.904287,0.885696,0.374207,0.762689
0.017968,0.233495,1157,1863,1349,2230,2531,2369,2102,2348,2768,1401,3511,2953,1678,3093,,0.419492,0.122137,0.231818,0.592634,0.348063,0.722659,0.297376,0.273060,0.648531,0.357143,0.904287,0.885696,0.374207,0.762689
0.018025,0.251520,1158,1863,1352,2225,2532,2370,2101,2347,2769,1403,3511,2953,1678,3094,,0.420339,0.122137,0.234545,0.587054,0.348742,0.723263,0.296404,0.272328,0.649619,0.358929,0.904287,0.885696,0.374207,0.763375
0.018004,0.269524,1159,1863,1352,2225,2534,2370,2102,2348,2770,1406,3512,2953,1678,3096,,0.421186,0.122137,0.234545,0.587054,0.350102,0.723263,0.297376,0.273060,0.650707,0.361607,0.905284,0.885696,0.374207,0.764746
0.018005,0.287529,1158,1864,1351,2224,2535,2370,2102,2348,2771,1407,3513,2952,1678,3096,,0.420339,0.123092,0.233636,0.585938,0.350782,0.723263,0.297376,0.273060,0.651795,0.362500,0.906281,0.885057,0.374207,0.764746
0.018003,0.305532,1158,1864,1351,2225,2534,2369,2101,2348,2771,1407,3512,2952,1678,3097,,0.420339,0.123092,0.233636,0.587054,0.350102,0.722659,0.296404,0.273060,0.651795,0.362500,0.905284,0.885057,0.374207,0.765432
0.017996,0.323528,1158,1864,1352,2223,2534,2369,2100,2348,2772,1409,3512,2953,1677,3096,,0.420339,0.123092,0.234545,0.584821,0.350102,0.722659,0.295432,0.273060,0.652884,0.364286,0.905284,0.885696,0.373150,0.764746
0.017997,0.341525,1157,1864,1352,2224,2535,2368,2100,2347,2773,1408,3514,2953,1678,3098,,0.419492,0.123092,0.234545,0.585938,0.350782,0.722054,0.295432,0.272328,0.653972,0.363393,0.907278,0.885696,0.374207,0.766118
0.018002,0.359527,1157,1863,1350,2223,2537,2368,2101,2347,2774,1405,3513,2952,1677,3097,,0.419492,0.122137,0.232727,0.584821,0.352141,0.722054,0.296404,0.272328,0.655060,0.360714,0.906281,0.885057,0.373150,0.765432
0.017999,0.377526,1156,1864,1351,2224,2537,2368,2101,2346,2775,1404,3513,2953,1676,3095,,0.418644,0.123092,0.233636,0.585938,0.352141,0.722054,0.296404,0.271596,0.656148,0.359821,0.906281,0.885696,0.372093,0.764060
0.017986,0.395512,1156,1864,1350,2224,2537,2368,2100,2346,2775,1401,3513,2953,1676,3095,,0.418644,0.123092,0.232727,0.585938,0.352141,0.722054,0.295432,0.271596,0.656148,0.357143,0.906281,0.885696,0.372093,0.764060
0.018018,0.413530,1156,1864,1351,2223,2537,2369,2100,2346,2775,1400,3513,2953,1676,3095,,0.418644,0.123092,0.233636,0.584821,0.352141,0.722659,0.295432,0.271596,0.656148,0.356250,0.906281,0.885696,0.372093,0.764060
0.018002,0.431532,1156,1865,1351,2223,2537,2368,2100,2346,2776,1400,3513,2954,1677,3095,,0.418644,0.124046,0.233636,0.584821,0.352141,0.722054,0.295432,0.271596,0.657236,0.356250,0.906281,0.886335,0.373150,0.764060
0.018001,0.449534,1156,1865,1351,2223,2537,2369,2101,2346,2777,1400,3512,2954,1676,3095,,0.418644,0.124046,0.233636,0.584821,0.352141,0.722659,0.296404,0.271596,0.658324,0.356250,0.905284,0.886335,0.372093,0.764060
0.017979,0.467512,1157,1867,1351,2224,2538,2369,2101,2346,2777,1399,3513,2954,1676,3095,,0.419492,0.125954,0.233636,0.585938,0.352821,0.722659,0.296404,0.271596,0.658324,0.355357,0.906281,0.886335,0.372093,0.764060
