GloveManager recording started on 10/20/16 at 16:54:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018096,0.018095,1387,2066,1196,2394,3385,2494,2471,3253,2983,1768,3477,3011,1748,2221,,0.614407,0.315840,0.087179,0.775670,0.898093,0.805361,0.655977,0.908316,0.882481,0.684821,0.870389,0.922733,0.448203,0.164609
0.018007,0.036103,1389,2066,1196,2394,3386,2494,2471,3252,2983,1768,3477,3010,1748,2221,,0.616102,0.315840,0.087179,0.775670,0.898751,0.805361,0.655977,0.907605,0.882481,0.684821,0.870389,0.922095,0.448203,0.164609
0.018005,0.054108,1387,2066,1197,2394,3385,2494,2471,3252,2983,1767,3476,3011,1747,2220,,0.614407,0.315840,0.088034,0.775670,0.898093,0.805361,0.655977,0.907605,0.882481,0.683929,0.869392,0.922733,0.447146,0.163923
0.017998,0.072106,1387,2066,1197,2394,3386,2494,2471,3253,2983,1767,3476,3011,1748,2220,,0.614407,0.315840,0.088034,0.775670,0.898751,0.805361,0.655977,0.908316,0.882481,0.683929,0.869392,0.922733,0.448203,0.163923
0.017998,0.090104,1387,2066,1197,2395,3385,2493,2471,3253,2983,1766,3477,3011,1747,2218,,0.614407,0.315840,0.088034,0.776786,0.898093,0.804779,0.655977,0.908316,0.882481,0.683036,0.870389,0.922733,0.447146,0.162551
0.018024,0.108128,1387,2065,1196,2393,3385,2493,2471,3253,2983,1766,3478,3011,1747,2219,,0.614407,0.314885,0.087179,0.774554,0.898093,0.804779,0.655977,0.908316,0.882481,0.683036,0.871386,0.922733,0.447146,0.163237
0.017978,0.126106,1386,2065,1196,2394,3385,2493,2471,3253,2983,1766,3477,3010,1747,2218,,0.613559,0.314885,0.087179,0.775670,0.898093,0.804779,0.655977,0.908316,0.882481,0.683036,0.870389,0.922095,0.447146,0.162551
0.017976,0.144081,1386,2065,1196,2394,3385,2493,2471,3254,2983,1765,3477,3010,1746,2218,,0.613559,0.314885,0.087179,0.775670,0.898093,0.804779,0.655977,0.909026,0.882481,0.682143,0.870389,0.922095,0.446089,0.162551
0.018021,0.162102,1386,2064,1196,2394,3385,2493,2472,3254,2984,1765,3476,3010,1747,2219,,0.613559,0.313931,0.087179,0.775670,0.898093,0.804779,0.656949,0.909026,0.883569,0.682143,0.869392,0.922095,0.447146,0.163237
0.018015,0.180117,1385,2064,1196,2394,3384,2492,2471,3254,2983,1765,3476,3010,1747,2218,,0.612712,0.313931,0.087179,0.775670,0.897436,0.804196,0.655977,0.909026,0.882481,0.682143,0.869392,0.922095,0.447146,0.162551
0.017989,0.198106,1386,2064,1196,2393,3384,2492,2472,3254,2983,1765,3477,3011,1747,2219,,0.613559,0.313931,0.087179,0.774554,0.897436,0.804196,0.656949,0.909026,0.882481,0.682143,0.870389,0.922733,0.447146,0.163237
0.018001,0.216107,1386,2064,1197,2394,3385,2492,2471,3253,2983,1766,3477,3012,1747,2218,,0.613559,0.313931,0.088034,0.775670,0.898093,0.804196,0.655977,0.908316,0.882481,0.683036,0.870389,0.923372,0.447146,0.162551
