GloveManager recording started on 10/20/16 at 16:54:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017294,0.017294,1442,2093,1172,2387,3388,2460,2467,3256,2969,1752,3507,3008,1731,2224,,0.661017,0.341603,0.066667,0.767857,0.900066,0.785548,0.652089,0.910448,0.867247,0.670536,0.900299,0.920817,0.430233,0.166667
0.018025,0.035319,1440,2093,1171,2385,3390,2460,2466,3255,2969,1750,3508,3008,1732,2222,,0.659322,0.341603,0.065812,0.765625,0.901381,0.785548,0.651118,0.909737,0.867247,0.668750,0.901296,0.920817,0.431290,0.165295
0.018001,0.053320,1440,2092,1170,2384,3391,2460,2465,3255,2970,1748,3509,3008,1731,2221,,0.659322,0.340649,0.064957,0.764509,0.902038,0.785548,0.650146,0.909737,0.868335,0.666964,0.902293,0.920817,0.430233,0.164609
0.018001,0.071322,1438,2092,1170,2384,3391,2460,2464,3255,2969,1747,3509,3007,1732,2220,,0.657627,0.340649,0.064957,0.764509,0.902038,0.785548,0.649174,0.909737,0.867247,0.666071,0.902293,0.920179,0.431290,0.163923
0.018001,0.089323,1438,2090,1170,2384,3389,2461,2466,3255,2969,1746,3509,3008,1732,2220,,0.657627,0.338740,0.064957,0.764509,0.900723,0.786131,0.651118,0.909737,0.867247,0.665179,0.902293,0.920817,0.431290,0.163923
0.017968,0.107291,1439,2090,1171,2385,3389,2460,2465,3255,2970,1744,3509,3008,1731,2220,,0.658475,0.338740,0.065812,0.765625,0.900723,0.785548,0.650146,0.909737,0.868335,0.663393,0.902293,0.920817,0.430233,0.163923
0.018017,0.125307,1438,2090,1171,2385,3390,2460,2464,3255,2970,1743,3509,3008,1730,2220,,0.657627,0.338740,0.065812,0.765625,0.901381,0.785548,0.649174,0.909737,0.868335,0.662500,0.902293,0.920817,0.429175,0.163923
0.018030,0.143338,1438,2090,1171,2386,3389,2459,2465,3255,2970,1742,3509,3009,1732,2220,,0.657627,0.338740,0.065812,0.766741,0.900723,0.784965,0.650146,0.909737,0.868335,0.661607,0.902293,0.921456,0.431290,0.163923
0.017983,0.161320,1438,2090,1170,2385,3390,2459,2465,3255,2969,1742,3510,3009,1731,2220,,0.657627,0.338740,0.064957,0.765625,0.901381,0.784965,0.650146,0.909737,0.867247,0.661607,0.903290,0.921456,0.430233,0.163923
