GloveManager recording started on 10/20/16 at 16:53:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017450,0.017450,1408,2032,1153,2410,3416,2485,2482,3283,2968,1706,3523,3017,1732,2236,,0.632203,0.283397,0.050427,0.793527,0.918475,0.800117,0.666667,0.957540,0.866159,0.629464,0.916251,0.926565,0.431290,0.174897
0.018002,0.035452,1408,2031,1153,2409,3416,2485,2481,3283,2968,1704,3523,3017,1731,2237,,0.632203,0.282443,0.050427,0.792411,0.918475,0.800117,0.665695,0.957540,0.866159,0.627679,0.916251,0.926565,0.430233,0.175583
0.017991,0.053443,1408,2031,1153,2409,3416,2486,2481,3283,2968,1704,3523,3017,1732,2236,,0.632203,0.282443,0.050427,0.792411,0.918475,0.800699,0.665695,0.957540,0.866159,0.627679,0.916251,0.926565,0.431290,0.174897
0.018015,0.071459,1408,2031,1153,2409,3417,2485,2481,3283,2969,1704,3523,3017,1731,2235,,0.632203,0.282443,0.050427,0.792411,0.919132,0.800117,0.665695,0.957540,0.867247,0.627679,0.916251,0.926565,0.430233,0.174211
0.017980,0.089439,1408,2032,1153,2410,3416,2485,2480,3283,2969,1704,3522,3016,1731,2235,,0.632203,0.283397,0.050427,0.793527,0.918475,0.800117,0.664723,0.957540,0.867247,0.627679,0.915254,0.925926,0.430233,0.174211
0.018021,0.107460,1408,2031,1153,2409,3416,2485,2481,3282,2969,1703,3523,3016,1731,2236,,0.632203,0.282443,0.050427,0.792411,0.918475,0.800117,0.665695,0.956808,0.867247,0.626786,0.916251,0.925926,0.430233,0.174897
0.017963,0.125423,1408,2031,1152,2409,3418,2485,2481,3283,2969,1703,3522,3016,1730,2235,,0.632203,0.282443,0.049573,0.792411,0.919790,0.800117,0.665695,0.957540,0.867247,0.626786,0.915254,0.925926,0.429175,0.174211
0.018025,0.143448,1408,2032,1153,2409,3416,2485,2481,3283,2969,1703,3523,3016,1730,2236,,0.632203,0.283397,0.050427,0.792411,0.918475,0.800117,0.665695,0.957540,0.867247,0.626786,0.916251,0.925926,0.429175,0.174897
0.017999,0.161447,1408,2032,1152,2409,3417,2485,2482,3283,2969,1703,3523,3016,1730,2235,,0.632203,0.283397,0.049573,0.792411,0.919132,0.800117,0.666667,0.957540,0.867247,0.626786,0.916251,0.925926,0.429175,0.174211
