GloveManager recording started on 10/20/16 at 16:53:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017518,0.017518,1406,2060,1159,2396,3397,2497,2457,3286,2971,1734,3516,2998,1733,2202,,0.630508,0.310115,0.055556,0.777902,0.905983,0.807110,0.642371,0.931770,0.869423,0.654464,0.909272,0.914432,0.432347,0.151578
0.018013,0.035531,1406,2060,1159,2397,3398,2497,2456,3286,2971,1733,3516,2998,1733,2202,,0.630508,0.310115,0.055556,0.779018,0.906640,0.807110,0.641399,0.931770,0.869423,0.653571,0.909272,0.914432,0.432347,0.151578
0.017968,0.053499,1406,2060,1159,2397,3398,2497,2457,3286,2971,1733,3516,2998,1733,2202,,0.630508,0.310115,0.055556,0.779018,0.906640,0.807110,0.642371,0.931770,0.869423,0.653571,0.909272,0.914432,0.432347,0.151578
0.017979,0.071479,1405,2060,1159,2397,3398,2497,2457,3286,2970,1733,3516,2999,1733,2202,,0.629661,0.310115,0.055556,0.779018,0.906640,0.807110,0.642371,0.931770,0.868335,0.653571,0.909272,0.915070,0.432347,0.151578
0.018029,0.089507,1406,2061,1159,2397,3398,2497,2457,3286,2970,1734,3516,2999,1733,2202,,0.630508,0.311069,0.055556,0.779018,0.906640,0.807110,0.642371,0.931770,0.868335,0.654464,0.909272,0.915070,0.432347,0.151578
0.017995,0.107502,1406,2060,1159,2397,3399,2497,2457,3286,2970,1734,3516,2999,1733,2203,,0.630508,0.310115,0.055556,0.779018,0.907298,0.807110,0.642371,0.931770,0.868335,0.654464,0.909272,0.915070,0.432347,0.152263
0.018021,0.125523,1406,2060,1159,2397,3399,2497,2457,3286,2971,1734,3516,2999,1733,2202,,0.630508,0.310115,0.055556,0.779018,0.907298,0.807110,0.642371,0.931770,0.869423,0.654464,0.909272,0.915070,0.432347,0.151578
0.018006,0.143529,1406,2060,1159,2397,3398,2497,2457,3286,2971,1733,3516,3000,1734,2202,,0.630508,0.310115,0.055556,0.779018,0.906640,0.807110,0.642371,0.931770,0.869423,0.653571,0.909272,0.915709,0.433404,0.151578
0.018001,0.161530,1406,2061,1159,2397,3399,2498,2457,3287,2971,1734,3517,3000,1734,2202,,0.630508,0.311069,0.055556,0.779018,0.907298,0.807692,0.642371,0.932480,0.869423,0.654464,0.910269,0.915709,0.433404,0.151578
0.017996,0.179527,1406,2061,1159,2397,3399,2498,2457,3287,2971,1734,3517,3000,1734,2202,,0.630508,0.311069,0.055556,0.779018,0.907298,0.807692,0.642371,0.932480,0.869423,0.654464,0.910269,0.915709,0.433404,0.151578
0.017979,0.197506,1407,2060,1159,2397,3399,2497,2458,3287,2971,1735,3516,2999,1733,2202,,0.631356,0.310115,0.055556,0.779018,0.907298,0.807110,0.643343,0.932480,0.869423,0.655357,0.909272,0.915070,0.432347,0.151578
0.018024,0.215529,1408,2060,1159,2396,3399,2497,2458,3287,2971,1735,3517,3000,1733,2201,,0.632203,0.310115,0.055556,0.777902,0.907298,0.807110,0.643343,0.932480,0.869423,0.655357,0.910269,0.915709,0.432347,0.150892
0.017958,0.233487,1407,2060,1159,2397,3400,2498,2459,3287,2971,1736,3517,3000,1734,2202,,0.631356,0.310115,0.055556,0.779018,0.907955,0.807692,0.644315,0.932480,0.869423,0.656250,0.910269,0.915709,0.433404,0.151578
0.018058,0.251546,1407,2061,1159,2396,3400,2498,2458,3287,2971,1735,3517,3000,1733,2201,,0.631356,0.311069,0.055556,0.777902,0.907955,0.807692,0.643343,0.932480,0.869423,0.655357,0.910269,0.915709,0.432347,0.150892
