GloveManager recording started on 10/20/16 at 16:54:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017329,0.017329,1414,2072,1170,2417,3532,2503,2462,3191,2968,1706,3487,3017,1720,2249,,0.637288,0.321565,0.064957,0.801339,0.994740,0.810606,0.647230,0.864250,0.866159,0.629464,0.880359,0.926565,0.418605,0.183813
0.018023,0.035353,1414,2071,1169,2417,3532,2503,2462,3191,2968,1707,3486,3018,1719,2248,,0.637288,0.320611,0.064103,0.801339,0.994740,0.810606,0.647230,0.864250,0.866159,0.630357,0.879362,0.927203,0.417548,0.183128
0.018003,0.053355,1416,2072,1169,2417,3531,2502,2461,3190,2968,1706,3485,3017,1720,2249,,0.638983,0.321565,0.064103,0.801339,0.994083,0.810023,0.646259,0.863539,0.866159,0.629464,0.878365,0.926565,0.418605,0.183813
0.018000,0.071356,1416,2072,1169,2417,3531,2502,2461,3190,2968,1706,3485,3017,1720,2249,,0.638983,0.321565,0.064103,0.801339,0.994083,0.810023,0.646259,0.863539,0.866159,0.629464,0.878365,0.926565,0.418605,0.183813
0.018005,0.089361,1416,2073,1169,2417,3533,2502,2464,3191,2968,1707,3486,3018,1720,2247,,0.638983,0.322519,0.064103,0.801339,0.995398,0.810023,0.649174,0.864250,0.866159,0.630357,0.879362,0.927203,0.418605,0.182442
0.017995,0.107356,1417,2073,1169,2418,3532,2503,2463,3191,2967,1708,3487,3019,1720,2247,,0.639831,0.322519,0.064103,0.802455,0.994740,0.810606,0.648202,0.864250,0.865071,0.631250,0.880359,0.927842,0.418605,0.182442
0.018057,0.125413,1416,2073,1169,2418,3533,2502,2462,3191,2968,1708,3487,3018,1721,2247,,0.638983,0.322519,0.064103,0.802455,0.995398,0.810023,0.647230,0.864250,0.866159,0.631250,0.880359,0.927203,0.419662,0.182442
0.017981,0.143394,1416,2073,1169,2417,3534,2502,2463,3190,2968,1708,3487,3018,1725,2246,,0.638983,0.322519,0.064103,0.801339,0.996055,0.810023,0.648202,0.863539,0.866159,0.631250,0.880359,0.927203,0.423890,0.181756
0.017970,0.161364,1416,2073,1169,2417,3534,2502,2463,3190,2968,1708,3487,3018,1725,2246,,0.638983,0.322519,0.064103,0.801339,0.996055,0.810023,0.648202,0.863539,0.866159,0.631250,0.880359,0.927203,0.423890,0.181756
