GloveManager recording started on 10/20/16 at 16:56:43

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017438,0.017438,1302,1984,1209,2497,3261,2452,2405,3060,2897,1535,3411,2434,1792,2126,,0.542373,0.237595,0.098291,0.890625,0.816568,0.780886,0.591837,0.771144,0.788901,0.476786,0.804586,0.554278,0.494715,0.099451
0.018014,0.035452,1301,1982,1209,2497,3260,2452,2405,3060,2896,1535,3412,2435,1791,2126,,0.541525,0.235687,0.098291,0.890625,0.815911,0.780886,0.591837,0.771144,0.787813,0.476786,0.805583,0.554917,0.493657,0.099451
0.018001,0.053453,1300,1982,1209,2496,3259,2452,2405,3060,2896,1536,3412,2435,1791,2126,,0.540678,0.235687,0.098291,0.889509,0.815253,0.780886,0.591837,0.771144,0.787813,0.477679,0.805583,0.554917,0.493657,0.099451
0.018001,0.071454,1300,1981,1209,2497,3260,2452,2404,3061,2897,1536,3412,2435,1791,2126,,0.540678,0.234733,0.098291,0.890625,0.815911,0.780886,0.590865,0.771855,0.788901,0.477679,0.805583,0.554917,0.493657,0.099451
0.018004,0.089458,1300,1981,1209,2497,3260,2452,2404,3061,2897,1536,3412,2435,1791,2126,,0.540678,0.234733,0.098291,0.890625,0.815911,0.780886,0.590865,0.771855,0.788901,0.477679,0.805583,0.554917,0.493657,0.099451
0.017950,0.107408,1302,1982,1209,2498,3261,2452,2405,3062,2898,1537,3412,2435,1791,2125,,0.542373,0.235687,0.098291,0.891741,0.816568,0.780886,0.591837,0.772566,0.789989,0.478571,0.805583,0.554917,0.493657,0.098765
0.018049,0.125457,1301,1983,1210,2497,3262,2453,2405,3062,2897,1536,3412,2436,1791,2125,,0.541525,0.236641,0.099145,0.890625,0.817226,0.781469,0.591837,0.772566,0.788901,0.477679,0.805583,0.555556,0.493657,0.098765
0.017977,0.143434,1301,1982,1209,2497,3261,2452,2405,3062,2897,1536,3412,2435,1791,2125,,0.541525,0.235687,0.098291,0.890625,0.816568,0.780886,0.591837,0.772566,0.788901,0.477679,0.805583,0.554917,0.493657,0.098765
0.018022,0.161456,1300,1981,1210,2497,3261,2452,2405,3062,2898,1536,3411,2436,1791,2124,,0.540678,0.234733,0.099145,0.890625,0.816568,0.780886,0.591837,0.772566,0.789989,0.477679,0.804586,0.555556,0.493657,0.098080
0.018001,0.179457,1299,1980,1210,2497,3261,2453,2405,3062,2898,1536,3412,2436,1791,2124,,0.539831,0.233779,0.099145,0.890625,0.816568,0.781469,0.591837,0.772566,0.789989,0.477679,0.805583,0.555556,0.493657,0.098080
0.018010,0.197467,1300,1981,1209,2497,3261,2453,2405,3063,2897,1537,3411,2436,1790,2123,,0.540678,0.234733,0.098291,0.890625,0.816568,0.781469,0.591837,0.773276,0.788901,0.478571,0.804586,0.555556,0.492600,0.097394
