GloveManager recording started on 10/20/16 at 16:56:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017257,0.017257,1270,2023,1269,2537,3365,2452,2479,3126,2899,1533,3437,2508,1803,2136,,0.515254,0.274809,0.149573,0.935268,0.884944,0.780886,0.663751,0.818053,0.791077,0.475000,0.830508,0.601533,0.506342,0.106310
0.017996,0.035253,1270,2023,1269,2537,3365,2452,2478,3127,2900,1533,3437,2507,1803,2135,,0.515254,0.274809,0.149573,0.935268,0.884944,0.780886,0.662779,0.818763,0.792165,0.475000,0.830508,0.600894,0.506342,0.105624
0.018000,0.053253,1270,2022,1269,2537,3365,2452,2479,3127,2899,1533,3437,2507,1804,2135,,0.515254,0.273855,0.149573,0.935268,0.884944,0.780886,0.663751,0.818763,0.791077,0.475000,0.830508,0.600894,0.507400,0.105624
0.018001,0.071254,1269,2023,1270,2537,3366,2452,2481,3128,2900,1535,3437,2507,1803,2135,,0.514407,0.274809,0.150427,0.935268,0.885602,0.780886,0.665695,0.819474,0.792165,0.476786,0.830508,0.600894,0.506342,0.105624
0.018005,0.089259,1269,2022,1269,2537,3367,2452,2480,3127,2899,1535,3438,2507,1809,2134,,0.514407,0.273855,0.149573,0.935268,0.886259,0.780886,0.664723,0.818763,0.791077,0.476786,0.831505,0.600894,0.512685,0.104938
0.018006,0.107264,1268,2022,1270,2538,3365,2452,2480,3128,2901,1534,3437,2509,1802,2134,,0.513559,0.273855,0.150427,0.936384,0.884944,0.780886,0.664723,0.819474,0.793254,0.475893,0.830508,0.602171,0.505285,0.104938
0.017971,0.125236,1268,2022,1270,2538,3365,2452,2480,3128,2901,1534,3437,2509,1802,2134,,0.513559,0.273855,0.150427,0.936384,0.884944,0.780886,0.664723,0.819474,0.793254,0.475893,0.830508,0.602171,0.505285,0.104938
0.018053,0.143288,1270,2022,1269,2537,3366,2452,2479,3127,2900,1533,3437,2509,1803,2134,,0.515254,0.273855,0.149573,0.935268,0.885602,0.780886,0.663751,0.818763,0.792165,0.475000,0.830508,0.602171,0.506342,0.104938
0.017996,0.161284,1270,2021,1269,2536,3366,2451,2479,3128,2900,1533,3437,2509,1803,2134,,0.515254,0.272901,0.149573,0.934152,0.885602,0.780303,0.663751,0.819474,0.792165,0.475000,0.830508,0.602171,0.506342,0.104938
0.018009,0.179293,1269,2021,1269,2536,3365,2452,2479,3127,2900,1534,3437,2509,1802,2134,,0.514407,0.272901,0.149573,0.934152,0.884944,0.780886,0.663751,0.818763,0.792165,0.475893,0.830508,0.602171,0.505285,0.104938
0.018001,0.197294,1269,2021,1269,2537,3367,2452,2479,3127,2900,1535,3437,2511,1802,2134,,0.514407,0.272901,0.149573,0.935268,0.885602,0.781469,0.663751,0.819474,0.792165,0.476786,0.830508,0.603448,0.505285,0.104938
0.017967,0.215261,1268,2020,1270,2537,3367,2452,2480,3127,2900,1534,3437,2511,1803,2133,,0.513559,0.271947,0.150427,0.935268,0.886259,0.780886,0.664723,0.818763,0.792165,0.475893,0.830508,0.603448,0.506342,0.104252
0.018036,0.233297,1269,2021,1269,2537,3367,2452,2480,3127,2899,1534,3437,2511,1802,2133,,0.514407,0.272901,0.149573,0.935268,0.886259,0.780886,0.664723,0.818763,0.791077,0.475893,0.830508,0.603448,0.505285,0.104252
0.017980,0.251276,1269,2020,1269,2537,3367,2453,2480,3127,2900,1534,3438,2511,1801,2133,,0.514407,0.271947,0.149573,0.935268,0.886259,0.781469,0.664723,0.818763,0.792165,0.475893,0.831505,0.603448,0.504228,0.104252
0.018016,0.269292,1268,2021,1269,2537,3367,2452,2480,3128,2900,1534,3438,2511,1801,2134,,0.513559,0.272901,0.149573,0.935268,0.886259,0.780886,0.664723,0.819474,0.792165,0.475893,0.831505,0.603448,0.504228,0.104938
0.018000,0.287293,1268,2021,1269,2537,3367,2452,2480,3128,2900,1534,3438,2511,1801,2134,,0.513559,0.272901,0.149573,0.935268,0.886259,0.780886,0.664723,0.819474,0.792165,0.475893,0.831505,0.603448,0.504228,0.104938
0.018016,0.305309,1269,2021,1270,2537,3368,2453,2480,3128,2900,1536,3438,2513,1801,2133,,0.514407,0.272901,0.150427,0.935268,0.886917,0.781469,0.664723,0.819474,0.792165,0.477679,0.831505,0.604725,0.504228,0.104252
0.017995,0.323304,1268,2021,1270,2537,3368,2453,2480,3128,2900,1536,3438,2513,1801,2133,,0.513559,0.272901,0.150427,0.935268,0.886917,0.781469,0.664723,0.819474,0.792165,0.477679,0.831505,0.604725,0.504228,0.104252
0.017966,0.341270,1269,2020,1269,2536,3368,2452,2480,3128,2900,1536,3438,2514,1801,2133,,0.514407,0.271947,0.149573,0.934152,0.886917,0.780886,0.664723,0.819474,0.792165,0.477679,0.831505,0.605364,0.504228,0.104252
0.018024,0.359293,1268,2020,1269,2536,3367,2453,2480,3128,2901,1535,3437,2514,1801,2133,,0.513559,0.271947,0.149573,0.934152,0.886259,0.781469,0.664723,0.819474,0.793254,0.476786,0.830508,0.605364,0.504228,0.104252
0.017981,0.377274,1269,2020,1269,2536,3366,2453,2480,3128,2900,1535,3438,2514,1800,2132,,0.514407,0.271947,0.149573,0.934152,0.885602,0.781469,0.664723,0.819474,0.792165,0.476786,0.831505,0.605364,0.503171,0.103567
0.018020,0.395294,1268,2020,1269,2536,3367,2452,2479,3129,2900,1535,3438,2515,1800,2133,,0.513559,0.271947,0.149573,0.934152,0.886259,0.780886,0.663751,0.820185,0.792165,0.476786,0.831505,0.606003,0.503171,0.104252
0.018003,0.413298,1269,2020,1269,2536,3367,2453,2479,3129,2901,1535,3438,2517,1799,2132,,0.514407,0.271947,0.149573,0.934152,0.886259,0.781469,0.663751,0.820185,0.793254,0.476786,0.831505,0.607280,0.502114,0.103567
0.017981,0.431278,1269,2020,1269,2536,3367,2453,2479,3129,2901,1535,3438,2517,1799,2132,,0.514407,0.271947,0.149573,0.934152,0.886259,0.781469,0.663751,0.820185,0.793254,0.476786,0.831505,0.607280,0.502114,0.103567
0.017996,0.449274,1268,2020,1269,2536,3368,2453,2478,3128,2901,1534,3438,2518,1800,2133,,0.513559,0.271947,0.149573,0.934152,0.886917,0.781469,0.662779,0.819474,0.793254,0.475893,0.831505,0.607918,0.503171,0.104252
0.018009,0.467284,1269,2020,1270,2536,3367,2452,2478,3129,2901,1535,3438,2518,1799,2132,,0.514407,0.271947,0.150427,0.934152,0.886259,0.780886,0.662779,0.820185,0.793254,0.476786,0.831505,0.607918,0.502114,0.103567
0.018019,0.485303,1268,2021,1269,2535,3368,2452,2477,3128,2901,1533,3438,2518,1799,2132,,0.513559,0.272901,0.149573,0.933036,0.886917,0.780886,0.661808,0.819474,0.793254,0.475000,0.831505,0.607918,0.502114,0.103567
0.018003,0.503306,1268,2020,1269,2535,3368,2452,2477,3129,2901,1532,3437,2519,1798,2132,,0.513559,0.271947,0.149573,0.933036,0.886917,0.780886,0.661808,0.820185,0.793254,0.474107,0.830508,0.608557,0.501057,0.103567
0.017994,0.521300,1268,2019,1268,2534,3368,2453,2476,3128,2900,1532,3437,2520,1798,2132,,0.513559,0.270992,0.148718,0.931920,0.886917,0.781469,0.660836,0.819474,0.792165,0.474107,0.830508,0.609195,0.501057,0.103567
0.018009,0.539309,1268,2019,1268,2534,3368,2453,2476,3128,2900,1532,3437,2520,1798,2132,,0.513559,0.270992,0.148718,0.931920,0.886917,0.781469,0.660836,0.819474,0.792165,0.474107,0.830508,0.609195,0.501057,0.103567
0.017992,0.557301,1267,2018,1268,2534,3368,2452,2476,3128,2901,1531,3436,2520,1797,2132,,0.512712,0.270038,0.148718,0.931920,0.886917,0.780886,0.660836,0.819474,0.793254,0.473214,0.829511,0.609195,0.500000,0.103567
0.018008,0.575309,1267,2018,1268,2534,3368,2452,2476,3128,2901,1531,3436,2520,1797,2132,,0.512712,0.270038,0.148718,0.931920,0.886917,0.780886,0.660836,0.819474,0.793254,0.473214,0.829511,0.609195,0.500000,0.103567
0.017971,0.593280,1267,2018,1268,2533,3368,2453,2475,3128,2901,1531,3438,2522,1797,2132,,0.512712,0.270038,0.148718,0.930804,0.886917,0.781469,0.659864,0.819474,0.793254,0.473214,0.831505,0.610473,0.500000,0.103567
0.018002,0.611282,1267,2018,1268,2533,3368,2453,2475,3128,2901,1531,3438,2522,1797,2132,,0.512712,0.270038,0.148718,0.930804,0.886917,0.781469,0.659864,0.819474,0.793254,0.473214,0.831505,0.610473,0.500000,0.103567
0.018002,0.629283,1267,2017,1269,2533,3368,2452,2474,3128,2901,1530,3436,2524,1796,2132,,0.512712,0.269084,0.149573,0.930804,0.886917,0.780886,0.658892,0.819474,0.793254,0.472321,0.829511,0.611750,0.498943,0.103567
0.017999,0.647283,1267,2016,1268,2532,3367,2453,2474,3128,2901,1530,3437,2525,1796,2132,,0.512712,0.268130,0.148718,0.929688,0.886259,0.781469,0.658892,0.819474,0.793254,0.472321,0.830508,0.612388,0.498943,0.103567
0.018027,0.665310,1267,2018,1269,2533,3368,2453,2474,3129,2901,1531,3437,2525,1795,2131,,0.512712,0.270038,0.149573,0.930804,0.886917,0.781469,0.658892,0.820185,0.793254,0.473214,0.830508,0.612388,0.497886,0.102881
0.017978,0.683288,1267,2017,1268,2532,3368,2452,2474,3128,2902,1530,3438,2526,1794,2131,,0.512712,0.269084,0.148718,0.929688,0.886917,0.780886,0.658892,0.819474,0.794342,0.472321,0.831505,0.613027,0.496829,0.102881
0.018031,0.701319,1266,2017,1267,2531,3366,2452,2473,3128,2902,1528,3437,2527,1793,2131,,0.511864,0.269084,0.147863,0.928571,0.885602,0.780886,0.657920,0.819474,0.794342,0.470536,0.830508,0.613665,0.495772,0.102881
0.017991,0.719310,1266,2015,1267,2531,3367,2452,2472,3127,2901,1529,3437,2528,1793,2131,,0.511864,0.267176,0.147863,0.928571,0.886259,0.780886,0.656949,0.818763,0.793254,0.471429,0.830508,0.614304,0.495772,0.102881
0.018002,0.737312,1266,2015,1267,2531,3367,2452,2472,3127,2901,1529,3437,2528,1793,2131,,0.511864,0.267176,0.147863,0.928571,0.886259,0.780886,0.656949,0.818763,0.793254,0.471429,0.830508,0.614304,0.495772,0.102881
0.017985,0.755297,1267,2015,1267,2531,3367,2453,2471,3128,2902,1527,3437,2529,1793,2131,,0.512712,0.267176,0.147863,0.928571,0.886259,0.781469,0.655977,0.819474,0.794342,0.469643,0.830508,0.614943,0.495772,0.102881
0.018018,0.773315,1266,2014,1267,2531,3366,2452,2471,3128,2902,1527,3438,2530,1792,2131,,0.511864,0.266221,0.147863,0.928571,0.885602,0.780886,0.655977,0.819474,0.794342,0.469643,0.831505,0.615581,0.494715,0.102881
0.017996,0.791311,1265,2013,1267,2529,3367,2452,2470,3127,2902,1526,3436,2531,1791,2131,,0.511017,0.265267,0.147863,0.926339,0.886259,0.780886,0.655005,0.818763,0.794342,0.468750,0.829511,0.616220,0.493657,0.102881
