GloveManager recording started on 10/20/16 at 16:57:13

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017747,0.017747,1278,1915,1213,2487,3303,2451,2451,3202,2970,1601,3500,2474,1792,2147,,0.522034,0.171756,0.101709,0.879464,0.844181,0.780303,0.636540,0.872068,0.868335,0.535714,0.893320,0.579821,0.494715,0.113855
0.017978,0.035726,1278,1916,1214,2487,3303,2452,2451,3202,2970,1602,3500,2475,1791,2147,,0.522034,0.172710,0.102564,0.879464,0.844181,0.780886,0.636540,0.872068,0.868335,0.536607,0.893320,0.580460,0.493657,0.113855
0.018000,0.053726,1277,1915,1213,2487,3303,2451,2451,3202,2970,1602,3501,2477,1791,2146,,0.521186,0.171756,0.101709,0.879464,0.844181,0.780303,0.636540,0.872068,0.868335,0.536607,0.894317,0.581737,0.493657,0.113169
0.018026,0.071751,1277,1915,1213,2487,3303,2451,2451,3202,2970,1602,3501,2477,1791,2146,,0.521186,0.171756,0.101709,0.879464,0.844181,0.780303,0.636540,0.872068,0.868335,0.536607,0.894317,0.581737,0.493657,0.113169
0.018000,0.089752,1277,1916,1214,2487,3302,2451,2451,3202,2970,1602,3500,2476,1789,2145,,0.521186,0.172710,0.102564,0.879464,0.843524,0.780303,0.636540,0.872068,0.868335,0.536607,0.893320,0.581098,0.491543,0.112483
0.017999,0.107751,1277,1916,1214,2487,3302,2451,2451,3202,2970,1602,3500,2476,1789,2145,,0.521186,0.172710,0.102564,0.879464,0.843524,0.780303,0.636540,0.872068,0.868335,0.536607,0.893320,0.581098,0.491543,0.112483
0.018025,0.125776,1277,1916,1216,2486,3303,2452,2451,3202,2970,1602,3501,2478,1789,2146,,0.521186,0.172710,0.104274,0.878348,0.844181,0.780886,0.636540,0.872068,0.868335,0.536607,0.894317,0.582375,0.491543,0.113169
0.018005,0.143781,1276,1915,1214,2486,3302,2451,2451,3203,2970,1602,3499,2479,1788,2145,,0.520339,0.171756,0.102564,0.878348,0.843524,0.780303,0.636540,0.872779,0.868335,0.536607,0.892323,0.583014,0.490486,0.112483
0.017983,0.161764,1277,1915,1215,2486,3302,2451,2451,3203,2970,1601,3500,2480,1788,2144,,0.521186,0.171756,0.103419,0.878348,0.843524,0.780303,0.636540,0.872779,0.868335,0.535714,0.893320,0.583653,0.490486,0.111797
0.018011,0.179776,1275,1914,1214,2485,3302,2451,2451,3202,2970,1601,3501,2481,1788,2144,,0.519492,0.170802,0.102564,0.877232,0.843524,0.780303,0.636540,0.872068,0.868335,0.535714,0.894317,0.584291,0.490486,0.111797
0.018001,0.197777,1276,1914,1215,2485,3301,2451,2450,3203,2970,1601,3499,2481,1787,2143,,0.520339,0.170802,0.103419,0.877232,0.842867,0.780303,0.635568,0.872779,0.868335,0.535714,0.892323,0.584291,0.489429,0.111111
0.017978,0.215755,1275,1914,1214,2485,3302,2451,2450,3202,2971,1602,3500,2482,1787,2144,,0.519492,0.170802,0.102564,0.877232,0.843524,0.780303,0.635568,0.872068,0.869423,0.536607,0.893320,0.584930,0.489429,0.111797
0.018024,0.233780,1275,1914,1215,2485,3302,2451,2450,3203,2970,1602,3500,2481,1787,2143,,0.519492,0.170802,0.103419,0.877232,0.843524,0.780303,0.635568,0.872779,0.868335,0.536607,0.893320,0.584291,0.489429,0.111111
0.018007,0.251787,1275,1914,1215,2485,3302,2451,2451,3203,2971,1602,3500,2483,1787,2144,,0.519492,0.170802,0.103419,0.877232,0.843524,0.780303,0.636540,0.872779,0.869423,0.536607,0.893320,0.585568,0.489429,0.111797
0.018003,0.269790,1275,1914,1216,2486,3301,2451,2451,3203,2971,1601,3500,2483,1787,2143,,0.519492,0.170802,0.104274,0.878348,0.842867,0.780303,0.636540,0.872779,0.869423,0.535714,0.893320,0.585568,0.489429,0.111111
0.017972,0.287762,1275,1914,1216,2486,3303,2451,2451,3203,2970,1601,3500,2483,1787,2142,,0.519492,0.170802,0.104274,0.878348,0.844181,0.780303,0.636540,0.872779,0.868335,0.535714,0.893320,0.585568,0.489429,0.110425
0.018021,0.305783,1275,1914,1216,2486,3303,2451,2451,3203,2970,1601,3500,2483,1787,2142,,0.519492,0.170802,0.104274,0.878348,0.844181,0.780303,0.636540,0.872779,0.868335,0.535714,0.893320,0.585568,0.489429,0.110425
0.018002,0.323785,1275,1914,1215,2486,3302,2451,2450,3202,2971,1601,3500,2484,1787,2142,,0.519492,0.170802,0.103419,0.878348,0.843524,0.780303,0.635568,0.872068,0.869423,0.535714,0.893320,0.586207,0.489429,0.110425
0.017998,0.341783,1275,1914,1216,2486,3302,2451,2450,3203,2970,1601,3499,2484,1786,2142,,0.519492,0.170802,0.104274,0.878348,0.843524,0.780303,0.635568,0.872779,0.868335,0.535714,0.892323,0.586207,0.488372,0.110425
0.017980,0.359763,1273,1914,1216,2485,3302,2451,2449,3203,2971,1600,3500,2485,1786,2142,,0.517797,0.170802,0.104274,0.877232,0.843524,0.780303,0.634597,0.872779,0.869423,0.534821,0.893320,0.586845,0.488372,0.110425
0.018023,0.377786,1274,1914,1215,2484,3302,2451,2449,3203,2971,1600,3500,2486,1786,2141,,0.518644,0.170802,0.103419,0.876116,0.843524,0.780303,0.634597,0.872779,0.869423,0.534821,0.893320,0.587484,0.488372,0.109739
0.018005,0.395791,1274,1914,1216,2484,3302,2451,2450,3203,2971,1600,3500,2486,1785,2142,,0.518644,0.170802,0.104274,0.876116,0.843524,0.780303,0.635568,0.872779,0.869423,0.534821,0.893320,0.587484,0.487315,0.110425
0.018000,0.413791,1274,1914,1216,2485,3303,2451,2449,3203,2971,1600,3500,2485,1785,2142,,0.518644,0.170802,0.104274,0.877232,0.844181,0.780303,0.634597,0.872779,0.869423,0.534821,0.893320,0.586845,0.487315,0.110425
0.018000,0.431791,1274,1914,1216,2485,3303,2451,2449,3204,2971,1600,3499,2485,1785,2141,,0.518644,0.170802,0.104274,0.877232,0.844181,0.780303,0.634597,0.873490,0.869423,0.534821,0.892323,0.586845,0.487315,0.109739
0.018000,0.449791,1274,1914,1216,2485,3303,2451,2449,3204,2971,1600,3499,2485,1785,2141,,0.518644,0.170802,0.104274,0.877232,0.844181,0.780303,0.634597,0.873490,0.869423,0.534821,0.892323,0.586845,0.487315,0.109739
0.017998,0.467790,1274,1914,1216,2484,3303,2451,2449,3204,2972,1600,3500,2486,1785,2140,,0.518644,0.170802,0.104274,0.876116,0.844181,0.780303,0.634597,0.873490,0.870511,0.534821,0.893320,0.587484,0.487315,0.109053
0.017978,0.485768,1273,1914,1216,2484,3304,2451,2449,3205,2972,1600,3499,2486,1784,2141,,0.517797,0.170802,0.104274,0.876116,0.844839,0.780303,0.634597,0.874200,0.870511,0.534821,0.892323,0.587484,0.486258,0.109739
0.018034,0.503801,1272,1914,1215,2484,3303,2451,2449,3205,2971,1600,3500,2487,1784,2139,,0.516949,0.170802,0.103419,0.876116,0.844181,0.780303,0.634597,0.874200,0.869423,0.534821,0.893320,0.588123,0.486258,0.108368
0.017969,0.521770,1272,1914,1215,2484,3303,2451,2449,3205,2971,1600,3500,2487,1784,2139,,0.516949,0.170802,0.103419,0.876116,0.844181,0.780303,0.634597,0.874200,0.869423,0.534821,0.893320,0.588123,0.486258,0.108368
0.018032,0.539802,1272,1913,1214,2484,3304,2451,2449,3203,2971,1600,3499,2488,1783,2140,,0.516949,0.169847,0.102564,0.876116,0.844839,0.780303,0.634597,0.872779,0.869423,0.534821,0.892323,0.588761,0.485201,0.109053
0.018001,0.557803,1271,1913,1215,2484,3302,2451,2450,3203,2971,1600,3500,2489,1783,2140,,0.516102,0.169847,0.103419,0.876116,0.843524,0.780303,0.635568,0.872779,0.869423,0.534821,0.893320,0.589400,0.485201,0.109053
