GloveManager recording started on 10/20/16 at 16:57:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017241,0.017241,1281,1997,1228,2494,3281,2466,2423,3063,2953,1538,3416,2426,1768,2122,,0.524576,0.250000,0.114530,0.887277,0.829717,0.789044,0.609329,0.773276,0.849837,0.479464,0.809571,0.549170,0.469345,0.096708
0.017984,0.035225,1281,1997,1227,2493,3282,2466,2423,3063,2953,1537,3416,2426,1767,2121,,0.524576,0.250000,0.113675,0.886161,0.830375,0.789044,0.609329,0.773276,0.849837,0.478571,0.809571,0.549170,0.468288,0.096022
0.018041,0.053266,1281,1998,1227,2493,3282,2466,2423,3063,2954,1537,3416,2427,1766,2121,,0.524576,0.250954,0.113675,0.886161,0.830375,0.789044,0.609329,0.773276,0.850925,0.478571,0.809571,0.549808,0.467230,0.096022
0.017935,0.071201,1281,1997,1228,2493,3281,2466,2423,3062,2953,1537,3416,2427,1766,2122,,0.524576,0.250000,0.114530,0.886161,0.829717,0.789044,0.609329,0.772566,0.849837,0.478571,0.809571,0.549808,0.467230,0.096708
0.018015,0.089215,1281,1997,1227,2493,3281,2466,2423,3063,2953,1535,3416,2427,1766,2121,,0.524576,0.250000,0.113675,0.886161,0.829717,0.789044,0.609329,0.773276,0.849837,0.476786,0.809571,0.549808,0.467230,0.096022
0.018008,0.107223,1281,1997,1227,2492,3282,2466,2423,3063,2953,1536,3415,2427,1765,2121,,0.524576,0.250000,0.113675,0.885045,0.830375,0.789044,0.609329,0.773276,0.849837,0.477679,0.808574,0.549808,0.466173,0.096022
0.018024,0.125247,1280,1997,1227,2493,3283,2466,2424,3063,2954,1536,3416,2427,1766,2121,,0.523729,0.250000,0.113675,0.886161,0.831032,0.789044,0.610301,0.773276,0.850925,0.477679,0.809571,0.549808,0.467230,0.096022
0.017983,0.143229,1281,1998,1228,2493,3282,2466,2424,3064,2954,1537,3416,2428,1766,2122,,0.524576,0.250954,0.114530,0.886161,0.830375,0.789044,0.610301,0.773987,0.850925,0.478571,0.809571,0.550447,0.467230,0.096708
0.018023,0.161252,1282,1998,1227,2493,3283,2466,2424,3063,2954,1536,3415,2427,1765,2121,,0.525424,0.250954,0.113675,0.886161,0.831032,0.789044,0.610301,0.773276,0.850925,0.477679,0.808574,0.549808,0.466173,0.096022
