GloveManager recording started on 10/20/16 at 16:58:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017282,0.017281,1121,2041,1809,2260,2319,2048,2139,2482,2558,1479,3408,2970,1957,3061,,0.388983,0.291985,0.611111,0.626116,0.197239,0.545455,0.333333,0.360341,0.420022,0.426786,0.801595,0.896552,0.669133,0.740741
0.017977,0.035258,1121,2040,1809,2260,2320,2049,2139,2482,2559,1480,3408,2970,1959,3062,,0.388983,0.291031,0.611111,0.626116,0.197896,0.546037,0.333333,0.360341,0.421110,0.427679,0.801595,0.896552,0.671247,0.741427
0.018059,0.053317,1122,2041,1808,2261,2320,2048,2140,2482,2559,1480,3409,2970,1959,3062,,0.389830,0.291985,0.610256,0.627232,0.197896,0.545455,0.334305,0.360341,0.421110,0.427679,0.802592,0.896552,0.671247,0.741427
0.018014,0.071331,1121,2040,1808,2261,2319,2047,2141,2481,2559,1480,3409,2970,1959,3062,,0.388983,0.291031,0.610256,0.627232,0.197239,0.544872,0.335277,0.359630,0.421110,0.427679,0.802592,0.896552,0.671247,0.741427
0.017976,0.089307,1121,2040,1807,2261,2320,2046,2142,2482,2561,1480,3409,2970,1961,3062,,0.388983,0.291031,0.609402,0.627232,0.197896,0.544289,0.336249,0.360341,0.423286,0.427679,0.802592,0.896552,0.673362,0.741427
0.018009,0.107316,1121,2040,1808,2262,2320,2045,2142,2481,2561,1481,3408,2969,1961,3062,,0.388983,0.291031,0.610256,0.628348,0.197896,0.543706,0.336249,0.359630,0.423286,0.428571,0.801595,0.895913,0.673362,0.741427
0.017970,0.125286,1121,2040,1807,2262,2320,2044,2144,2480,2563,1481,3409,2970,1962,3061,,0.388983,0.291031,0.609402,0.628348,0.197896,0.543124,0.338192,0.358920,0.425462,0.428571,0.802592,0.896552,0.674419,0.740741
0.018038,0.143323,1122,2039,1807,2263,2320,2043,2143,2478,2563,1481,3409,2970,1961,3062,,0.389830,0.290076,0.609402,0.629464,0.197896,0.542541,0.337221,0.357498,0.425462,0.428571,0.802592,0.896552,0.673362,0.741427
0.017966,0.161289,1121,2039,1806,2263,2319,2041,2145,2478,2565,1480,3409,2969,1962,3061,,0.388983,0.290076,0.608547,0.629464,0.197239,0.541375,0.339164,0.357498,0.427639,0.427679,0.802592,0.895913,0.674419,0.740741
0.018032,0.179321,1121,2038,1805,2263,2320,2039,2145,2476,2567,1481,3409,2969,1962,3061,,0.388983,0.289122,0.607692,0.629464,0.197896,0.540210,0.339164,0.356077,0.429815,0.428571,0.802592,0.895913,0.674419,0.740741
0.017979,0.197300,1122,2038,1805,2263,2319,2038,2145,2476,2568,1482,3409,2969,1962,3061,,0.389830,0.289122,0.607692,0.629464,0.197239,0.539627,0.339164,0.356077,0.430903,0.429464,0.802592,0.895913,0.674419,0.740741
0.017988,0.215287,1122,2038,1805,2263,2319,2038,2145,2476,2568,1482,3409,2969,1962,3061,,0.389830,0.289122,0.607692,0.629464,0.197239,0.539627,0.339164,0.356077,0.430903,0.429464,0.802592,0.895913,0.674419,0.740741
0.018017,0.233304,1121,2037,1804,2262,2321,2037,2145,2475,2568,1480,3409,2969,1962,3062,,0.388983,0.288168,0.606838,0.628348,0.198554,0.539044,0.339164,0.355366,0.430903,0.427679,0.802592,0.895913,0.674419,0.741427
0.018012,0.251316,1122,2038,1804,2263,2320,2037,2146,2475,2569,1481,3409,2969,1963,3061,,0.389830,0.289122,0.606838,0.629464,0.197896,0.539044,0.340136,0.355366,0.431991,0.428571,0.802592,0.895913,0.675476,0.740741
0.018036,0.269352,1121,2038,1804,2263,2320,2037,2147,2475,2568,1482,3410,2969,1964,3061,,0.388983,0.289122,0.606838,0.629464,0.197896,0.539044,0.341108,0.355366,0.430903,0.429464,0.803589,0.895913,0.676533,0.740741
0.017965,0.287317,1122,2038,1804,2263,2321,2038,2147,2474,2569,1480,3409,2968,1963,3062,,0.389830,0.289122,0.606838,0.629464,0.198554,0.539627,0.341108,0.354655,0.431991,0.427679,0.802592,0.895275,0.675476,0.741427
0.017999,0.305317,1122,2038,1802,2262,2320,2038,2147,2474,2569,1481,3410,2968,1963,3062,,0.389830,0.289122,0.605128,0.628348,0.197896,0.539627,0.341108,0.354655,0.431991,0.428571,0.803589,0.895275,0.675476,0.741427
0.018004,0.323321,1121,2036,1802,2262,2320,2036,2147,2473,2570,1480,3409,2969,1962,3062,,0.388983,0.287214,0.605128,0.628348,0.197896,0.538462,0.341108,0.353945,0.433079,0.427679,0.802592,0.895913,0.674419,0.741427
0.018031,0.341351,1121,2036,1802,2262,2320,2037,2147,2473,2570,1481,3409,2968,1962,3061,,0.388983,0.287214,0.605128,0.628348,0.197896,0.539044,0.341108,0.353945,0.433079,0.428571,0.802592,0.895275,0.674419,0.740741
