GloveManager recording started on 10/20/16 at 16:58:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017532,0.017532,1117,2014,1861,2254,2314,1994,2122,2530,2584,1422,3446,2952,1969,3094,,0.385593,0.266221,0.655556,0.619420,0.193951,0.513986,0.316812,0.394456,0.448313,0.375893,0.839482,0.885057,0.681818,0.763375
0.018000,0.035533,1117,2014,1861,2254,2314,1994,2122,2530,2584,1422,3446,2952,1969,3094,,0.385593,0.266221,0.655556,0.619420,0.193951,0.513986,0.316812,0.394456,0.448313,0.375893,0.839482,0.885057,0.681818,0.763375
0.018015,0.053547,1117,2014,1859,2255,2315,1996,2122,2529,2584,1423,3447,2952,1971,3096,,0.385593,0.266221,0.653846,0.620536,0.194609,0.515152,0.316812,0.393746,0.448313,0.376786,0.840479,0.885057,0.683932,0.764746
0.017972,0.071519,1117,2014,1860,2255,2315,1997,2122,2529,2584,1424,3447,2952,1970,3096,,0.385593,0.266221,0.654701,0.620536,0.194609,0.515734,0.316812,0.393746,0.448313,0.377679,0.840479,0.885057,0.682875,0.764746
0.018029,0.089548,1116,2015,1859,2256,2314,1998,2123,2529,2583,1424,3448,2951,1971,3097,,0.384746,0.267176,0.653846,0.621652,0.193951,0.516317,0.317784,0.393746,0.447225,0.377679,0.841476,0.884419,0.683932,0.765432
0.018004,0.107552,1116,2015,1858,2256,2314,1998,2124,2529,2583,1425,3448,2952,1972,3097,,0.384746,0.267176,0.652991,0.621652,0.193951,0.516317,0.318756,0.393746,0.447225,0.378571,0.841476,0.885057,0.684989,0.765432
0.017971,0.125523,1117,2015,1858,2257,2314,1999,2124,2528,2585,1426,3448,2952,1973,3098,,0.385593,0.267176,0.652991,0.622768,0.193951,0.516900,0.318756,0.393035,0.449402,0.379464,0.841476,0.885057,0.686047,0.766118
0.018021,0.143544,1116,2015,1858,2257,2314,1999,2124,2528,2585,1427,3448,2951,1974,3098,,0.384746,0.267176,0.652991,0.622768,0.193951,0.516900,0.318756,0.393035,0.449402,0.380357,0.841476,0.884419,0.687104,0.766118
0.018011,0.161555,1116,2015,1856,2256,2314,2000,2125,2527,2584,1426,3448,2952,1974,3098,,0.384746,0.267176,0.651282,0.621652,0.193951,0.517483,0.319728,0.392324,0.448313,0.379464,0.841476,0.885057,0.687104,0.766118
0.017992,0.179547,1115,2015,1856,2258,2313,2000,2125,2527,2585,1428,3447,2951,1974,3098,,0.383898,0.267176,0.651282,0.623884,0.193294,0.517483,0.319728,0.392324,0.449402,0.381250,0.840479,0.884419,0.687104,0.766118
0.018013,0.197560,1115,2015,1856,2258,2313,2000,2125,2527,2585,1428,3447,2951,1974,3098,,0.383898,0.267176,0.651282,0.623884,0.193294,0.517483,0.319728,0.392324,0.449402,0.381250,0.840479,0.884419,0.687104,0.766118
0.017990,0.215550,1116,2016,1854,2257,2314,2000,2125,2527,2585,1428,3448,2952,1975,3098,,0.384746,0.268130,0.649573,0.622768,0.193951,0.517483,0.319728,0.392324,0.449402,0.381250,0.841476,0.885057,0.688161,0.766118
0.017956,0.233506,1115,2016,1854,2257,2313,2001,2125,2526,2585,1426,3448,2951,1974,3097,,0.383898,0.268130,0.649573,0.622768,0.193294,0.518065,0.319728,0.391613,0.449402,0.379464,0.841476,0.884419,0.687104,0.765432
0.018053,0.251559,1115,2016,1855,2257,2313,2000,2125,2526,2585,1427,3448,2951,1975,3098,,0.383898,0.268130,0.650427,0.622768,0.193294,0.517483,0.319728,0.391613,0.449402,0.380357,0.841476,0.884419,0.688161,0.766118
0.017986,0.269544,1115,2016,1854,2257,2313,2001,2126,2526,2585,1426,3447,2951,1975,3098,,0.383898,0.268130,0.649573,0.622768,0.193294,0.518065,0.320700,0.391613,0.449402,0.379464,0.840479,0.884419,0.688161,0.766118
0.018005,0.287549,1115,2016,1853,2256,2313,2000,2126,2525,2585,1426,3446,2951,1974,3098,,0.383898,0.268130,0.648718,0.621652,0.193294,0.517483,0.320700,0.390903,0.449402,0.379464,0.839482,0.884419,0.687104,0.766118
0.018003,0.305552,1115,2017,1853,2257,2313,2000,2126,2525,2585,1427,3448,2950,1975,3098,,0.383898,0.269084,0.648718,0.622768,0.193294,0.517483,0.320700,0.390903,0.449402,0.380357,0.841476,0.883780,0.688161,0.766118
0.018009,0.323561,1115,2016,1853,2257,2312,2001,2127,2525,2585,1426,3448,2950,1975,3099,,0.383898,0.268130,0.648718,0.622768,0.192636,0.518065,0.321672,0.390903,0.449402,0.379464,0.841476,0.883780,0.688161,0.766804
0.017970,0.341531,1115,2016,1853,2257,2313,2001,2126,2524,2585,1427,3447,2950,1976,3098,,0.383898,0.268130,0.648718,0.622768,0.193294,0.518065,0.320700,0.390192,0.449402,0.380357,0.840479,0.883780,0.689218,0.766118
0.018000,0.359531,1115,2016,1853,2256,2313,2001,2127,2525,2586,1428,3448,2951,1976,3099,,0.383898,0.268130,0.648718,0.621652,0.193294,0.518065,0.321672,0.390903,0.450490,0.381250,0.841476,0.884419,0.689218,0.766804
0.017973,0.377505,1115,2017,1854,2257,2313,2000,2127,2525,2586,1428,3448,2950,1975,3099,,0.383898,0.269084,0.649573,0.622768,0.193294,0.517483,0.321672,0.390903,0.450490,0.381250,0.841476,0.883780,0.688161,0.766804
0.018041,0.395545,1115,2016,1854,2256,2312,2000,2126,2525,2586,1428,3448,2951,1976,3099,,0.383898,0.268130,0.649573,0.621652,0.192636,0.517483,0.320700,0.390903,0.450490,0.381250,0.841476,0.884419,0.689218,0.766804
0.017988,0.413533,1115,2017,1854,2256,2312,2000,2126,2525,2586,1429,3446,2950,1975,3099,,0.383898,0.269084,0.649573,0.621652,0.192636,0.517483,0.320700,0.390903,0.450490,0.382143,0.839482,0.883780,0.688161,0.766804
0.018026,0.431560,1115,2017,1854,2257,2312,1999,2126,2524,2587,1428,3448,2950,1975,3098,,0.383898,0.269084,0.649573,0.622768,0.192636,0.516900,0.320700,0.390192,0.451578,0.381250,0.841476,0.883780,0.688161,0.766118
0.018010,0.449569,1114,2016,1853,2257,2311,2001,2127,2523,2586,1428,3447,2950,1975,3099,,0.383051,0.268130,0.648718,0.622768,0.191979,0.518065,0.321672,0.389481,0.450490,0.381250,0.840479,0.883780,0.688161,0.766804
0.017971,0.467541,1115,2017,1853,2257,2311,2000,2127,2520,2588,1428,3448,2949,1976,3099,,0.383898,0.269084,0.648718,0.622768,0.191979,0.517483,0.321672,0.387349,0.452666,0.381250,0.841476,0.883142,0.689218,0.766804
0.017996,0.485537,1114,2016,1853,2258,2311,2001,2128,2511,2589,1429,3447,2950,1976,3099,,0.383051,0.268130,0.648718,0.623884,0.191979,0.518065,0.322643,0.380952,0.453754,0.382143,0.840479,0.883780,0.689218,0.766804
0.018035,0.503572,1115,2015,1852,2258,2309,2000,2128,2507,2589,1429,3447,2950,1978,3100,,0.383898,0.267176,0.647863,0.623884,0.190664,0.517483,0.322643,0.378109,0.453754,0.382143,0.840479,0.883780,0.691332,0.767490
0.017992,0.521564,1113,2015,1852,2259,2310,2001,2129,2504,2590,1432,3448,2950,1980,3101,,0.382203,0.267176,0.647863,0.625000,0.191321,0.518065,0.323615,0.375977,0.454842,0.384821,0.841476,0.883780,0.693446,0.768176
0.017999,0.539563,1114,2016,1852,2260,2310,2002,2129,2503,2591,1433,3447,2950,1980,3102,,0.383051,0.268130,0.647863,0.626116,0.191321,0.518648,0.323615,0.375267,0.455930,0.385714,0.840479,0.883780,0.693446,0.768861
0.018003,0.557566,1115,2016,1853,2260,2310,2003,2128,2502,2590,1433,3448,2950,1980,3102,,0.383898,0.268130,0.648718,0.626116,0.191321,0.519231,0.322643,0.374556,0.454842,0.385714,0.841476,0.883780,0.693446,0.768861
0.018002,0.575569,1113,2015,1852,2259,2309,2004,2129,2502,2589,1432,3448,2950,1980,3101,,0.382203,0.267176,0.647863,0.625000,0.190664,0.519814,0.323615,0.374556,0.453754,0.384821,0.841476,0.883780,0.693446,0.768176
0.018000,0.593569,1114,2015,1852,2258,2308,2011,2127,2499,2587,1428,3448,2949,1979,3102,,0.383051,0.267176,0.647863,0.623884,0.190007,0.523893,0.321672,0.372424,0.451578,0.381250,0.841476,0.883142,0.692389,0.768861
