GloveManager recording started on 10/20/16 at 16:59:05

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017283,0.017283,1098,2005,1851,2241,2311,2046,2168,2433,2630,1552,3486,2985,1990,3290,,0.369492,0.257634,0.647009,0.604911,0.191979,0.544289,0.361516,0.325515,0.498368,0.491964,0.879362,0.906130,0.704017,0.897805
0.017908,0.035191,1098,2007,1853,2243,2313,2031,2171,2432,2631,1555,3486,2985,1993,3290,,0.369492,0.259542,0.648718,0.607143,0.193294,0.535548,0.364432,0.324805,0.499456,0.494643,0.879362,0.906130,0.707188,0.897805
0.018059,0.053250,1099,2008,1855,2245,2314,2017,2173,2432,2633,1558,3485,2986,1994,3291,,0.370339,0.260496,0.650427,0.609375,0.193951,0.527389,0.366375,0.324805,0.501632,0.497321,0.878365,0.906769,0.708245,0.898491
0.017992,0.071243,1099,2011,1858,2246,2315,1998,2177,2430,2635,1562,3485,2986,1996,3290,,0.370339,0.263359,0.652991,0.610491,0.194609,0.516317,0.370262,0.323383,0.503808,0.500893,0.878365,0.906769,0.710359,0.897805
0.018024,0.089267,1100,2012,1859,2247,2317,1981,2180,2428,2637,1564,3484,2986,1998,3290,,0.371186,0.264313,0.653846,0.611607,0.195924,0.506410,0.373178,0.321962,0.505985,0.502679,0.877368,0.906769,0.712474,0.897805
0.018016,0.107283,1100,2014,1861,2250,2318,1962,2188,2425,2639,1567,3484,2986,2002,3289,,0.371186,0.266221,0.655556,0.614955,0.196581,0.495338,0.380952,0.319829,0.508161,0.505357,0.877368,0.906769,0.716702,0.897119
0.017964,0.125248,1100,2014,1861,2250,2318,1962,2188,2425,2639,1567,3484,2986,2002,3289,,0.371186,0.266221,0.655556,0.614955,0.196581,0.495338,0.380952,0.319829,0.508161,0.505357,0.877368,0.906769,0.716702,0.897119
0.017970,0.143217,1099,2015,1863,2252,2317,1956,2191,2425,2640,1566,3484,2986,2003,3288,,0.370339,0.267176,0.657265,0.617188,0.195924,0.491841,0.383868,0.319829,0.509249,0.504464,0.877368,0.906769,0.717759,0.896433
0.018035,0.161252,1099,2015,1864,2252,2316,1958,2189,2425,2639,1566,3483,2986,2004,3287,,0.370339,0.267176,0.658120,0.617188,0.195266,0.493007,0.381924,0.319829,0.508161,0.504464,0.876371,0.906769,0.718816,0.895748
0.018005,0.179257,1099,2016,1864,2253,2315,1963,2188,2425,2637,1564,3484,2985,2005,3287,,0.370339,0.268130,0.658120,0.618304,0.194609,0.495921,0.380952,0.319829,0.505985,0.502679,0.877368,0.906130,0.719873,0.895748
