GloveManager recording started on 10/20/16 at 16:59:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017197,0.017197,1084,2026,1931,2270,2302,1881,2143,2431,2589,1512,3383,2964,1995,2874,,0.357627,0.277672,0.715385,0.637277,0.186062,0.448135,0.337221,0.324094,0.453754,0.456250,0.776670,0.892720,0.709302,0.612483
0.018006,0.035203,1084,2026,1932,2269,2303,1882,2144,2431,2589,1511,3383,2964,1995,2874,,0.357627,0.277672,0.716239,0.636161,0.186719,0.448718,0.338192,0.324094,0.453754,0.455357,0.776670,0.892720,0.709302,0.612483
0.017999,0.053202,1084,2026,1932,2270,2303,1881,2145,2430,2589,1512,3383,2964,1995,2875,,0.357627,0.277672,0.716239,0.637277,0.186719,0.448135,0.339164,0.323383,0.453754,0.456250,0.776670,0.892720,0.709302,0.613169
0.018035,0.071237,1085,2026,1931,2271,2303,1881,2146,2430,2590,1512,3383,2964,1996,2874,,0.358475,0.277672,0.715385,0.638393,0.186719,0.448135,0.340136,0.323383,0.454842,0.456250,0.776670,0.892720,0.710359,0.612483
0.017970,0.089207,1084,2026,1932,2271,2302,1882,2146,2430,2590,1511,3383,2964,1995,2875,,0.357627,0.277672,0.716239,0.638393,0.186062,0.448718,0.340136,0.323383,0.454842,0.455357,0.776670,0.892720,0.709302,0.613169
0.018002,0.107209,1084,2026,1932,2271,2302,1882,2146,2430,2590,1511,3383,2964,1995,2875,,0.357627,0.277672,0.716239,0.638393,0.186062,0.448718,0.340136,0.323383,0.454842,0.455357,0.776670,0.892720,0.709302,0.613169
0.017995,0.125204,1084,2026,1931,2271,2302,1883,2145,2430,2590,1512,3384,2964,1996,2875,,0.357627,0.277672,0.715385,0.638393,0.186062,0.449301,0.339164,0.323383,0.454842,0.456250,0.777667,0.892720,0.710359,0.613169
0.018003,0.143208,1084,2026,1931,2271,2302,1883,2146,2431,2590,1513,3383,2964,1996,2875,,0.357627,0.277672,0.715385,0.638393,0.186062,0.449301,0.340136,0.324094,0.454842,0.457143,0.776670,0.892720,0.710359,0.613169
0.017977,0.161185,1084,2026,1931,2271,2302,1883,2146,2430,2590,1511,3384,2965,1996,2875,,0.357627,0.277672,0.715385,0.638393,0.186062,0.449301,0.340136,0.323383,0.454842,0.455357,0.777667,0.893359,0.710359,0.613169
0.018030,0.179215,1084,2026,1931,2271,2302,1883,2145,2430,2590,1512,3383,2964,1996,2875,,0.357627,0.277672,0.715385,0.638393,0.186062,0.449301,0.339164,0.323383,0.454842,0.456250,0.776670,0.892720,0.710359,0.613169
0.017952,0.197167,1084,2026,1931,2271,2301,1883,2146,2429,2591,1512,3384,2963,1997,2875,,0.357627,0.277672,0.715385,0.638393,0.185404,0.449301,0.340136,0.322672,0.455930,0.456250,0.777667,0.892082,0.711416,0.613169
0.018047,0.215213,1084,2027,1931,2272,2301,1883,2146,2430,2591,1512,3383,2964,1996,2874,,0.357627,0.278626,0.715385,0.639509,0.185404,0.449301,0.340136,0.323383,0.455930,0.456250,0.776670,0.892720,0.710359,0.612483
0.018003,0.233216,1084,2026,1931,2272,2301,1882,2146,2429,2592,1512,3383,2964,1996,2875,,0.357627,0.277672,0.715385,0.639509,0.185404,0.448718,0.340136,0.322672,0.457018,0.456250,0.776670,0.892720,0.710359,0.613169
0.017993,0.251210,1084,2025,1930,2271,2300,1882,2145,2429,2592,1513,3383,2964,1996,2875,,0.357627,0.276718,0.714530,0.638393,0.184747,0.448718,0.339164,0.322672,0.457018,0.457143,0.776670,0.892720,0.710359,0.613169
0.017989,0.269198,1084,2026,1931,2272,2301,1883,2145,2429,2592,1513,3384,2965,1996,2875,,0.357627,0.277672,0.715385,0.639509,0.185404,0.449301,0.339164,0.322672,0.457018,0.457143,0.777667,0.893359,0.710359,0.613169
0.018015,0.287213,1085,2026,1931,2273,2301,1883,2147,2429,2592,1513,3384,2965,1996,2874,,0.358475,0.277672,0.715385,0.640625,0.185404,0.449301,0.341108,0.322672,0.457018,0.457143,0.777667,0.893359,0.710359,0.612483
0.018006,0.305219,1084,2026,1931,2272,2300,1883,2146,2429,2592,1512,3384,2964,1996,2875,,0.357627,0.277672,0.715385,0.639509,0.184747,0.449301,0.340136,0.322672,0.457018,0.456250,0.777667,0.892720,0.710359,0.613169
0.018001,0.323220,1084,2026,1931,2273,2300,1883,2146,2429,2592,1512,3383,2964,1996,2874,,0.357627,0.277672,0.715385,0.640625,0.184747,0.449301,0.340136,0.322672,0.457018,0.456250,0.776670,0.892720,0.710359,0.612483
0.018019,0.341239,1084,2026,1931,2273,2300,1884,2146,2429,2593,1514,3384,2964,1997,2874,,0.357627,0.277672,0.715385,0.640625,0.184747,0.449883,0.340136,0.322672,0.458107,0.458036,0.777667,0.892720,0.711416,0.612483
0.017979,0.359218,1084,2026,1931,2273,2300,1884,2146,2429,2593,1514,3384,2964,1997,2874,,0.357627,0.277672,0.715385,0.640625,0.184747,0.449883,0.340136,0.322672,0.458107,0.458036,0.777667,0.892720,0.711416,0.612483
0.018007,0.377225,1084,2025,1931,2273,2300,1884,2146,2428,2593,1513,3383,2965,1997,2874,,0.357627,0.276718,0.715385,0.640625,0.184747,0.449883,0.340136,0.321962,0.458107,0.457143,0.776670,0.893359,0.711416,0.612483
0.018008,0.395233,1083,2025,1930,2273,2299,1884,2147,2428,2593,1513,3384,2964,1997,2874,,0.356780,0.276718,0.714530,0.640625,0.184089,0.449883,0.341108,0.321962,0.458107,0.457143,0.777667,0.892720,0.711416,0.612483
0.017993,0.413226,1084,2025,1930,2273,2299,1884,2146,2427,2592,1514,3384,2964,1997,2874,,0.357627,0.276718,0.714530,0.640625,0.184089,0.449883,0.340136,0.321251,0.457018,0.458036,0.777667,0.892720,0.711416,0.612483
0.018000,0.431226,1084,2026,1930,2273,2300,1884,2146,2429,2592,1514,3384,2965,1997,2874,,0.357627,0.277672,0.714530,0.640625,0.184747,0.449883,0.340136,0.322672,0.457018,0.458036,0.777667,0.893359,0.711416,0.612483
