GloveManager recording started on 10/20/16 at 17:00:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017293,0.017293,1237,1958,1261,2180,2393,2044,2324,3354,2932,1381,3532,2914,1837,3015,,0.487288,0.212786,0.142735,0.536830,0.245891,0.543124,0.513120,0.980099,0.826986,0.339286,0.925224,0.860792,0.542283,0.709191
0.017981,0.035274,1237,1959,1261,2179,2393,2044,2323,3354,2932,1381,3532,2915,1837,3015,,0.487288,0.213740,0.142735,0.535714,0.245891,0.543124,0.512148,0.980099,0.826986,0.339286,0.925224,0.861430,0.542283,0.709191
0.018004,0.053278,1236,1958,1261,2180,2393,2045,2323,3354,2932,1381,3532,2915,1837,3015,,0.486441,0.212786,0.142735,0.536830,0.245891,0.543706,0.512148,0.980099,0.826986,0.339286,0.925224,0.861430,0.542283,0.709191
0.017996,0.071274,1237,1958,1260,2180,2392,2045,2322,3354,2932,1381,3532,2914,1836,3016,,0.487288,0.212786,0.141880,0.536830,0.245233,0.543706,0.511176,0.980099,0.826986,0.339286,0.925224,0.860792,0.541226,0.709877
0.017999,0.089273,1237,1958,1260,2180,2391,2046,2321,3354,2932,1380,3531,2914,1836,3015,,0.487288,0.212786,0.141880,0.536830,0.244576,0.544289,0.510204,0.980099,0.826986,0.338393,0.924227,0.860792,0.541226,0.709191
0.018005,0.107279,1237,1957,1259,2182,2391,2045,2323,3352,2932,1380,3532,2914,1835,3016,,0.487288,0.211832,0.141026,0.539063,0.244576,0.543706,0.512148,0.978678,0.826986,0.338393,0.925224,0.860792,0.540169,0.709877
0.018001,0.125280,1236,1958,1259,2182,2391,2046,2323,3354,2932,1380,3532,2913,1835,3016,,0.486441,0.212786,0.141026,0.539063,0.244576,0.544289,0.512148,0.980099,0.826986,0.338393,0.925224,0.860153,0.540169,0.709877
0.018007,0.143288,1237,1958,1259,2182,2391,2045,2322,3355,2931,1381,3532,2914,1835,3017,,0.487288,0.212786,0.141026,0.539063,0.244576,0.543706,0.511176,0.980810,0.825898,0.339286,0.925224,0.860792,0.540169,0.710562
0.017987,0.161275,1238,1958,1260,2183,2390,2047,2322,3354,2932,1382,3532,2914,1834,3018,,0.488136,0.212786,0.141880,0.540179,0.243918,0.544872,0.511176,0.980099,0.826986,0.340179,0.925224,0.860792,0.539112,0.711248
