GloveManager recording started on 10/20/16 at 17:00:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017490,0.017490,1224,1903,1276,2206,2362,2033,2292,3331,2918,1381,3521,2920,1846,3119,,0.476271,0.160305,0.155556,0.565848,0.225510,0.536713,0.482021,0.963753,0.811752,0.339286,0.914257,0.864623,0.551797,0.780521
0.017993,0.035483,1224,1904,1276,2207,2363,2034,2293,3330,2919,1381,3521,2920,1846,3119,,0.476271,0.161260,0.155556,0.566964,0.226167,0.537296,0.482993,0.963042,0.812840,0.339286,0.914257,0.864623,0.551797,0.780521
0.018005,0.053488,1224,1904,1276,2207,2363,2034,2293,3330,2919,1381,3521,2920,1846,3119,,0.476271,0.161260,0.155556,0.566964,0.226167,0.537296,0.482993,0.963042,0.812840,0.339286,0.914257,0.864623,0.551797,0.780521
0.018019,0.071507,1224,1903,1276,2207,2363,2035,2293,3331,2919,1382,3522,2919,1846,3119,,0.476271,0.160305,0.155556,0.566964,0.226167,0.537879,0.482993,0.963753,0.812840,0.340179,0.915254,0.863985,0.551797,0.780521
0.017995,0.089502,1224,1904,1275,2207,2361,2034,2293,3331,2918,1381,3521,2920,1846,3119,,0.476271,0.161260,0.154701,0.566964,0.224852,0.537296,0.482993,0.963753,0.811752,0.339286,0.914257,0.864623,0.551797,0.780521
0.017960,0.107462,1224,1903,1275,2207,2361,2034,2293,3331,2919,1381,3521,2920,1846,3119,,0.476271,0.160305,0.154701,0.566964,0.224852,0.537296,0.482993,0.963753,0.812840,0.339286,0.914257,0.864623,0.551797,0.780521
0.018027,0.125489,1223,1903,1276,2207,2361,2034,2292,3331,2918,1381,3521,2920,1845,3119,,0.475424,0.160305,0.155556,0.566964,0.224852,0.537296,0.482021,0.963753,0.811752,0.339286,0.914257,0.864623,0.550740,0.780521
0.018017,0.143506,1223,1904,1276,2206,2362,2034,2293,3331,2919,1381,3521,2920,1846,3119,,0.475424,0.161260,0.155556,0.565848,0.225510,0.537296,0.482993,0.963753,0.812840,0.339286,0.914257,0.864623,0.551797,0.780521
0.017985,0.161490,1224,1904,1277,2206,2361,2033,2292,3331,2919,1380,3521,2920,1846,3119,,0.476271,0.161260,0.156410,0.565848,0.224852,0.536713,0.482021,0.963753,0.812840,0.338393,0.914257,0.864623,0.551797,0.780521
