GloveManager recording started on 10/20/16 at 17:02:59

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017128,0.017128,1191,1948,1293,2251,2403,2079,2383,3349,2937,1497,3540,2948,1916,3132,,0.448305,0.203244,0.170085,0.616071,0.252465,0.563520,0.570457,0.976546,0.832427,0.442857,0.933200,0.882503,0.625793,0.789438
0.018000,0.035128,1191,1948,1293,2251,2403,2079,2383,3349,2937,1497,3540,2948,1916,3132,,0.448305,0.203244,0.170085,0.616071,0.252465,0.563520,0.570457,0.976546,0.832427,0.442857,0.933200,0.882503,0.625793,0.789438
0.018000,0.053128,1192,1948,1293,2253,2402,2080,2384,3349,2937,1497,3541,2948,1916,3133,,0.449153,0.203244,0.170085,0.618304,0.251808,0.564103,0.571429,0.976546,0.832427,0.442857,0.934197,0.882503,0.625793,0.790123
0.018001,0.071129,1192,1949,1294,2254,2403,2081,2384,3349,2937,1498,3540,2948,1916,3133,,0.449153,0.204198,0.170940,0.619420,0.252465,0.564685,0.571429,0.976546,0.832427,0.443750,0.933200,0.882503,0.625793,0.790123
0.018001,0.089131,1193,1950,1294,2254,2402,2080,2385,3349,2938,1497,3541,2948,1916,3133,,0.450000,0.205153,0.170940,0.619420,0.251808,0.564103,0.572400,0.976546,0.833515,0.442857,0.934197,0.882503,0.625793,0.790123
0.018000,0.107131,1191,1949,1294,2253,2402,2080,2385,3349,2938,1498,3540,2948,1916,3133,,0.448305,0.204198,0.170940,0.618304,0.251808,0.564103,0.572400,0.976546,0.833515,0.443750,0.933200,0.882503,0.625793,0.790123
0.018002,0.125133,1191,1949,1294,2253,2402,2080,2385,3349,2938,1498,3540,2948,1916,3133,,0.448305,0.204198,0.170940,0.618304,0.251808,0.564103,0.572400,0.976546,0.833515,0.443750,0.933200,0.882503,0.625793,0.790123
0.018001,0.143134,1192,1950,1293,2254,2402,2080,2384,3348,2937,1497,3541,2948,1917,3133,,0.449153,0.205153,0.170085,0.619420,0.251808,0.564103,0.571429,0.975835,0.832427,0.442857,0.934197,0.882503,0.626850,0.790123
0.018080,0.161214,1192,1949,1293,2255,2401,2080,2384,3349,2937,1498,3541,2948,1917,3134,,0.449153,0.204198,0.170085,0.620536,0.251151,0.564103,0.571429,0.976546,0.832427,0.443750,0.934197,0.882503,0.626850,0.790809
0.017922,0.179136,1191,1949,1292,2255,2401,2080,2385,3348,2938,1499,3540,2947,1917,3133,,0.448305,0.204198,0.169231,0.620536,0.251151,0.564103,0.572400,0.975835,0.833515,0.444643,0.933200,0.881865,0.626850,0.790123
0.018001,0.197137,1191,1950,1292,2256,2401,2080,2385,3350,2937,1498,3541,2947,1917,3133,,0.448305,0.205153,0.169231,0.621652,0.251151,0.564103,0.572400,0.977257,0.832427,0.443750,0.934197,0.881865,0.626850,0.790123
0.018000,0.215137,1190,1949,1292,2256,2401,2080,2384,3349,2937,1498,3541,2947,1916,3133,,0.447458,0.204198,0.169231,0.621652,0.251151,0.564103,0.571429,0.976546,0.832427,0.443750,0.934197,0.881865,0.625793,0.790123
0.017982,0.233120,1190,1949,1292,2256,2401,2080,2384,3349,2937,1498,3541,2947,1916,3133,,0.447458,0.204198,0.169231,0.621652,0.251151,0.564103,0.571429,0.976546,0.832427,0.443750,0.934197,0.881865,0.625793,0.790123
0.018019,0.251139,1191,1949,1292,2257,2400,2080,2383,3348,2938,1496,3541,2947,1915,3132,,0.448305,0.204198,0.169231,0.622768,0.250493,0.564103,0.570457,0.975835,0.833515,0.441964,0.934197,0.881865,0.624736,0.789438
0.018000,0.269139,1191,1950,1292,2257,2400,2080,2381,3347,2938,1491,3539,2947,1913,3130,,0.448305,0.205153,0.169231,0.622768,0.250493,0.564103,0.568513,0.975124,0.833515,0.437500,0.932203,0.881865,0.622622,0.788066
0.018002,0.287141,1191,1949,1293,2257,2399,2080,2375,3344,2938,1486,3539,2948,1909,3128,,0.448305,0.204198,0.170085,0.622768,0.249836,0.564103,0.562682,0.972992,0.833515,0.433036,0.932203,0.882503,0.618393,0.786694
0.018001,0.305142,1190,1949,1292,2256,2398,2082,2363,3339,2937,1471,3535,2948,1901,3118,,0.447458,0.204198,0.169231,0.621652,0.249178,0.565268,0.551020,0.969438,0.832427,0.419643,0.928215,0.882503,0.609937,0.779835
0.018000,0.323143,1187,1944,1287,2250,2393,2088,2306,3317,2937,1410,3521,2947,1858,3077,,0.444915,0.199427,0.164957,0.614955,0.245891,0.568765,0.495627,0.953802,0.832427,0.365179,0.914257,0.881865,0.564482,0.751715
0.018001,0.341144,1187,1944,1287,2250,2393,2088,2306,3317,2937,1410,3521,2947,1858,3077,,0.444915,0.199427,0.164957,0.614955,0.245891,0.568765,0.495627,0.953802,0.832427,0.365179,0.914257,0.881865,0.564482,0.751715
0.018024,0.359167,1176,1935,1278,2242,2389,2152,2248,3279,2934,1360,3493,2940,1804,3012,,0.435593,0.190840,0.157265,0.606027,0.243261,0.606061,0.439261,0.926795,0.829162,0.320536,0.886341,0.877395,0.507400,0.707133
0.017981,0.377148,1173,1930,1273,2238,2383,2187,2222,3250,2936,1334,3481,2936,1783,2976,,0.433051,0.186069,0.152991,0.601563,0.239316,0.626457,0.413994,0.906183,0.831338,0.297321,0.874377,0.874840,0.485201,0.682442
0.017997,0.395145,1171,1929,1271,2238,2378,2212,2202,3234,2938,1319,3476,2931,1769,2960,,0.431356,0.185115,0.151282,0.601563,0.236029,0.641026,0.394558,0.894812,0.833515,0.283929,0.869392,0.871648,0.470402,0.671468
0.017981,0.413126,1172,1928,1273,2241,2378,2222,2197,3231,2946,1315,3480,2931,1762,2956,,0.432203,0.184160,0.152991,0.604911,0.236029,0.646853,0.389699,0.892679,0.842220,0.280357,0.873380,0.871648,0.463002,0.668724
0.018023,0.431149,1170,1927,1274,2248,2379,2226,2202,3236,2949,1319,3485,2929,1760,2966,,0.430508,0.183206,0.153846,0.612723,0.236686,0.649184,0.394558,0.896233,0.845484,0.283929,0.878365,0.870370,0.460888,0.675583
0.018002,0.449152,1171,1928,1274,2262,2387,2207,2226,3270,2948,1335,3500,2927,1774,3014,,0.431356,0.184160,0.153846,0.628348,0.241946,0.638112,0.417881,0.920398,0.844396,0.298214,0.893320,0.869093,0.475687,0.708505
0.017998,0.467150,1171,1928,1274,2262,2387,2207,2226,3270,2948,1335,3500,2927,1774,3014,,0.431356,0.184160,0.153846,0.628348,0.241946,0.638112,0.417881,0.920398,0.844396,0.298214,0.893320,0.869093,0.475687,0.708505
0.018000,0.485150,1170,1927,1273,2263,2391,2187,2238,3284,2949,1344,3506,2927,1784,3029,,0.430508,0.183206,0.152991,0.629464,0.244576,0.626457,0.429543,0.930348,0.845484,0.306250,0.899302,0.869093,0.486258,0.718793
0.018024,0.503174,1170,1928,1272,2262,2392,2154,2253,3302,2948,1358,3513,2928,1794,3049,,0.430508,0.184160,0.152137,0.628348,0.245233,0.607226,0.444120,0.943141,0.844396,0.318750,0.906281,0.869732,0.496829,0.732510
0.018011,0.521185,1170,1928,1271,2262,2392,2145,2259,3309,2948,1362,3516,2929,1797,3057,,0.430508,0.184160,0.151282,0.628348,0.245233,0.601981,0.449951,0.948117,0.844396,0.322321,0.909272,0.870370,0.500000,0.737997
0.018000,0.539185,1170,1928,1270,2260,2391,2136,2263,3317,2949,1366,3519,2930,1801,3070,,0.430508,0.184160,0.150427,0.626116,0.244576,0.596737,0.453839,0.953802,0.845484,0.325893,0.912263,0.871009,0.504228,0.746914
0.018005,0.557190,1170,1929,1272,2260,2390,2126,2272,3328,2949,1373,3525,2931,1807,3086,,0.430508,0.185115,0.152137,0.626116,0.243918,0.590909,0.462585,0.961620,0.845484,0.332143,0.918245,0.871648,0.510571,0.757888
0.017964,0.575155,1170,1929,1272,2260,2390,2126,2272,3328,2949,1373,3525,2931,1807,3086,,0.430508,0.185115,0.152137,0.626116,0.243918,0.590909,0.462585,0.961620,0.845484,0.332143,0.918245,0.871648,0.510571,0.757888
0.018002,0.593157,1171,1930,1271,2258,2392,2105,2290,3340,2950,1387,3530,2934,1820,3108,,0.431356,0.186069,0.151282,0.623884,0.245233,0.578671,0.480078,0.970149,0.846572,0.344643,0.923230,0.873563,0.524313,0.772977
0.017979,0.611136,1171,1930,1271,2258,2392,2105,2290,3340,2950,1387,3530,2934,1820,3108,,0.431356,0.186069,0.151282,0.623884,0.245233,0.578671,0.480078,0.970149,0.846572,0.344643,0.923230,0.873563,0.524313,0.772977
0.018022,0.629158,1174,1935,1271,2260,2397,2103,2317,3349,2950,1415,3534,2936,1838,3120,,0.433898,0.190840,0.151282,0.626116,0.248521,0.577506,0.506317,0.976546,0.846572,0.369643,0.927218,0.874840,0.543340,0.781207
0.018000,0.647159,1177,1937,1271,2262,2398,2100,2330,3352,2949,1425,3535,2938,1844,3123,,0.436441,0.192748,0.151282,0.628348,0.249178,0.575758,0.518950,0.978678,0.845484,0.378571,0.928215,0.876117,0.549683,0.783265
0.018002,0.665161,1179,1939,1271,2263,2398,2098,2340,3355,2949,1436,3536,2938,1851,3124,,0.438136,0.194656,0.151282,0.629464,0.249178,0.574592,0.528669,0.980810,0.845484,0.388393,0.929212,0.876117,0.557082,0.783951
0.017999,0.683160,1185,1944,1273,2258,2399,2095,2355,3359,2950,1454,3538,2941,1866,3121,,0.443220,0.199427,0.152991,0.623884,0.249836,0.572844,0.543246,0.983653,0.846572,0.404464,0.931206,0.878033,0.572939,0.781893
0.018001,0.701162,1185,1944,1273,2258,2399,2095,2355,3359,2950,1454,3538,2941,1866,3121,,0.443220,0.199427,0.152991,0.623884,0.249836,0.572844,0.543246,0.983653,0.846572,0.404464,0.931206,0.878033,0.572939,0.781893
0.018001,0.719162,1187,1946,1275,2257,2401,2094,2360,3361,2951,1459,3538,2941,1872,3117,,0.444915,0.201336,0.154701,0.622768,0.251151,0.572261,0.548105,0.985075,0.847660,0.408929,0.931206,0.878033,0.579281,0.779150
0.018000,0.737162,1190,1948,1275,2254,2400,2091,2364,3362,2950,1464,3538,2941,1881,3112,,0.447458,0.203244,0.154701,0.619420,0.250493,0.570513,0.551992,0.985785,0.846572,0.413393,0.931206,0.878033,0.588795,0.775720
0.018002,0.755165,1191,1947,1276,2255,2400,2091,2367,3362,2951,1467,3537,2941,1882,3112,,0.448305,0.202290,0.155556,0.620536,0.250493,0.570513,0.554908,0.985785,0.847660,0.416071,0.930209,0.878033,0.589852,0.775720
0.018001,0.773166,1191,1948,1275,2255,2400,2089,2369,3362,2951,1471,3538,2941,1885,3113,,0.448305,0.203244,0.154701,0.620536,0.250493,0.569347,0.556851,0.985785,0.847660,0.419643,0.931206,0.878033,0.593023,0.776406
0.017981,0.791147,1192,1950,1275,2254,2400,2088,2371,3363,2951,1475,3539,2942,1888,3113,,0.449153,0.205153,0.154701,0.619420,0.250493,0.568765,0.558795,0.986496,0.847660,0.423214,0.932203,0.878672,0.596195,0.776406
0.018020,0.809166,1195,1950,1275,2252,2400,2087,2371,3363,2951,1475,3538,2942,1888,3113,,0.451695,0.205153,0.154701,0.617188,0.250493,0.568182,0.558795,0.986496,0.847660,0.423214,0.931206,0.878672,0.596195,0.776406
0.018004,0.827170,1197,1954,1277,2252,2399,2086,2373,3363,2950,1478,3539,2943,1892,3112,,0.453390,0.208969,0.156410,0.617188,0.249836,0.567599,0.560739,0.986496,0.846572,0.425893,0.932203,0.879310,0.600423,0.775720
0.017998,0.845168,1198,1955,1278,2253,2399,2085,2374,3364,2950,1479,3538,2943,1894,3112,,0.454237,0.209924,0.157265,0.618304,0.249836,0.567016,0.561710,0.987207,0.846572,0.426786,0.931206,0.879310,0.602537,0.775720
0.018002,0.863170,1198,1956,1278,2255,2398,2085,2375,3363,2950,1481,3539,2944,1901,3113,,0.454237,0.210878,0.157265,0.620536,0.249178,0.567016,0.562682,0.986496,0.846572,0.428571,0.932203,0.879949,0.609937,0.776406
0.018003,0.881173,1198,1956,1277,2256,2398,2085,2376,3362,2950,1481,3538,2944,1895,3112,,0.454237,0.210878,0.156410,0.621652,0.249178,0.567016,0.563654,0.985785,0.846572,0.428571,0.931206,0.879949,0.603594,0.775720
0.017998,0.899171,1198,1957,1277,2257,2398,2085,2376,3362,2950,1481,3538,2943,1895,3113,,0.454237,0.211832,0.156410,0.622768,0.249178,0.567016,0.563654,0.985785,0.846572,0.428571,0.931206,0.879310,0.603594,0.776406
0.017980,0.917151,1197,1957,1276,2257,2396,2085,2375,3362,2950,1481,3537,2943,1895,3114,,0.453390,0.211832,0.155556,0.622768,0.247863,0.567016,0.562682,0.985785,0.846572,0.428571,0.930209,0.879310,0.603594,0.777092
0.018023,0.935174,1199,1959,1278,2260,2396,2084,2376,3362,2950,1484,3538,2944,1897,3116,,0.455085,0.213740,0.157265,0.626116,0.247863,0.566434,0.563654,0.985785,0.846572,0.431250,0.931206,0.879949,0.605708,0.778464
0.018000,0.953174,1199,1959,1278,2260,2396,2084,2376,3362,2950,1484,3538,2944,1897,3116,,0.455085,0.213740,0.157265,0.626116,0.247863,0.566434,0.563654,0.985785,0.846572,0.431250,0.931206,0.879949,0.605708,0.778464
0.017980,0.971154,1198,1959,1278,2261,2394,2083,2374,3357,2951,1478,3535,2944,1894,3114,,0.454237,0.213740,0.157265,0.627232,0.246548,0.565851,0.561710,0.982232,0.847660,0.425893,0.928215,0.879949,0.602537,0.777092
0.018052,0.989207,1197,1959,1278,2260,2393,2083,2370,3353,2950,1469,3534,2944,1891,3113,,0.453390,0.213740,0.157265,0.626116,0.245891,0.565851,0.557823,0.979389,0.846572,0.417857,0.927218,0.879949,0.599366,0.776406
0.017983,1.007189,1196,1957,1276,2257,2390,2080,2361,3345,2950,1456,3530,2944,1885,3109,,0.452542,0.211832,0.155556,0.622768,0.243918,0.564103,0.549077,0.973703,0.846572,0.406250,0.923230,0.879949,0.593023,0.773663
0.018012,1.025201,1194,1955,1277,2253,2388,2076,2349,3336,2949,1439,3526,2945,1874,3101,,0.450847,0.209924,0.156410,0.618304,0.242604,0.561772,0.537415,0.967306,0.845484,0.391071,0.919242,0.880587,0.581395,0.768176
0.017978,1.043179,1192,1952,1274,2247,2385,2070,2332,3324,2949,1417,3521,2943,1858,3086,,0.449153,0.207061,0.153846,0.611607,0.240631,0.558275,0.520894,0.958778,0.845484,0.371429,0.914257,0.879310,0.564482,0.757888
0.018000,1.061179,1188,1947,1269,2240,2381,2066,2311,3309,2949,1395,3513,2942,1840,3066,,0.445763,0.202290,0.149573,0.603795,0.238001,0.555944,0.500486,0.948117,0.845484,0.351786,0.906281,0.878672,0.545455,0.744170
0.018001,1.079181,1174,1931,1257,2235,2378,2067,2279,3285,2947,1371,3496,2938,1808,3020,,0.433898,0.187023,0.139316,0.598214,0.236029,0.556527,0.469388,0.931059,0.843308,0.330357,0.889332,0.876117,0.511628,0.712620
0.018000,1.097181,1173,1923,1254,2237,2375,2080,2264,3272,2947,1359,3484,2935,1792,2993,,0.433051,0.179389,0.136752,0.600446,0.234057,0.564103,0.454811,0.921819,0.843308,0.319643,0.877368,0.874202,0.494715,0.694102
0.018001,1.115182,1174,1919,1253,2240,2374,2107,2248,3255,2946,1344,3473,2933,1776,2962,,0.433898,0.175573,0.135897,0.603795,0.233399,0.579837,0.439261,0.909737,0.842220,0.306250,0.866401,0.872925,0.477801,0.672840
0.018000,1.133183,1172,1916,1256,2240,2371,2149,2229,3233,2947,1327,3460,2932,1761,2927,,0.432203,0.172710,0.138462,0.603795,0.231427,0.604312,0.420797,0.894101,0.843308,0.291071,0.853440,0.872286,0.461945,0.648834
0.018037,1.151219,1168,1916,1259,2240,2366,2184,2209,3204,2947,1311,3448,2932,1740,2880,,0.428814,0.172710,0.141026,0.603795,0.228139,0.624709,0.401361,0.873490,0.843308,0.276786,0.841476,0.872286,0.439746,0.616598
0.017967,1.169186,1167,1916,1260,2238,2365,2209,2187,3176,2947,1295,3435,2932,1729,2824,,0.427966,0.172710,0.141880,0.601563,0.227482,0.639277,0.379981,0.853589,0.843308,0.262500,0.828514,0.872286,0.428118,0.578189
0.018000,1.187186,1165,1916,1266,2226,2366,2253,2138,3127,2953,1260,3407,2949,1724,2751,,0.426271,0.172710,0.147009,0.588170,0.228139,0.664918,0.332362,0.818763,0.849837,0.231250,0.800598,0.883142,0.422833,0.528121
0.018024,1.205210,1165,1916,1266,2226,2366,2253,2138,3127,2953,1260,3407,2949,1724,2751,,0.426271,0.172710,0.147009,0.588170,0.228139,0.664918,0.332362,0.818763,0.849837,0.231250,0.800598,0.883142,0.422833,0.528121
0.017979,1.223188,1167,1918,1272,2206,2399,2267,2091,3081,2954,1222,3386,2961,1727,2696,,0.427966,0.174618,0.152137,0.565848,0.249836,0.673077,0.286686,0.786070,0.850925,0.197321,0.779661,0.890805,0.426004,0.490398
0.018000,1.241189,1169,1921,1273,2192,2432,2257,2075,3062,2952,1206,3378,2965,1726,2679,,0.429661,0.177481,0.152991,0.550223,0.271532,0.667249,0.271137,0.772566,0.848749,0.183036,0.771685,0.893359,0.424947,0.478738
0.018000,1.259189,1172,1924,1276,2182,2476,2241,2062,3048,2952,1197,3370,2967,1720,2665,,0.432203,0.180344,0.155556,0.539063,0.300460,0.657925,0.258503,0.762616,0.848749,0.175000,0.763709,0.894636,0.418605,0.469136
0.018005,1.277194,1175,1925,1278,2180,2539,2236,2055,3034,2951,1195,3363,2969,1712,2654,,0.434746,0.181298,0.157265,0.536830,0.341880,0.655012,0.251701,0.752665,0.847660,0.173214,0.756730,0.895913,0.410148,0.461591
0.017997,1.295192,1179,1926,1280,2181,2572,2233,2052,3024,2952,1192,3357,2972,1707,2646,,0.438136,0.182252,0.158974,0.537946,0.363577,0.653263,0.248785,0.745558,0.848749,0.170536,0.750748,0.897829,0.404863,0.456104
0.018002,1.313194,1182,1928,1284,2183,2610,2231,2051,3016,2951,1190,3352,2973,1702,2641,,0.440678,0.184160,0.162393,0.540179,0.388560,0.652098,0.247813,0.739872,0.847660,0.168750,0.745763,0.898467,0.399577,0.452675
0.017999,1.331193,1183,1935,1293,2188,2723,2233,2050,3009,2949,1188,3349,2973,1694,2638,,0.441525,0.190840,0.170085,0.545759,0.462853,0.653263,0.246842,0.734897,0.845484,0.166964,0.742772,0.898467,0.391120,0.450617
