GloveManager recording started on 10/20/16 at 17:03:13

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018000,0.018000,1210,1968,1318,2227,2405,2055,2316,3337,2945,1382,3508,2926,1829,3085,,0.464407,0.222328,0.191453,0.589286,0.253780,0.549534,0.505345,0.968017,0.841132,0.340179,0.901296,0.868455,0.533827,0.757202
0.017977,0.035977,1209,1968,1317,2228,2404,2056,2315,3337,2945,1382,3508,2925,1829,3086,,0.463559,0.222328,0.190598,0.590402,0.253123,0.550117,0.504373,0.968017,0.841132,0.340179,0.901296,0.867816,0.533827,0.757888
0.018009,0.053986,1209,1968,1317,2228,2404,2056,2315,3337,2945,1382,3508,2925,1829,3086,,0.463559,0.222328,0.190598,0.590402,0.253123,0.550117,0.504373,0.968017,0.841132,0.340179,0.901296,0.867816,0.533827,0.757888
0.018019,0.072005,1208,1968,1317,2228,2405,2055,2315,3337,2944,1383,3508,2925,1830,3086,,0.462712,0.222328,0.190598,0.590402,0.253780,0.549534,0.504373,0.968017,0.840044,0.341071,0.901296,0.867816,0.534884,0.757888
0.017981,0.089986,1209,1968,1316,2227,2404,2056,2315,3337,2944,1382,3508,2926,1829,3086,,0.463559,0.222328,0.189744,0.589286,0.253123,0.550117,0.504373,0.968017,0.840044,0.340179,0.901296,0.868455,0.533827,0.757888
0.018006,0.107992,1209,1968,1316,2228,2404,2055,2315,3337,2945,1383,3509,2925,1829,3086,,0.463559,0.222328,0.189744,0.590402,0.253123,0.549534,0.504373,0.968017,0.841132,0.341071,0.902293,0.867816,0.533827,0.757888
0.017968,0.125959,1209,1969,1316,2228,2404,2055,2314,3337,2945,1383,3509,2926,1830,3086,,0.463559,0.223282,0.189744,0.590402,0.253123,0.549534,0.503401,0.968017,0.841132,0.341071,0.902293,0.868455,0.534884,0.757888
0.018024,0.143983,1209,1968,1316,2229,2404,2055,2315,3338,2945,1383,3509,2925,1829,3086,,0.463559,0.222328,0.189744,0.591518,0.253123,0.549534,0.504373,0.968728,0.841132,0.341071,0.902293,0.867816,0.533827,0.757888
0.018014,0.161998,1209,1968,1316,2229,2404,2055,2315,3338,2945,1383,3509,2925,1829,3086,,0.463559,0.222328,0.189744,0.591518,0.253123,0.549534,0.504373,0.968728,0.841132,0.341071,0.902293,0.867816,0.533827,0.757888
