GloveManager recording started on 10/20/16 at 17:04:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017513,0.017513,1570,2327,1855,2381,3181,2458,2299,3020,2991,1414,3421,2886,1803,3302,,0.769492,0.564885,0.650427,0.761161,0.763971,0.784382,0.488824,0.742715,0.891186,0.368750,0.814556,0.842912,0.506342,0.906036
0.018015,0.035528,1569,2326,1854,2380,3181,2458,2300,3021,2991,1414,3421,2886,1803,3301,,0.768644,0.563931,0.649573,0.760045,0.763971,0.784382,0.489796,0.743426,0.891186,0.368750,0.814556,0.842912,0.506342,0.905350
0.017999,0.053527,1569,2327,1854,2381,3181,2457,2300,3021,2991,1414,3421,2886,1803,3302,,0.768644,0.564885,0.649573,0.761161,0.763971,0.783800,0.489796,0.743426,0.891186,0.368750,0.814556,0.842912,0.506342,0.906036
0.017996,0.071523,1570,2328,1855,2380,3180,2457,2300,3020,2991,1414,3421,2886,1803,3302,,0.769492,0.565840,0.650427,0.760045,0.763314,0.783800,0.489796,0.742715,0.891186,0.368750,0.814556,0.842912,0.506342,0.906036
0.017978,0.089502,1570,2327,1855,2380,3181,2458,2299,3021,2991,1414,3421,2887,1804,3302,,0.769492,0.564885,0.650427,0.760045,0.763971,0.784382,0.488824,0.743426,0.891186,0.368750,0.814556,0.843550,0.507400,0.906036
0.018022,0.107523,1570,2328,1856,2380,3180,2457,2300,3021,2990,1415,3420,2886,1804,3301,,0.769492,0.565840,0.651282,0.760045,0.763314,0.783800,0.489796,0.743426,0.890098,0.369643,0.813559,0.842912,0.507400,0.905350
0.017946,0.125469,1570,2328,1855,2381,3181,2458,2300,3020,2991,1415,3422,2886,1804,3301,,0.769492,0.565840,0.650427,0.761161,0.763971,0.784382,0.489796,0.742715,0.891186,0.369643,0.815553,0.842912,0.507400,0.905350
0.018053,0.143522,1571,2328,1855,2381,3181,2457,2300,3021,2991,1415,3421,2887,1804,3301,,0.770339,0.565840,0.650427,0.761161,0.763971,0.783800,0.489796,0.743426,0.891186,0.369643,0.814556,0.843550,0.507400,0.905350
0.017983,0.161505,1570,2328,1855,2381,3181,2457,2299,3020,2990,1414,3420,2887,1804,3301,,0.769492,0.565840,0.650427,0.761161,0.763971,0.783800,0.488824,0.742715,0.890098,0.368750,0.813559,0.843550,0.507400,0.905350
0.017972,0.179477,1570,2327,1855,2380,3180,2457,2300,3021,2991,1414,3422,2887,1804,3302,,0.769492,0.564885,0.650427,0.760045,0.763314,0.783800,0.489796,0.743426,0.891186,0.368750,0.815553,0.843550,0.507400,0.906036
0.018051,0.197528,1570,2328,1856,2381,3180,2457,2299,3021,2990,1414,3421,2887,1804,3301,,0.769492,0.565840,0.651282,0.761161,0.763314,0.783800,0.488824,0.743426,0.890098,0.368750,0.814556,0.843550,0.507400,0.905350
0.017970,0.215498,1570,2328,1856,2381,3181,2457,2300,3021,2991,1415,3421,2887,1805,3301,,0.769492,0.565840,0.651282,0.761161,0.763971,0.783800,0.489796,0.743426,0.891186,0.369643,0.814556,0.843550,0.508457,0.905350
0.018033,0.233532,1570,2327,1855,2381,3181,2457,2300,3020,2990,1414,3422,2887,1804,3301,,0.769492,0.564885,0.650427,0.761161,0.763971,0.783800,0.489796,0.742715,0.890098,0.368750,0.815553,0.843550,0.507400,0.905350
