GloveManager recording started on 10/20/16 at 17:04:46

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017290,0.017290,1602,2359,1913,2395,3169,2479,2286,2988,2997,1431,3445,2862,1806,3116,,0.796610,0.595420,0.700000,0.776786,0.756082,0.796620,0.476190,0.719972,0.897715,0.383929,0.838485,0.827586,0.509514,0.778464
0.018001,0.035291,1602,2358,1912,2394,3169,2479,2286,2988,2998,1431,3446,2862,1807,3116,,0.796610,0.594466,0.699145,0.775670,0.756082,0.796620,0.476190,0.719972,0.898803,0.383929,0.839482,0.827586,0.510571,0.778464
0.017998,0.053289,1602,2359,1913,2395,3169,2480,2286,2989,2996,1432,3446,2863,1808,3116,,0.796610,0.595420,0.700000,0.776786,0.756082,0.797203,0.476190,0.720682,0.896627,0.384821,0.839482,0.828225,0.511628,0.778464
0.018004,0.071293,1603,2359,1914,2395,3169,2479,2286,2989,2997,1432,3446,2863,1807,3115,,0.797458,0.595420,0.700855,0.776786,0.756082,0.796620,0.476190,0.720682,0.897715,0.384821,0.839482,0.828225,0.510571,0.777778
0.018000,0.089293,1603,2359,1914,2395,3169,2479,2286,2989,2997,1432,3446,2863,1807,3115,,0.797458,0.595420,0.700855,0.776786,0.756082,0.796620,0.476190,0.720682,0.897715,0.384821,0.839482,0.828225,0.510571,0.777778
0.018002,0.107295,1602,2359,1913,2395,3170,2479,2286,2989,2997,1433,3447,2862,1806,3116,,0.796610,0.595420,0.700000,0.776786,0.756739,0.796620,0.476190,0.720682,0.897715,0.385714,0.840479,0.827586,0.509514,0.778464
0.017995,0.125290,1603,2359,1913,2395,3170,2479,2286,2989,2998,1431,3446,2862,1806,3116,,0.797458,0.595420,0.700000,0.776786,0.756739,0.796620,0.476190,0.720682,0.898803,0.383929,0.839482,0.827586,0.509514,0.778464
0.017983,0.143273,1602,2359,1914,2395,3170,2479,2286,2990,2998,1432,3447,2863,1806,3115,,0.796610,0.595420,0.700855,0.776786,0.756739,0.796620,0.476190,0.721393,0.898803,0.384821,0.840479,0.828225,0.509514,0.777778
0.018021,0.161294,1603,2359,1914,2395,3170,2478,2285,2990,2997,1432,3447,2862,1807,3115,,0.797458,0.595420,0.700855,0.776786,0.756739,0.796037,0.475219,0.721393,0.897715,0.384821,0.840479,0.827586,0.510571,0.777778
0.018040,0.179334,1603,2358,1914,2395,3170,2479,2285,2990,2998,1431,3446,2862,1807,3114,,0.797458,0.594466,0.700855,0.776786,0.756739,0.796620,0.475219,0.721393,0.898803,0.383929,0.839482,0.827586,0.510571,0.777092
0.017963,0.197298,1603,2359,1914,2395,3169,2479,2286,2990,2997,1431,3446,2862,1807,3114,,0.797458,0.595420,0.700855,0.776786,0.756082,0.796620,0.476190,0.721393,0.897715,0.383929,0.839482,0.827586,0.510571,0.777092
0.018027,0.215325,1602,2357,1915,2394,3169,2479,2285,2990,2997,1431,3446,2862,1807,3114,,0.796610,0.593511,0.701709,0.775670,0.756082,0.796620,0.475219,0.721393,0.897715,0.383929,0.839482,0.827586,0.510571,0.777092
0.018004,0.233329,1602,2357,1914,2395,3169,2478,2286,2990,2998,1431,3446,2862,1808,3114,,0.796610,0.593511,0.700855,0.776786,0.756082,0.796037,0.476190,0.721393,0.898803,0.383929,0.839482,0.827586,0.511628,0.777092
0.017998,0.251326,1603,2358,1914,2395,3170,2478,2286,2991,2997,1430,3447,2862,1808,3114,,0.797458,0.594466,0.700855,0.776786,0.756739,0.796037,0.476190,0.722104,0.897715,0.383036,0.840479,0.827586,0.511628,0.777092
0.017973,0.269299,1603,2358,1914,2394,3170,2478,2285,2991,2998,1431,3446,2862,1808,3114,,0.797458,0.594466,0.700855,0.775670,0.756739,0.796037,0.475219,0.722104,0.898803,0.383929,0.839482,0.827586,0.511628,0.777092
0.018054,0.287353,1603,2357,1914,2395,3170,2478,2286,2991,2998,1431,3447,2863,1809,3114,,0.797458,0.593511,0.700855,0.776786,0.756739,0.796037,0.476190,0.722104,0.898803,0.383929,0.840479,0.828225,0.512685,0.777092
0.017975,0.305328,1603,2357,1914,2395,3170,2479,2286,2991,2997,1431,3447,2862,1809,3114,,0.797458,0.593511,0.700855,0.776786,0.756739,0.796620,0.476190,0.722104,0.897715,0.383929,0.840479,0.827586,0.512685,0.777092
0.018007,0.323335,1603,2357,1914,2395,3170,2478,2286,2991,2998,1429,3447,2863,1809,3114,,0.797458,0.593511,0.700855,0.776786,0.756739,0.796037,0.476190,0.722104,0.898803,0.382143,0.840479,0.828225,0.512685,0.777092
0.018001,0.341337,1603,2356,1914,2395,3170,2478,2286,2990,2998,1429,3446,2863,1808,3113,,0.797458,0.592557,0.700855,0.776786,0.756739,0.796037,0.476190,0.721393,0.898803,0.382143,0.839482,0.828225,0.511628,0.776406
