GloveManager recording started on 10/20/16 at 17:04:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017960,0.017960,1518,2287,1905,2396,3157,2493,2259,3003,2994,1386,3433,2844,1750,2976,,0.725424,0.526718,0.693162,0.777902,0.748192,0.804779,0.449951,0.730633,0.894450,0.343750,0.826520,0.816092,0.450317,0.682442
0.017994,0.035955,1522,2289,1905,2396,3158,2492,2262,3003,2994,1387,3435,2845,1749,2979,,0.728814,0.528626,0.693162,0.777902,0.748849,0.804196,0.452867,0.730633,0.894450,0.344643,0.828514,0.816730,0.449260,0.684499
0.018022,0.053977,1525,2292,1905,2398,3157,2492,2262,3004,2994,1388,3435,2846,1750,2980,,0.731356,0.531489,0.693162,0.780134,0.748192,0.804196,0.452867,0.731343,0.894450,0.345536,0.828514,0.817369,0.450317,0.685185
0.017999,0.071976,1526,2293,1905,2398,3158,2493,2264,3003,2993,1388,3435,2846,1750,2980,,0.732203,0.532443,0.693162,0.780134,0.748849,0.804779,0.454811,0.730633,0.893362,0.345536,0.828514,0.817369,0.450317,0.685185
0.017985,0.089960,1528,2294,1905,2397,3157,2492,2264,3003,2994,1388,3434,2846,1749,2980,,0.733898,0.533397,0.693162,0.779018,0.748192,0.804196,0.454811,0.730633,0.894450,0.345536,0.827517,0.817369,0.449260,0.685185
0.018031,0.107991,1530,2296,1906,2397,3157,2492,2265,3003,2995,1389,3436,2847,1751,2981,,0.735593,0.535305,0.694017,0.779018,0.748192,0.804196,0.455782,0.730633,0.895539,0.346429,0.829511,0.818008,0.451374,0.685871
0.017988,0.125979,1533,2298,1907,2397,3158,2491,2265,3004,2994,1390,3435,2848,1751,2980,,0.738136,0.537214,0.694872,0.779018,0.748849,0.803613,0.455782,0.731343,0.894450,0.347321,0.828514,0.818646,0.451374,0.685185
0.017983,0.143962,1534,2299,1906,2397,3158,2491,2266,3004,2994,1391,3435,2846,1752,2979,,0.738983,0.538168,0.694017,0.779018,0.748849,0.803613,0.456754,0.731343,0.894450,0.348214,0.828514,0.817369,0.452431,0.684499
0.018015,0.161977,1535,2300,1906,2399,3158,2491,2267,3004,2994,1392,3436,2847,1752,2979,,0.739830,0.539122,0.694017,0.781250,0.748849,0.803613,0.457726,0.731343,0.894450,0.349107,0.829511,0.818008,0.452431,0.684499
0.018000,0.179977,1537,2303,1907,2398,3158,2490,2268,3004,2995,1393,3436,2847,1753,2980,,0.741525,0.541985,0.694872,0.780134,0.748849,0.803030,0.458698,0.731343,0.895539,0.350000,0.829511,0.818008,0.453488,0.685185
0.017987,0.197963,1540,2304,1907,2399,3158,2490,2269,3003,2994,1394,3436,2847,1752,2981,,0.744068,0.542939,0.694872,0.781250,0.748849,0.803030,0.459670,0.730633,0.894450,0.350893,0.829511,0.818008,0.452431,0.685871
0.018007,0.215970,1541,2305,1907,2398,3158,2490,2270,3003,2995,1394,3437,2848,1752,2982,,0.744915,0.543893,0.694872,0.780134,0.748849,0.803030,0.460641,0.730633,0.895539,0.350893,0.830508,0.818646,0.452431,0.686557
0.017999,0.233969,1543,2307,1908,2398,3158,2490,2271,3004,2995,1395,3437,2848,1751,2984,,0.746610,0.545802,0.695727,0.780134,0.748849,0.803030,0.461613,0.731343,0.895539,0.351786,0.830508,0.818646,0.451374,0.687929
0.018002,0.251971,1546,2308,1907,2398,3159,2490,2271,3003,2995,1396,3438,2849,1752,2985,,0.749153,0.546756,0.694872,0.780134,0.749507,0.803030,0.461613,0.730633,0.895539,0.352679,0.831505,0.819285,0.452431,0.688615
0.017999,0.269970,1547,2309,1908,2399,3158,2489,2272,3003,2996,1398,3438,2849,1752,2986,,0.750000,0.547710,0.695727,0.781250,0.748849,0.802448,0.462585,0.730633,0.896627,0.354464,0.831505,0.819285,0.452431,0.689300
0.017998,0.287969,1547,2309,1908,2399,3158,2489,2272,3003,2996,1398,3438,2849,1752,2986,,0.750000,0.547710,0.695727,0.781250,0.748849,0.802448,0.462585,0.730633,0.896627,0.354464,0.831505,0.819285,0.452431,0.689300
0.018005,0.305974,1548,2310,1908,2398,3158,2490,2273,3003,2996,1397,3439,2849,1752,2988,,0.750847,0.548664,0.695727,0.780134,0.748849,0.803030,0.463557,0.730633,0.896627,0.353571,0.832502,0.819285,0.452431,0.690672
0.018010,0.323985,1548,2310,1908,2399,3159,2490,2273,3004,2996,1399,3438,2849,1752,2988,,0.750847,0.548664,0.695727,0.781250,0.749507,0.803030,0.463557,0.731343,0.896627,0.355357,0.831505,0.819285,0.452431,0.690672
0.017977,0.341961,1550,2311,1908,2398,3158,2489,2273,3004,2996,1399,3438,2850,1753,2989,,0.752542,0.549618,0.695727,0.780134,0.748849,0.802448,0.463557,0.731343,0.896627,0.355357,0.831505,0.819923,0.453488,0.691358
0.018041,0.360002,1550,2312,1907,2399,3159,2489,2274,3004,2997,1399,3440,2850,1752,2990,,0.752542,0.550573,0.694872,0.781250,0.749507,0.802448,0.464529,0.731343,0.897715,0.355357,0.833499,0.819923,0.452431,0.692044
0.017972,0.377974,1550,2311,1908,2398,3159,2490,2274,3004,2996,1398,3438,2851,1752,2990,,0.752542,0.549618,0.695727,0.780134,0.749507,0.803030,0.464529,0.731343,0.896627,0.354464,0.831505,0.820562,0.452431,0.692044
0.017995,0.395970,1549,2311,1907,2399,3158,2490,2274,3004,2997,1398,3439,2851,1752,2991,,0.751695,0.549618,0.694872,0.781250,0.748849,0.803030,0.464529,0.731343,0.897715,0.354464,0.832502,0.820562,0.452431,0.692730
