GloveManager recording started on 10/20/16 at 17:05:24

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017145,0.017145,1582,2301,1877,2340,3108,2479,2263,2975,3001,1454,3459,2847,1848,3147,,0.779661,0.540076,0.669231,0.715402,0.715976,0.796620,0.453839,0.710732,0.902067,0.404464,0.852443,0.818008,0.553911,0.799726
0.018023,0.035168,1582,2302,1877,2341,3109,2480,2263,2975,3001,1453,3459,2847,1848,3147,,0.779661,0.541031,0.669231,0.716518,0.716634,0.797203,0.453839,0.710732,0.902067,0.403571,0.852443,0.818008,0.553911,0.799726
0.017976,0.053144,1582,2301,1877,2341,3109,2479,2263,2975,3001,1455,3459,2847,1848,3147,,0.779661,0.540076,0.669231,0.716518,0.716634,0.796620,0.453839,0.710732,0.902067,0.405357,0.852443,0.818008,0.553911,0.799726
0.018026,0.071169,1582,2302,1877,2340,3108,2480,2263,2976,3002,1455,3459,2846,1847,3147,,0.779661,0.541031,0.669231,0.715402,0.715976,0.797203,0.453839,0.711443,0.903156,0.405357,0.852443,0.817369,0.552854,0.799726
0.018000,0.089170,1582,2300,1876,2340,3109,2480,2263,2976,3001,1454,3459,2846,1847,3147,,0.779661,0.539122,0.668376,0.715402,0.716634,0.797203,0.453839,0.711443,0.902067,0.404464,0.852443,0.817369,0.552854,0.799726
0.017998,0.107168,1581,2301,1878,2341,3109,2480,2262,2976,3001,1454,3459,2847,1847,3146,,0.778814,0.540076,0.670085,0.716518,0.716634,0.797203,0.452867,0.711443,0.902067,0.404464,0.852443,0.818008,0.552854,0.799040
0.018006,0.125174,1581,2301,1878,2341,3109,2480,2262,2976,3001,1454,3459,2847,1847,3146,,0.778814,0.540076,0.670085,0.716518,0.716634,0.797203,0.452867,0.711443,0.902067,0.404464,0.852443,0.818008,0.552854,0.799040
0.017994,0.143168,1581,2300,1877,2341,3110,2479,2262,2976,3001,1453,3459,2847,1847,3146,,0.778814,0.539122,0.669231,0.716518,0.717291,0.796620,0.452867,0.711443,0.902067,0.403571,0.852443,0.818008,0.552854,0.799040
0.018010,0.161178,1581,2300,1877,2341,3110,2479,2262,2976,3001,1453,3459,2847,1847,3146,,0.778814,0.539122,0.669231,0.716518,0.717291,0.796620,0.452867,0.711443,0.902067,0.403571,0.852443,0.818008,0.552854,0.799040
0.017994,0.179173,1581,2301,1877,2340,3110,2479,2262,2977,3002,1455,3459,2846,1848,3145,,0.778814,0.540076,0.669231,0.715402,0.717291,0.796620,0.452867,0.712153,0.903156,0.405357,0.852443,0.817369,0.553911,0.798354
