GloveManager recording started on 10/20/16 at 17:05:42

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017273,0.017273,1451,2305,1938,2418,3228,2557,2215,3069,2852,1471,3517,2966,1975,3203,,0.668644,0.543893,0.721368,0.802455,0.778493,0.842075,0.407191,0.777541,0.739935,0.419643,0.910269,0.893997,0.688161,0.838134
0.017970,0.035243,1452,2304,1938,2417,3228,2556,2215,3069,2852,1472,3518,2965,1977,3203,,0.669492,0.542939,0.721368,0.801339,0.778493,0.841492,0.407191,0.777541,0.739935,0.420536,0.911266,0.893359,0.690275,0.838134
0.018022,0.053264,1451,2305,1939,2418,3228,2557,2217,3069,2852,1473,3517,2965,1976,3203,,0.668644,0.543893,0.722222,0.802455,0.778493,0.842075,0.409135,0.777541,0.739935,0.421429,0.910269,0.893359,0.689218,0.838134
0.018002,0.071266,1452,2305,1939,2418,3228,2557,2216,3069,2852,1473,3518,2966,1977,3203,,0.669492,0.543893,0.722222,0.802455,0.778493,0.842075,0.408163,0.777541,0.739935,0.421429,0.911266,0.893997,0.690275,0.838134
0.018000,0.089266,1452,2305,1938,2418,3228,2557,2215,3069,2853,1473,3517,2966,1977,3204,,0.669492,0.543893,0.721368,0.802455,0.778493,0.842075,0.407191,0.777541,0.741023,0.421429,0.910269,0.893997,0.690275,0.838820
0.018011,0.107278,1452,2305,1939,2418,3229,2557,2216,3068,2852,1472,3518,2966,1977,3203,,0.669492,0.543893,0.722222,0.802455,0.779137,0.842075,0.408163,0.776830,0.739935,0.420536,0.911266,0.893997,0.690275,0.838134
0.017991,0.125269,1452,2305,1938,2418,3228,2556,2216,3069,2852,1472,3518,2966,1977,3203,,0.669492,0.543893,0.721368,0.802455,0.778493,0.841492,0.408163,0.777541,0.739935,0.420536,0.911266,0.893997,0.690275,0.838134
0.018000,0.143269,1452,2306,1939,2418,3228,2557,2215,3069,2852,1473,3517,2966,1978,3203,,0.669492,0.544847,0.722222,0.802455,0.778493,0.842075,0.407191,0.777541,0.739935,0.421429,0.910269,0.893997,0.691332,0.838134
0.018001,0.161271,1451,2306,1938,2418,3228,2556,2215,3069,2851,1472,3518,2965,1977,3203,,0.668644,0.544847,0.721368,0.802455,0.778493,0.841492,0.407191,0.777541,0.738847,0.420536,0.911266,0.893359,0.690275,0.838134
0.018002,0.179273,1451,2306,1938,2418,3228,2556,2215,3069,2851,1472,3518,2965,1977,3203,,0.668644,0.544847,0.721368,0.802455,0.778493,0.841492,0.407191,0.777541,0.738847,0.420536,0.911266,0.893359,0.690275,0.838134
0.018012,0.197285,1452,2306,1938,2418,3228,2556,2216,3069,2851,1472,3518,2966,1978,3202,,0.669492,0.544847,0.721368,0.802455,0.778493,0.841492,0.408163,0.777541,0.738847,0.420536,0.911266,0.893997,0.691332,0.837449
0.017991,0.215276,1452,2306,1938,2418,3228,2556,2216,3069,2851,1472,3518,2966,1978,3202,,0.669492,0.544847,0.721368,0.802455,0.778493,0.841492,0.408163,0.777541,0.738847,0.420536,0.911266,0.893997,0.691332,0.837449
0.018002,0.233278,1453,2306,1939,2419,3228,2556,2216,3069,2852,1472,3517,2966,1984,3204,,0.670339,0.544847,0.722222,0.803571,0.778493,0.841492,0.408163,0.777541,0.739935,0.420536,0.910269,0.893997,0.697674,0.838820
0.018000,0.251279,1453,2307,1940,2419,3228,2556,2216,3069,2851,1473,3518,2966,1977,3203,,0.670339,0.545802,0.723077,0.803571,0.778493,0.841492,0.408163,0.777541,0.738847,0.421429,0.911266,0.893997,0.690275,0.838134
0.018018,0.269296,1453,2305,1939,2418,3229,2557,2216,3069,2852,1473,3518,2965,1976,3203,,0.670339,0.543893,0.722222,0.802455,0.779137,0.842075,0.408163,0.777541,0.739935,0.421429,0.911266,0.893359,0.689218,0.838134
0.018001,0.287298,1453,2305,1939,2418,3229,2557,2216,3069,2852,1473,3518,2965,1976,3203,,0.670339,0.543893,0.722222,0.802455,0.779137,0.842075,0.408163,0.777541,0.739935,0.421429,0.911266,0.893359,0.689218,0.838134
0.017979,0.305277,1452,2305,1939,2419,3229,2557,2215,3069,2852,1473,3517,2966,1977,3203,,0.669492,0.543893,0.722222,0.803571,0.779137,0.842075,0.407191,0.777541,0.739935,0.421429,0.910269,0.893997,0.690275,0.838134
0.018001,0.323278,1452,2305,1939,2419,3228,2556,2215,3069,2852,1473,3518,2966,1978,3204,,0.669492,0.543893,0.722222,0.803571,0.778493,0.841492,0.407191,0.777541,0.739935,0.421429,0.911266,0.893997,0.691332,0.838820
0.018005,0.341283,1452,2305,1939,2419,3228,2556,2216,3070,2852,1474,3518,2966,1978,3203,,0.669492,0.543893,0.722222,0.803571,0.778493,0.841492,0.408163,0.778252,0.739935,0.422321,0.911266,0.893997,0.691332,0.838134
0.018000,0.359283,1453,2306,1939,2419,3229,2557,2216,3070,2852,1473,3518,2966,1977,3203,,0.670339,0.544847,0.722222,0.803571,0.779137,0.842075,0.408163,0.778252,0.739935,0.421429,0.911266,0.893997,0.690275,0.838134
0.018014,0.377297,1453,2304,1940,2418,3228,2556,2217,3069,2852,1472,3518,2966,1976,3203,,0.670339,0.542939,0.723077,0.802455,0.778493,0.841492,0.409135,0.777541,0.739935,0.420536,0.911266,0.893997,0.689218,0.838134
0.017966,0.395263,1453,2304,1940,2418,3228,2556,2217,3069,2852,1472,3518,2966,1976,3203,,0.670339,0.542939,0.723077,0.802455,0.778493,0.841492,0.409135,0.777541,0.739935,0.420536,0.911266,0.893997,0.689218,0.838134
0.018074,0.413336,1452,2305,1939,2418,3228,2555,2216,3068,2852,1472,3518,2966,1977,3203,,0.669492,0.543893,0.722222,0.802455,0.778493,0.840909,0.408163,0.776830,0.739935,0.420536,0.911266,0.893997,0.690275,0.838134
0.017981,0.431318,1451,2304,1940,2418,3228,2555,2216,3069,2852,1472,3518,2966,1977,3204,,0.668644,0.542939,0.723077,0.802455,0.778493,0.840909,0.408163,0.777541,0.739935,0.420536,0.911266,0.893997,0.690275,0.838820
0.018005,0.449322,1452,2306,1940,2419,3229,2556,2216,3069,2852,1473,3517,2966,1977,3202,,0.669492,0.544847,0.723077,0.803571,0.779137,0.841492,0.408163,0.777541,0.739935,0.421429,0.910269,0.893997,0.690275,0.837449
0.017989,0.467311,1452,2305,1939,2418,3229,2556,2215,3069,2852,1473,3516,2965,1976,3204,,0.669492,0.543893,0.722222,0.802455,0.779137,0.841492,0.407191,0.777541,0.739935,0.421429,0.909272,0.893359,0.689218,0.838820
