GloveManager recording started on 10/20/16 at 17:06:24

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017430,0.017430,1430,2313,1982,2414,3225,2551,2207,3058,2834,1453,3469,2971,1919,3065,,0.650847,0.551527,0.758974,0.797991,0.776561,0.838578,0.399417,0.769723,0.720348,0.403571,0.862413,0.897190,0.628964,0.743484
0.018018,0.035448,1430,2313,1983,2414,3225,2551,2207,3058,2834,1455,3469,2972,1919,3065,,0.650847,0.551527,0.759829,0.797991,0.776561,0.838578,0.399417,0.769723,0.720348,0.405357,0.862413,0.897829,0.628964,0.743484
0.018008,0.053456,1430,2313,1982,2415,3225,2551,2207,3058,2834,1456,3469,2971,1919,3066,,0.650847,0.551527,0.758974,0.799107,0.776561,0.838578,0.399417,0.769723,0.720348,0.406250,0.862413,0.897190,0.628964,0.744170
0.017992,0.071449,1431,2313,1982,2415,3224,2551,2207,3057,2835,1454,3470,2972,1918,3065,,0.651695,0.551527,0.758974,0.799107,0.775918,0.838578,0.399417,0.769012,0.721436,0.404464,0.863410,0.897829,0.627907,0.743484
0.018000,0.089448,1430,2313,1981,2415,3225,2550,2207,3057,2834,1453,3469,2971,1919,3066,,0.650847,0.551527,0.758120,0.799107,0.776561,0.837995,0.399417,0.769012,0.720348,0.403571,0.862413,0.897190,0.628964,0.744170
0.017992,0.107440,1431,2313,1980,2414,3225,2551,2206,3058,2834,1454,3469,2971,1918,3065,,0.651695,0.551527,0.757265,0.797991,0.776561,0.838578,0.398445,0.769723,0.720348,0.404464,0.862413,0.897190,0.627907,0.743484
0.017987,0.125427,1431,2313,1980,2414,3225,2551,2206,3058,2834,1454,3469,2971,1918,3065,,0.651695,0.551527,0.757265,0.797991,0.776561,0.838578,0.398445,0.769723,0.720348,0.404464,0.862413,0.897190,0.627907,0.743484
0.018037,0.143463,1429,2313,1978,2415,3224,2551,2206,3058,2833,1453,3470,2970,1918,3065,,0.650000,0.551527,0.755556,0.799107,0.775918,0.838578,0.398445,0.769723,0.719260,0.403571,0.863410,0.896552,0.627907,0.743484
0.017988,0.161451,1429,2314,1978,2415,3225,2550,2206,3058,2834,1453,3469,2971,1918,3064,,0.650000,0.552481,0.755556,0.799107,0.776561,0.837995,0.398445,0.769723,0.720348,0.403571,0.862413,0.897190,0.627907,0.742798
