GloveManager recording started on 10/20/16 at 17:06:53

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017559,0.017559,1298,2256,1953,2447,3189,2466,2223,2974,2865,1439,3530,2972,1853,3234,,0.538983,0.497137,0.734188,0.834821,0.753381,0.789044,0.414966,0.710021,0.754081,0.391071,0.923230,0.897829,0.559197,0.859396
0.018007,0.035566,1298,2256,1953,2446,3188,2464,2223,2974,2864,1439,3530,2971,1853,3233,,0.538983,0.497137,0.734188,0.833705,0.752737,0.787879,0.414966,0.710021,0.752992,0.391071,0.923230,0.897190,0.559197,0.858711
0.018004,0.053570,1298,2255,1953,2446,3188,2465,2223,2974,2865,1439,3529,2971,1853,3234,,0.538983,0.496183,0.734188,0.833705,0.752737,0.788462,0.414966,0.710021,0.754081,0.391071,0.922233,0.897190,0.559197,0.859396
0.017986,0.071555,1299,2256,1953,2446,3189,2465,2224,2974,2864,1439,3530,2971,1854,3234,,0.539831,0.497137,0.734188,0.833705,0.753381,0.788462,0.415938,0.710021,0.752992,0.391071,0.923230,0.897190,0.560254,0.859396
0.018015,0.089570,1299,2256,1953,2446,3189,2465,2223,2974,2865,1438,3529,2971,1853,3234,,0.539831,0.497137,0.734188,0.833705,0.753381,0.788462,0.414966,0.710021,0.754081,0.390179,0.922233,0.897190,0.559197,0.859396
0.017983,0.107553,1298,2257,1952,2446,3190,2465,2222,2974,2864,1439,3529,2970,1853,3233,,0.538983,0.498092,0.733333,0.833705,0.754024,0.788462,0.413994,0.710021,0.752992,0.391071,0.922233,0.896552,0.559197,0.858711
0.018000,0.125553,1298,2257,1952,2446,3190,2465,2222,2974,2864,1439,3529,2970,1853,3233,,0.538983,0.498092,0.733333,0.833705,0.754024,0.788462,0.413994,0.710021,0.752992,0.391071,0.922233,0.896552,0.559197,0.858711
0.017993,0.143546,1298,2257,1951,2446,3190,2465,2222,2974,2865,1438,3529,2971,1853,3233,,0.538983,0.498092,0.732479,0.833705,0.754024,0.788462,0.413994,0.710021,0.754081,0.390179,0.922233,0.897190,0.559197,0.858711
0.018004,0.161550,1299,2258,1951,2447,3190,2465,2222,2974,2865,1438,3529,2970,1853,3232,,0.539831,0.499046,0.732479,0.834821,0.754024,0.788462,0.413994,0.710021,0.754081,0.390179,0.922233,0.896552,0.559197,0.858025
0.018000,0.179551,1299,2258,1951,2447,3190,2465,2222,2974,2865,1438,3529,2970,1853,3232,,0.539831,0.499046,0.732479,0.834821,0.754024,0.788462,0.413994,0.710021,0.754081,0.390179,0.922233,0.896552,0.559197,0.858025
0.018002,0.197553,1298,2257,1951,2447,3190,2465,2222,2974,2864,1440,3529,2971,1853,3232,,0.538983,0.498092,0.732479,0.834821,0.754024,0.788462,0.413994,0.710021,0.752992,0.391964,0.922233,0.897190,0.559197,0.858025
0.018002,0.215555,1299,2257,1950,2447,3190,2465,2222,2974,2864,1439,3529,2970,1853,3232,,0.539831,0.498092,0.731624,0.834821,0.754024,0.788462,0.413994,0.710021,0.752992,0.391071,0.922233,0.896552,0.559197,0.858025
0.018013,0.233568,1298,2257,1950,2447,3190,2464,2222,2975,2864,1438,3529,2970,1853,3231,,0.538983,0.498092,0.731624,0.834821,0.754024,0.787879,0.413994,0.710732,0.752992,0.390179,0.922233,0.896552,0.559197,0.857339
