GloveManager recording started on 10/20/16 at 17:07:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017166,0.017166,1371,2268,1895,2372,3183,2577,2223,3088,2754,1428,3513,2978,1823,3191,,0.600847,0.508588,0.684615,0.751116,0.749517,0.853730,0.414966,0.791045,0.633297,0.381250,0.906281,0.901660,0.527484,0.829904
0.018002,0.035168,1372,2268,1899,2373,3185,2577,2224,3089,2753,1430,3514,2977,1829,3196,,0.601695,0.508588,0.688034,0.752232,0.750805,0.853730,0.415938,0.791755,0.632209,0.383036,0.907278,0.901022,0.533827,0.833333
0.018021,0.053188,1373,2268,1903,2374,3189,2578,2225,3091,2751,1428,3516,2977,1834,3202,,0.602542,0.508588,0.691453,0.753348,0.753381,0.854312,0.416910,0.793177,0.630033,0.381250,0.909272,0.901022,0.539112,0.837449
0.018001,0.071190,1374,2268,1906,2375,3191,2577,2227,3093,2750,1428,3517,2978,1838,3207,,0.603390,0.508588,0.694017,0.754464,0.754668,0.853730,0.418853,0.794598,0.628945,0.381250,0.910269,0.901660,0.543340,0.840878
0.018000,0.089190,1377,2271,1909,2376,3193,2576,2228,3095,2751,1430,3518,2979,1842,3214,,0.605932,0.511450,0.696581,0.755580,0.755956,0.853147,0.419825,0.796020,0.630033,0.383036,0.911266,0.902299,0.547569,0.845679
0.018002,0.107192,1381,2277,1911,2376,3195,2573,2229,3096,2752,1430,3520,2980,1843,3225,,0.609322,0.517176,0.698291,0.755580,0.757244,0.851399,0.420797,0.796731,0.631121,0.383036,0.913260,0.902937,0.548626,0.853224
0.018001,0.125193,1381,2277,1911,2376,3195,2573,2229,3096,2752,1430,3520,2980,1843,3225,,0.609322,0.517176,0.698291,0.755580,0.757244,0.851399,0.420797,0.796731,0.631121,0.383036,0.913260,0.902937,0.548626,0.853224
0.018001,0.143194,1386,2281,1912,2377,3196,2567,2228,3096,2756,1430,3520,2982,1834,3242,,0.613559,0.520992,0.699145,0.756696,0.757888,0.847902,0.419825,0.796731,0.635473,0.383036,0.913260,0.904215,0.539112,0.864883
0.018000,0.161195,1388,2283,1914,2377,3196,2565,2229,3096,2759,1430,3521,2985,1832,3248,,0.615254,0.522901,0.700855,0.756696,0.757888,0.846737,0.420797,0.796731,0.638738,0.383036,0.914257,0.906130,0.536998,0.868999
0.017979,0.179174,1394,2285,1918,2378,3196,2562,2230,3095,2761,1431,3522,2985,1829,3253,,0.620339,0.524809,0.704274,0.757813,0.757888,0.844988,0.421769,0.796020,0.640914,0.383929,0.915254,0.906130,0.533827,0.872428
0.018022,0.197196,1397,2287,1921,2378,3196,2560,2230,3094,2762,1431,3522,2985,1828,3257,,0.622881,0.526718,0.706838,0.757813,0.757888,0.843823,0.421769,0.795309,0.642002,0.383929,0.915254,0.906130,0.532770,0.875171
0.018001,0.215197,1401,2288,1925,2378,3196,2559,2231,3095,2763,1431,3522,2987,1827,3260,,0.626271,0.527672,0.710256,0.757813,0.757888,0.843240,0.422741,0.796020,0.643090,0.383929,0.915254,0.907407,0.531712,0.877229
0.018001,0.233199,1405,2289,1928,2379,3197,2558,2231,3094,2763,1432,3523,2987,1826,3263,,0.629661,0.528626,0.712821,0.758929,0.758532,0.842657,0.422741,0.795309,0.643090,0.384821,0.916251,0.907407,0.530655,0.879287
0.018000,0.251199,1411,2292,1932,2378,3198,2555,2232,3093,2764,1433,3522,2988,1825,3268,,0.634746,0.531489,0.716239,0.757813,0.759176,0.840909,0.423712,0.794598,0.644178,0.385714,0.915254,0.908046,0.529598,0.882716
0.017980,0.269179,1414,2292,1934,2377,3199,2555,2232,3093,2765,1433,3523,2988,1825,3270,,0.637288,0.531489,0.717949,0.756696,0.759820,0.840909,0.423712,0.794598,0.645267,0.385714,0.916251,0.908046,0.529598,0.884088
0.018029,0.287208,1416,2294,1936,2378,3200,2554,2234,3093,2766,1433,3523,2989,1825,3273,,0.638983,0.533397,0.719658,0.757813,0.760464,0.840326,0.425656,0.794598,0.646355,0.385714,0.916251,0.908685,0.529598,0.886145
0.017996,0.305204,1419,2296,1938,2378,3200,2554,2233,3093,2766,1433,3523,2990,1823,3275,,0.641525,0.535305,0.721368,0.757813,0.760464,0.840326,0.424684,0.794598,0.646355,0.385714,0.916251,0.909323,0.527484,0.887517
0.017971,0.323175,1422,2296,1940,2379,3201,2554,2235,3092,2766,1434,3523,2990,1822,3278,,0.644068,0.535305,0.723077,0.758929,0.761108,0.840326,0.426628,0.793888,0.646355,0.386607,0.916251,0.909323,0.526427,0.889575
0.018029,0.341203,1424,2297,1942,2379,3202,2553,2235,3092,2767,1434,3522,2991,1822,3279,,0.645763,0.536260,0.724786,0.758929,0.761751,0.839744,0.426628,0.793888,0.647443,0.386607,0.915254,0.909962,0.526427,0.890261
0.018010,0.359213,1428,2299,1943,2379,3203,2553,2236,3091,2767,1433,3523,2990,1821,3282,,0.649153,0.538168,0.725641,0.758929,0.762395,0.839744,0.427600,0.793177,0.647443,0.385714,0.916251,0.909323,0.525370,0.892318
0.017992,0.377206,1428,2299,1943,2379,3203,2553,2236,3091,2767,1433,3523,2990,1821,3282,,0.649153,0.538168,0.725641,0.758929,0.762395,0.839744,0.427600,0.793177,0.647443,0.385714,0.916251,0.909323,0.525370,0.892318
0.018025,0.395231,1432,2301,1945,2380,3202,2553,2237,3092,2768,1435,3524,2992,1820,3284,,0.652542,0.540076,0.727350,0.760045,0.761751,0.839744,0.428571,0.793888,0.648531,0.387500,0.917248,0.910600,0.524313,0.893690
0.018023,0.413254,1432,2301,1945,2380,3203,2552,2238,3092,2769,1435,3524,2991,1819,3286,,0.652542,0.540076,0.727350,0.760045,0.762395,0.839161,0.429543,0.793888,0.649619,0.387500,0.917248,0.909962,0.523256,0.895062
0.017977,0.431231,1434,2301,1947,2380,3203,2553,2238,3092,2768,1435,3524,2992,1819,3288,,0.654237,0.540076,0.729060,0.760045,0.762395,0.839744,0.429543,0.793888,0.648531,0.387500,0.917248,0.910600,0.523256,0.896433
0.018002,0.449233,1434,2302,1948,2380,3204,2552,2239,3092,2768,1435,3524,2992,1818,3289,,0.654237,0.541031,0.729915,0.760045,0.763039,0.839161,0.430515,0.793888,0.648531,0.387500,0.917248,0.910600,0.522199,0.897119
0.018003,0.467236,1436,2302,1948,2380,3203,2551,2240,3092,2768,1436,3525,2993,1818,3290,,0.655932,0.541031,0.729915,0.760045,0.762395,0.838578,0.431487,0.793888,0.648531,0.388393,0.918245,0.911239,0.522199,0.897805
0.018000,0.485235,1439,2304,1949,2381,3204,2552,2240,3093,2769,1437,3524,2993,1818,3291,,0.658475,0.542939,0.730769,0.761161,0.763039,0.839161,0.431487,0.794598,0.649619,0.389286,0.917248,0.911239,0.522199,0.898491
0.017998,0.503234,1438,2304,1949,2381,3204,2552,2241,3093,2768,1437,3524,2993,1818,3292,,0.657627,0.542939,0.730769,0.761161,0.763039,0.839161,0.432459,0.794598,0.648531,0.389286,0.917248,0.911239,0.522199,0.899177
0.017957,0.521191,1440,2305,1949,2382,3205,2551,2240,3093,2769,1436,3524,2993,1818,3293,,0.659322,0.543893,0.730769,0.762277,0.763683,0.838578,0.431487,0.794598,0.649619,0.388393,0.917248,0.911239,0.522199,0.899863
0.018050,0.539241,1441,2305,1950,2381,3205,2551,2240,3092,2769,1437,3524,2992,1817,3294,,0.660169,0.543893,0.731624,0.761161,0.763683,0.838578,0.431487,0.793888,0.649619,0.389286,0.917248,0.910600,0.521142,0.900549
0.017996,0.557237,1440,2306,1950,2381,3206,2551,2241,3093,2768,1436,3525,2993,1817,3294,,0.659322,0.544847,0.731624,0.761161,0.764327,0.838578,0.432459,0.794598,0.648531,0.388393,0.918245,0.911239,0.521142,0.900549
0.018002,0.575239,1441,2305,1950,2382,3205,2550,2241,3093,2769,1438,3524,2993,1817,3294,,0.660169,0.543893,0.731624,0.762277,0.763683,0.837995,0.432459,0.794598,0.649619,0.390179,0.917248,0.911239,0.521142,0.900549
0.018008,0.593247,1442,2306,1950,2382,3206,2551,2240,3093,2769,1437,3525,2993,1817,3295,,0.661017,0.544847,0.731624,0.762277,0.764327,0.838578,0.431487,0.794598,0.649619,0.389286,0.918245,0.911239,0.521142,0.901235
0.017992,0.611239,1442,2305,1951,2382,3206,2550,2240,3093,2770,1437,3525,2993,1818,3295,,0.661017,0.543893,0.732479,0.762277,0.764327,0.837995,0.431487,0.794598,0.650707,0.389286,0.918245,0.911239,0.522199,0.901235
0.018035,0.629274,1443,2305,1951,2382,3206,2551,2240,3094,2770,1435,3525,2993,1818,3297,,0.661864,0.543893,0.732479,0.762277,0.764327,0.838578,0.431487,0.795309,0.650707,0.387500,0.918245,0.911239,0.522199,0.902606
0.017968,0.647242,1443,2306,1951,2382,3206,2550,2240,3094,2770,1435,3525,2993,1819,3296,,0.661864,0.544847,0.732479,0.762277,0.764327,0.837995,0.431487,0.795309,0.650707,0.387500,0.918245,0.911239,0.523256,0.901920
0.018013,0.665255,1444,2306,1952,2383,3207,2549,2240,3094,2770,1435,3525,2993,1819,3296,,0.662712,0.544847,0.733333,0.763393,0.764971,0.837413,0.431487,0.795309,0.650707,0.387500,0.918245,0.911239,0.523256,0.901920
0.017988,0.683243,1444,2306,1952,2383,3207,2550,2241,3095,2771,1436,3524,2993,1820,3297,,0.662712,0.544847,0.733333,0.763393,0.764971,0.837995,0.432459,0.796020,0.651795,0.388393,0.917248,0.911239,0.524313,0.902606
0.018004,0.701247,1444,2307,1952,2383,3207,2549,2240,3095,2770,1434,3525,2993,1819,3297,,0.662712,0.545802,0.733333,0.763393,0.764971,0.837413,0.431487,0.796020,0.650707,0.386607,0.918245,0.911239,0.523256,0.902606
0.018007,0.719254,1444,2307,1952,2383,3207,2549,2240,3095,2770,1434,3525,2993,1819,3297,,0.662712,0.545802,0.733333,0.763393,0.764971,0.837413,0.431487,0.796020,0.650707,0.386607,0.918245,0.911239,0.523256,0.902606
0.017993,0.737247,1446,2306,1951,2382,3208,2549,2240,3095,2771,1434,3526,2993,1819,3297,,0.664407,0.544847,0.732479,0.762277,0.765615,0.837413,0.431487,0.796020,0.651795,0.386607,0.919242,0.911239,0.523256,0.902606
0.017991,0.755238,1446,2306,1953,2382,3208,2549,2239,3096,2770,1432,3525,2993,1819,3297,,0.664407,0.544847,0.734188,0.762277,0.765615,0.837413,0.430515,0.796731,0.650707,0.384821,0.918245,0.911239,0.523256,0.902606
0.017997,0.773235,1445,2306,1953,2382,3208,2549,2238,3096,2770,1433,3525,2993,1819,3297,,0.663559,0.544847,0.734188,0.762277,0.765615,0.837413,0.429543,0.796731,0.650707,0.385714,0.918245,0.911239,0.523256,0.902606
0.018023,0.791257,1445,2306,1954,2382,3207,2549,2238,3096,2770,1432,3525,2993,1819,3297,,0.663559,0.544847,0.735043,0.762277,0.764971,0.837413,0.429543,0.796731,0.650707,0.384821,0.918245,0.911239,0.523256,0.902606
0.018004,0.809261,1446,2307,1954,2380,3208,2548,2237,3097,2771,1431,3525,2992,1819,3297,,0.664407,0.545802,0.735043,0.760045,0.765615,0.836830,0.428571,0.797441,0.651795,0.383929,0.918245,0.911239,0.523256,0.902606
0.018000,0.827262,1445,2306,1953,2381,3208,2548,2237,3097,2770,1431,3525,2993,1819,3297,,0.663559,0.544847,0.734188,0.761161,0.765615,0.836830,0.428571,0.797441,0.650707,0.383929,0.918245,0.911239,0.523256,0.902606
0.018003,0.845264,1445,2305,1954,2380,3209,2549,2236,3097,2770,1430,3525,2992,1819,3296,,0.663559,0.543893,0.735043,0.760045,0.766259,0.837413,0.427600,0.797441,0.650707,0.383036,0.918245,0.910600,0.523256,0.901920
0.017991,0.863256,1446,2305,1954,2380,3210,2548,2235,3097,2770,1430,3525,2992,1820,3297,,0.664407,0.543893,0.735043,0.760045,0.766903,0.836830,0.426628,0.797441,0.650707,0.383036,0.918245,0.910600,0.524313,0.902606
0.018006,0.881262,1443,2305,1954,2381,3209,2549,2235,3097,2771,1430,3525,2992,1820,3297,,0.661864,0.543893,0.735043,0.761161,0.766259,0.837413,0.426628,0.797441,0.651795,0.383036,0.918245,0.910600,0.524313,0.902606
0.017999,0.899261,1444,2305,1954,2380,3209,2548,2235,3097,2771,1429,3525,2993,1820,3297,,0.662712,0.543893,0.735043,0.760045,0.766259,0.836830,0.426628,0.797441,0.651795,0.382143,0.918245,0.911239,0.524313,0.902606
0.017983,0.917244,1445,2306,1954,2381,3210,2548,2235,3097,2771,1430,3525,2993,1820,3297,,0.663559,0.544847,0.735043,0.761161,0.766903,0.836830,0.426628,0.797441,0.651795,0.383036,0.918245,0.911239,0.524313,0.902606
0.018012,0.935256,1444,2305,1954,2380,3209,2548,2234,3098,2771,1429,3525,2993,1819,3297,,0.662712,0.543893,0.735043,0.760045,0.766259,0.836830,0.425656,0.798152,0.651795,0.382143,0.918245,0.911239,0.523256,0.902606
0.018039,0.953295,1444,2305,1954,2380,3210,2548,2234,3098,2771,1429,3526,2993,1819,3298,,0.662712,0.543893,0.735043,0.760045,0.766903,0.836830,0.425656,0.798152,0.651795,0.382143,0.919242,0.911239,0.523256,0.903292
0.017974,0.971269,1445,2305,1955,2381,3211,2548,2233,3099,2771,1428,3525,2993,1819,3298,,0.663559,0.543893,0.735897,0.761161,0.767547,0.836830,0.424684,0.798863,0.651795,0.381250,0.918245,0.911239,0.523256,0.903292
0.018010,0.989278,1446,2305,1955,2380,3211,2548,2234,3099,2771,1429,3525,2992,1819,3297,,0.664407,0.543893,0.735897,0.760045,0.767547,0.836830,0.425656,0.798863,0.651795,0.382143,0.918245,0.910600,0.523256,0.902606
0.017978,1.007256,1446,2305,1955,2381,3212,2549,2234,3099,2771,1429,3526,2992,1819,3298,,0.664407,0.543893,0.735897,0.761161,0.768191,0.837413,0.425656,0.798863,0.651795,0.382143,0.919242,0.910600,0.523256,0.903292
0.018011,1.025267,1444,2305,1956,2380,3212,2548,2234,3099,2771,1429,3525,2993,1823,3298,,0.662712,0.543893,0.736752,0.760045,0.768191,0.836830,0.425656,0.798863,0.651795,0.382143,0.918245,0.911239,0.527484,0.903292
0.018006,1.043273,1445,2306,1956,2380,3213,2549,2234,3099,2771,1428,3525,2993,1819,3299,,0.663559,0.544847,0.736752,0.760045,0.768835,0.837413,0.425656,0.798863,0.651795,0.381250,0.918245,0.911239,0.523256,0.903978
