GloveManager recording started on 10/20/16 at 17:07:34

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017673,0.017673,1411,2259,1991,2445,3221,2437,2350,3087,2760,1463,3525,3020,1865,3352,,0.634746,0.500000,0.766667,0.832589,0.773986,0.772144,0.538387,0.790334,0.639826,0.412500,0.918245,0.928480,0.571882,0.940329
0.017991,0.035664,1411,2258,1991,2444,3221,2438,2350,3087,2761,1462,3524,3020,1864,3353,,0.634746,0.499046,0.766667,0.831473,0.773986,0.772727,0.538387,0.790334,0.640914,0.411607,0.917248,0.928480,0.570825,0.941015
0.017998,0.053662,1411,2258,1991,2444,3220,2438,2350,3087,2760,1462,3525,3020,1864,3353,,0.634746,0.499046,0.766667,0.831473,0.773342,0.772727,0.538387,0.790334,0.639826,0.411607,0.918245,0.928480,0.570825,0.941015
0.017977,0.071639,1410,2257,1991,2443,3221,2438,2349,3087,2760,1462,3525,3020,1863,3352,,0.633898,0.498092,0.766667,0.830357,0.773986,0.772727,0.537415,0.790334,0.639826,0.411607,0.918245,0.928480,0.569767,0.940329
0.018027,0.089666,1410,2257,1991,2443,3221,2438,2349,3087,2760,1462,3525,3020,1863,3352,,0.633898,0.498092,0.766667,0.830357,0.773986,0.772727,0.537415,0.790334,0.639826,0.411607,0.918245,0.928480,0.569767,0.940329
0.018000,0.107666,1410,2257,1991,2444,3221,2438,2348,3087,2760,1461,3525,3020,1863,3352,,0.633898,0.498092,0.766667,0.831473,0.773986,0.772727,0.536443,0.790334,0.639826,0.410714,0.918245,0.928480,0.569767,0.940329
0.018000,0.125667,1410,2257,1991,2444,3221,2438,2348,3087,2760,1461,3524,3020,1863,3352,,0.633898,0.498092,0.766667,0.831473,0.773986,0.772727,0.536443,0.790334,0.639826,0.410714,0.917248,0.928480,0.569767,0.940329
0.018000,0.143667,1409,2257,1990,2443,3221,2438,2347,3087,2760,1461,3525,3020,1863,3352,,0.633051,0.498092,0.765812,0.830357,0.773986,0.772727,0.535471,0.790334,0.639826,0.410714,0.918245,0.928480,0.569767,0.940329
0.017983,0.161650,1409,2257,1991,2443,3221,2439,2347,3088,2760,1460,3525,3019,1863,3352,,0.633051,0.498092,0.766667,0.830357,0.773986,0.773310,0.535471,0.791045,0.639826,0.409821,0.918245,0.927842,0.569767,0.940329
0.017974,0.179624,1407,2256,1991,2443,3222,2438,2347,3087,2761,1460,3524,3020,1862,3353,,0.631356,0.497137,0.766667,0.830357,0.774630,0.772727,0.535471,0.790334,0.640914,0.409821,0.917248,0.928480,0.568710,0.941015
0.018046,0.197670,1407,2256,1990,2443,3221,2438,2346,3087,2761,1459,3524,3020,1863,3352,,0.631356,0.497137,0.765812,0.830357,0.773986,0.772727,0.534500,0.790334,0.640914,0.408929,0.917248,0.928480,0.569767,0.940329
0.017956,0.215626,1405,2255,1990,2441,3222,2437,2344,3087,2761,1456,3524,3019,1862,3351,,0.629661,0.496183,0.765812,0.828125,0.774630,0.772144,0.532556,0.790334,0.640914,0.406250,0.917248,0.927842,0.568710,0.939643
0.018015,0.233641,1404,2255,1989,2440,3222,2438,2343,3087,2761,1456,3525,3020,1862,3351,,0.628814,0.496183,0.764957,0.827009,0.774630,0.772727,0.531584,0.790334,0.640914,0.406250,0.918245,0.928480,0.568710,0.939643
0.018037,0.251678,1404,2255,1989,2440,3222,2438,2343,3087,2761,1456,3525,3020,1862,3351,,0.628814,0.496183,0.764957,0.827009,0.774630,0.772727,0.531584,0.790334,0.640914,0.406250,0.918245,0.928480,0.568710,0.939643
0.018018,0.269697,1403,2253,1989,2441,3223,2438,2341,3087,2761,1454,3524,3019,1860,3351,,0.627966,0.494275,0.764957,0.828125,0.775274,0.772727,0.529640,0.790334,0.640914,0.404464,0.917248,0.927842,0.566596,0.939643
0.017985,0.287682,1402,2252,1989,2440,3222,2438,2340,3087,2761,1454,3524,3019,1859,3349,,0.627119,0.493321,0.764957,0.827009,0.774630,0.772727,0.528669,0.790334,0.640914,0.404464,0.917248,0.927842,0.565539,0.938272
0.017996,0.305678,1400,2252,1989,2440,3222,2438,2338,3088,2761,1452,3523,3019,1859,3349,,0.625424,0.493321,0.764957,0.827009,0.774630,0.772727,0.526725,0.791045,0.640914,0.402679,0.916251,0.927842,0.565539,0.938272
0.018002,0.323680,1396,2249,1988,2440,3223,2438,2333,3088,2761,1450,3523,3017,1859,3347,,0.622034,0.490458,0.764103,0.827009,0.775274,0.772727,0.521866,0.791045,0.640914,0.400893,0.916251,0.926565,0.565539,0.936900
0.018000,0.341680,1394,2247,1988,2439,3224,2437,2331,3088,2761,1448,3522,3016,1858,3345,,0.620339,0.488550,0.764103,0.825893,0.775918,0.772144,0.519922,0.791045,0.640914,0.399107,0.915254,0.925926,0.564482,0.935528
0.017982,0.359662,1392,2245,1989,2440,3225,2438,2328,3088,2761,1445,3521,3016,1856,3344,,0.618644,0.486641,0.764957,0.827009,0.776561,0.772727,0.517007,0.791045,0.640914,0.396429,0.914257,0.925926,0.562368,0.934842
0.018016,0.377678,1391,2243,1990,2439,3225,2438,2326,3087,2760,1445,3522,3015,1855,3343,,0.617797,0.484733,0.765812,0.825893,0.776561,0.772727,0.515063,0.790334,0.639826,0.396429,0.915254,0.925287,0.561311,0.934156
0.018008,0.395686,1387,2241,1992,2440,3225,2438,2324,3086,2760,1443,3520,3016,1852,3342,,0.614407,0.482824,0.767521,0.827009,0.776561,0.772727,0.513120,0.789623,0.639826,0.394643,0.913260,0.925926,0.558140,0.933470
0.018002,0.413688,1387,2241,1992,2440,3225,2438,2324,3086,2760,1443,3520,3016,1852,3342,,0.614407,0.482824,0.767521,0.827009,0.776561,0.772727,0.513120,0.789623,0.639826,0.394643,0.913260,0.925926,0.558140,0.933470
0.017997,0.431685,1380,2234,1997,2438,3226,2438,2318,3083,2760,1435,3520,3015,1842,3336,,0.608475,0.476145,0.771795,0.824777,0.777205,0.772727,0.507289,0.787491,0.639826,0.387500,0.913260,0.925287,0.547569,0.929355
0.017980,0.449665,1380,2234,1997,2438,3226,2438,2318,3083,2760,1435,3520,3015,1842,3336,,0.608475,0.476145,0.771795,0.824777,0.777205,0.772727,0.507289,0.787491,0.639826,0.387500,0.913260,0.925287,0.547569,0.929355
0.017996,0.467661,1369,2227,1998,2434,3226,2438,2310,3077,2761,1427,3517,3014,1828,3329,,0.599153,0.469466,0.772650,0.820313,0.777205,0.772727,0.499514,0.783227,0.640914,0.380357,0.910269,0.924649,0.532770,0.924554
0.018022,0.485683,1363,2223,1999,2432,3224,2439,2305,3073,2763,1421,3514,3013,1820,3323,,0.594068,0.465649,0.773504,0.818080,0.775918,0.773310,0.494655,0.780384,0.643090,0.375000,0.907278,0.924010,0.524313,0.920439
0.018008,0.503690,1356,2219,2000,2431,3225,2439,2302,3069,2765,1416,3512,3012,1811,3314,,0.588136,0.461832,0.774359,0.816964,0.776561,0.773310,0.491740,0.777541,0.645267,0.370536,0.905284,0.923372,0.514799,0.914266
0.018002,0.521693,1349,2213,1999,2428,3224,2438,2296,3064,2767,1409,3508,3011,1801,3301,,0.582203,0.456107,0.773504,0.813616,0.775918,0.772727,0.485909,0.773987,0.647443,0.364286,0.901296,0.922733,0.504228,0.905350
0.017994,0.539687,1339,2208,1999,2425,3222,2438,2290,3058,2768,1402,3503,3010,1791,3284,,0.573729,0.451336,0.773504,0.810268,0.774630,0.772727,0.480078,0.769723,0.648531,0.358036,0.896311,0.922095,0.493657,0.893690
0.018006,0.557693,1315,2198,1996,2419,3214,2436,2277,3044,2768,1388,3489,3006,1771,3229,,0.553390,0.441794,0.770940,0.803571,0.769478,0.771562,0.467444,0.759773,0.648531,0.345536,0.882353,0.919540,0.472516,0.855967
0.018003,0.575696,1315,2198,1996,2419,3214,2436,2277,3044,2768,1388,3489,3006,1771,3229,,0.553390,0.441794,0.770940,0.803571,0.769478,0.771562,0.467444,0.759773,0.648531,0.345536,0.882353,0.919540,0.472516,0.855967
0.017997,0.593693,1294,2186,1992,2412,3204,2434,2263,3023,2769,1377,3465,3001,1755,3143,,0.535593,0.430344,0.767521,0.795759,0.763039,0.770396,0.453839,0.744847,0.649619,0.335714,0.858425,0.916347,0.455603,0.796982
0.017974,0.611667,1286,2180,1988,2409,3197,2429,2259,3012,2771,1373,3452,2998,1749,3088,,0.528814,0.424618,0.764103,0.792411,0.758532,0.767483,0.449951,0.737029,0.651795,0.332143,0.845464,0.914432,0.449260,0.759259
0.018035,0.629702,1275,2173,1984,2405,3188,2426,2254,3000,2774,1366,3439,2993,1742,3028,,0.519492,0.417939,0.760684,0.787946,0.752737,0.765734,0.445092,0.728500,0.655060,0.325893,0.832502,0.911239,0.441860,0.718107
0.018001,0.647703,1260,2166,1979,2398,3177,2421,2241,2989,2783,1356,3427,2984,1739,2971,,0.506780,0.411260,0.756410,0.780134,0.745654,0.762821,0.432459,0.720682,0.664853,0.316964,0.820538,0.905492,0.438689,0.679012
0.017992,0.665695,1227,2145,1962,2363,3146,2411,2190,2962,2819,1313,3405,2957,1729,2880,,0.478814,0.391221,0.741880,0.741071,0.725692,0.756993,0.382896,0.701493,0.704026,0.278571,0.798604,0.888250,0.428118,0.616598
0.018000,0.683695,1227,2145,1962,2363,3146,2411,2190,2962,2819,1313,3405,2957,1729,2880,,0.478814,0.391221,0.741880,0.741071,0.725692,0.756993,0.382896,0.701493,0.704026,0.278571,0.798604,0.888250,0.428118,0.616598
0.018002,0.701698,1206,2116,1930,2328,3107,2411,2138,2932,2874,1256,3387,2919,1727,2801,,0.461017,0.363550,0.714530,0.702009,0.700580,0.756993,0.332362,0.680171,0.763874,0.227679,0.780658,0.863985,0.426004,0.562414
0.017986,0.719683,1207,2112,1917,2313,3088,2402,2108,2923,2872,1226,3376,2909,1727,2765,,0.461864,0.359733,0.703419,0.685268,0.688345,0.751748,0.303207,0.673774,0.761697,0.200893,0.769691,0.857599,0.426004,0.537723
0.018015,0.737698,1214,2116,1891,2297,3073,2387,2073,2917,2866,1206,3357,2903,1721,2742,,0.467797,0.363550,0.681197,0.667411,0.678686,0.743007,0.269193,0.669510,0.755169,0.183036,0.750748,0.853768,0.419662,0.521948
0.017999,0.755697,1221,2119,1839,2276,3063,2374,2041,2911,2863,1189,3348,2900,1724,2723,,0.473729,0.366412,0.636752,0.643973,0.672247,0.735431,0.238095,0.665245,0.751904,0.167857,0.741775,0.851852,0.422833,0.508916
