GloveManager recording started on 10/20/16 at 17:09:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017563,0.017562,1278,2016,1030,2329,2920,2430,2287,2705,2965,1283,3219,2982,1722,2489,,0.594828,0.268130,0.004110,0.703125,0.580167,0.768065,0.477162,0.518834,0.864224,0.251786,0.613160,0.904215,0.420719,0.348422
0.017989,0.035551,1278,2018,1030,2329,2920,2429,2287,2706,2964,1283,3219,2982,1721,2489,,0.594828,0.270038,0.004110,0.703125,0.580167,0.767483,0.477162,0.519545,0.863147,0.251786,0.613160,0.904215,0.419662,0.348422
0.017984,0.053534,1279,2018,1030,2329,2920,2429,2287,2706,2965,1283,3219,2982,1722,2489,,0.595546,0.270038,0.004110,0.703125,0.580167,0.767483,0.477162,0.519545,0.864224,0.251786,0.613160,0.904215,0.420719,0.348422
0.018013,0.071547,1279,2018,1030,2329,2920,2429,2287,2706,2965,1283,3219,2982,1722,2489,,0.595546,0.270038,0.004110,0.703125,0.580167,0.767483,0.477162,0.519545,0.864224,0.251786,0.613160,0.904215,0.420719,0.348422
0.017996,0.089543,1279,2020,1031,2329,2922,2429,2287,2708,2965,1284,3219,2982,1722,2489,,0.595546,0.271947,0.004698,0.703125,0.581455,0.767483,0.477162,0.520967,0.864224,0.252679,0.613160,0.904215,0.420719,0.348422
0.017999,0.107542,1281,2021,1031,2329,2922,2429,2287,2709,2965,1283,3219,2981,1722,2490,,0.596983,0.272901,0.004698,0.703125,0.581455,0.767483,0.477162,0.521677,0.864224,0.251786,0.613160,0.903576,0.420719,0.349108
0.018006,0.125548,1282,2021,1031,2329,2922,2430,2286,2709,2965,1284,3219,2982,1721,2489,,0.597701,0.272901,0.004698,0.703125,0.581455,0.768065,0.476190,0.521677,0.864224,0.252679,0.613160,0.904215,0.419662,0.348422
0.018019,0.143567,1281,2020,1031,2329,2921,2429,2286,2709,2965,1283,3218,2982,1721,2489,,0.596983,0.271947,0.004698,0.703125,0.580811,0.767483,0.476190,0.521677,0.864224,0.251786,0.612163,0.904215,0.419662,0.348422
0.017991,0.161558,1281,2021,1032,2329,2922,2429,2287,2709,2965,1284,3219,2982,1722,2490,,0.596983,0.272901,0.005285,0.703125,0.581455,0.767483,0.477162,0.521677,0.864224,0.252679,0.613160,0.904215,0.420719,0.349108
0.017975,0.179533,1281,2021,1032,2329,2922,2429,2287,2710,2965,1285,3219,2982,1722,2490,,0.596983,0.272901,0.005285,0.703125,0.581455,0.767483,0.477162,0.522388,0.864224,0.253571,0.613160,0.904215,0.420719,0.349108
