GloveManager recording started on 10/20/16 at 17:10:23

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017140,0.017139,1655,2095,1087,2331,3058,2405,2225,2856,2982,1269,3276,2974,1705,2637,,0.865661,0.343511,0.037581,0.705357,0.669028,0.753497,0.416910,0.626155,0.882543,0.239286,0.669990,0.899106,0.402748,0.449931
0.018035,0.035174,1655,2095,1087,2331,3056,2404,2228,2855,2982,1271,3274,2974,1706,2635,,0.865661,0.343511,0.037581,0.705357,0.667740,0.752914,0.419825,0.625444,0.882543,0.241071,0.667996,0.899106,0.403805,0.448560
0.018006,0.053180,1655,2096,1087,2332,3055,2403,2228,2855,2981,1271,3275,2973,1706,2635,,0.865661,0.344466,0.037581,0.706473,0.667096,0.752331,0.419825,0.625444,0.881465,0.241071,0.668993,0.898467,0.403805,0.448560
0.018013,0.071192,1655,2096,1087,2333,3055,2404,2230,2857,2980,1270,3273,2973,1706,2635,,0.865661,0.344466,0.037581,0.707589,0.667096,0.752914,0.421769,0.626866,0.880388,0.240179,0.666999,0.898467,0.403805,0.448560
0.018007,0.089200,1654,2096,1086,2333,3055,2404,2230,2856,2981,1271,3274,2973,1706,2634,,0.864943,0.344466,0.036994,0.707589,0.667096,0.752914,0.421769,0.626155,0.881465,0.241071,0.667996,0.898467,0.403805,0.447874
0.017985,0.107185,1654,2097,1086,2333,3054,2403,2231,2854,2981,1270,3274,2973,1705,2634,,0.864943,0.345420,0.036994,0.707589,0.666452,0.752331,0.422741,0.624733,0.881465,0.240179,0.667996,0.898467,0.402748,0.447874
0.018004,0.125189,1654,2097,1087,2332,3051,2404,2234,2851,2980,1270,3274,2972,1705,2633,,0.864943,0.345420,0.037581,0.706473,0.664520,0.752914,0.425656,0.622601,0.880388,0.240179,0.667996,0.897829,0.402748,0.447188
0.018014,0.143203,1654,2097,1087,2332,3051,2404,2234,2851,2980,1270,3274,2972,1705,2633,,0.864943,0.345420,0.037581,0.706473,0.664520,0.752914,0.425656,0.622601,0.880388,0.240179,0.667996,0.897829,0.402748,0.447188
0.018053,0.161256,1654,2099,1086,2334,3050,2405,2236,2848,2980,1271,3274,2972,1706,2634,,0.864943,0.347328,0.036994,0.708705,0.663876,0.753497,0.427600,0.620469,0.880388,0.241071,0.667996,0.897829,0.403805,0.447874
0.017914,0.179170,1654,2101,1085,2333,3047,2405,2237,2847,2979,1272,3273,2971,1706,2634,,0.864943,0.349237,0.036406,0.707589,0.661945,0.753497,0.428571,0.619758,0.879310,0.241964,0.666999,0.897190,0.403805,0.447874
