GloveManager recording started on 10/20/16 at 17:10:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017433,0.017433,1410,1935,1075,2374,2819,2424,2295,2704,2975,1279,3250,2977,1733,2645,,0.689655,0.190840,0.030534,0.753348,0.515132,0.764569,0.484937,0.518124,0.875000,0.248214,0.644068,0.901022,0.432347,0.455418
0.018025,0.035458,1409,1938,1075,2375,2819,2424,2295,2706,2976,1280,3251,2976,1734,2645,,0.688937,0.193702,0.030534,0.754464,0.515132,0.764569,0.484937,0.519545,0.876078,0.249107,0.645065,0.900383,0.433404,0.455418
0.017999,0.053456,1408,1939,1075,2375,2820,2423,2295,2707,2976,1279,3250,2976,1734,2645,,0.688218,0.194656,0.030534,0.754464,0.515776,0.763986,0.484937,0.520256,0.876078,0.248214,0.644068,0.900383,0.433404,0.455418
0.017974,0.071430,1408,1939,1075,2375,2820,2423,2295,2707,2976,1279,3250,2976,1734,2645,,0.688218,0.194656,0.030534,0.754464,0.515776,0.763986,0.484937,0.520256,0.876078,0.248214,0.644068,0.900383,0.433404,0.455418
0.018041,0.089471,1409,1941,1075,2376,2821,2424,2295,2707,2975,1280,3250,2977,1733,2645,,0.688937,0.196565,0.030534,0.755580,0.516420,0.764569,0.484937,0.520256,0.875000,0.249107,0.644068,0.901022,0.432347,0.455418
0.018002,0.107473,1408,1942,1076,2377,2823,2425,2297,2708,2976,1280,3252,2975,1734,2646,,0.688218,0.197519,0.031122,0.756696,0.517708,0.765152,0.486880,0.520967,0.876078,0.249107,0.646062,0.899745,0.433404,0.456104
0.017983,0.125455,1410,1944,1076,2377,2823,2424,2297,2709,2976,1280,3251,2975,1734,2646,,0.689655,0.199427,0.031122,0.756696,0.517708,0.764569,0.486880,0.521677,0.876078,0.249107,0.645065,0.899745,0.433404,0.456104
0.018002,0.143458,1410,1944,1076,2378,2823,2424,2296,2710,2977,1281,3251,2975,1734,2646,,0.689655,0.199427,0.031122,0.757813,0.517708,0.764569,0.485909,0.522388,0.877155,0.250000,0.645065,0.899745,0.433404,0.456104
0.018009,0.161467,1409,1946,1075,2379,2825,2424,2297,2711,2976,1281,3250,2975,1734,2647,,0.688937,0.201336,0.030534,0.758929,0.518995,0.764569,0.486880,0.523099,0.876078,0.250000,0.644068,0.899745,0.433404,0.456790
