GloveManager recording started on 10/20/16 at 17:11:24

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017310,0.017310,1389,2044,1033,2386,2897,2411,2374,2779,2948,1320,3275,2977,1741,2711,,0.674569,0.294847,0.005872,0.766741,0.565357,0.756993,0.561710,0.571429,0.845905,0.284821,0.668993,0.901022,0.440803,0.500686
0.017937,0.035247,1387,2042,1032,2386,2895,2411,2374,2777,2948,1321,3274,2977,1741,2709,,0.673132,0.292939,0.005285,0.766741,0.564070,0.756993,0.561710,0.570007,0.845905,0.285714,0.667996,0.901022,0.440803,0.499314
0.018025,0.053272,1388,2042,1032,2385,2893,2411,2374,2776,2949,1321,3274,2977,1742,2708,,0.673851,0.292939,0.005285,0.765625,0.562782,0.756993,0.561710,0.569296,0.846983,0.285714,0.667996,0.901022,0.441860,0.498628
0.018000,0.071272,1389,2043,1032,2385,2892,2411,2375,2776,2948,1321,3274,2977,1741,2707,,0.674569,0.293893,0.005285,0.765625,0.562138,0.756993,0.562682,0.569296,0.845905,0.285714,0.667996,0.901022,0.440803,0.497942
0.018004,0.089276,1388,2044,1032,2385,2891,2411,2375,2775,2948,1320,3274,2976,1741,2706,,0.673851,0.294847,0.005285,0.765625,0.561494,0.756993,0.562682,0.568586,0.845905,0.284821,0.667996,0.900383,0.440803,0.497257
0.018006,0.107282,1389,2043,1031,2384,2889,2411,2375,2773,2948,1320,3273,2976,1741,2706,,0.674569,0.293893,0.004698,0.764509,0.560206,0.756993,0.562682,0.567164,0.845905,0.284821,0.666999,0.900383,0.440803,0.497257
0.017983,0.125265,1390,2045,1031,2383,2885,2411,2374,2770,2949,1321,3272,2974,1741,2704,,0.675287,0.295802,0.004698,0.763393,0.557630,0.756993,0.561710,0.565032,0.846983,0.285714,0.666002,0.899106,0.440803,0.495885
0.018019,0.143284,1390,2046,1030,2383,2884,2411,2374,2769,2948,1321,3272,2974,1740,2703,,0.675287,0.296756,0.004110,0.763393,0.556986,0.756993,0.561710,0.564321,0.845905,0.285714,0.666002,0.899106,0.439746,0.495199
0.017992,0.161277,1391,2047,1030,2382,2882,2411,2375,2767,2949,1321,3272,2975,1740,2701,,0.676006,0.297710,0.004110,0.762277,0.555699,0.756993,0.562682,0.562900,0.846983,0.285714,0.666002,0.899745,0.439746,0.493827
0.018003,0.179280,1394,2049,1030,2382,2881,2411,2374,2766,2948,1320,3271,2974,1741,2699,,0.678161,0.299618,0.004110,0.762277,0.555055,0.756993,0.561710,0.562189,0.845905,0.284821,0.665005,0.899106,0.440803,0.492455
0.018008,0.197288,1393,2050,1029,2381,2878,2411,2373,2764,2950,1321,3270,2974,1741,2696,,0.677443,0.300573,0.003523,0.761161,0.553123,0.756993,0.560739,0.560768,0.848060,0.285714,0.664008,0.899106,0.440803,0.490398
0.017991,0.215279,1394,2049,1029,2381,2875,2412,2372,2762,2949,1320,3270,2973,1740,2694,,0.678161,0.299618,0.003523,0.761161,0.551191,0.757576,0.559767,0.559346,0.846983,0.284821,0.664008,0.898467,0.439746,0.489026
0.018010,0.233289,1396,2050,1028,2379,2872,2413,2371,2757,2950,1319,3268,2972,1740,2690,,0.679598,0.300573,0.002936,0.758929,0.549259,0.758159,0.558795,0.555792,0.848060,0.283929,0.662014,0.897829,0.439746,0.486283
0.017993,0.251283,1396,2050,1028,2379,2872,2413,2371,2757,2950,1319,3268,2972,1740,2690,,0.679598,0.300573,0.002936,0.758929,0.549259,0.758159,0.558795,0.555792,0.848060,0.283929,0.662014,0.897829,0.439746,0.486283
0.018011,0.269294,1396,2049,1028,2377,2869,2413,2368,2755,2952,1318,3267,2971,1740,2687,,0.679598,0.299618,0.002936,0.756696,0.547328,0.758159,0.555879,0.554371,0.850215,0.283036,0.661017,0.897190,0.439746,0.484225
0.017991,0.287285,1396,2048,1028,2375,2866,2412,2366,2752,2952,1317,3266,2970,1739,2683,,0.679598,0.298664,0.002936,0.754464,0.545396,0.757576,0.553936,0.552239,0.850215,0.282143,0.660020,0.896552,0.438689,0.481481
0.018010,0.305296,1396,2047,1028,2374,2863,2413,2365,2749,2953,1316,3266,2970,1739,2680,,0.679598,0.297710,0.002936,0.753348,0.543464,0.758159,0.552964,0.550107,0.851293,0.281250,0.660020,0.896552,0.438689,0.479424
0.017989,0.323285,1396,2045,1027,2375,2861,2413,2364,2748,2953,1316,3265,2969,1740,2679,,0.679598,0.295802,0.002349,0.754464,0.542176,0.758159,0.551992,0.549396,0.851293,0.281250,0.659023,0.895913,0.439746,0.478738
0.018005,0.341290,1394,2043,1027,2375,2859,2412,2363,2747,2952,1315,3265,2969,1739,2679,,0.678161,0.293893,0.002349,0.754464,0.540889,0.757576,0.551020,0.548685,0.850215,0.280357,0.659023,0.895913,0.438689,0.478738
0.018008,0.359298,1392,2039,1027,2377,2859,2412,2363,2748,2952,1316,3265,2969,1740,2681,,0.676724,0.290076,0.002349,0.756696,0.540889,0.757576,0.551020,0.549396,0.850215,0.281250,0.659023,0.895913,0.439746,0.480110
0.017993,0.377291,1392,2035,1028,2381,2858,2412,2363,2749,2952,1316,3266,2970,1741,2681,,0.676724,0.286260,0.002936,0.761161,0.540245,0.757576,0.551020,0.550107,0.850215,0.281250,0.660020,0.896552,0.440803,0.480110
0.018002,0.395294,1392,2035,1028,2381,2858,2412,2363,2749,2952,1316,3266,2970,1741,2681,,0.676724,0.286260,0.002936,0.761161,0.540245,0.757576,0.551020,0.550107,0.850215,0.281250,0.660020,0.896552,0.440803,0.480110
0.017997,0.413291,1395,2037,1030,2382,2856,2413,2363,2749,2952,1316,3265,2969,1741,2681,,0.678879,0.288168,0.004110,0.762277,0.538957,0.758159,0.551020,0.550107,0.850215,0.281250,0.659023,0.895913,0.440803,0.480110
0.017991,0.431282,1395,2038,1029,2382,2855,2412,2364,2749,2951,1316,3264,2969,1740,2681,,0.678879,0.289122,0.003523,0.762277,0.538313,0.757576,0.551992,0.550107,0.849138,0.281250,0.658026,0.895913,0.439746,0.480110
0.018010,0.449292,1397,2040,1029,2384,2855,2413,2365,2748,2952,1317,3266,2969,1740,2681,,0.680316,0.291031,0.003523,0.764509,0.538313,0.758159,0.552964,0.549396,0.850215,0.282143,0.660020,0.895913,0.439746,0.480110
0.018001,0.467294,1399,2045,1030,2384,2854,2414,2363,2751,2952,1318,3265,2969,1740,2682,,0.681753,0.295802,0.004110,0.764509,0.537669,0.758741,0.551020,0.551528,0.850215,0.283036,0.659023,0.895913,0.439746,0.480796
0.018020,0.485314,1399,2045,1030,2384,2854,2414,2363,2751,2952,1318,3265,2969,1740,2682,,0.681753,0.295802,0.004110,0.764509,0.537669,0.758741,0.551020,0.551528,0.850215,0.283036,0.659023,0.895913,0.439746,0.480796
0.018000,0.503313,1403,2048,1030,2382,2853,2414,2363,2752,2952,1317,3265,2969,1740,2681,,0.684626,0.298664,0.004110,0.762277,0.537025,0.758741,0.551020,0.552239,0.850215,0.282143,0.659023,0.895913,0.439746,0.480110
0.017989,0.521302,1405,2049,1030,2382,2852,2414,2363,2753,2952,1318,3264,2970,1740,2680,,0.686063,0.299618,0.004110,0.762277,0.536381,0.758741,0.551020,0.552950,0.850215,0.283036,0.658026,0.896552,0.439746,0.479424
0.018008,0.539310,1406,2050,1029,2382,2853,2414,2364,2753,2951,1317,3264,2970,1739,2679,,0.686782,0.300573,0.003523,0.762277,0.537025,0.758741,0.551992,0.552950,0.849138,0.282143,0.658026,0.896552,0.438689,0.478738
0.017993,0.557303,1407,2052,1029,2382,2852,2415,2365,2753,2952,1318,3264,2970,1740,2679,,0.687500,0.302481,0.003523,0.762277,0.536381,0.759324,0.552964,0.552950,0.850215,0.283036,0.658026,0.896552,0.439746,0.478738
0.017976,0.575279,1407,2053,1030,2382,2851,2414,2365,2753,2952,1318,3264,2970,1739,2680,,0.687500,0.303435,0.004110,0.762277,0.535737,0.758741,0.552964,0.552950,0.850215,0.283036,0.658026,0.896552,0.438689,0.479424
0.018021,0.593300,1409,2053,1030,2383,2852,2413,2366,2754,2952,1319,3265,2969,1739,2680,,0.688937,0.303435,0.004110,0.763393,0.536381,0.758159,0.553936,0.553660,0.850215,0.283929,0.659023,0.895913,0.438689,0.479424
0.018011,0.611311,1409,2054,1031,2382,2852,2414,2366,2754,2952,1319,3264,2970,1740,2680,,0.688937,0.304389,0.004698,0.762277,0.536381,0.758741,0.553936,0.553660,0.850215,0.283929,0.658026,0.896552,0.439746,0.479424
0.018006,0.629317,1412,2056,1030,2381,2853,2414,2366,2754,2952,1319,3263,2969,1739,2680,,0.691092,0.306298,0.004110,0.761161,0.537025,0.758741,0.553936,0.553660,0.850215,0.283929,0.657029,0.895913,0.438689,0.479424
0.017987,0.647305,1414,2057,1030,2382,2853,2415,2366,2755,2952,1320,3265,2970,1740,2680,,0.692529,0.307252,0.004110,0.762277,0.537025,0.759324,0.553936,0.554371,0.850215,0.284821,0.659023,0.896552,0.439746,0.479424
0.017998,0.665302,1414,2058,1031,2381,2854,2414,2366,2756,2952,1320,3265,2970,1739,2680,,0.692529,0.308206,0.004698,0.761161,0.537669,0.758741,0.553936,0.555082,0.850215,0.284821,0.659023,0.896552,0.438689,0.479424
0.018014,0.683317,1415,2059,1031,2381,2854,2415,2365,2757,2953,1320,3265,2970,1741,2680,,0.693247,0.309160,0.004698,0.761161,0.537669,0.759324,0.552964,0.555792,0.851293,0.284821,0.659023,0.896552,0.440803,0.479424
0.018006,0.701323,1416,2059,1031,2379,2855,2414,2364,2757,2952,1320,3265,2969,1740,2680,,0.693965,0.309160,0.004698,0.758929,0.538313,0.758741,0.551992,0.555792,0.850215,0.284821,0.659023,0.895913,0.439746,0.479424
0.017983,0.719306,1415,2060,1031,2379,2855,2415,2364,2758,2952,1320,3265,2969,1741,2679,,0.693247,0.310115,0.004698,0.758929,0.538313,0.759324,0.551992,0.556503,0.850215,0.284821,0.659023,0.895913,0.440803,0.478738
0.018002,0.737307,1415,2060,1031,2379,2855,2415,2364,2758,2952,1320,3265,2969,1741,2679,,0.693247,0.310115,0.004698,0.758929,0.538313,0.759324,0.551992,0.556503,0.850215,0.284821,0.659023,0.895913,0.440803,0.478738
0.018001,0.755309,1416,2060,1030,2380,2855,2415,2365,2757,2952,1320,3265,2969,1740,2679,,0.693965,0.310115,0.004110,0.760045,0.538313,0.759324,0.552964,0.555792,0.850215,0.284821,0.659023,0.895913,0.439746,0.478738
0.017999,0.773308,1416,2059,1030,2378,2855,2414,2365,2758,2952,1320,3264,2969,1740,2679,,0.693965,0.309160,0.004110,0.757813,0.538313,0.758741,0.552964,0.556503,0.850215,0.284821,0.658026,0.895913,0.439746,0.478738
0.018006,0.791315,1416,2058,1030,2378,2855,2414,2365,2758,2952,1320,3264,2969,1739,2679,,0.693965,0.308206,0.004110,0.757813,0.538313,0.758741,0.552964,0.556503,0.850215,0.284821,0.658026,0.895913,0.438689,0.478738
0.018002,0.809317,1416,2059,1030,2379,2855,2414,2364,2759,2952,1321,3265,2969,1740,2680,,0.693965,0.309160,0.004110,0.758929,0.538313,0.758741,0.551992,0.557214,0.850215,0.285714,0.659023,0.895913,0.439746,0.479424
0.017993,0.827310,1415,2058,1031,2379,2855,2414,2365,2759,2951,1320,3265,2969,1741,2681,,0.693247,0.308206,0.004698,0.758929,0.538313,0.758741,0.552964,0.557214,0.849138,0.284821,0.659023,0.895913,0.440803,0.480110
0.018012,0.845322,1416,2058,1030,2379,2854,2414,2365,2759,2952,1321,3265,2969,1740,2681,,0.693965,0.308206,0.004110,0.758929,0.537669,0.758741,0.552964,0.557214,0.850215,0.285714,0.659023,0.895913,0.439746,0.480110
0.017992,0.863313,1416,2058,1030,2378,2855,2414,2364,2759,2952,1320,3264,2969,1740,2682,,0.693965,0.308206,0.004110,0.757813,0.538313,0.758741,0.551992,0.557214,0.850215,0.284821,0.658026,0.895913,0.439746,0.480796
0.018007,0.881321,1416,2059,1031,2378,2854,2415,2364,2760,2952,1321,3266,2969,1740,2681,,0.693965,0.309160,0.004698,0.757813,0.537669,0.759324,0.551992,0.557925,0.850215,0.285714,0.660020,0.895913,0.439746,0.480110
0.017979,0.899300,1417,2061,1031,2378,2855,2414,2364,2760,2952,1320,3266,2969,1740,2682,,0.694684,0.311069,0.004698,0.757813,0.538313,0.758741,0.551992,0.557925,0.850215,0.284821,0.660020,0.895913,0.439746,0.480796
0.018002,0.917303,1417,2061,1031,2377,2855,2415,2364,2761,2952,1321,3266,2970,1741,2682,,0.694684,0.311069,0.004698,0.756696,0.538313,0.759324,0.551992,0.558635,0.850215,0.285714,0.660020,0.896552,0.440803,0.480796
0.018015,0.935318,1418,2062,1031,2377,2856,2413,2364,2762,2953,1320,3266,2969,1740,2681,,0.695402,0.312023,0.004698,0.756696,0.538957,0.758159,0.551992,0.559346,0.851293,0.284821,0.660020,0.895913,0.439746,0.480110
0.017976,0.953293,1419,2062,1031,2376,2855,2414,2364,2763,2953,1321,3266,2969,1740,2683,,0.696121,0.312023,0.004698,0.755580,0.538313,0.758741,0.551992,0.560057,0.851293,0.285714,0.660020,0.895913,0.439746,0.481481
0.018024,0.971317,1419,2062,1031,2376,2855,2414,2364,2763,2953,1321,3266,2969,1740,2683,,0.696121,0.312023,0.004698,0.755580,0.538313,0.758741,0.551992,0.560057,0.851293,0.285714,0.660020,0.895913,0.439746,0.481481
0.018009,0.989327,1419,2063,1031,2376,2855,2414,2364,2762,2953,1321,3265,2969,1740,2682,,0.696121,0.312977,0.004698,0.755580,0.538313,0.758741,0.551992,0.559346,0.851293,0.285714,0.659023,0.895913,0.439746,0.480796
0.018000,1.007327,1419,2064,1031,2377,2855,2414,2364,2763,2953,1321,3266,2969,1740,2682,,0.696121,0.313931,0.004698,0.756696,0.538313,0.758741,0.551992,0.560057,0.851293,0.285714,0.660020,0.895913,0.439746,0.480796
0.017972,1.025298,1419,2064,1031,2375,2855,2414,2363,2764,2953,1321,3265,2968,1741,2683,,0.696121,0.313931,0.004698,0.754464,0.538313,0.758741,0.551020,0.560768,0.851293,0.285714,0.659023,0.895275,0.440803,0.481481
0.018032,1.043330,1419,2064,1031,2375,2855,2414,2363,2764,2953,1321,3265,2968,1741,2683,,0.696121,0.313931,0.004698,0.754464,0.538313,0.758741,0.551020,0.560768,0.851293,0.285714,0.659023,0.895275,0.440803,0.481481
0.018018,1.061349,1420,2065,1031,2376,2855,2414,2363,2765,2953,1322,3266,2969,1740,2684,,0.696839,0.314885,0.004698,0.755580,0.538313,0.758741,0.551020,0.561478,0.851293,0.286607,0.660020,0.895913,0.439746,0.482167
0.017975,1.079323,1421,2067,1030,2376,2855,2414,2364,2766,2954,1322,3266,2970,1741,2684,,0.697557,0.316794,0.004110,0.755580,0.538313,0.758741,0.551992,0.562189,0.852371,0.286607,0.660020,0.896552,0.440803,0.482167
0.018011,1.097334,1422,2068,1030,2376,2855,2413,2364,2766,2953,1322,3266,2970,1741,2685,,0.698276,0.317748,0.004110,0.755580,0.538313,0.758159,0.551992,0.562189,0.851293,0.286607,0.660020,0.896552,0.440803,0.482853
0.018001,1.115336,1423,2068,1030,2377,2855,2414,2364,2766,2953,1321,3266,2970,1741,2684,,0.698994,0.317748,0.004110,0.756696,0.538313,0.758741,0.551992,0.562189,0.851293,0.285714,0.660020,0.896552,0.440803,0.482167
0.018002,1.133338,1423,2068,1032,2377,2855,2414,2363,2767,2953,1322,3266,2969,1741,2684,,0.698994,0.317748,0.005285,0.756696,0.538313,0.758741,0.551020,0.562900,0.851293,0.286607,0.660020,0.895913,0.440803,0.482167
0.017968,1.151306,1422,2068,1031,2378,2856,2414,2364,2767,2953,1322,3267,2969,1740,2685,,0.698276,0.317748,0.004698,0.757813,0.538957,0.758741,0.551992,0.562900,0.851293,0.286607,0.660020,0.895913,0.440803,0.482853
0.017977,1.169283,1423,2068,1030,2377,2855,2414,2363,2767,2953,1322,3266,2969,1741,2685,,0.698994,0.317748,0.004110,0.756696,0.538313,0.758741,0.551020,0.562900,0.851293,0.286607,0.660020,0.895913,0.440803,0.482853
0.018075,1.187357,1423,2069,1032,2378,2855,2414,2364,2768,2953,1322,3266,2970,1741,2685,,0.698994,0.318702,0.005285,0.757813,0.538313,0.758741,0.551992,0.563610,0.851293,0.286607,0.660020,0.896552,0.440803,0.482853
0.017973,1.205330,1423,2069,1032,2377,2856,2414,2362,2769,2954,1321,3266,2970,1739,2684,,0.698994,0.318702,0.005285,0.756696,0.538957,0.758741,0.550049,0.564321,0.852371,0.285714,0.660020,0.896552,0.438689,0.482167
0.018000,1.223330,1422,2069,1031,2377,2856,2414,2361,2769,2954,1322,3267,2970,1740,2685,,0.698276,0.318702,0.004698,0.756696,0.538957,0.758741,0.549077,0.564321,0.852371,0.286607,0.661017,0.896552,0.439746,0.482853
0.018006,1.241336,1424,2070,1032,2377,2857,2414,2360,2771,2954,1322,3267,2970,1740,2684,,0.699713,0.319656,0.005285,0.756696,0.539601,0.758741,0.548105,0.565743,0.852371,0.286607,0.661017,0.896552,0.439746,0.482167
0.017999,1.259336,1424,2070,1032,2376,2858,2413,2358,2773,2955,1321,3267,2969,1740,2684,,0.699713,0.319656,0.005285,0.755580,0.540245,0.758159,0.546161,0.567164,0.853448,0.285714,0.661017,0.895913,0.439746,0.482167
0.017973,1.277309,1426,2071,1032,2375,2859,2413,2355,2774,2955,1320,3266,2970,1740,2682,,0.701149,0.320611,0.005285,0.754464,0.540889,0.758159,0.543246,0.567875,0.853448,0.284821,0.660020,0.896552,0.439746,0.480796
0.018001,1.295310,1429,2072,1033,2371,2859,2413,2346,2781,2957,1318,3266,2970,1739,2679,,0.703305,0.321565,0.005872,0.750000,0.540889,0.758159,0.534500,0.572850,0.855603,0.283036,0.660020,0.896552,0.438689,0.478738
0.018025,1.313335,1429,2072,1033,2371,2859,2413,2346,2781,2957,1318,3266,2970,1739,2679,,0.703305,0.321565,0.005872,0.750000,0.540889,0.758159,0.534500,0.572850,0.855603,0.283036,0.660020,0.896552,0.438689,0.478738
0.017999,1.331334,1429,2065,1034,2361,2854,2409,2320,2800,2961,1313,3264,2971,1738,2666,,0.703305,0.314885,0.006459,0.738839,0.537669,0.755827,0.509232,0.586354,0.859914,0.278571,0.658026,0.897190,0.437632,0.469822
0.017960,1.349294,1429,2065,1034,2361,2854,2409,2320,2800,2961,1313,3264,2971,1738,2666,,0.703305,0.314885,0.006459,0.738839,0.537669,0.755827,0.509232,0.586354,0.859914,0.278571,0.658026,0.897190,0.437632,0.469822
0.018043,1.367338,1425,2049,1039,2352,2853,2405,2294,2815,2963,1305,3262,2970,1737,2659,,0.700431,0.299618,0.009395,0.728795,0.537025,0.753497,0.483965,0.597015,0.862069,0.271429,0.656032,0.896552,0.436575,0.465021
0.018008,1.385345,1421,2042,1042,2348,2855,2403,2283,2820,2963,1302,3264,2970,1737,2659,,0.697557,0.292939,0.011157,0.724330,0.538313,0.752331,0.473275,0.600569,0.862069,0.268750,0.658026,0.896552,0.436575,0.465021
0.018004,1.403350,1418,2031,1049,2342,2870,2396,2267,2830,2964,1295,3266,2969,1737,2657,,0.695402,0.282443,0.015267,0.717634,0.547972,0.748252,0.457726,0.607676,0.863147,0.262500,0.660020,0.895913,0.436575,0.463649
0.017993,1.421343,1418,2031,1049,2342,2870,2396,2267,2830,2964,1295,3266,2969,1737,2657,,0.695402,0.282443,0.015267,0.717634,0.547972,0.748252,0.457726,0.607676,0.863147,0.262500,0.660020,0.895913,0.436575,0.463649
0.017998,1.439341,1422,2029,1055,2333,2899,2389,2241,2831,2963,1285,3266,2964,1733,2651,,0.698276,0.280534,0.018790,0.707589,0.566645,0.744173,0.432459,0.608387,0.862069,0.253571,0.660020,0.892720,0.432347,0.459534
0.018001,1.457342,1422,2029,1055,2333,2899,2389,2241,2831,2963,1285,3266,2964,1733,2651,,0.698276,0.280534,0.018790,0.707589,0.566645,0.744173,0.432459,0.608387,0.862069,0.253571,0.660020,0.892720,0.432347,0.459534
0.018009,1.475351,1430,2025,1062,2326,2889,2383,2232,2807,2958,1280,3263,2966,1730,2654,,0.704023,0.276718,0.022901,0.699777,0.560206,0.740676,0.423712,0.591329,0.856681,0.249107,0.657029,0.893997,0.429175,0.461591
0.018005,1.493356,1432,2024,1063,2325,2880,2379,2232,2801,2957,1281,3267,2968,1731,2659,,0.705460,0.275763,0.023488,0.698661,0.554411,0.738345,0.423712,0.587065,0.855603,0.250000,0.661017,0.895275,0.430233,0.465021
0.017989,1.511345,1434,2023,1064,2318,2865,2369,2231,2809,2956,1284,3268,2968,1731,2662,,0.706897,0.274809,0.024075,0.690848,0.544752,0.732517,0.422741,0.592751,0.854526,0.252679,0.662014,0.895275,0.430233,0.467078
0.018008,1.529354,1434,2022,1064,2310,2837,2354,2228,2817,2955,1283,3268,2968,1732,2664,,0.706897,0.273855,0.024075,0.681920,0.526722,0.723776,0.419825,0.598436,0.853448,0.251786,0.662014,0.895275,0.431290,0.468450
0.017993,1.547347,1438,2020,1063,2301,2741,2326,2227,2835,2956,1283,3275,2967,1739,2676,,0.709770,0.271947,0.023488,0.671875,0.464907,0.707459,0.418853,0.611230,0.854526,0.251786,0.668993,0.894636,0.438689,0.476680
0.018003,1.565350,1437,2015,1062,2297,2715,2317,2226,2850,2955,1280,3281,2965,1740,2686,,0.709052,0.267176,0.022901,0.667411,0.448165,0.702214,0.417881,0.621891,0.853448,0.249107,0.674975,0.893359,0.439746,0.483539
0.018009,1.583359,1432,2009,1063,2291,2697,2309,2224,2878,2955,1279,3289,2965,1741,2694,,0.705460,0.261450,0.023488,0.660714,0.436574,0.697552,0.415938,0.641791,0.853448,0.248214,0.682951,0.893359,0.440803,0.489026
0.017993,1.601352,1424,2002,1069,2280,2682,2297,2221,2888,2956,1278,3294,2966,1742,2699,,0.699713,0.254771,0.027011,0.648438,0.426916,0.690559,0.413022,0.648898,0.854526,0.247321,0.687936,0.893997,0.441860,0.492455
0.018003,1.619355,1419,1997,1068,2268,2658,2281,2222,2893,2954,1276,3297,2968,1742,2704,,0.696121,0.250000,0.026424,0.635045,0.411462,0.681235,0.413994,0.652452,0.852371,0.245536,0.690927,0.895275,0.441860,0.495885
0.017976,1.637331,1419,2000,1068,2263,2644,2273,2227,2901,2955,1277,3304,2970,1742,2716,,0.696121,0.252863,0.026424,0.629464,0.402447,0.676573,0.418853,0.658138,0.853448,0.246429,0.697906,0.896552,0.441860,0.504115
0.017998,1.655329,1422,2008,1067,2261,2634,2266,2238,2908,2954,1280,3311,2971,1741,2733,,0.698276,0.260496,0.025837,0.627232,0.396008,0.672494,0.429543,0.663113,0.852371,0.249107,0.704885,0.897190,0.440803,0.515775
0.018024,1.673353,1433,2031,1059,2242,2597,2216,2268,2923,2951,1287,3326,2971,1740,2773,,0.706178,0.282443,0.021139,0.606027,0.372183,0.643357,0.458698,0.673774,0.849138,0.255357,0.719840,0.897190,0.439746,0.543210
