GloveManager recording started on 10/20/16 at 17:12:53

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017740,0.017740,1585,2005,1602,2046,2483,1717,2358,2346,2834,1545,3339,2990,1943,2917,,0.673191,0.230572,0.339988,0.387277,0.298777,0.352564,0.546161,0.263682,0.723060,0.485714,0.732802,0.909323,0.654334,0.641975
0.018021,0.035761,1585,2005,1602,2046,2483,1717,2358,2346,2834,1545,3339,2990,1943,2917,,0.673191,0.230572,0.339988,0.387277,0.298777,0.352564,0.546161,0.263682,0.723060,0.485714,0.732802,0.909323,0.654334,0.641975
0.018003,0.053764,1585,2005,1601,2045,2483,1717,2357,2345,2833,1545,3339,2990,1944,2918,,0.673191,0.230572,0.339401,0.386161,0.298777,0.352564,0.545189,0.262971,0.721983,0.485714,0.732802,0.909323,0.655391,0.642661
0.018014,0.071778,1586,2006,1602,2047,2483,1718,2358,2346,2834,1544,3339,2989,1942,2917,,0.673784,0.231426,0.339988,0.388393,0.298777,0.353147,0.546161,0.263682,0.723060,0.484821,0.732802,0.908685,0.653277,0.641975
0.017988,0.089765,1585,2006,1602,2046,2483,1718,2358,2346,2834,1543,3339,2990,1943,2918,,0.673191,0.231426,0.339988,0.387277,0.298777,0.353147,0.546161,0.263682,0.723060,0.483929,0.732802,0.909323,0.654334,0.642661
0.018001,0.107767,1586,2006,1602,2046,2482,1718,2358,2344,2835,1544,3339,2990,1943,2917,,0.673784,0.231426,0.339988,0.387277,0.298133,0.353147,0.546161,0.262260,0.724138,0.484821,0.732802,0.909323,0.654334,0.641975
0.017998,0.125764,1586,2007,1602,2048,2483,1718,2358,2345,2835,1544,3339,2990,1944,2917,,0.673784,0.232280,0.339988,0.389509,0.298777,0.353147,0.546161,0.262971,0.724138,0.484821,0.732802,0.909323,0.655391,0.641975
0.018001,0.143765,1586,2007,1602,2048,2483,1718,2358,2345,2835,1544,3339,2990,1944,2917,,0.673784,0.232280,0.339988,0.389509,0.298777,0.353147,0.546161,0.262971,0.724138,0.484821,0.732802,0.909323,0.655391,0.641975
0.018013,0.161778,1586,2007,1603,2048,2483,1719,2359,2344,2836,1544,3339,2989,1943,2917,,0.673784,0.232280,0.340575,0.389509,0.298777,0.353730,0.547133,0.262260,0.725215,0.484821,0.732802,0.908685,0.654334,0.641975
0.017988,0.179767,1587,2007,1602,2047,2482,1718,2359,2344,2835,1544,3339,2989,1944,2918,,0.674377,0.232280,0.339988,0.388393,0.298133,0.353147,0.547133,0.262260,0.724138,0.484821,0.732802,0.908685,0.655391,0.642661
0.018004,0.197770,1587,2008,1603,2048,2482,1719,2359,2344,2836,1544,3338,2988,1943,2918,,0.674377,0.233134,0.340575,0.389509,0.298133,0.353730,0.547133,0.262260,0.725215,0.484821,0.731805,0.908046,0.654334,0.642661
0.017970,0.215741,1588,2008,1603,2048,2482,1718,2359,2344,2836,1544,3339,2990,1944,2919,,0.674970,0.233134,0.340575,0.389509,0.298133,0.353147,0.547133,0.262260,0.725215,0.484821,0.732802,0.909323,0.655391,0.643347
0.018053,0.233794,1588,2008,1603,2048,2483,1719,2359,2344,2837,1546,3339,2990,1944,2917,,0.674970,0.233134,0.340575,0.389509,0.298777,0.353730,0.547133,0.262260,0.726293,0.486607,0.732802,0.909323,0.655391,0.641975
0.018007,0.251801,1588,2008,1603,2048,2483,1719,2359,2344,2837,1546,3339,2990,1944,2917,,0.674970,0.233134,0.340575,0.389509,0.298777,0.353730,0.547133,0.262260,0.726293,0.486607,0.732802,0.909323,0.655391,0.641975
0.017970,0.269771,1588,2010,1603,2048,2483,1719,2360,2343,2838,1546,3340,2990,1944,2917,,0.674970,0.234842,0.340575,0.389509,0.298777,0.353730,0.548105,0.261549,0.727371,0.486607,0.733799,0.909323,0.655391,0.641975
0.018035,0.287805,1588,2010,1603,2048,2484,1719,2360,2343,2838,1546,3339,2990,1944,2917,,0.674970,0.234842,0.340575,0.389509,0.299420,0.353730,0.548105,0.261549,0.727371,0.486607,0.732802,0.909323,0.655391,0.641975
0.017983,0.305789,1588,2010,1604,2048,2483,1719,2360,2342,2839,1546,3339,2990,1944,2916,,0.674970,0.234842,0.341163,0.389509,0.298777,0.353730,0.548105,0.260839,0.728448,0.486607,0.732802,0.909323,0.655391,0.641289
0.018009,0.323797,1589,2011,1605,2048,2483,1720,2360,2342,2839,1545,3339,2990,1944,2917,,0.675563,0.235696,0.341750,0.389509,0.298777,0.354312,0.548105,0.260839,0.728448,0.485714,0.732802,0.909323,0.655391,0.641975
0.018006,0.341803,1588,2013,1606,2048,2483,1719,2360,2343,2839,1546,3339,2990,1945,2916,,0.674970,0.237404,0.342337,0.389509,0.298777,0.353730,0.548105,0.261549,0.728448,0.486607,0.732802,0.909323,0.656448,0.641289
0.017997,0.359801,1589,2014,1607,2048,2483,1718,2361,2344,2839,1546,3340,2990,1946,2915,,0.675563,0.238258,0.342924,0.389509,0.298777,0.353147,0.549077,0.262260,0.728448,0.486607,0.733799,0.909323,0.657505,0.640604
0.018000,0.377801,1588,2014,1607,2048,2482,1717,2361,2343,2838,1546,3339,2990,1946,2916,,0.674970,0.238258,0.342924,0.389509,0.298133,0.352564,0.549077,0.261549,0.727371,0.486607,0.732802,0.909323,0.657505,0.641289
0.018024,0.395825,1587,2017,1610,2047,2482,1716,2362,2345,2839,1546,3339,2990,1946,2914,,0.674377,0.240820,0.344686,0.388393,0.298133,0.351981,0.550049,0.262971,0.728448,0.486607,0.732802,0.909323,0.657505,0.639918
0.017958,0.413782,1587,2019,1612,2048,2481,1715,2361,2345,2838,1547,3339,2990,1947,2914,,0.674377,0.242528,0.345860,0.389509,0.297489,0.351399,0.549077,0.262971,0.727371,0.487500,0.732802,0.909323,0.658562,0.639918
0.017997,0.431779,1587,2021,1615,2048,2480,1714,2362,2345,2838,1549,3339,2990,1948,2913,,0.674377,0.244236,0.347622,0.389509,0.296845,0.350816,0.550049,0.262971,0.727371,0.489286,0.732802,0.909323,0.659619,0.639232
0.018034,0.449813,1586,2023,1619,2047,2480,1714,2362,2345,2838,1550,3339,2991,1949,2913,,0.673784,0.245944,0.349971,0.388393,0.296845,0.350816,0.550049,0.262971,0.727371,0.490179,0.732802,0.909962,0.660677,0.639232
0.018002,0.467815,1585,2026,1620,2046,2481,1715,2362,2347,2839,1552,3339,2990,1950,2912,,0.673191,0.248506,0.350558,0.387277,0.297489,0.351399,0.550049,0.264392,0.728448,0.491964,0.732802,0.909323,0.661734,0.638546
0.018001,0.485816,1585,2027,1622,2046,2482,1716,2363,2346,2840,1552,3339,2990,1950,2911,,0.673191,0.249360,0.351732,0.387277,0.298133,0.351981,0.551020,0.263682,0.729526,0.491964,0.732802,0.909323,0.661734,0.637860
0.017991,0.503808,1587,2030,1623,2045,2484,1717,2363,2346,2844,1553,3339,2991,1951,2911,,0.674377,0.251921,0.352319,0.386161,0.299420,0.352564,0.551020,0.263682,0.733836,0.492857,0.732802,0.909962,0.662791,0.637860
0.018011,0.521819,1587,2030,1623,2045,2484,1717,2363,2346,2844,1553,3339,2991,1951,2911,,0.674377,0.251921,0.352319,0.386161,0.299420,0.352564,0.551020,0.263682,0.733836,0.492857,0.732802,0.909962,0.662791,0.637860
0.017997,0.539816,1587,2030,1624,2048,2483,1717,2362,2346,2848,1552,3339,2990,1950,2909,,0.674377,0.251921,0.352907,0.389509,0.298777,0.352564,0.550049,0.263682,0.738147,0.491964,0.732802,0.909323,0.661734,0.636488
0.018007,0.557824,1588,2031,1624,2048,2483,1717,2362,2346,2849,1551,3339,2991,1949,2909,,0.674970,0.252775,0.352907,0.389509,0.298777,0.352564,0.550049,0.263682,0.739224,0.491071,0.732802,0.909962,0.660677,0.636488
0.017988,0.575811,1588,2032,1625,2048,2482,1717,2361,2346,2851,1551,3339,2991,1949,2909,,0.674970,0.253629,0.353494,0.389509,0.298133,0.352564,0.549077,0.263682,0.741379,0.491071,0.732802,0.909962,0.660677,0.636488
0.018010,0.593821,1588,2032,1626,2047,2483,1717,2361,2347,2853,1551,3340,2991,1949,2909,,0.674970,0.253629,0.354081,0.388393,0.298777,0.352564,0.549077,0.265103,0.744612,0.491071,0.733799,0.909962,0.659619,0.637174
