GloveManager recording started on 10/20/16 at 17:13:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017539,0.017539,1599,2025,1607,2026,2509,1793,2242,2385,2830,1390,3379,2955,1863,2919,,0.681495,0.247652,0.342924,0.364955,0.315518,0.396853,0.433431,0.291400,0.718750,0.347321,0.772682,0.886973,0.569767,0.643347
0.018001,0.035540,1600,2025,1607,2025,2510,1793,2243,2385,2829,1390,3379,2955,1862,2919,,0.682088,0.247652,0.342924,0.363839,0.316162,0.396853,0.434402,0.291400,0.717672,0.347321,0.772682,0.886973,0.568710,0.643347
0.018000,0.053540,1599,2026,1605,2025,2509,1793,2244,2385,2829,1390,3379,2955,1862,2919,,0.681495,0.248506,0.341750,0.363839,0.315518,0.396853,0.435374,0.291400,0.717672,0.347321,0.772682,0.886973,0.568710,0.643347
0.018006,0.071546,1600,2026,1605,2025,2508,1793,2243,2385,2829,1390,3380,2955,1863,2919,,0.682088,0.248506,0.341750,0.363839,0.314874,0.396853,0.434402,0.291400,0.717672,0.347321,0.773679,0.886973,0.569767,0.643347
0.017997,0.089542,1600,2025,1605,2025,2509,1793,2243,2385,2830,1389,3379,2954,1864,2919,,0.682088,0.247652,0.341750,0.363839,0.315518,0.396853,0.434402,0.291400,0.718750,0.346429,0.772682,0.886335,0.570825,0.643347
0.018013,0.107555,1600,2025,1605,2025,2509,1793,2246,2384,2831,1391,3379,2954,1864,2918,,0.682088,0.247652,0.341750,0.363839,0.315518,0.396853,0.437318,0.290689,0.719828,0.348214,0.772682,0.886335,0.570825,0.642661
0.017989,0.125544,1599,2024,1605,2023,2508,1792,2246,2384,2830,1390,3379,2954,1863,2918,,0.681495,0.246798,0.341750,0.361607,0.314874,0.396270,0.437318,0.290689,0.718750,0.347321,0.772682,0.886335,0.569767,0.642661
0.018000,0.143545,1600,2025,1604,2024,2508,1793,2246,2384,2830,1389,3379,2955,1864,2919,,0.682088,0.247652,0.341163,0.362723,0.314874,0.396853,0.437318,0.290689,0.718750,0.346429,0.772682,0.886973,0.570825,0.643347
0.018001,0.161545,1600,2025,1604,2024,2508,1793,2246,2384,2830,1389,3379,2955,1864,2919,,0.682088,0.247652,0.341163,0.362723,0.314874,0.396853,0.437318,0.290689,0.718750,0.346429,0.772682,0.886973,0.570825,0.643347
0.018005,0.179550,1599,2025,1605,2024,2509,1792,2247,2384,2830,1389,3379,2955,1864,2918,,0.681495,0.247652,0.341750,0.362723,0.315518,0.396270,0.438290,0.290689,0.718750,0.346429,0.772682,0.886973,0.570825,0.642661
0.017974,0.197524,1599,2025,1605,2024,2508,1792,2247,2384,2831,1389,3378,2955,1863,2918,,0.681495,0.247652,0.341750,0.362723,0.314874,0.396270,0.438290,0.290689,0.719828,0.346429,0.771685,0.886973,0.569767,0.642661
0.018003,0.215527,1598,2025,1606,2025,2508,1792,2248,2383,2831,1389,3379,2955,1864,2916,,0.680902,0.247652,0.342337,0.363839,0.314874,0.396270,0.439261,0.289979,0.719828,0.346429,0.772682,0.886973,0.570825,0.641289
0.018022,0.233549,1598,2025,1607,2024,2508,1791,2249,2383,2831,1387,3379,2955,1862,2916,,0.680902,0.247652,0.342924,0.362723,0.314874,0.395688,0.440233,0.289979,0.719828,0.344643,0.772682,0.886973,0.568710,0.641289
0.018004,0.251553,1598,2026,1608,2023,2507,1789,2248,2382,2831,1385,3379,2954,1861,2916,,0.680902,0.248506,0.343511,0.361607,0.314231,0.394522,0.439261,0.289268,0.719828,0.342857,0.772682,0.886335,0.567653,0.641289
0.017998,0.269551,1597,2026,1609,2024,2507,1788,2249,2382,2831,1383,3378,2953,1859,2916,,0.680308,0.248506,0.344099,0.362723,0.314231,0.393939,0.440233,0.289268,0.719828,0.341071,0.771685,0.885696,0.565539,0.641289
