GloveManager recording started on 10/20/16 at 17:13:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017752,0.017752,1581,2035,1609,2048,2492,1730,2320,2391,2751,1568,3357,2983,1938,2920,,0.670819,0.256191,0.344484,0.389509,0.304572,0.360140,0.509232,0.290706,0.633621,0.506250,0.750748,0.904853,0.649049,0.644033
0.018014,0.035766,1582,2036,1609,2048,2492,1730,2320,2389,2751,1569,3358,2984,1936,2923,,0.671412,0.257045,0.344484,0.389509,0.304572,0.360140,0.509232,0.289308,0.633621,0.507143,0.751745,0.905492,0.646934,0.646091
0.017994,0.053761,1582,2036,1609,2048,2492,1730,2320,2389,2751,1569,3358,2984,1936,2923,,0.671412,0.257045,0.344484,0.389509,0.304572,0.360140,0.509232,0.289308,0.633621,0.507143,0.751745,0.905492,0.646934,0.646091
0.017994,0.071755,1584,2037,1608,2049,2491,1730,2321,2389,2751,1569,3357,2984,1936,2924,,0.672598,0.257899,0.343897,0.390625,0.303928,0.360140,0.510204,0.289308,0.633621,0.507143,0.750748,0.905492,0.646934,0.646776
0.018032,0.089787,1585,2037,1608,2049,2491,1729,2322,2388,2752,1569,3357,2984,1936,2924,,0.673191,0.257899,0.343897,0.390625,0.303928,0.359557,0.511176,0.288609,0.634698,0.507143,0.750748,0.905492,0.646934,0.646776
0.017978,0.107765,1585,2037,1608,2048,2489,1729,2321,2387,2751,1568,3358,2983,1935,2924,,0.673191,0.257899,0.343897,0.389509,0.302640,0.359557,0.510204,0.287911,0.633621,0.506250,0.751745,0.904853,0.645877,0.646776
0.017984,0.125749,1586,2038,1608,2048,2490,1728,2322,2387,2752,1568,3358,2984,1937,2925,,0.673784,0.258753,0.343897,0.389509,0.303284,0.358974,0.511176,0.287911,0.634698,0.506250,0.751745,0.905492,0.647992,0.647462
0.018034,0.143783,1587,2039,1608,2049,2489,1727,2323,2387,2752,1568,3358,2985,1935,2925,,0.674377,0.259607,0.343897,0.390625,0.302640,0.358392,0.512148,0.287911,0.634698,0.506250,0.751745,0.906130,0.645877,0.647462
0.017976,0.161759,1587,2040,1608,2049,2489,1728,2324,2387,2754,1568,3357,2984,1935,2926,,0.674377,0.260461,0.343897,0.390625,0.302640,0.358974,0.513120,0.287911,0.636853,0.506250,0.750748,0.905492,0.645877,0.648148
0.018024,0.179783,1589,2043,1608,2050,2489,1728,2326,2386,2756,1568,3357,2984,1935,2926,,0.675563,0.263023,0.343897,0.391741,0.302640,0.358974,0.515063,0.287212,0.639009,0.506250,0.750748,0.905492,0.645877,0.648148
0.017980,0.197762,1590,2044,1609,2050,2488,1726,2327,2385,2757,1568,3357,2985,1935,2925,,0.676157,0.263877,0.344484,0.391741,0.301996,0.357809,0.516035,0.286513,0.640086,0.506250,0.750748,0.906130,0.645877,0.647462
0.017977,0.215739,1590,2045,1609,2051,2489,1726,2327,2386,2758,1568,3357,2984,1936,2926,,0.676157,0.264731,0.344484,0.392857,0.302640,0.357809,0.516035,0.287212,0.641164,0.506250,0.750748,0.905492,0.646934,0.648148
0.018003,0.233742,1590,2048,1611,2052,2488,1726,2329,2386,2761,1568,3357,2985,1936,2925,,0.676157,0.267293,0.345657,0.393973,0.301996,0.357809,0.517979,0.287212,0.644397,0.506250,0.750748,0.906130,0.646934,0.647462
