GloveManager recording started on 10/20/16 at 17:13:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017957,0.017957,1494,1955,1594,2074,2433,1854,2434,2382,2839,1552,3365,2989,1976,2903,,0.619217,0.187874,0.335681,0.418527,0.266581,0.432401,0.620019,0.284416,0.728448,0.491964,0.758724,0.908685,0.689218,0.632373
0.017994,0.035951,1502,1956,1595,2072,2434,1846,2431,2383,2838,1554,3365,2990,1977,2906,,0.623962,0.188728,0.336268,0.416295,0.267225,0.427739,0.617104,0.285115,0.727371,0.493750,0.758724,0.909323,0.690275,0.634431
0.018005,0.053956,1505,1957,1595,2071,2433,1842,2428,2383,2836,1555,3364,2991,1977,2906,,0.625741,0.189582,0.336268,0.415179,0.266581,0.425408,0.614189,0.285115,0.725215,0.494643,0.757727,0.909962,0.690275,0.634431
0.018001,0.071957,1509,1958,1595,2070,2432,1839,2426,2382,2836,1554,3364,2991,1978,2908,,0.628114,0.190436,0.336268,0.414063,0.265937,0.423660,0.612245,0.284416,0.725215,0.493750,0.757727,0.909962,0.691332,0.635802
0.018001,0.089958,1511,1960,1596,2070,2432,1836,2423,2382,2837,1556,3365,2991,1979,2910,,0.629300,0.192143,0.336854,0.414063,0.265937,0.421911,0.609329,0.284416,0.726293,0.495536,0.758724,0.909962,0.692389,0.637174
0.018002,0.107960,1512,1959,1596,2070,2433,1835,2422,2380,2837,1556,3364,2992,1978,2912,,0.629893,0.191289,0.336854,0.414063,0.266581,0.421329,0.608358,0.283019,0.726293,0.495536,0.757727,0.910600,0.691332,0.638546
0.017999,0.125959,1513,1958,1596,2070,2432,1833,2422,2378,2838,1559,3365,2993,1979,2918,,0.630486,0.190436,0.336854,0.414063,0.265937,0.420163,0.608358,0.281621,0.727371,0.498214,0.758724,0.911239,0.692389,0.642661
0.018001,0.143960,1513,1958,1596,2070,2432,1833,2422,2378,2838,1559,3365,2993,1979,2918,,0.630486,0.190436,0.336854,0.414063,0.265937,0.420163,0.608358,0.281621,0.727371,0.498214,0.758724,0.911239,0.692389,0.642661
0.017992,0.161953,1514,1959,1595,2070,2432,1831,2421,2378,2839,1560,3364,2992,1979,2918,,0.631079,0.191289,0.336268,0.414063,0.265937,0.418998,0.607386,0.281621,0.728448,0.499107,0.757727,0.910600,0.692389,0.642661
0.018003,0.179956,1516,1960,1596,2071,2432,1828,2422,2374,2841,1561,3364,2994,1980,2922,,0.632266,0.192143,0.336854,0.415179,0.265937,0.417249,0.608358,0.278826,0.730603,0.500000,0.757727,0.911877,0.693446,0.645405
0.018000,0.197956,1516,1960,1596,2071,2432,1828,2422,2374,2841,1561,3364,2994,1980,2922,,0.632266,0.192143,0.336854,0.415179,0.265937,0.417249,0.608358,0.278826,0.730603,0.500000,0.757727,0.911877,0.693446,0.645405
0.018008,0.215965,1517,1962,1597,2072,2430,1825,2426,2371,2845,1561,3364,2994,1980,2924,,0.632859,0.193851,0.337441,0.416295,0.264649,0.415501,0.612245,0.276730,0.734914,0.500000,0.757727,0.911877,0.693446,0.646776
0.017994,0.233958,1521,1962,1597,2071,2431,1823,2429,2368,2849,1562,3363,2995,1981,2925,,0.635231,0.193851,0.337441,0.415179,0.265293,0.414336,0.615160,0.274633,0.739224,0.500893,0.756730,0.912516,0.694503,0.647462
0.017999,0.251957,1521,1962,1597,2071,2431,1823,2429,2368,2849,1562,3363,2995,1981,2925,,0.635231,0.193851,0.337441,0.415179,0.265293,0.414336,0.615160,0.274633,0.739224,0.500893,0.756730,0.912516,0.694503,0.647462
0.018010,0.269967,1522,1964,1597,2071,2433,1820,2432,2361,2853,1563,3364,2995,1982,2926,,0.635824,0.195559,0.337441,0.415179,0.266581,0.412587,0.618076,0.269741,0.743535,0.501786,0.757727,0.912516,0.695560,0.648148
0.017999,0.287966,1522,1964,1597,2071,2433,1820,2432,2361,2853,1563,3364,2995,1982,2926,,0.635824,0.195559,0.337441,0.415179,0.266581,0.412587,0.618076,0.269741,0.743535,0.501786,0.757727,0.912516,0.695560,0.648148
0.018002,0.305968,1530,1964,1596,2070,2434,1816,2437,2350,2858,1564,3363,2996,1982,2927,,0.640569,0.195559,0.336854,0.414063,0.267225,0.410256,0.622935,0.262055,0.748922,0.502679,0.756730,0.913155,0.695560,0.648834
0.017969,0.323937,1532,1964,1594,2067,2435,1816,2440,2344,2860,1566,3363,2996,1983,2927,,0.641756,0.195559,0.335681,0.410714,0.267869,0.410256,0.625850,0.257862,0.751078,0.504464,0.756730,0.913155,0.696617,0.648834
0.018025,0.341962,1536,1965,1593,2066,2438,1815,2441,2338,2863,1567,3362,2997,1982,2928,,0.644128,0.196413,0.335094,0.409598,0.269800,0.409674,0.626822,0.253669,0.754310,0.505357,0.755733,0.913793,0.695560,0.649520
0.018010,0.359972,1541,1965,1593,2063,2440,1815,2443,2333,2866,1568,3363,2998,1983,2928,,0.647094,0.196413,0.335094,0.406250,0.271088,0.409674,0.628766,0.250175,0.757543,0.506250,0.756730,0.914432,0.696617,0.649520
0.017995,0.377967,1551,1967,1592,2061,2443,1814,2446,2325,2871,1571,3362,2998,1983,2929,,0.653025,0.198121,0.334507,0.404018,0.273020,0.409091,0.631681,0.244584,0.762931,0.508929,0.755733,0.914432,0.696617,0.650206
0.018005,0.395972,1555,1968,1591,2059,2443,1814,2447,2321,2873,1572,3362,2998,1983,2929,,0.655397,0.198975,0.333920,0.401786,0.273020,0.409091,0.632653,0.241789,0.765086,0.509821,0.755733,0.914432,0.696617,0.650206
0.017947,0.413919,1560,1969,1591,2058,2445,1814,2447,2317,2875,1571,3362,2999,1982,2929,,0.658363,0.199829,0.333920,0.400670,0.274308,0.409091,0.632653,0.238994,0.767241,0.508929,0.755733,0.915070,0.695560,0.650206
0.018058,0.431977,1564,1970,1589,2057,2445,1816,2447,2314,2878,1572,3361,2999,1982,2928,,0.660735,0.200683,0.332746,0.399554,0.274308,0.410256,0.632653,0.236897,0.770474,0.509821,0.754736,0.915070,0.695560,0.649520
0.018013,0.449990,1566,1970,1589,2056,2447,1817,2446,2311,2879,1571,3363,2999,1982,2928,,0.661922,0.200683,0.332746,0.398438,0.275596,0.410839,0.631681,0.234801,0.771552,0.508929,0.756730,0.915070,0.695560,0.649520
0.017982,0.467972,1569,1970,1590,2055,2447,1817,2446,2310,2880,1572,3363,2999,1983,2927,,0.663701,0.200683,0.333333,0.397321,0.275596,0.410839,0.631681,0.234102,0.772629,0.509821,0.756730,0.915070,0.696617,0.648834
0.018021,0.485993,1571,1972,1590,2055,2446,1817,2446,2310,2880,1572,3362,2999,1983,2926,,0.664887,0.202391,0.333333,0.397321,0.274952,0.410839,0.631681,0.234102,0.772629,0.509821,0.755733,0.915070,0.696617,0.648148
0.017995,0.503988,1572,1972,1590,2055,2446,1816,2445,2309,2881,1571,3361,2999,1985,2926,,0.665480,0.202391,0.333333,0.397321,0.274952,0.410256,0.630709,0.233403,0.773707,0.508929,0.754736,0.915070,0.698731,0.648148
0.017967,0.521954,1575,1975,1591,2055,2445,1814,2443,2308,2882,1570,3361,2999,1982,2925,,0.667260,0.204953,0.333920,0.397321,0.274308,0.409091,0.628766,0.232704,0.774785,0.508036,0.754736,0.915070,0.695560,0.647462
0.018029,0.539983,1576,1977,1592,2055,2445,1813,2442,2308,2882,1570,3361,2998,1983,2923,,0.667853,0.206661,0.334507,0.397321,0.274308,0.408508,0.627794,0.232704,0.774785,0.508036,0.754736,0.914432,0.696617,0.646091
0.018005,0.557988,1577,1978,1592,2055,2444,1811,2441,2308,2883,1569,3360,2999,1982,2921,,0.668446,0.207515,0.334507,0.397321,0.273664,0.407343,0.626822,0.232704,0.775862,0.507143,0.753739,0.915070,0.695560,0.644719
0.018032,0.576020,1577,1981,1595,2055,2443,1808,2440,2308,2884,1569,3361,2999,1982,2921,,0.668446,0.210077,0.336268,0.397321,0.273020,0.405594,0.625850,0.232704,0.776940,0.507143,0.754736,0.915070,0.695560,0.644719
0.017954,0.593974,1577,1981,1595,2055,2443,1808,2440,2308,2884,1569,3361,2999,1982,2921,,0.668446,0.210077,0.336268,0.397321,0.273020,0.405594,0.625850,0.232704,0.776940,0.507143,0.754736,0.915070,0.695560,0.644719
