GloveManager recording started on 10/20/16 at 17:14:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017503,0.017503,1645,2105,1613,2041,2509,1779,2368,2406,2858,1564,3358,2988,1965,2968,,0.708778,0.315969,0.346831,0.381696,0.315518,0.388695,0.555879,0.301188,0.748922,0.502679,0.751745,0.908046,0.677590,0.676955
0.018033,0.035536,1645,2105,1614,2041,2509,1779,2368,2406,2859,1564,3358,2988,1965,2967,,0.708778,0.315969,0.347418,0.381696,0.315518,0.388695,0.555879,0.301188,0.750000,0.502679,0.751745,0.908046,0.677590,0.676269
0.017945,0.053482,1645,2105,1615,2040,2507,1778,2368,2407,2859,1563,3357,2988,1965,2967,,0.708778,0.315969,0.348005,0.380580,0.314231,0.388112,0.555879,0.301887,0.750000,0.501786,0.750748,0.908046,0.677590,0.676269
0.018057,0.071538,1646,2106,1614,2041,2509,1779,2367,2406,2858,1564,3359,2988,1965,2967,,0.709371,0.316823,0.347418,0.381696,0.315518,0.388695,0.554908,0.301188,0.748922,0.502679,0.752742,0.908046,0.677590,0.676269
0.017977,0.089515,1646,2105,1614,2041,2508,1778,2367,2405,2859,1564,3357,2988,1965,2967,,0.709371,0.315969,0.347418,0.381696,0.314874,0.388112,0.554908,0.300489,0.750000,0.502679,0.750748,0.908046,0.677590,0.676269
0.017990,0.107505,1646,2105,1615,2040,2507,1778,2368,2407,2859,1564,3358,2988,1965,2966,,0.709371,0.315969,0.348005,0.380580,0.314231,0.388112,0.555879,0.301887,0.750000,0.502679,0.751745,0.908046,0.677590,0.675583
0.018005,0.125510,1647,2105,1615,2040,2507,1777,2367,2407,2860,1563,3358,2988,1965,2966,,0.709964,0.315969,0.348005,0.380580,0.314231,0.387529,0.554908,0.301887,0.751078,0.501786,0.751745,0.908046,0.677590,0.675583
0.017997,0.143507,1646,2105,1614,2040,2506,1777,2368,2406,2859,1564,3358,2989,1966,2966,,0.709371,0.315969,0.347418,0.380580,0.313587,0.387529,0.555879,0.301188,0.750000,0.502679,0.751745,0.908685,0.678647,0.675583
0.018003,0.161511,1647,2105,1615,2039,2506,1777,2367,2405,2859,1564,3359,2989,1966,2966,,0.709964,0.315969,0.348005,0.379464,0.313587,0.387529,0.554908,0.300489,0.750000,0.502679,0.752742,0.908685,0.678647,0.675583
0.018033,0.179544,1647,2105,1614,2040,2506,1777,2367,2405,2859,1564,3359,2988,1965,2965,,0.709964,0.315969,0.347418,0.380580,0.313587,0.387529,0.554908,0.300489,0.750000,0.502679,0.752742,0.908046,0.677590,0.674897
0.017970,0.197513,1646,2104,1614,2040,2507,1777,2368,2405,2860,1564,3359,2989,1966,2965,,0.709371,0.315115,0.347418,0.380580,0.314231,0.387529,0.555879,0.300489,0.751078,0.502679,0.752742,0.908685,0.678647,0.674897
0.017996,0.215510,1646,2104,1614,2040,2506,1776,2367,2405,2860,1564,3358,2989,1965,2965,,0.709371,0.315115,0.347418,0.380580,0.313587,0.386946,0.554908,0.300489,0.751078,0.502679,0.751745,0.908685,0.677590,0.674897
