GloveManager recording started on 10/20/16 at 17:19:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017289,0.017289,1521,1903,1210,2347,2412,2434,2304,3094,3004,1578,3497,2912,1775,3000,,0.635231,0.143467,0.110329,0.723214,0.253059,0.770396,0.493683,0.781971,0.906250,0.515179,0.890329,0.859515,0.476744,0.698903
0.018002,0.035291,1521,1904,1211,2347,2412,2434,2304,3094,3004,1578,3498,2912,1774,3000,,0.635231,0.144321,0.110915,0.723214,0.253059,0.770396,0.493683,0.781971,0.906250,0.515179,0.891326,0.859515,0.475687,0.698903
0.018018,0.053310,1521,1903,1211,2347,2412,2434,2304,3094,3004,1578,3499,2912,1774,3000,,0.635231,0.143467,0.110915,0.723214,0.253059,0.770396,0.493683,0.781971,0.906250,0.515179,0.892323,0.859515,0.475687,0.698903
0.017986,0.071296,1520,1904,1210,2346,2411,2434,2304,3094,3004,1577,3498,2912,1773,3000,,0.634638,0.144321,0.110329,0.722098,0.252415,0.770396,0.493683,0.781971,0.906250,0.514286,0.891326,0.859515,0.474630,0.698903
0.018006,0.089301,1520,1903,1210,2346,2411,2435,2304,3093,3004,1578,3498,2912,1774,2999,,0.634638,0.143467,0.110329,0.722098,0.252415,0.770979,0.493683,0.781272,0.906250,0.515179,0.891326,0.859515,0.475687,0.698217
0.017993,0.107294,1521,1904,1210,2346,2412,2435,2304,3094,3004,1578,3499,2912,1775,2999,,0.635231,0.144321,0.110329,0.722098,0.253059,0.770979,0.493683,0.781971,0.906250,0.515179,0.892323,0.859515,0.476744,0.698217
0.018002,0.125296,1520,1904,1210,2347,2411,2435,2304,3094,3004,1578,3499,2912,1774,3000,,0.634638,0.144321,0.110329,0.723214,0.252415,0.770979,0.493683,0.781971,0.906250,0.515179,0.892323,0.859515,0.475687,0.698903
0.017978,0.143273,1520,1904,1210,2346,2412,2434,2305,3094,3004,1579,3498,2912,1775,2999,,0.634638,0.144321,0.110329,0.722098,0.253059,0.770396,0.494655,0.781971,0.906250,0.516071,0.891326,0.859515,0.476744,0.698217
0.018018,0.161291,1520,1903,1210,2346,2411,2435,2305,3094,3004,1579,3498,2911,1774,3000,,0.634638,0.143467,0.110329,0.722098,0.252415,0.770979,0.494655,0.781971,0.906250,0.516071,0.891326,0.858876,0.475687,0.698903
0.018015,0.179306,1520,1904,1211,2347,2412,2435,2304,3094,3004,1579,3498,2913,1774,3000,,0.634638,0.144321,0.110915,0.723214,0.253059,0.770979,0.493683,0.781971,0.906250,0.516071,0.891326,0.860153,0.475687,0.698903
0.017988,0.197294,1519,1904,1211,2346,2411,2435,2305,3093,3005,1580,3498,2913,1775,3000,,0.634045,0.144321,0.110915,0.722098,0.252415,0.770979,0.494655,0.781272,0.907328,0.516964,0.891326,0.860153,0.476744,0.698903
0.018019,0.215313,1520,1903,1211,2346,2411,2434,2305,3094,3004,1580,3498,2912,1774,2999,,0.634638,0.143467,0.110915,0.722098,0.252415,0.770396,0.494655,0.781971,0.906250,0.516964,0.891326,0.859515,0.475687,0.698217
0.017966,0.233279,1520,1903,1212,2346,2410,2435,2305,3093,3004,1581,3498,2912,1775,3000,,0.634638,0.143467,0.111502,0.722098,0.251771,0.770979,0.494655,0.781272,0.906250,0.517857,0.891326,0.859515,0.476744,0.698903
0.018021,0.251301,1520,1903,1212,2346,2410,2435,2305,3093,3004,1581,3498,2912,1775,3000,,0.634638,0.143467,0.111502,0.722098,0.251771,0.770979,0.494655,0.781272,0.906250,0.517857,0.891326,0.859515,0.476744,0.698903
0.017995,0.269296,1519,1903,1211,2345,2410,2434,2305,3093,3004,1581,3498,2912,1774,2999,,0.634045,0.143467,0.110915,0.720982,0.251771,0.770396,0.494655,0.781272,0.906250,0.517857,0.891326,0.859515,0.475687,0.698217
0.018007,0.287303,1519,1903,1211,2345,2410,2434,2305,3093,3004,1581,3498,2912,1774,2999,,0.634045,0.143467,0.110915,0.720982,0.251771,0.770396,0.494655,0.781272,0.906250,0.517857,0.891326,0.859515,0.475687,0.698217
0.017990,0.305293,1521,1903,1213,2345,2411,2435,2305,3092,3003,1580,3498,2912,1775,2998,,0.635231,0.143467,0.112089,0.720982,0.252415,0.770979,0.494655,0.780573,0.905172,0.516964,0.891326,0.859515,0.476744,0.697531
0.018017,0.323310,1520,1903,1212,2345,2410,2435,2304,3093,3004,1580,3498,2912,1774,2998,,0.634638,0.143467,0.111502,0.720982,0.251771,0.770979,0.493683,0.781272,0.906250,0.516964,0.891326,0.859515,0.475687,0.697531
0.017984,0.341294,1520,1903,1212,2345,2411,2435,2305,3092,3004,1580,3498,2912,1775,2999,,0.634638,0.143467,0.111502,0.720982,0.252415,0.770979,0.494655,0.780573,0.906250,0.516964,0.891326,0.859515,0.476744,0.698217
0.018018,0.359312,1521,1903,1213,2346,2411,2435,2305,3092,3003,1581,3498,2913,1775,2997,,0.635231,0.143467,0.112089,0.722098,0.252415,0.770979,0.494655,0.780573,0.905172,0.517857,0.891326,0.860153,0.476744,0.696845
0.018002,0.377314,1520,1902,1212,2345,2410,2434,2304,3092,3004,1580,3498,2912,1774,2998,,0.634638,0.142613,0.111502,0.720982,0.251771,0.770396,0.493683,0.780573,0.906250,0.516964,0.891326,0.859515,0.475687,0.697531
0.018005,0.395319,1520,1902,1212,2345,2410,2434,2304,3092,3004,1580,3498,2912,1774,2998,,0.634638,0.142613,0.111502,0.720982,0.251771,0.770396,0.493683,0.780573,0.906250,0.516964,0.891326,0.859515,0.475687,0.697531
0.017989,0.413308,1519,1902,1210,2345,2410,2434,2304,3092,3004,1580,3497,2912,1775,2997,,0.634045,0.142613,0.110329,0.720982,0.251771,0.770396,0.493683,0.780573,0.906250,0.516964,0.890329,0.859515,0.476744,0.696845
0.018032,0.431340,1519,1902,1211,2346,2410,2434,2304,3092,3003,1579,3498,2912,1774,2998,,0.634045,0.142613,0.110915,0.722098,0.251771,0.770396,0.493683,0.780573,0.905172,0.516071,0.891326,0.859515,0.475687,0.697531
0.017971,0.449312,1520,1902,1211,2347,2410,2434,2304,3092,3004,1579,3498,2913,1774,2997,,0.634638,0.142613,0.110915,0.723214,0.251771,0.770396,0.493683,0.780573,0.906250,0.516071,0.891326,0.860153,0.475687,0.696845
0.018007,0.467319,1519,1902,1210,2347,2410,2435,2304,3091,3003,1578,3498,2912,1774,2997,,0.634045,0.142613,0.110329,0.723214,0.251771,0.770979,0.493683,0.779874,0.905172,0.515179,0.891326,0.859515,0.475687,0.696845
0.017970,0.485289,1519,1902,1209,2346,2410,2434,2303,3091,3003,1577,3498,2913,1774,2998,,0.634045,0.142613,0.109742,0.722098,0.251771,0.770396,0.492711,0.779874,0.905172,0.514286,0.891326,0.860153,0.475687,0.697531
0.017976,0.503265,1518,1899,1209,2347,2410,2434,2303,3090,3003,1578,3498,2913,1774,2998,,0.633452,0.140051,0.109742,0.723214,0.251771,0.770396,0.492711,0.779175,0.905172,0.515179,0.891326,0.860153,0.475687,0.697531
0.018048,0.521314,1519,1901,1209,2348,2411,2434,2304,3090,3004,1578,3498,2914,1774,2998,,0.634045,0.141759,0.109742,0.724330,0.252415,0.770396,0.493683,0.779175,0.906250,0.515179,0.891326,0.860792,0.475687,0.697531
0.018004,0.539318,1518,1901,1209,2348,2411,2434,2304,3090,3003,1579,3497,2914,1774,2997,,0.633452,0.141759,0.109742,0.724330,0.252415,0.770396,0.493683,0.779175,0.905172,0.516071,0.890329,0.860792,0.475687,0.696845
0.018005,0.557323,1519,1901,1208,2348,2411,2434,2304,3090,3004,1578,3497,2914,1775,2997,,0.634045,0.141759,0.109155,0.724330,0.252415,0.770396,0.493683,0.779175,0.906250,0.515179,0.890329,0.860792,0.476744,0.696845
0.017998,0.575321,1519,1900,1207,2348,2410,2434,2304,3091,3004,1578,3496,2915,1775,2997,,0.634045,0.140905,0.108568,0.724330,0.251771,0.770396,0.493683,0.779874,0.906250,0.515179,0.889332,0.861430,0.476744,0.696845
