GloveManager recording started on 10/20/16 at 17:19:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017402,0.017402,1594,1934,1187,2380,2430,2410,2344,3103,3000,1633,3499,2938,1817,3142,,0.678529,0.169940,0.096831,0.760045,0.264649,0.756410,0.532556,0.788260,0.901940,0.564286,0.892323,0.876117,0.521142,0.796296
0.017993,0.035395,1593,1934,1187,2381,2430,2409,2344,3103,2999,1632,3499,2938,1818,3142,,0.677936,0.169940,0.096831,0.761161,0.264649,0.755827,0.532556,0.788260,0.900862,0.563393,0.892323,0.876117,0.522199,0.796296
0.018002,0.053397,1594,1933,1186,2381,2429,2410,2345,3103,3000,1632,3498,2938,1817,3142,,0.678529,0.169086,0.096244,0.761161,0.264005,0.756410,0.533528,0.788260,0.901940,0.563393,0.891326,0.876117,0.521142,0.796296
0.018001,0.071399,1593,1932,1184,2381,2430,2409,2345,3103,3000,1632,3498,2938,1818,3143,,0.677936,0.168232,0.095070,0.761161,0.264649,0.755827,0.533528,0.788260,0.901940,0.563393,0.891326,0.876117,0.522199,0.796982
0.018003,0.089402,1594,1931,1183,2382,2430,2409,2345,3104,2999,1632,3499,2938,1818,3142,,0.678529,0.167378,0.094484,0.762277,0.264649,0.755827,0.533528,0.788959,0.900862,0.563393,0.892323,0.876117,0.522199,0.796296
0.018070,0.107472,1593,1931,1183,2382,2430,2409,2345,3104,3000,1631,3500,2938,1818,3143,,0.677936,0.167378,0.094484,0.762277,0.264649,0.755827,0.533528,0.788959,0.901940,0.562500,0.893320,0.876117,0.522199,0.796982
0.017930,0.125402,1593,1931,1183,2382,2430,2410,2346,3104,2999,1632,3500,2938,1818,3142,,0.677936,0.167378,0.094484,0.762277,0.264649,0.756410,0.534500,0.788959,0.900862,0.563393,0.893320,0.876117,0.522199,0.796296
0.018000,0.143402,1593,1930,1183,2383,2430,2409,2345,3104,3000,1632,3499,2938,1817,3142,,0.677936,0.166524,0.094484,0.763393,0.264649,0.755827,0.533528,0.788959,0.901940,0.563393,0.892323,0.876117,0.521142,0.796296
0.017982,0.161383,1593,1931,1182,2383,2430,2410,2346,3105,2999,1632,3500,2938,1818,3143,,0.677936,0.167378,0.093897,0.763393,0.264649,0.756410,0.534500,0.789658,0.900862,0.563393,0.893320,0.876117,0.522199,0.796982
