GloveManager recording started on 10/20/16 at 17:19:30

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017537,0.017537,1582,1907,1164,2369,2341,2364,2318,3074,2987,1575,3477,2927,1788,3046,,0.671412,0.146883,0.083333,0.747768,0.207341,0.729604,0.507289,0.767994,0.887931,0.512500,0.870389,0.869093,0.490486,0.730453
0.017970,0.035507,1582,1907,1164,2369,2341,2364,2318,3074,2987,1575,3477,2926,1788,3045,,0.671412,0.146883,0.083333,0.747768,0.207341,0.729604,0.507289,0.767994,0.887931,0.512500,0.870389,0.868455,0.490486,0.729767
0.018023,0.053530,1581,1907,1163,2369,2341,2365,2319,3075,2988,1576,3478,2927,1788,3046,,0.670819,0.146883,0.082746,0.747768,0.207341,0.730186,0.508260,0.768693,0.889009,0.513393,0.871386,0.869093,0.490486,0.730453
0.017999,0.071529,1582,1907,1163,2369,2341,2363,2318,3074,2987,1577,3477,2927,1788,3046,,0.671412,0.146883,0.082746,0.747768,0.207341,0.729021,0.507289,0.767994,0.887931,0.514286,0.870389,0.869093,0.490486,0.730453
0.018010,0.089539,1582,1907,1163,2369,2341,2363,2320,3074,2988,1577,3477,2926,1789,3047,,0.671412,0.146883,0.082746,0.747768,0.207341,0.729021,0.509232,0.767994,0.889009,0.514286,0.870389,0.868455,0.491543,0.731139
0.017971,0.107510,1582,1909,1165,2369,2342,2363,2319,3074,2987,1578,3477,2927,1789,3047,,0.671412,0.148591,0.083920,0.747768,0.207985,0.729021,0.508260,0.767994,0.887931,0.515179,0.870389,0.869093,0.491543,0.731139
0.018040,0.125551,1582,1909,1165,2369,2342,2363,2319,3074,2987,1578,3477,2927,1789,3047,,0.671412,0.148591,0.083920,0.747768,0.207985,0.729021,0.508260,0.767994,0.887931,0.515179,0.870389,0.869093,0.491543,0.731139
0.017984,0.143534,1583,1909,1165,2369,2341,2363,2319,3074,2988,1578,3477,2927,1789,3047,,0.672005,0.148591,0.083920,0.747768,0.207341,0.729021,0.508260,0.767994,0.889009,0.515179,0.870389,0.869093,0.491543,0.731139
0.018009,0.161544,1582,1908,1164,2369,2341,2364,2319,3074,2988,1578,3477,2927,1789,3047,,0.671412,0.147737,0.083333,0.747768,0.207341,0.729604,0.508260,0.767994,0.889009,0.515179,0.870389,0.869093,0.491543,0.731139
0.018006,0.179549,1582,1907,1165,2369,2341,2364,2319,3074,2988,1578,3477,2926,1789,3047,,0.671412,0.146883,0.083920,0.747768,0.207341,0.729604,0.508260,0.767994,0.889009,0.515179,0.870389,0.868455,0.491543,0.731139
0.018000,0.197550,1583,1908,1164,2368,2341,2364,2319,3074,2987,1578,3478,2927,1789,3047,,0.672005,0.147737,0.083333,0.746652,0.207341,0.729604,0.508260,0.767994,0.887931,0.515179,0.871386,0.869093,0.491543,0.731139
0.018018,0.215568,1582,1907,1165,2369,2340,2363,2319,3073,2987,1578,3477,2927,1789,3047,,0.671412,0.146883,0.083920,0.747768,0.206697,0.729021,0.508260,0.767296,0.887931,0.515179,0.870389,0.869093,0.491543,0.731139
0.017955,0.233523,1583,1907,1165,2369,2340,2364,2319,3073,2988,1578,3477,2927,1789,3046,,0.672005,0.146883,0.083920,0.747768,0.206697,0.729604,0.508260,0.767296,0.889009,0.515179,0.870389,0.869093,0.491543,0.730453
0.018030,0.251553,1582,1907,1166,2369,2340,2364,2319,3074,2987,1578,3477,2927,1789,3046,,0.671412,0.146883,0.084507,0.747768,0.206697,0.729604,0.508260,0.767994,0.887931,0.515179,0.870389,0.869093,0.491543,0.730453
0.017966,0.269520,1583,1908,1166,2369,2341,2364,2320,3073,2988,1579,3477,2927,1789,3047,,0.672005,0.147737,0.084507,0.747768,0.207341,0.729604,0.509232,0.767296,0.889009,0.516071,0.870389,0.869093,0.491543,0.731139
0.018038,0.287558,1582,1907,1166,2368,2340,2363,2319,3073,2988,1579,3477,2926,1789,3047,,0.671412,0.146883,0.084507,0.746652,0.206697,0.729021,0.508260,0.767296,0.889009,0.516071,0.870389,0.868455,0.491543,0.731139
0.017985,0.305543,1582,1907,1166,2369,2341,2363,2320,3073,2987,1579,3477,2927,1789,3047,,0.671412,0.146883,0.084507,0.747768,0.207341,0.729021,0.509232,0.767296,0.887931,0.516071,0.870389,0.869093,0.491543,0.731139
0.018006,0.323549,1582,1907,1166,2368,2341,2363,2320,3074,2987,1579,3477,2926,1789,3047,,0.671412,0.146883,0.084507,0.746652,0.207341,0.729021,0.508260,0.767296,0.887931,0.516071,0.870389,0.868455,0.491543,0.731139
0.018008,0.341557,1582,1907,1166,2368,2340,2363,2319,3073,2987,1579,3477,2926,1789,3047,,0.671412,0.146883,0.084507,0.746652,0.206697,0.729021,0.508260,0.767296,0.887931,0.516071,0.870389,0.868455,0.491543,0.731139
0.018000,0.359557,1582,1907,1167,2368,2341,2363,2320,3073,2987,1580,3476,2926,1789,3047,,0.671412,0.146883,0.085094,0.746652,0.207341,0.729021,0.509232,0.767296,0.887931,0.516964,0.869392,0.868455,0.491543,0.731139
0.017966,0.377522,1582,1908,1167,2369,2340,2363,2320,3072,2987,1580,3477,2927,1789,3047,,0.671412,0.147737,0.085094,0.747768,0.206697,0.729021,0.509232,0.766597,0.887931,0.516964,0.870389,0.869093,0.491543,0.731139
0.018043,0.395566,1582,1907,1167,2369,2341,2364,2320,3073,2987,1580,3478,2927,1790,3048,,0.671412,0.146883,0.085094,0.747768,0.207341,0.729604,0.509232,0.767296,0.887931,0.516964,0.871386,0.869093,0.492600,0.731824
0.017996,0.413562,1583,1907,1167,2368,2340,2363,2320,3072,2988,1581,3476,2927,1789,3047,,0.672005,0.146883,0.085094,0.746652,0.206697,0.729021,0.509232,0.766597,0.889009,0.517857,0.869392,0.869093,0.491543,0.731139
0.017963,0.431525,1583,1907,1167,2368,2340,2363,2320,3072,2987,1581,3477,2926,1789,3047,,0.672005,0.146883,0.085094,0.746652,0.206697,0.729021,0.509232,0.766597,0.887931,0.517857,0.870389,0.868455,0.491543,0.731139
0.017979,0.449504,1583,1907,1168,2368,2340,2363,2320,3073,2987,1581,3477,2926,1790,3048,,0.672005,0.146883,0.085681,0.746652,0.206697,0.729021,0.509232,0.767296,0.887931,0.517857,0.870389,0.868455,0.492600,0.731824
0.018049,0.467553,1583,1907,1168,2368,2340,2362,2320,3073,2987,1581,3477,2927,1789,3047,,0.672005,0.146883,0.085681,0.746652,0.206697,0.728438,0.509232,0.767296,0.887931,0.517857,0.870389,0.869093,0.491543,0.731139
0.018004,0.485557,1583,1907,1168,2368,2340,2362,2320,3073,2987,1581,3477,2927,1789,3047,,0.672005,0.146883,0.085681,0.746652,0.206697,0.728438,0.509232,0.767296,0.887931,0.517857,0.870389,0.869093,0.491543,0.731139
0.017973,0.503530,1582,1907,1169,2367,2341,2362,2321,3073,2987,1582,3477,2926,1790,3048,,0.671412,0.146883,0.086268,0.745536,0.207341,0.728438,0.510204,0.767296,0.887931,0.518750,0.870389,0.868455,0.492600,0.731824
0.018026,0.521556,1582,1908,1170,2368,2340,2362,2321,3071,2988,1584,3477,2926,1791,3049,,0.671412,0.147737,0.086854,0.746652,0.206697,0.728438,0.510204,0.765898,0.889009,0.520536,0.870389,0.868455,0.493657,0.732510
0.018013,0.539569,1583,1909,1170,2366,2340,2361,2321,3072,2987,1584,3477,2927,1790,3049,,0.672005,0.148591,0.086854,0.744420,0.206697,0.727856,0.510204,0.766597,0.887931,0.520536,0.870389,0.869093,0.492600,0.732510
0.018007,0.557576,1583,1909,1170,2366,2340,2361,2321,3072,2987,1584,3477,2927,1790,3049,,0.672005,0.148591,0.086854,0.744420,0.206697,0.727856,0.510204,0.766597,0.887931,0.520536,0.870389,0.869093,0.492600,0.732510
0.017991,0.575568,1583,1908,1170,2366,2340,2361,2322,3072,2988,1586,3478,2926,1791,3051,,0.672005,0.147737,0.086854,0.744420,0.206697,0.727856,0.511176,0.766597,0.889009,0.522321,0.871386,0.868455,0.493657,0.733882
