GloveManager recording started on 10/20/16 at 17:20:15

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017559,0.017558,1612,1916,1179,2366,2425,2423,2325,3123,3001,1608,3503,2914,1797,3105,,0.689205,0.154569,0.092136,0.744420,0.261429,0.763986,0.514091,0.802236,0.903017,0.541964,0.896311,0.860792,0.500000,0.770919
0.017982,0.035540,1612,1917,1180,2366,2426,2422,2325,3123,3000,1608,3502,2913,1797,3106,,0.689205,0.155423,0.092723,0.744420,0.262073,0.763403,0.514091,0.802236,0.901940,0.541964,0.895314,0.860153,0.500000,0.771605
0.018004,0.053544,1611,1916,1180,2366,2426,2423,2325,3123,3000,1607,3502,2913,1797,3106,,0.688612,0.154569,0.092723,0.744420,0.262073,0.763986,0.514091,0.802236,0.901940,0.541071,0.895314,0.860153,0.500000,0.771605
0.018015,0.071559,1611,1916,1179,2365,2426,2421,2324,3123,3000,1607,3503,2914,1796,3106,,0.688612,0.154569,0.092136,0.743304,0.262073,0.762821,0.513120,0.802236,0.901940,0.541071,0.896311,0.860792,0.498943,0.771605
0.017980,0.089539,1611,1915,1179,2365,2424,2421,2324,3122,3000,1607,3502,2914,1796,3105,,0.688612,0.153715,0.092136,0.743304,0.260786,0.762821,0.513120,0.801537,0.901940,0.541071,0.895314,0.860792,0.498943,0.770919
0.018026,0.107565,1610,1915,1179,2365,2424,2420,2323,3123,3000,1607,3502,2913,1796,3105,,0.688019,0.153715,0.092136,0.743304,0.260786,0.762238,0.512148,0.802236,0.901940,0.541071,0.895314,0.860153,0.498943,0.770919
0.017981,0.125546,1611,1914,1178,2365,2423,2421,2324,3122,3000,1607,3502,2914,1796,3106,,0.688612,0.152861,0.091549,0.743304,0.260142,0.762821,0.513120,0.801537,0.901940,0.541071,0.895314,0.860792,0.498943,0.771605
0.017946,0.143493,1611,1915,1179,2365,2424,2421,2324,3123,3000,1606,3503,2914,1797,3106,,0.688612,0.153715,0.092136,0.743304,0.260786,0.762821,0.513120,0.802236,0.901940,0.540179,0.896311,0.860792,0.500000,0.771605
0.018057,0.161550,1611,1914,1178,2365,2423,2420,2324,3123,2999,1606,3502,2913,1795,3105,,0.688612,0.152861,0.091549,0.743304,0.260142,0.762238,0.513120,0.802236,0.900862,0.540179,0.895314,0.860153,0.497886,0.770919
