GloveManager recording started on 10/20/16 at 17:18:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017501,0.017501,1573,1896,1139,2364,2341,2426,2363,3147,2992,1623,3444,2920,1793,3016,,0.666074,0.137489,0.068662,0.742188,0.207341,0.765734,0.551020,0.819008,0.893319,0.555357,0.837488,0.864623,0.495772,0.709877
0.018000,0.035502,1573,1897,1139,2365,2343,2427,2363,3148,2993,1622,3444,2920,1793,3016,,0.666074,0.138343,0.068662,0.743304,0.208628,0.766317,0.551020,0.819706,0.894397,0.554464,0.837488,0.864623,0.495772,0.709877
0.018001,0.053503,1573,1897,1139,2365,2343,2427,2363,3148,2993,1622,3444,2920,1793,3016,,0.666074,0.138343,0.068662,0.743304,0.208628,0.766317,0.551020,0.819706,0.894397,0.554464,0.837488,0.864623,0.495772,0.709877
0.018000,0.071503,1573,1897,1138,2366,2342,2427,2364,3148,2992,1623,3443,2920,1793,3016,,0.666074,0.138343,0.068075,0.744420,0.207985,0.766317,0.551992,0.819706,0.893319,0.555357,0.836491,0.864623,0.495772,0.709877
0.018003,0.089507,1573,1896,1139,2366,2343,2427,2364,3148,2993,1623,3444,2920,1794,3016,,0.666074,0.137489,0.068662,0.744420,0.208628,0.766317,0.551992,0.819706,0.894397,0.555357,0.837488,0.864623,0.496829,0.709877
0.017999,0.107505,1573,1895,1138,2366,2342,2427,2363,3147,2992,1622,3443,2920,1794,3016,,0.666074,0.136635,0.068075,0.744420,0.207985,0.766317,0.551020,0.819008,0.893319,0.554464,0.836491,0.864623,0.496829,0.709877
0.018002,0.125507,1572,1896,1137,2366,2342,2426,2364,3148,2993,1622,3444,2920,1793,3014,,0.665480,0.137489,0.067488,0.744420,0.207985,0.765734,0.551992,0.819706,0.894397,0.554464,0.837488,0.864623,0.495772,0.708505
0.018001,0.143509,1572,1895,1137,2366,2342,2426,2363,3148,2992,1622,3443,2920,1794,3016,,0.665480,0.136635,0.067488,0.744420,0.207985,0.765734,0.551020,0.819706,0.893319,0.554464,0.836491,0.864623,0.496829,0.709877
0.018001,0.161510,1572,1895,1137,2366,2342,2426,2363,3148,2992,1622,3443,2920,1794,3016,,0.665480,0.136635,0.067488,0.744420,0.207985,0.765734,0.551020,0.819706,0.893319,0.554464,0.836491,0.864623,0.496829,0.709877
